Orthogroup	Syal	Praq
OG0000141	Syal.g_02738	Praq.g_00995
OG0000142	Syal.g_02636	Praq.g_00967
OG0000143	Syal.g_02632	Praq.g_00963
OG0000144	Syal.g_02515	Praq.g_00781
OG0000145	Syal.g_02921	Praq.g_00637
OG0000146	Syal.g_02001	Praq.g_00639
OG0000147	Syal.g_02002	Praq.g_00640
OG0000148	Syal.g_02437	Praq.g_01414
OG0000149	Syal.g_02475	Praq.g_01444
OG0000150	Syal.g_02737	Praq.g_01452
OG0000151	Syal.g_02263	Praq.g_01500
OG0000152	Syal.g_01991	Praq.g_01548
OG0000153	Syal.g_01958	Praq.g_01567
OG0000154	Syal.g_01918	Praq.g_01593
OG0000155	Syal.g_01695	Praq.g_01353
OG0000156	Syal.g_01620	Praq.g_00122
OG0000157	Syal.g_01619	Praq.g_00123
OG0000158	Syal.g_01431	Praq.g_00258
OG0000160	Syal.g_00372	Praq.g_00295
OG0000161	Syal.g_00384	Praq.g_00301
OG0000162	Syal.g_00396	Praq.g_00307
OG0000163	Syal.g_02971	Praq.g_00341
OG0000164	Syal.g_00623	Praq.g_00473
OG0000165	Syal.g_00632	Praq.g_00466
OG0000166	Syal.g_00236	Praq.g_00915
OG0000167	Syal.g_01347	Praq.g_00737
OG0000168	Syal.g_01433	Praq.g_00747
OG0000169	Syal.g_01447	Praq.g_00757
OG0000170	Syal.g_01454	Praq.g_00759
OG0000171	Syal.g_01518	Praq.g_00681
OG0000172	Syal.g_00174, Syal.g_00173	Praq.g_00689
OG0000173	Syal.g_00155	Praq.g_00704
OG0000174	Syal.g_01121	Praq.g_00396
OG0000175	Syal.g_01172	Praq.g_00406
OG0000176	Syal.g_00101	Praq.g_00430
OG0000177	Syal.g_00102	Praq.g_00431
OG0000178	Syal.g_00103	Praq.g_00432
OG0000179	Syal.g_00118	Praq.g_01219
OG0000180	Syal.g_00119	Praq.g_01220
OG0000181	Syal.g_00120	Praq.g_01221
OG0000182	Syal.g_00121	Praq.g_01222
OG0000183	Syal.g_00125	Praq.g_01226
OG0000184	Syal.g_01050	Praq.g_01262
OG0000185	Syal.g_01025	Praq.g_01265
OG0000186	Syal.g_02684, Syal.g_00747	Praq.g_01939
OG0000187	Syal.g_02685, Syal.g_00748	Praq.g_01938
OG0000188	Syal.g_00771	Praq.g_01921
OG0000189	Syal.g_00807	Praq.g_01907
OG0000190	Syal.g_01364	Praq.g_01906
OG0000191	Syal.g_00841	Praq.g_01886
OG0000192	Syal.g_00847	Praq.g_01882
OG0000193	Syal.g_00887	Praq.g_01856
OG0000194	Syal.g_00890	Praq.g_01853
OG0000195	Syal.g_00892	Praq.g_01851
OG0000196	Syal.g_00903	Praq.g_01841
OG0000197	Syal.g_00904	Praq.g_01840
OG0000198	Syal.g_00905	Praq.g_01839
OG0000199	Syal.g_00913	Praq.g_01832
OG0000200	Syal.g_00932	Praq.g_01818
OG0000201	Syal.g_00949	Praq.g_01810
OG0000202	Syal.g_00950	Praq.g_01809
OG0000203	Syal.g_00951	Praq.g_01808
OG0000204	Syal.g_00952	Praq.g_01807
OG0000205	Syal.g_00959	Praq.g_01800
OG0000206	Syal.g_00971	Praq.g_01795
OG0000207	Syal.g_00974	Praq.g_01793
OG0000208	Syal.g_00975	Praq.g_01792
OG0000209	Syal.g_01000	Praq.g_01783
OG0000210	Syal.g_01001	Praq.g_01782
OG0000212	Syal.g_00679	Praq.g_01762
OG0000213	Syal.g_01229	Praq.g_01746
OG0000214	Syal.g_01246	Praq.g_01736
OG0000215	Syal.g_01277	Praq.g_01710
OG0000216	Syal.g_01281	Praq.g_01708
OG0000217	Syal.g_01285	Praq.g_01705
OG0000218	Syal.g_01287	Praq.g_01703
OG0000219	Syal.g_01288	Praq.g_01702
OG0000220	Syal.g_01289	Praq.g_01701
OG0000221	Syal.g_01297	Praq.g_01700
OG0000222	Syal.g_01309	Praq.g_01692
OG0000223	Syal.g_01327	Praq.g_01679
OG0000224	Syal.g_01329	Praq.g_01677
OG0000225	Syal.g_00363	Praq.g_01199
OG0000226	Syal.g_00367	Praq.g_01195
OG0000227	Syal.g_00369	Praq.g_01193
OG0000228	Syal.g_00556	Praq.g_01189
OG0000229	Syal.g_00525	Praq.g_01121
OG0000230	Syal.g_00523	Praq.g_01119
OG0000231	Syal.g_00510	Praq.g_01108
OG0000232	Syal.g_00495	Praq.g_00507
OG0000233	Syal.g_00487	Praq.g_00513
OG0000234	Syal.g_00461	Praq.g_00527
OG0000235	Syal.g_02896	Praq.g_00530
OG0000236	Syal.g_02912	Praq.g_00544
OG0000237	Syal.g_02930	Praq.g_01096
OG0000238	Syal.g_02935	Praq.g_01090
OG0000239	Syal.g_02951	Praq.g_01077
OG0000240	Syal.g_02952	Praq.g_01076
OG0000241	Syal.g_02696	Praq.g_01072
OG0000242	Syal.g_02840	Praq.g_01070
OG0000243	Syal.g_02822	Praq.g_01059
OG0000244	Syal.g_02815	Praq.g_01056
OG0000245	Syal.g_02813	Praq.g_01054
OG0000246	Syal.g_02809	Praq.g_01050
OG0000247	Syal.g_02797	Praq.g_01040
OG0000248	Syal.g_02794	Praq.g_01038
OG0000249	Syal.g_02792	Praq.g_01036
OG0000250	Syal.g_02786	Praq.g_01031
OG0000251	Syal.g_02760	Praq.g_01012
OG0000252	Syal.g_02757	Praq.g_01008
OG0000253	Syal.g_02755	Praq.g_01007
OG0000254	Syal.g_02732	Praq.g_00991
OG0000255	Syal.g_02719	Praq.g_00985
OG0000256	Syal.g_02705	Praq.g_00975
OG0000257	Syal.g_02697	Praq.g_00972
OG0000258	Syal.g_02623	Praq.g_00959
OG0000259	Syal.g_02182	Praq.g_00789
OG0000260	Syal.g_02188	Praq.g_00792
OG0000261	Syal.g_02199	Praq.g_00794
OG0000262	Syal.g_02204	Praq.g_00798
OG0000263	Syal.g_01720	Praq.g_00810
OG0000264	Syal.g_01788	Praq.g_00820
OG0000265	Syal.g_02534	Praq.g_00583
OG0000266	Syal.g_02421	Praq.g_00593
