Orthogroup	Syae	Syat
OG0000172	Syae.g_01788	Syat.g_02260
OG0000173	Syae.g_01770	Syat.g_02284
OG0000174	Syae.g_01610	Syat.g_02504
OG0000175	Syae.g_01679	Syat.g_02416
OG0000176	Syae.g_01716	Syat.g_02372
OG0000177	Syae.g_01717	Syat.g_02338
OG0000178	Syae.g_01718	Syat.g_02337
OG0000179	Syae.g_01733	Syat.g_02322
OG0000180	Syae.g_01734	Syat.g_02321
OG0000181	Syae.g_01735	Syat.g_02320
OG0000182	Syae.g_01736	Syat.g_02319
OG0000183	Syae.g_01740	Syat.g_02315
OG0000184	Syae.g_01554	Syat.g_02704
OG0000185	Syae.g_01551	Syat.g_02719
OG0000186	Syae.g_01279	Syat.g_01463
OG0000187	Syae.g_01280	Syat.g_01467
OG0000188	Syae.g_01323	Syat.g_01489
OG0000189	Syae.g_01350	Syat.g_01557
OG0000190	Syae.g_01352	Syat.g_00330
OG0000191	Syae.g_01384	Syat.g_03344, Syat.g_02939
OG0000192	Syae.g_01390	Syat.g_02933
OG0000193	Syae.g_01429	Syat.g_02897
OG0000194	Syae.g_01432	Syat.g_02894
OG0000196	Syae.g_01444	Syat.g_02867
OG0000197	Syae.g_01445	Syat.g_02866
OG0000198	Syae.g_01446	Syat.g_02865
OG0000199	Syae.g_01454	Syat.g_02857
OG0000200	Syae.g_01471	Syat.g_02840
OG0000201	Syae.g_01487	Syat.g_02821
OG0000202	Syae.g_01488	Syat.g_02820
OG0000203	Syae.g_01489	Syat.g_02819
OG0000204	Syae.g_01490	Syat.g_02818
OG0000205	Syae.g_01497	Syat.g_02809
OG0000206	Syae.g_01504	Syat.g_02785
OG0000207	Syae.g_01506	Syat.g_02778
OG0000208	Syae.g_01507	Syat.g_02777
OG0000209	Syae.g_01528	Syat.g_02735
OG0000210	Syae.g_01529	Syat.g_02734
OG0000211	Syae.g_02234	Syat.g_01452
OG0000212	Syae.g_02244	Syat.g_01442
OG0000213	Syae.g_02003	Syat.g_01889
OG0000214	Syae.g_01986	Syat.g_02042
OG0000215	Syae.g_01955	Syat.g_02075
OG0000216	Syae.g_01951	Syat.g_02079
OG0000217	Syae.g_01947	Syat.g_02085
OG0000218	Syae.g_01945	Syat.g_02087
OG0000219	Syae.g_01944	Syat.g_02088
OG0000220	Syae.g_01943	Syat.g_02089
OG0000221	Syae.g_01937	Syat.g_02095
OG0000222	Syae.g_01926	Syat.g_02109
OG0000223	Syae.g_01904	Syat.g_02570
OG0000224	Syae.g_01897	Syat.g_02139
OG0000225	Syae.g_02208	Syat.g_01595
OG0000226	Syae.g_02212	Syat.g_01588
OG0000228	Syae.g_02218	Syat.g_02952
OG0000229	Syae.g_00994	Syat.g_02970
OG0000230	Syae.g_00992	Syat.g_02972
OG0000232	Syae.g_02496	Syat.g_01313
OG0000233	Syae.g_02504	Syat.g_01407
OG0000234	Syae.g_02532	Syat.g_01369
OG0000235	Syae.g_02308	Syat.g_03169
OG0000236	Syae.g_02323	Syat.g_03186
OG0000237	Syae.g_02340	Syat.g_03214
OG0000238	Syae.g_02345	Syat.g_03219
OG0000239	Syae.g_02360	Syat.g_01105
OG0000240	Syae.g_02361	Syat.g_01104
OG0000241	Syae.g_00065	Syat.g_00111
OG0000242	Syae.g_02372	Syat.g_01077
OG0000243	Syae.g_02391	Syat.g_00092
OG0000244	Syae.g_02399	Syat.g_00082
OG0000245	Syae.g_02401	Syat.g_00080
OG0000246	Syae.g_02405	Syat.g_00076
OG0000247	Syae.g_02416	Syat.g_00065
OG0000249	Syae.g_02421	Syat.g_00060
OG0000250	Syae.g_02431	Syat.g_00053
OG0000251	Syae.g_02455	Syat.g_00027
OG0000252	Syae.g_02458	Syat.g_00022
OG0000253	Syae.g_02459	Syat.g_00021
OG0000254	Syae.g_00021	Syat.g_03407
OG0000255	Syae.g_00041	Syat.g_02405
OG0000256	Syae.g_00058	Syat.g_03306
OG0000257	Syae.g_00064	Syat.g_00109
OG0000258	Syae.g_00083	Syat.g_00382
OG0000259	Syae.g_00608	Syat.g_00342
OG0000260	Syae.g_00603	Syat.g_00392
OG0000261	Syae.g_00600	Syat.g_00400
OG0000262	Syae.g_00595	Syat.g_00407
OG0000263	Syae.g_00671	Syat.g_00200
OG0000266	Syae.g_00457	Syat.g_00671
OG0000267	Syae.g_00304	Syat.g_00636
OG0000268	Syae.g_00308	Syat.g_00634
OG0000269	Syae.g_00526	Syat.g_00474, Syat.g_00126
OG0000270	Syae.g_00523	Syat.g_00477
OG0000271	Syae.g_00515	Syat.g_00485
OG0000272	Syae.g_00514	Syat.g_00486
OG0000273	Syae.g_00825	Syat.g_00520
OG0000274	Syae.g_00826	Syat.g_00521
OG0000275	Syae.g_00832	Syat.g_00718
OG0000276	Syae.g_00839	Syat.g_00725
OG0000278	Syae.g_00843	Syat.g_00741
OG0000279	Syae.g_00851	Syat.g_00755
OG0000280	Syae.g_00877	Syat.g_01669
OG0000281	Syae.g_02057	Syat.g_00960
OG0000282	Syae.g_00573	Syat.g_00431
OG0000283	Syae.g_00321	Syat.g_00620
OG0000284	Syae.g_00327	Syat.g_00614
OG0000285	Syae.g_00340	Syat.g_00607
OG0000286	Syae.g_00359	Syat.g_00579
OG0000287	Syae.g_00387	Syat.g_00550
OG0000288	Syae.g_00419	Syat.g_00709
OG0000289	Syae.g_00433	Syat.g_00695
OG0000290	Syae.g_00796	Syat.g_00805
OG0000292	Syae.g_01705	Syat.g_02388
OG0000293	Syae.g_00938	Syat.g_03241
OG0000295	Syae.g_00893	Syat.g_00297
OG0000296	Syae.g_00891	Syat.g_00295
OG0000299	Syae.g_00680	Syat.g_00910
OG0000300	Syae.g_00686	Syat.g_00904
OG0000301	Syae.g_00687	Syat.g_00903
OG0000302	Syae.g_00691	Syat.g_00901
OG0000303	Syae.g_00700	Syat.g_00892
OG0000304	Syae.g_00706	Syat.g_00885
OG0000305	Syae.g_00791	Syat.g_00809
OG0000306	Syae.g_00277	Syat.g_01704
OG0000307	Syae.g_02290	Syat.g_01304
OG0000308	Syae.g_02288	Syat.g_01306
OG0000309	Syae.g_02283	Syat.g_01417
OG0000310	Syae.g_02687	Syat.g_01246
OG0000311	Syae.g_02682	Syat.g_01242
OG0000312	Syae.g_02664	Syat.g_01237
OG0000313	Syae.g_02647	Syat.g_01183
OG0000314	Syae.g_02618	Syat.g_01341
OG0000315	Syae.g_02609	Syat.g_01351
OG0000316	Syae.g_01118	Syat.g_03082
OG0000317	Syae.g_01160	Syat.g_03120
OG0000318	Syae.g_01164	Syat.g_03125
OG0000319	Syae.g_01181	Syat.g_03055
OG0000320	Syae.g_01183	Syat.g_03053
OG0000321	Syae.g_01184	Syat.g_03052
OG0000322	Syae.g_01185	Syat.g_03051
OG0000323	Syae.g_01200	Syat.g_03038
OG0000324	Syae.g_01049	Syat.g_02998
OG0000325	Syae.g_02033	Syat.g_01861
OG0000327	Syae.g_02080	Syat.g_01827
OG0000328	Syae.g_02081	Syat.g_01826
OG0000329	Syae.g_02099	Syat.g_01808
OG0000330	Syae.g_02100	Syat.g_01807
OG0000331	Syae.g_02101	Syat.g_01806
OG0000333	Syae.g_02119	Syat.g_01787
OG0000334	Syae.g_02128	Syat.g_01657
OG0000335	Syae.g_02132	Syat.g_01652
OG0000336	Syae.g_02136	Syat.g_01648
OG0000337	Syae.g_01879	Syat.g_02144
OG0000338	Syae.g_01876	Syat.g_02146
OG0000339	Syae.g_01869	Syat.g_02155, Syat.g_01055
OG0000340	Syae.g_01855	Syat.g_02165
OG0000341	Syae.g_01853	Syat.g_02167
OG0000342	Syae.g_01852	Syat.g_02168
OG0000343	Syae.g_01848	Syat.g_02185
OG0000344	Syae.g_01843	Syat.g_02189
OG0000345	Syae.g_01833	Syat.g_02202
OG0000346	Syae.g_01828	Syat.g_02207
OG0000347	Syae.g_01805	Syat.g_02234
OG0000348	Syae.g_01781	Syat.g_02264
OG0000349	Syae.g_01763	Syat.g_02291
OG0000350	Syae.g_02047	Syat.g_01847
OG0000351	Syae.g_01684	Syat.g_02411
OG0000352	Syae.g_01685	Syat.g_02410
OG0000353	Syae.g_01711	Syat.g_00955, Syat.g_02377
OG0000354	Syae.g_02351	Syat.g_03225
OG0000354	Syae.g_01731	Syat.g_02325
OG0000355	Syae.g_01713	Syat.g_02375
OG0000356	Syae.g_01714	Syat.g_02374
OG0000357	Syae.g_01715	Syat.g_02373
OG0000358	Syae.g_01719	Syat.g_02336
OG0000359	Syae.g_01721	Syat.g_02334
OG0000360	Syae.g_01722	Syat.g_02333
OG0000361	Syae.g_01723	Syat.g_02332
OG0000362	Syae.g_01725	Syat.g_02330
OG0000363	Syae.g_01727	Syat.g_02328
OG0000364	Syae.g_01728	Syat.g_03122
OG0000365	Syae.g_01737	Syat.g_02318
OG0000366	Syae.g_01738	Syat.g_02317
OG0000367	Syae.g_01739	Syat.g_02316
OG0000368	Syae.g_01741	Syat.g_02314
OG0000369	Syae.g_01742	Syat.g_02313
OG0000370	Syae.g_01743	Syat.g_02312
OG0000371	Syae.g_01751	Syat.g_02304
OG0000372	Syae.g_01756	Syat.g_02298
OG0000373	Syae.g_01757	Syat.g_02297
OG0000374	Syae.g_01758	Syat.g_02296
OG0000375	Syae.g_01759	Syat.g_02295
OG0000376	Syae.g_01761	Syat.g_02293
OG0000377	Syae.g_01561	Syat.g_02695
OG0000378	Syae.g_01553	Syat.g_02715
OG0000379	Syae.g_01550	Syat.g_02720
OG0000380	Syae.g_01281	Syat.g_01468
