Orthogroup	Prat	Syai
OG0000238	Prat.g_00475	Syai.g_00674
OG0000239	Prat.g_00487	Syai.g_00691
OG0000240	Prat.g_00488	Syai.g_00692
OG0000241	Prat.g_00492	Syai.g_01089, Syai.g_01085
OG0000242	Prat.g_00494	Syai.g_00705
OG0000243	Prat.g_00504	Syai.g_00726
OG0000244	Prat.g_00507	Syai.g_00731
OG0000245	Prat.g_00509	Syai.g_00733
OG0000246	Prat.g_00514, Prat.g_00513	Syai.g_00737
OG0000247	Prat.g_00525	Syai.g_00748
OG0000248	Prat.g_00528	Syai.g_00751
OG0000249	Prat.g_00530	Syai.g_00753
OG0000250	Prat.g_00536	Syai.g_00762
OG0000251	Prat.g_00553	Syai.g_00789
OG0000252	Prat.g_00556	Syai.g_00797
OG0000253	Prat.g_00557	Syai.g_00798
OG0000254	Prat.g_00574	Syai.g_01045
OG0000255	Prat.g_00581	Syai.g_01061
OG0000256	Prat.g_00591	Syai.g_01077
OG0000257	Prat.g_01097	Syai.g_01084
OG0000258	Prat.g_01081	Syai.g_01113
OG0000259	Prat.g_01064	Syai.g_01229
OG0000260	Prat.g_01061	Syai.g_01232
OG0000261	Prat.g_01058	Syai.g_01235
OG0000262	Prat.g_01054	Syai.g_01240
OG0000263	Prat.g_00754	Syai.g_01776
OG0000264	Prat.g_00765	Syai.g_01962
OG0000265	Prat.g_00788	Syai.g_02245
OG0000266	Prat.g_00801	Syai.g_01401
OG0000267	Prat.g_00814	Syai.g_01569
OG0000268	Prat.g_00815	Syai.g_01568
OG0000269	Prat.g_01042	Syai.g_01316
OG0000270	Prat.g_01039	Syai.g_01319
OG0000271	Prat.g_01031	Syai.g_01327
OG0000272	Prat.g_01030	Syai.g_01328
OG0000273	Prat.g_01007	Syai.g_02037
OG0000274	Prat.g_01006	Syai.g_02038
OG0000275	Prat.g_01004	Syai.g_02043
OG0000276	Prat.g_00999	Syai.g_02051
OG0000277	Prat.g_00998	Syai.g_02052
OG0000278	Prat.g_00995	Syai.g_02055
OG0000279	Prat.g_00988	Syai.g_02063
OG0000280	Prat.g_00987	Syai.g_02084
OG0000281	Prat.g_00980	Syai.g_01719
OG0000282	Prat.g_00718	Syai.g_01263
OG0000283	Prat.g_00868	Syai.g_01554
OG0000284	Prat.g_00873	Syai.g_01548
OG0000285	Prat.g_00879	Syai.g_01522
OG0000286	Prat.g_00895	Syai.g_01504
OG0000288	Prat.g_00933	Syai.g_01435
OG0000289	Prat.g_00948	Syai.g_01421
OG0000290	Prat.g_00962	Syai.g_02010
OG0000291	Prat.g_00964	Syai.g_02008
OG0000292	Prat.g_01208	Syai.g_02926
OG0000293	Prat.g_01165	Syai.g_02155
OG0000294	Prat.g_01164	Syai.g_02154
OG0000295	Prat.g_01142	Syai.g_02117
OG0000296	Prat.g_01140	Syai.g_02115
OG0000297	Prat.g_01131	Syai.g_01754
OG0000298	Prat.g_01130	Syai.g_01755
OG0000299	Prat.g_01112	Syai.g_01783
OG0000300	Prat.g_01108	Syai.g_01790
OG0000301	Prat.g_01107	Syai.g_01791
OG0000302	Prat.g_01105	Syai.g_01793
OG0000303	Prat.g_01099	Syai.g_01802
OG0000304	Prat.g_00595	Syai.g_01826
OG0000305	Prat.g_01200	Syai.g_02005
OG0000306	Prat.g_00976	Syai.g_02090
OG0000307	Prat.g_01300	Syai.g_00619
OG0000308	Prat.g_01301	Syai.g_00617
OG0000309	Prat.g_01305	Syai.g_00612
OG0000310	Prat.g_01336	Syai.g_00989
OG0000311	Prat.g_01338	Syai.g_00985
OG0000312	Prat.g_01341	Syai.g_00966
OG0000313	Prat.g_01357	Syai.g_00949
OG0000314	Prat.g_01382	Syai.g_00908
OG0000315	Prat.g_01392	Syai.g_00897
OG0000316	Prat.g_01420	Syai.g_02320, Syai.g_02322
OG0000317	Prat.g_01589	Syai.g_02373
OG0000318	Prat.g_01593	Syai.g_02379
OG0000319	Prat.g_01605	Syai.g_02395
OG0000320	Prat.g_01607	Syai.g_02397
OG0000321	Prat.g_01608	Syai.g_02398
OG0000322	Prat.g_01609	Syai.g_02399
OG0000323	Prat.g_01618	Syai.g_02413
OG0000324	Prat.g_01647	Syai.g_02272
OG0000325	Prat.g_01657	Syai.g_00320
OG0000326	Prat.g_01664	Syai.g_00327
OG0000327	Prat.g_01685	Syai.g_00359
OG0000328	Prat.g_01686	Syai.g_00360
OG0000329	Prat.g_01703	Syai.g_00378
OG0000330	Prat.g_01704	Syai.g_00379
OG0000331	Prat.g_01705	Syai.g_00380
OG0000332	Prat.g_01718	Syai.g_00395
OG0000333	Prat.g_01720	Syai.g_00398
OG0000334	Prat.g_01729	Syai.g_00407
OG0000335	Prat.g_01734	Syai.g_00412
OG0000336	Prat.g_01738	Syai.g_00416
OG0000337	Prat.g_01756	Syai.g_00169
OG0000338	Prat.g_01757	Syai.g_00166
OG0000339	Prat.g_01762	Syai.g_00160
OG0000340	Prat.g_01771	Syai.g_00133
OG0000341	Prat.g_01773	Syai.g_00131
OG0000342	Prat.g_01775	Syai.g_00130
OG0000343	Prat.g_01776	Syai.g_00129
OG0000344	Prat.g_01779	Syai.g_00125
OG0000345	Prat.g_01785	Syai.g_00115
OG0000346	Prat.g_01789	Syai.g_00110
OG0000347	Prat.g_01806	Syai.g_00087
OG0000348	Prat.g_01814	Syai.g_00076
OG0000349	Prat.g_01832	Syai.g_00057
OG0000350	Prat.g_01853	Syai.g_00334
OG0000351	Prat.g_01873	Syai.g_02904
OG0000352	Prat.g_01874	Syai.g_02905
OG0000353	Prat.g_01892	Syai.g_02932
OG0000354	Prat.g_00845	Syai.g_00019
OG0000355	Prat.g_00001	Syai.g_00001
OG0000356	Prat.g_00002	Syai.g_00002
OG0000357	Prat.g_00003	Syai.g_00003
OG0000358	Prat.g_00007	Syai.g_00007
OG0000359	Prat.g_00008	Syai.g_00009
OG0000360	Prat.g_00009	Syai.g_00010
OG0000361	Prat.g_00010	Syai.g_00011
OG0000362	Prat.g_00013	Syai.g_00013
OG0000363	Prat.g_00015	Syai.g_00015
OG0000364	Prat.g_00016	Syai.g_00016
OG0000365	Prat.g_00021	Syai.g_00027
OG0000366	Prat.g_00022	Syai.g_00028
OG0000367	Prat.g_00023	Syai.g_00029
OG0000368	Prat.g_00025	Syai.g_00031
OG0000369	Prat.g_00026	Syai.g_00032
OG0000370	Prat.g_00027	Syai.g_00033
OG0000371	Prat.g_00034	Syai.g_00041
OG0000372	Prat.g_00036	Syai.g_00047
OG0000373	Prat.g_00037	Syai.g_00048
OG0000374	Prat.g_00038	Syai.g_00049
OG0000375	Prat.g_00042	Syai.g_00053
OG0000376	Prat.g_00044	Syai.g_00055
OG0000377	Prat.g_00048	Syai.g_02769
OG0000378	Prat.g_00052	Syai.g_02751
OG0000379	Prat.g_00055	Syai.g_02733
OG0000380	Prat.g_00062	Syai.g_02472
OG0000381	Prat.g_00067	Syai.g_02475
OG0000382	Prat.g_00079	Syai.g_02493
