Orthogroup	Syai	Praw
OG0000220	Syai.g_00233	Praw.g_00833
OG0000221	Syai.g_00227	Praw.g_00832
OG0000222	Syai.g_00215	Praw.g_00824
OG0000223	Syai.g_00194	Praw.g_00811
OG0000224	Syai.g_00186	Praw.g_00809
OG0000225	Syai.g_00502	Praw.g_00786
OG0000226	Syai.g_00506	Praw.g_00782
OG0000227	Syai.g_00508	Praw.g_00780
OG0000228	Syai.g_00516	Praw.g_00777
OG0000229	Syai.g_02228	Praw.g_00711
OG0000230	Syai.g_02226	Praw.g_00709
OG0000231	Syai.g_02208	Praw.g_00698
OG0000232	Syai.g_00846	Praw.g_00689
OG0000233	Syai.g_00855	Praw.g_00684
OG0000234	Syai.g_00866	Praw.g_00671
OG0000235	Syai.g_00637	Praw.g_00668
OG0000236	Syai.g_00652	Praw.g_00655
OG0000237	Syai.g_00669	Praw.g_00642
OG0000238	Syai.g_00674	Praw.g_00636
OG0000239	Syai.g_00691	Praw.g_00623
OG0000240	Syai.g_00692	Praw.g_00622
OG0000241	Syai.g_01089, Syai.g_01085	Praw.g_00618
OG0000242	Syai.g_00705	Praw.g_00616
OG0000243	Syai.g_00726	Praw.g_00605
OG0000244	Syai.g_00731	Praw.g_00602
OG0000245	Syai.g_00733	Praw.g_00600
OG0000246	Syai.g_00737	Praw.g_00596
OG0000247	Syai.g_00748	Praw.g_00586
OG0000248	Syai.g_00751	Praw.g_00584
OG0000249	Syai.g_00753	Praw.g_00582
OG0000250	Syai.g_00762	Praw.g_00577
OG0000251	Syai.g_00789	Praw.g_01937
OG0000252	Syai.g_00797	Praw.g_01940
OG0000253	Syai.g_00798	Praw.g_01941
OG0000254	Syai.g_01045	Praw.g_00147
OG0000255	Syai.g_01061	Praw.g_00153
OG0000256	Syai.g_01077	Praw.g_00163
OG0000257	Syai.g_01084	Praw.g_00166
OG0000258	Syai.g_01113	Praw.g_01879
OG0000259	Syai.g_01229	Praw.g_01862
OG0000260	Syai.g_01232	Praw.g_01859
OG0000261	Syai.g_01235	Praw.g_01857
OG0000262	Syai.g_01240	Praw.g_01853
OG0000263	Syai.g_01776	Praw.g_01841
OG0000264	Syai.g_01962	Praw.g_01831
OG0000265	Syai.g_02245	Praw.g_01809
OG0000266	Syai.g_01401	Praw.g_01799
OG0000267	Syai.g_01569	Praw.g_01788
OG0000268	Syai.g_01568	Praw.g_01787
OG0000269	Syai.g_01316	Praw.g_01702
OG0000270	Syai.g_01319	Praw.g_01699
OG0000271	Syai.g_01327	Praw.g_01691
OG0000272	Syai.g_01328	Praw.g_01690
OG0000273	Syai.g_02037	Praw.g_01668
OG0000274	Syai.g_02038	Praw.g_01667
OG0000275	Syai.g_02043	Praw.g_01665
OG0000276	Syai.g_02051	Praw.g_01660
OG0000277	Syai.g_02052	Praw.g_01659
OG0000278	Syai.g_02055	Praw.g_01656
OG0000279	Syai.g_02063	Praw.g_01649
OG0000280	Syai.g_02084	Praw.g_01648
OG0000281	Syai.g_01719	Praw.g_01643
OG0000282	Syai.g_01263	Praw.g_01595
OG0000283	Syai.g_01554	Praw.g_01562
OG0000284	Syai.g_01548	Praw.g_01557
OG0000285	Syai.g_01522	Praw.g_01552
OG0000286	Syai.g_01504	Praw.g_01540
OG0000288	Syai.g_01435	Praw.g_01494
OG0000289	Syai.g_01421	Praw.g_01483
OG0000290	Syai.g_02010	Praw.g_01470
OG0000291	Syai.g_02008	Praw.g_01468
OG0000292	Syai.g_02926	Praw.g_01418
OG0000293	Syai.g_02155	Praw.g_00225
OG0000294	Syai.g_02154	Praw.g_00226
OG0000295	Syai.g_02117	Praw.g_00246
OG0000296	Syai.g_02115	Praw.g_00248
OG0000297	Syai.g_01754	Praw.g_00256
OG0000298	Syai.g_01755	Praw.g_00257
OG0000299	Syai.g_01783	Praw.g_00274
OG0000300	Syai.g_01790	Praw.g_00277
OG0000301	Syai.g_01791	Praw.g_00278
OG0000302	Syai.g_01793	Praw.g_00280
OG0000303	Syai.g_01802	Praw.g_00287
OG0000304	Syai.g_01826	Praw.g_00291
OG0000305	Syai.g_02005	Praw.g_01008
OG0000306	Syai.g_02090	Praw.g_01011
OG0000307	Syai.g_00619	Praw.g_01025
OG0000308	Syai.g_00617	Praw.g_01026
OG0000309	Syai.g_00612	Praw.g_01030
OG0000310	Syai.g_00989	Praw.g_01098
OG0000311	Syai.g_00985	Praw.g_01096
OG0000312	Syai.g_00966	Praw.g_01093
OG0000313	Syai.g_00949	Praw.g_01076
OG0000314	Syai.g_00908	Praw.g_00363
OG0000315	Syai.g_00897	Praw.g_00374
OG0000316	Syai.g_02320, Syai.g_02322	Praw.g_00394
OG0000317	Syai.g_02373	Praw.g_00513
OG0000318	Syai.g_02379	Praw.g_00516
OG0000319	Syai.g_02395	Praw.g_00529
OG0000320	Syai.g_02397	Praw.g_00531
OG0000321	Syai.g_02398	Praw.g_00532
OG0000322	Syai.g_02399	Praw.g_00533
OG0000323	Syai.g_02413	Praw.g_00542
OG0000324	Syai.g_02272	Praw.g_00569
OG0000325	Syai.g_00320	Praw.g_01916
OG0000326	Syai.g_00327	Praw.g_01910
OG0000327	Syai.g_00359	Praw.g_00137
OG0000328	Syai.g_00360	Praw.g_00136
OG0000329	Syai.g_00378	Praw.g_00119
OG0000330	Syai.g_00379	Praw.g_00118
OG0000331	Syai.g_00380	Praw.g_00117
OG0000332	Syai.g_00395	Praw.g_00103
OG0000333	Syai.g_00398	Praw.g_00101
OG0000334	Syai.g_00407	Praw.g_00093
OG0000335	Syai.g_00412	Praw.g_00088
OG0000336	Syai.g_00416	Praw.g_00084
OG0000337	Syai.g_00169	Praw.g_00068
OG0000338	Syai.g_00166	Praw.g_00067
OG0000339	Syai.g_00160	Praw.g_00063
OG0000340	Syai.g_00133	Praw.g_00055
OG0000341	Syai.g_00131	Praw.g_00053
OG0000342	Syai.g_00130	Praw.g_00052
OG0000343	Syai.g_00129	Praw.g_00051
OG0000344	Syai.g_00125	Praw.g_00048
OG0000345	Syai.g_00115	Praw.g_00043
OG0000346	Syai.g_00110	Praw.g_00038
OG0000347	Syai.g_00087	Praw.g_00022
OG0000348	Syai.g_00076	Praw.g_00013
OG0000349	Syai.g_00057	Praw.g_01189
OG0000350	Syai.g_00334	Praw.g_01170
OG0000351	Syai.g_02904	Praw.g_01153
OG0000352	Syai.g_02905	Praw.g_01152
OG0000353	Syai.g_02932	Praw.g_01137
OG0000354	Syai.g_00019	Praw.g_00910
OG0000355	Syai.g_00001	Praw.g_01135
OG0000356	Syai.g_00002	Praw.g_01134
OG0000357	Syai.g_00003	Praw.g_01133
OG0000358	Syai.g_00007	Praw.g_01129
OG0000359	Syai.g_00009	Praw.g_01128
OG0000360	Syai.g_00010	Praw.g_01127
OG0000361	Syai.g_00011	Praw.g_01126
OG0000362	Syai.g_00013	Praw.g_01124
OG0000363	Syai.g_00015	Praw.g_01414
OG0000364	Syai.g_00016	Praw.g_01413
