Orthogroup	Syap	Prbk
OG0000160	Syap.g_02470, Syap.g_02469	Prbk.g_00260
OG0000161	Syap.g_02476	Prbk.g_00274
OG0000162	Syap.g_02531	Prbk.g_00280
OG0000164	Syap.g_01391, Syap.g_01392	Prbk.g_01432
OG0000165	Syap.g_01381, Syap.g_01382	Prbk.g_01423
OG0000166	Syap.g_00512, Syap.g_01238	Prbk.g_00982
OG0000167	Syap.g_02080	Prbk.g_00512
OG0000168	Syap.g_01076	Prbk.g_00527
OG0000169	Syap.g_01049, Syap.g_01093	Prbk.g_00220
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbk.g_00232
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbk.g_01538
OG0000172	Syap.g_01143, Syap.g_00635	Prbk.g_01573
OG0000173	Syap.g_00982, Syap.g_00983	Prbk.g_01594
OG0000174	Syap.g_02092	Prbk.g_02211
OG0000175	Syap.g_02654	Prbk.g_02249
OG0000176	Syap.g_00059	Prbk.g_02282
OG0000177	Syap.g_00061, Syap.g_00060	Prbk.g_02283
OG0000178	Syap.g_00062	Prbk.g_02284
OG0000179	Syap.g_00077, Syap.g_02638	Prbk.g_01633
OG0000180	Syap.g_00078, Syap.g_02640	Prbk.g_01632
OG0000181	Syap.g_00079, Syap.g_02641	Prbk.g_01631
OG0000182	Syap.g_00080, Syap.g_02642	Prbk.g_01630
OG0000183	Syap.g_00084	Prbk.g_01626
OG0000184	Syap.g_01337	Prbk.g_02148
OG0000185	Syap.g_01322	Prbk.g_02126
OG0000186	Syap.g_01684	Prbk.g_01326
OG0000187	Syap.g_01686	Prbk.g_01324
OG0000188	Syap.g_02547	Prbk.g_01303
OG0000191	Syap.g_02233	Prbk.g_00197
OG0000192	Syap.g_02224	Prbk.g_00206
OG0000193	Syap.g_02187, Syap.g_02188	Prbk.g_00752
OG0000194	Syap.g_02183	Prbk.g_00755
OG0000196	Syap.g_01208, Syap.g_02167	Prbk.g_00768
OG0000197	Syap.g_01207, Syap.g_02166	Prbk.g_00769
OG0000198	Syap.g_01206	Prbk.g_00770
OG0000199	Syap.g_01197	Prbk.g_00777
OG0000200	Syap.g_01181	Prbk.g_01280
OG0000201	Syap.g_02265	Prbk.g_01261
OG0000202	Syap.g_02264	Prbk.g_01260
OG0000203	Syap.g_01601	Prbk.g_01259
OG0000204	Syap.g_01602	Prbk.g_01258
OG0000205	Syap.g_01616	Prbk.g_01251
OG0000206	Syap.g_01628	Prbk.g_00632
OG0000207	Syap.g_01426, Syap.g_00424	Prbk.g_00686
OG0000208	Syap.g_00426, Syap.g_01425	Prbk.g_00685
OG0000209	Syap.g_01906	Prbk.g_00658
OG0000210	Syap.g_01905	Prbk.g_00657
OG0000211	Syap.g_01160	Prbk.g_01368
OG0000212	Syap.g_02664	Prbk.g_01514
OG0000213	Syap.g_00107, Syap.g_01599	Prbk.g_00374
OG0000214	Syap.g_02344, Syap.g_02345	Prbk.g_00401
OG0000215	Syap.g_01347, Syap.g_01629	Prbk.g_00431
OG0000216	Syap.g_01634	Prbk.g_00434
OG0000217	Syap.g_01638	Prbk.g_00438
OG0000218	Syap.g_01641, Syap.g_01640	Prbk.g_00442
OG0000219	Syap.g_01642, Syap.g_01643	Prbk.g_00443
OG0000220	Syap.g_01645	Prbk.g_00444
OG0000221	Syap.g_01646	Prbk.g_00449
OG0000222	Syap.g_01669	Prbk.g_00458
OG0000223	Syap.g_02072, Syap.g_02073	Prbk.g_00481
OG0000224	Syap.g_02064	Prbk.g_00492
OG0000225	Syap.g_00553, Syap.g_00552	Prbk.g_00889
OG0000226	Syap.g_02029, Syap.g_02144	Prbk.g_00893
