Orthogroup	Syap	Prbb
OG0000194	Syap.g_02183	Prbb.g_00206
OG0000195	Syap.g_02180	Prbb.g_00208
OG0000196	Syap.g_01208, Syap.g_02167	Prbb.g_00218
OG0000197	Syap.g_01207, Syap.g_02166	Prbb.g_00219
OG0000198	Syap.g_01206	Prbb.g_00220
OG0000199	Syap.g_01197	Prbb.g_00227
OG0000200	Syap.g_01181	Prbb.g_00240
OG0000201	Syap.g_02265	Prbb.g_00249
OG0000202	Syap.g_02264	Prbb.g_00250
OG0000203	Syap.g_01601	Prbb.g_00251
OG0000204	Syap.g_01602	Prbb.g_00252
OG0000205	Syap.g_01616	Prbb.g_00259
OG0000206	Syap.g_01628	Prbb.g_00263
OG0000207	Syap.g_01426, Syap.g_00424	Prbb.g_00265
OG0000208	Syap.g_00426, Syap.g_01425	Prbb.g_00266
OG0000209	Syap.g_01906	Prbb.g_00275
OG0000210	Syap.g_01905	Prbb.g_00276
OG0000211	Syap.g_01160	Prbb.g_00290
OG0000212	Syap.g_02664	Prbb.g_00298
OG0000213	Syap.g_00107, Syap.g_01599	Prbb.g_00313
OG0000214	Syap.g_02344, Syap.g_02345	Prbb.g_00321
OG0000215	Syap.g_01347, Syap.g_01629	Prbb.g_00344
OG0000216	Syap.g_01634	Prbb.g_00345
OG0000217	Syap.g_01638	Prbb.g_00348
OG0000218	Syap.g_01641, Syap.g_01640	Prbb.g_00350
OG0000219	Syap.g_01642, Syap.g_01643	Prbb.g_00351
OG0000220	Syap.g_01645	Prbb.g_00352
OG0000221	Syap.g_01646	Prbb.g_00353
OG0000222	Syap.g_01669	Prbb.g_00361
OG0000223	Syap.g_02072, Syap.g_02073	Prbb.g_00374
OG0000224	Syap.g_02064	Prbb.g_00376
OG0000225	Syap.g_00553, Syap.g_00552	Prbb.g_00405
OG0000226	Syap.g_02029, Syap.g_02144	Prbb.g_00409
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbb.g_00411
OG0000228	Syap.g_00116, Syap.g_02041	Prbb.g_00415
OG0000229	Syap.g_02059	Prbb.g_00441
OG0000230	Syap.g_02061	Prbb.g_00443
OG0000231	Syap.g_02533	Prbb.g_00454
OG0000232	Syap.g_02510, Syap.g_02511	Prbb.g_00462
OG0000233	Syap.g_02133	Prbb.g_00470
OG0000234	Syap.g_02755	Prbb.g_00479
OG0000235	Syap.g_00732, Syap.g_02258	Prbb.g_00483
OG0000236	Syap.g_02238	Prbb.g_00497
OG0000237	Syap.g_00262, Syap.g_00263	Prbb.g_00510
OG0000238	Syap.g_00257, Syap.g_00258	Prbb.g_00516
OG0000239	Syap.g_02744	Prbb.g_00528
OG0000240	Syap.g_02742	Prbb.g_00529
OG0000241	Syap.g_00888	Prbb.g_00533
OG0000242	Syap.g_01455	Prbb.g_00535
