Orthogroup	Prbb	Syaa
OG0000149	Prbb.g_00832	Syaa.g_00826
OG0000150	Prbb.g_00840	Syaa.g_01688
OG0000151	Prbb.g_00943	Syaa.g_01107
OG0000152	Prbb.g_00991	Syaa.g_01357
OG0000153	Prbb.g_01009	Syaa.g_01324
OG0000154	Prbb.g_01040	Syaa.g_01298
OG0000155	Prbb.g_01495	Syaa.g_00804
OG0000156	Prbb.g_01575	Syaa.g_00751
OG0000157	Prbb.g_01576	Syaa.g_00750
OG0000158	Prbb.g_02044	Syaa.g_00148
OG0000160	Prbb.g_01687	Syaa.g_01776
OG0000161	Prbb.g_01693	Syaa.g_01782
OG0000162	Prbb.g_01699	Syaa.g_01788
OG0000163	Prbb.g_01735	Syaa.g_00624
OG0000164	Prbb.g_01845	Syaa.g_00507
OG0000165	Prbb.g_01853	Syaa.g_00681
OG0000166	Prbb.g_01964	Syaa.g_02289
OG0000167	Prbb.g_02034	Syaa.g_00160
OG0000168	Prbb.g_02045	Syaa.g_00145
OG0000169	Prbb.g_02055	Syaa.g_00134
OG0000170	Prbb.g_02057	Syaa.g_00128
OG0000171	Prbb.g_02078	Syaa.g_00093
OG0000172	Prbb.g_02101	Syaa.g_00079
OG0000173	Prbb.g_02116	Syaa.g_00060
OG0000174	Prbb.g_02147	Syaa.g_02651
OG0000175	Prbb.g_02165	Syaa.g_02726
OG0000176	Prbb.g_00004	Syaa.g_00004
OG0000177	Prbb.g_00005	Syaa.g_00005
OG0000178	Prbb.g_00007, Prbb.g_00006	Syaa.g_00006
OG0000179	Prbb.g_00017	Syaa.g_00023
OG0000180	Prbb.g_00018	Syaa.g_00024
OG0000181	Prbb.g_00019	Syaa.g_00025
OG0000182	Prbb.g_00020	Syaa.g_00026
OG0000183	Prbb.g_00024	Syaa.g_00030
OG0000184	Prbb.g_00061	Syaa.g_02578
OG0000185	Prbb.g_00064	Syaa.g_02575
OG0000186	Prbb.g_00119	Syaa.g_00359
OG0000187	Prbb.g_00120	Syaa.g_00358
OG0000188	Prbb.g_00137	Syaa.g_00334
OG0000189	Prbb.g_00151	Syaa.g_02367
OG0000190	Prbb.g_00152	Syaa.g_02369
OG0000191	Prbb.g_00175	Syaa.g_02404
OG0000192	Prbb.g_00179	Syaa.g_02410
OG0000193	Prbb.g_00203	Syaa.g_02449
OG0000194	Prbb.g_00206	Syaa.g_02452
OG0000195	Prbb.g_00208	Syaa.g_02459
OG0000196	Prbb.g_00218	Syaa.g_02469
OG0000197	Prbb.g_00219	Syaa.g_02470
OG0000198	Prbb.g_00220	Syaa.g_02471
OG0000199	Prbb.g_00227	Syaa.g_02479
