Orthogroup	Prbb	Praq
OG0000187	Prbb.g_00120	Praq.g_01938
OG0000188	Prbb.g_00137	Praq.g_01921
OG0000189	Prbb.g_00151	Praq.g_01907
OG0000190	Prbb.g_00152	Praq.g_01906
OG0000191	Prbb.g_00175	Praq.g_01886
OG0000192	Prbb.g_00179	Praq.g_01882
OG0000193	Prbb.g_00203	Praq.g_01856
OG0000194	Prbb.g_00206	Praq.g_01853
OG0000195	Prbb.g_00208	Praq.g_01851
OG0000196	Prbb.g_00218	Praq.g_01841
OG0000197	Prbb.g_00219	Praq.g_01840
OG0000198	Prbb.g_00220	Praq.g_01839
OG0000199	Prbb.g_00227	Praq.g_01832
OG0000200	Prbb.g_00240	Praq.g_01818
OG0000201	Prbb.g_00249	Praq.g_01810
OG0000202	Prbb.g_00250	Praq.g_01809
OG0000203	Prbb.g_00251	Praq.g_01808
OG0000204	Prbb.g_00252	Praq.g_01807
OG0000205	Prbb.g_00259	Praq.g_01800
OG0000206	Prbb.g_00263	Praq.g_01795
OG0000207	Prbb.g_00265	Praq.g_01793
OG0000208	Prbb.g_00266	Praq.g_01792
OG0000209	Prbb.g_00275	Praq.g_01783
OG0000210	Prbb.g_00276	Praq.g_01782
OG0000211	Prbb.g_00290	Praq.g_01769
OG0000212	Prbb.g_00298	Praq.g_01762
OG0000213	Prbb.g_00313	Praq.g_01746
OG0000214	Prbb.g_00321	Praq.g_01736
OG0000215	Prbb.g_00344	Praq.g_01710
OG0000216	Prbb.g_00345	Praq.g_01708
OG0000217	Prbb.g_00348	Praq.g_01705
OG0000218	Prbb.g_00350	Praq.g_01703
OG0000219	Prbb.g_00351	Praq.g_01702
OG0000220	Prbb.g_00352	Praq.g_01701
OG0000221	Prbb.g_00353	Praq.g_01700
OG0000222	Prbb.g_00361	Praq.g_01692
OG0000223	Prbb.g_00374	Praq.g_01679
OG0000224	Prbb.g_00376	Praq.g_01677
OG0000225	Prbb.g_00405	Praq.g_01199
OG0000226	Prbb.g_00409	Praq.g_01195
OG0000227	Prbb.g_00411	Praq.g_01193
OG0000228	Prbb.g_00415	Praq.g_01189
OG0000229	Prbb.g_00441	Praq.g_01121
OG0000230	Prbb.g_00443	Praq.g_01119
OG0000231	Prbb.g_00454	Praq.g_01108
OG0000232	Prbb.g_00462	Praq.g_00507
OG0000233	Prbb.g_00470	Praq.g_00513
OG0000234	Prbb.g_00479	Praq.g_00527
OG0000235	Prbb.g_00483	Praq.g_00530
OG0000236	Prbb.g_00497	Praq.g_00544
OG0000237	Prbb.g_00510	Praq.g_01096
OG0000238	Prbb.g_00516	Praq.g_01090
OG0000239	Prbb.g_00528	Praq.g_01077
OG0000240	Prbb.g_00529	Praq.g_01076
OG0000241	Prbb.g_00533	Praq.g_01072
OG0000242	Prbb.g_00535	Praq.g_01070
OG0000243	Prbb.g_00546	Praq.g_01059
OG0000244	Prbb.g_00550	Praq.g_01056
OG0000245	Prbb.g_00552	Praq.g_01054
OG0000246	Prbb.g_00556	Praq.g_01050
OG0000247	Prbb.g_00566	Praq.g_01040
OG0000248	Prbb.g_00568	Praq.g_01038
OG0000249	Prbb.g_00570	Praq.g_01036
OG0000250	Prbb.g_00575	Praq.g_01031
OG0000251	Prbb.g_00591	Praq.g_01012
OG0000252	Prbb.g_00593	Praq.g_01008
OG0000253	Prbb.g_00595	Praq.g_01007
OG0000254	Prbb.g_00612	Praq.g_00991
OG0000255	Prbb.g_00618	Praq.g_00985
OG0000256	Prbb.g_00628	Praq.g_00975
OG0000257	Prbb.g_00631	Praq.g_00972
OG0000258	Prbb.g_00644	Praq.g_00959
OG0000259	Prbb.g_00661	Praq.g_00789
OG0000260	Prbb.g_00665	Praq.g_00792
OG0000261	Prbb.g_00668	Praq.g_00794
OG0000262	Prbb.g_00673	Praq.g_00798
OG0000263	Prbb.g_00686	Praq.g_00810
OG0000264	Prbb.g_00697, Prbb.g_00698	Praq.g_00820
OG0000265	Prbb.g_00713	Praq.g_00583
OG0000266	Prbb.g_00723	Praq.g_00593
OG0000267	Prbb.g_00736	Praq.g_00604
OG0000268	Prbb.g_00737	Praq.g_00605
OG0000269	Prbb.g_00778	Praq.g_00665
OG0000270	Prbb.g_00781	Praq.g_00668
OG0000271	Prbb.g_00789	Praq.g_00676
OG0000272	Prbb.g_00790	Praq.g_00677
OG0000273	Prbb.g_00814	Praq.g_01428
OG0000274	Prbb.g_00815	Praq.g_01429
OG0000275	Prbb.g_00817	Praq.g_01431
OG0000276	Prbb.g_00823	Praq.g_01436
OG0000277	Prbb.g_00824	Praq.g_01437
OG0000278	Prbb.g_00828	Praq.g_01440
OG0000279	Prbb.g_00835	Praq.g_01447
OG0000280	Prbb.g_01370	Praq.g_01448
OG0000281	Prbb.g_00841	Praq.g_01454
OG0000282	Prbb.g_00934	Praq.g_01492
OG0000283	Prbb.g_00965	Praq.g_01525
OG0000284	Prbb.g_00970	Praq.g_01530
OG0000285	Prbb.g_00975	Praq.g_01535
OG0000286	Prbb.g_00990	Praq.g_01547
OG0000287	Prbb.g_00101	Praq.g_01564
OG0000288	Prbb.g_01039	Praq.g_01592
OG0000289	Prbb.g_01051	Praq.g_01603
OG0000290	Prbb.g_01067	Praq.g_01616
OG0000291	Prbb.g_01069	Praq.g_01618
OG0000292	Prbb.g_01238	Praq.g_01667
OG0000293	Prbb.g_01527	Praq.g_01324
OG0000294	Prbb.g_01526	Praq.g_01325
OG0000295	Prbb.g_01502	Praq.g_01345
OG0000296	Prbb.g_01500	Praq.g_01347
OG0000297	Prbb.g_01491	Praq.g_01355
OG0000298	Prbb.g_01490	Praq.g_01356
OG0000299	Prbb.g_01471	Praq.g_01373
OG0000300	Prbb.g_01468	Praq.g_01376
OG0000301	Prbb.g_01467	Praq.g_01377
OG0000302	Prbb.g_01464	Praq.g_01379
OG0000303	Prbb.g_01459	Praq.g_01386
OG0000304	Prbb.g_01456	Praq.g_01390
OG0000305	Prbb.g_01789	Praq.g_00167
OG0000306	Prbb.g_00845	Praq.g_00170
OG0000307	Prbb.g_01648	Praq.g_00186
OG0000308	Prbb.g_01649	Praq.g_00187
OG0000309	Prbb.g_01653	Praq.g_00191
OG0000310	Prbb.g_01671	Praq.g_00279
OG0000311	Prbb.g_01673	Praq.g_00281
OG0000312	Prbb.g_01676	Praq.g_00284
OG0000313	Prbb.g_01690	Praq.g_00298
OG0000314	Prbb.g_01711	Praq.g_00321
OG0000315	Prbb.g_01721	Praq.g_00331
OG0000316	Prbb.g_01746	Praq.g_00351
OG0000317	Prbb.g_01821	Praq.g_01954, Praq.g_00499
OG0000318	Prbb.g_01824	Praq.g_00496
OG0000319	Prbb.g_01835	Praq.g_00483
OG0000320	Prbb.g_01837	Praq.g_00481
OG0000321	Prbb.g_01838	Praq.g_00480
OG0000322	Prbb.g_01839	Praq.g_00479
OG0000323	Prbb.g_01848	Praq.g_00470
OG0000324	Prbb.g_01875	Praq.g_00444
