Orthogroup	Prau	Prad
OG0000170	Prau.g_01921	Prad.g_01635
OG0000171	Prau.g_01940	Prad.g_01617
OG0000172	Prau.g_01949	Prad.g_01609
OG0000173	Prau.g_01964	Prad.g_01594
OG0000174	Prau.g_01991	Prad.g_01566
OG0000175	Prau.g_02001	Prad.g_01556
OG0000176	Prau.g_00004	Prad.g_01532
OG0000177	Prau.g_00005	Prad.g_01531
OG0000178	Prau.g_00006	Prad.g_01530
OG0000179	Prau.g_00016	Prad.g_01970
OG0000180	Prau.g_00017	Prad.g_01969
OG0000181	Prau.g_00018	Prad.g_01968
OG0000182	Prau.g_00019	Prad.g_01967
OG0000183	Prau.g_00023	Prad.g_01963
OG0000184	Prau.g_00054	Prad.g_01940
OG0000185	Prau.g_00057	Prad.g_01937
OG0000186	Prau.g_00066	Prad.g_01929
OG0000187	Prau.g_00067	Prad.g_01928
OG0000188	Prau.g_00083	Prad.g_01911
OG0000189	Prau.g_00097	Prad.g_01897
OG0000190	Prau.g_00098	Prad.g_01896
OG0000191	Prau.g_00118	Prad.g_01876
OG0000192	Prau.g_00122	Prad.g_01872
OG0000193	Prau.g_00147	Prad.g_01845
OG0000194	Prau.g_00150	Prad.g_01842
OG0000195	Prau.g_00152	Prad.g_01840
OG0000196	Prau.g_00162	Prad.g_01830
OG0000197	Prau.g_00163	Prad.g_01829
OG0000198	Prau.g_00164	Prad.g_01828
OG0000199	Prau.g_00171	Prad.g_01821
OG0000200	Prau.g_00185	Prad.g_01807
OG0000201	Prau.g_00193	Prad.g_01799
OG0000202	Prau.g_00194	Prad.g_01798
OG0000203	Prau.g_00195	Prad.g_01797
OG0000204	Prau.g_00196	Prad.g_01796
OG0000205	Prau.g_00203	Prad.g_01789
OG0000206	Prau.g_00208	Prad.g_01784
OG0000207	Prau.g_00210	Prad.g_01782
OG0000208	Prau.g_00211	Prad.g_01781
OG0000209	Prau.g_00220	Prad.g_01772
OG0000210	Prau.g_00221	Prad.g_01771
OG0000211	Prau.g_00234	Prad.g_01758
OG0000212	Prau.g_00241	Prad.g_01751
