Orthogroup	Prbn	Syaf
OG0000109	Prbn.g_00620	Syaf.g_02706
OG0000110	Prbn.g_00541	Syaf.g_02589
OG0000111	Prbn.g_01561	Syaf.g_01451
OG0000112	Prbn.g_00468	Syaf.g_01852
OG0000113	Prbn.g_01523	Syaf.g_02022
OG0000114	Prbn.g_01621	Syaf.g_02103
OG0000115	Prbn.g_01120	Syaf.g_02445
OG0000116	Prbn.g_01178	Syaf.g_01276
OG0000117	Prbn.g_00389	Syaf.g_01605
OG0000118	Prbn.g_01071	Syaf.g_02544
OG0000120	Prbn.g_00170	Syaf.g_00313
OG0000121	Prbn.g_00214	Syaf.g_02419
OG0000123	Prbn.g_01888	Syaf.g_00086
OG0000124	Prbn.g_00979	Syaf.g_00414
OG0000125	Prbn.g_00944	Syaf.g_00640
OG0000126	Prbn.g_00295	Syaf.g_00504
OG0000128	Prbn.g_00002, Prbn.g_00003	Syaf.g_00486
OG0000129	Prbn.g_00737	Syaf.g_00651
OG0000130	Prbn.g_00708	Syaf.g_00963
OG0000131	Prbn.g_01269	Syaf.g_00833
OG0000132	Prbn.g_01249	Syaf.g_00813
OG0000133	Prbn.g_00088	Syaf.g_01857
OG0000134	Prbn.g_00694	Syaf.g_02804
OG0000135	Prbn.g_01102	Syaf.g_00605
OG0000136	Prbn.g_00672	Syaf.g_01224
OG0000137	Prbn.g_00639	Syaf.g_02498
OG0000138	Prbn.g_00619	Syaf.g_02705
OG0000139	Prbn.g_00579	Syaf.g_02648
OG0000140	Prbn.g_00578	Syaf.g_02646
OG0000141	Prbn.g_00507	Syaf.g_02375
OG0000142	Prbn.g_00426	Syaf.g_02310
OG0000143	Prbn.g_00430	Syaf.g_02306
OG0000144	Prbn.g_00444	Syaf.g_01735
OG0000145	Prbn.g_01100	Syaf.g_02699
OG0000146	Prbn.g_00469	Syaf.g_01851
OG0000147	Prbn.g_00470	Syaf.g_01850
OG0000148	Prbn.g_01529	Syaf.g_02028
OG0000149	Prbn.g_01497	Syaf.g_01371
OG0000150	Prbn.g_01487	Syaf.g_02645
OG0000151	Prbn.g_01611	Syaf.g_02091
OG0000152	Prbn.g_01418	Syaf.g_01861
OG0000153	Prbn.g_01399	Syaf.g_01904
OG0000154	Prbn.g_01379	Syaf.g_01930
OG0000155	Prbn.g_01210	Syaf.g_01324
OG0000156	Prbn.g_01095	Syaf.g_01270
OG0000157	Prbn.g_01094	Syaf.g_01269
OG0000158	Prbn.g_01014	Syaf.g_00364
OG0000159	Prbn.g_00717	Syaf.g_00311
OG0000160	Prbn.g_00213	Syaf.g_02418
OG0000161	Prbn.g_00219	Syaf.g_02424
OG0000162	Prbn.g_00225	Syaf.g_02431
OG0000163	Prbn.g_00264	Syaf.g_01105
OG0000164	Prbn.g_01770	Syaf.g_00999
OG0000165	Prbn.g_01777	Syaf.g_01197
OG0000166	Prbn.g_01844	Syaf.g_00133
OG0000167	Prbn.g_01915	Syaf.g_00350
OG0000168	Prbn.g_01013	Syaf.g_00365
OG0000169	Prbn.g_01003	Syaf.g_00376
OG0000170	Prbn.g_01000	Syaf.g_00383
OG0000171	Prbn.g_00980	Syaf.g_00413
OG0000172	Prbn.g_00973	Syaf.g_00419
OG0000173	Prbn.g_00958	Syaf.g_00438
OG0000174	Prbn.g_00929	Syaf.g_00603
OG0000175	Prbn.g_00916	Syaf.g_00531
OG0000176	Prbn.g_00010	Syaf.g_00494
OG0000177	Prbn.g_00009	Syaf.g_00493
OG0000178	Prbn.g_00008	Syaf.g_00492
OG0000179	Prbn.g_00766	Syaf.g_00477
OG0000180	Prbn.g_00765	Syaf.g_00476
OG0000181	Prbn.g_00764	Syaf.g_00475
OG0000182	Prbn.g_00763	Syaf.g_00474
OG0000183	Prbn.g_00759	Syaf.g_00470
OG0000184	Prbn.g_00733	Syaf.g_00664
OG0000185	Prbn.g_00730	Syaf.g_00684
OG0000186	Prbn.g_00714	Syaf.g_00968
OG0000187	Prbn.g_00713	Syaf.g_00966
OG0000188	Prbn.g_01339	Syaf.g_00944
OG0000189	Prbn.g_01325	Syaf.g_00916
OG0000190	Prbn.g_01323	Syaf.g_00914
OG0000191	Prbn.g_01300	Syaf.g_00877
OG0000192	Prbn.g_01295	Syaf.g_00871
OG0000193	Prbn.g_01268	Syaf.g_00832
OG0000194	Prbn.g_01265	Syaf.g_00829
OG0000195	Prbn.g_01263	Syaf.g_00827
OG0000196	Prbn.g_01252	Syaf.g_00816
OG0000197	Prbn.g_01251	Syaf.g_00815
OG0000198	Prbn.g_01250	Syaf.g_00814
OG0000199	Prbn.g_01243, Prbn.g_00384	Syaf.g_00806
OG0000200	Prbn.g_00370	Syaf.g_00789
OG0000201	Prbn.g_00361	Syaf.g_00771
OG0000202	Prbn.g_00360	Syaf.g_00770
OG0000203	Prbn.g_00359	Syaf.g_00769
OG0000204	Prbn.g_00358	Syaf.g_00768
OG0000205	Prbn.g_00351	Syaf.g_00761
OG0000206	Prbn.g_00346	Syaf.g_00736
OG0000207	Prbn.g_00343	Syaf.g_00735
OG0000208	Prbn.g_00342	Syaf.g_00734
OG0000209	Prbn.g_00333	Syaf.g_00714
OG0000210	Prbn.g_00332	Syaf.g_00713
OG0000211	Prbn.g_00317	Syaf.g_02791
OG0000212	Prbn.g_00309	Syaf.g_02781
