Orthogroup	Praa	Prbj
OG0000108	Praa.g_00480	Prbj.g_01630
OG0000109	Praa.g_00494	Prbj.g_01614
OG0000110	Praa.g_00575	Prbj.g_01801
OG0000111	Praa.g_00699	Prbj.g_00759
OG0000112	Praa.g_00766	Prbj.g_02276
OG0000113	Praa.g_00826	Prbj.g_02437
OG0000114	Praa.g_00907	Prbj.g_02340
OG0000115	Praa.g_01101	Prbj.g_00634
OG0000116	Praa.g_01150	Prbj.g_00956
OG0000117	Praa.g_01255	Prbj.g_01915
OG0000118	Praa.g_01330	Prbj.g_01742
OG0000119	Praa.g_01362	Prbj.g_00740, Prbj.g_00778
OG0000120	Praa.g_01387	Prbj.g_01465
OG0000121	Praa.g_01478	Prbj.g_01064, Prbj.g_01058
OG0000122	Praa.g_01516	Prbj.g_02627
OG0000123	Praa.g_01782	Prbj.g_00406
OG0000124	Praa.g_01848	Prbj.g_01281
OG0000125	Praa.g_01885	Prbj.g_01963
OG0000126	Praa.g_01923	Prbj.g_02067
OG0000128	Praa.g_00011	Prbj.g_02085
OG0000129	Praa.g_00044	Prbj.g_01951
OG0000130	Praa.g_00069	Prbj.g_00564
OG0000131	Praa.g_00145	Prbj.g_00543
OG0000132	Praa.g_00164	Prbj.g_00523
OG0000133	Praa.g_00322	Prbj.g_01460
OG0000134	Praa.g_00356	Prbj.g_00067
OG0000135	Praa.g_00381	Prbj.g_02004
OG0000136	Praa.g_00440	Prbj.g_00105
OG0000137	Praa.g_01414, Praa.g_00475	Prbj.g_00128
OG0000138	Praa.g_00495	Prbj.g_01613
OG0000139	Praa.g_00537	Prbj.g_02133
OG0000140	Praa.g_00538	Prbj.g_02139
OG0000141	Praa.g_00607	Prbj.g_01757
OG0000142	Praa.g_00635	Prbj.g_02573
OG0000143	Praa.g_00639	Prbj.g_02577
OG0000144	Praa.g_00652	Prbj.g_00793
OG0000145	Praa.g_00764	Prbj.g_01607
OG0000146	Praa.g_00767	Prbj.g_02277
OG0000147	Praa.g_00768	Prbj.g_02278
OG0000148	Praa.g_00820	Prbj.g_02431
OG0000149	Praa.g_00851	Prbj.g_02488
OG0000150	Praa.g_00859	Prbj.g_02511
OG0000151	Praa.g_00917	Prbj.g_02361
OG0000152	Praa.g_00964	Prbj.g_02268
OG0000153	Praa.g_00983	Prbj.g_02241
OG0000154	Praa.g_01013	Prbj.g_02213
OG0000155	Praa.g_01179	Prbj.g_00312
OG0000156	Praa.g_01307	Prbj.g_00163
OG0000157	Praa.g_01308	Prbj.g_00162
OG0000158	Praa.g_01395	Prbj.g_01514
OG0000160	Praa.g_01477	Prbj.g_01057
OG0000161	Praa.g_01483	Prbj.g_01071
OG0000162	Praa.g_01489	Prbj.g_01077
OG0000163	Praa.g_01523	Prbj.g_01688
OG0000164	Praa.g_01659	Prbj.g_00476
OG0000165	Praa.g_01667	Prbj.g_00467
OG0000166	Praa.g_01739	Prbj.g_01019
OG0000167	Praa.g_01806	Prbj.g_01500
OG0000168	Praa.g_01816	Prbj.g_01515
OG0000169	Praa.g_01826	Prbj.g_01581
OG0000170	Praa.g_01828	Prbj.g_01593
OG0000171	Praa.g_01847	Prbj.g_01282
OG0000172	Praa.g_01856	Prbj.g_01248
OG0000173	Praa.g_01871	Prbj.g_01227
OG0000174	Praa.g_01898	Prbj.g_02006
OG0000175	Praa.g_01908	Prbj.g_02044
OG0000176	Praa.g_00004	Prbj.g_02077
OG0000177	Praa.g_00005	Prbj.g_02078
