Orthogroup	Prav	Syar
OG0000223	Prav.g_01969	Syar.g_00649
OG0000224	Prav.g_01971	Syar.g_00273
OG0000225	Prav.g_01992	Syar.g_01142
OG0000226	Prav.g_01996	Syar.g_01146
OG0000227	Prav.g_01998	Syar.g_01148
OG0000228	Prav.g_00974	Syar.g_01161
OG0000229	Prav.g_01035	Syar.g_01177, Syar.g_03273
OG0000230	Prav.g_01037	Syar.g_01179
OG0000231	Prav.g_01048	Syar.g_02865, Syar.g_03151
OG0000232	Prav.g_01056	Syar.g_01424
OG0000233	Prav.g_01061	Syar.g_03183, Syar.g_01247
OG0000234	Prav.g_01074	Syar.g_01275
OG0000235	Prav.g_01077	Syar.g_01468
OG0000236	Prav.g_01091	Syar.g_01484, Syar.g_03311
OG0000237	Prav.g_01104	Syar.g_01503
OG0000238	Prav.g_01110	Syar.g_01508
OG0000239	Prav.g_01123	Syar.g_03277, Syar.g_02687
OG0000240	Prav.g_01124	Syar.g_02686, Syar.g_03278
OG0000241	Prav.g_01128	Syar.g_02410
OG0000242	Prav.g_01130	Syar.g_01926
OG0000243	Prav.g_00954, Prav.g_01141	Syar.g_02335
OG0000244	Prav.g_01144	Syar.g_02327
OG0000245	Prav.g_01146	Syar.g_02325, Syar.g_03238
OG0000246	Prav.g_01150	Syar.g_02321
OG0000247	Prav.g_01160	Syar.g_02310
OG0000248	Prav.g_01162	Syar.g_02307, Syar.g_03293
OG0000249	Prav.g_01164	Syar.g_02305
OG0000250	Prav.g_01169	Syar.g_02299
OG0000251	Prav.g_01187	Syar.g_03207, Syar.g_02194
OG0000252	Prav.g_01190	Syar.g_02189, Syar.g_03263
OG0000253	Prav.g_01191	Syar.g_02028
OG0000254	Prav.g_01207	Syar.g_02169
OG0000255	Prav.g_01213	Syar.g_02224, Syar.g_00011
OG0000256	Prav.g_01225	Syar.g_02244
OG0000257	Prav.g_01228	Syar.g_02407, Syar.g_01762
OG0000258	Prav.g_01241	Syar.g_00010, Syar.g_02427
OG0000259	Prav.g_01258	Syar.g_02472
OG0000260	Prav.g_01261	Syar.g_03220, Syar.g_02475
OG0000261	Prav.g_01263	Syar.g_01916
OG0000262	Prav.g_01267	Syar.g_01690
OG0000263	Prav.g_01279	Syar.g_01991
OG0000264	Prav.g_01289	Syar.g_02135, Syar.g_03267
OG0000266	Prav.g_00316	Syar.g_01570
OG0000267	Prav.g_00327	Syar.g_01873
OG0000268	Prav.g_00328	Syar.g_02589
