Orthogroup	Syah	Prbb
OG0000165	Syah.g_02251	Prbb.g_01853
OG0000166	Syah.g_00747	Prbb.g_01964
OG0000167	Syah.g_00183	Prbb.g_02034
OG0000168	Syah.g_00205	Prbb.g_02045
OG0000169	Syah.g_00237	Prbb.g_02055
OG0000170	Syah.g_00245	Prbb.g_02057
OG0000171	Syah.g_00271	Prbb.g_02078
OG0000172	Syah.g_00293	Prbb.g_02101
OG0000173	Syah.g_00313	Prbb.g_02116
OG0000174	Syah.g_00461	Prbb.g_02147
OG0000175	Syah.g_00402	Prbb.g_02165
OG0000176	Syah.g_00369	Prbb.g_00004
OG0000177	Syah.g_00368	Prbb.g_00005
OG0000178	Syah.g_00367	Prbb.g_00007, Prbb.g_00006
OG0000179	Syah.g_00355	Prbb.g_00017
OG0000180	Syah.g_00354	Prbb.g_00018
OG0000181	Syah.g_00353	Prbb.g_00019
OG0000182	Syah.g_00352	Prbb.g_00020
OG0000183	Syah.g_00348	Prbb.g_00024
OG0000184	Syah.g_00525	Prbb.g_00061
OG0000185	Syah.g_00528	Prbb.g_00064
OG0000186	Syah.g_02479	Prbb.g_00119
OG0000187	Syah.g_02480	Prbb.g_00120
OG0000188	Syah.g_02501	Prbb.g_00137
OG0000189	Syah.g_02526	Prbb.g_00151
OG0000190	Syah.g_02528	Prbb.g_00152
OG0000191	Syah.g_00008	Prbb.g_00175
OG0000192	Syah.g_00013	Prbb.g_00179
OG0000193	Syah.g_00053	Prbb.g_00203
OG0000194	Syah.g_00056	Prbb.g_00206
OG0000195	Syah.g_00058	Prbb.g_00208
OG0000196	Syah.g_00069	Prbb.g_00218
OG0000197	Syah.g_00070	Prbb.g_00219
OG0000198	Syah.g_00071	Prbb.g_00220
OG0000199	Syah.g_00079	Prbb.g_00227
OG0000200	Syah.g_00616	Prbb.g_00240
OG0000201	Syah.g_00601	Prbb.g_00249
OG0000202	Syah.g_00600	Prbb.g_00250
OG0000203	Syah.g_00599	Prbb.g_00251
OG0000204	Syah.g_00598	Prbb.g_00252
OG0000205	Syah.g_00591	Prbb.g_00259
OG0000206	Syah.g_00578	Prbb.g_00263
OG0000207	Syah.g_00575	Prbb.g_00265
OG0000208	Syah.g_00574	Prbb.g_00266
OG0000209	Syah.g_00544	Prbb.g_00275
OG0000210	Syah.g_00543	Prbb.g_00276
OG0000211	Syah.g_00904	Prbb.g_00290
OG0000212	Syah.g_00913	Prbb.g_00298
OG0000213	Syah.g_00657	Prbb.g_00313
OG0000214	Syah.g_00641	Prbb.g_00321
OG0000215	Syah.g_00101	Prbb.g_00344
OG0000216	Syah.g_00105	Prbb.g_00345
OG0000217	Syah.g_00109	Prbb.g_00348
OG0000218	Syah.g_00111	Prbb.g_00350
OG0000219	Syah.g_00112	Prbb.g_00351
OG0000220	Syah.g_00113	Prbb.g_00352
OG0000221	Syah.g_00120	Prbb.g_00353
OG0000222	Syah.g_00131	Prbb.g_00361
OG0000223	Syah.g_00153	Prbb.g_00374
OG0000224	Syah.g_00162	Prbb.g_00376
OG0000225	Syah.g_00874	Prbb.g_00405
OG0000226	Syah.g_00878	Prbb.g_00409
OG0000227	Syah.g_00880	Prbb.g_00411
OG0000228	Syah.g_00887	Prbb.g_00415
OG0000229	Syah.g_02236	Prbb.g_00441
OG0000230	Syah.g_02234	Prbb.g_00443
OG0000231	Syah.g_02218	Prbb.g_00454
OG0000232	Syah.g_01206	Prbb.g_00462
OG0000233	Syah.g_01210	Prbb.g_00470
OG0000234	Syah.g_01222	Prbb.g_00479
OG0000235	Syah.g_00996	Prbb.g_00483
OG0000236	Syah.g_01011	Prbb.g_00497
OG0000237	Syah.g_01028	Prbb.g_00510
OG0000238	Syah.g_01032	Prbb.g_00516
OG0000239	Syah.g_01048	Prbb.g_00528
OG0000240	Syah.g_01049	Prbb.g_00529
OG0000241	Syah.g_01944	Prbb.g_00533
OG0000242	Syah.g_01062	Prbb.g_00535
OG0000243	Syah.g_01079	Prbb.g_00546
OG0000244	Syah.g_01087	Prbb.g_00550
OG0000245	Syah.g_01090	Prbb.g_00552
OG0000246	Syah.g_01094	Prbb.g_00556
OG0000247	Syah.g_01106	Prbb.g_00566
OG0000248	Syah.g_01109	Prbb.g_00568
OG0000249	Syah.g_01111	Prbb.g_00570
OG0000250	Syah.g_01120	Prbb.g_00575
OG0000251	Syah.g_01145	Prbb.g_00591
OG0000252	Syah.g_01148	Prbb.g_00593
OG0000253	Syah.g_01149	Prbb.g_00595
OG0000254	Syah.g_01976	Prbb.g_00612
OG0000255	Syah.g_01968	Prbb.g_00618
OG0000256	Syah.g_01952	Prbb.g_00628
OG0000257	Syah.g_01945	Prbb.g_00631
OG0000258	Syah.g_01926	Prbb.g_00644
OG0000259	Syah.g_01494	Prbb.g_00661
OG0000260	Syah.g_01497	Prbb.g_00665
OG0000261	Syah.g_01500	Prbb.g_00668
OG0000262	Syah.g_01505	Prbb.g_00673
OG0000263	Syah.g_01410	Prbb.g_00686
OG0000264	Syah.g_02000	Prbb.g_00697, Prbb.g_00698
OG0000265	Syah.g_02252	Prbb.g_00713
OG0000266	Syah.g_01714	Prbb.g_00723
OG0000267	Syah.g_01574	Prbb.g_00736
OG0000268	Syah.g_01575	Prbb.g_00737
OG0000269	Syah.g_01784	Prbb.g_00778
OG0000270	Syah.g_01781	Prbb.g_00781
OG0000271	Syah.g_01773	Prbb.g_00789
OG0000272	Syah.g_01772	Prbb.g_00790
OG0000273	Syah.g_02075	Prbb.g_00814
OG0000274	Syah.g_02076	Prbb.g_00815
OG0000275	Syah.g_02081	Prbb.g_00817
OG0000276	Syah.g_02088	Prbb.g_00823
OG0000277	Syah.g_02089	Prbb.g_00824
OG0000278	Syah.g_02092	Prbb.g_00828
OG0000279	Syah.g_02100	Prbb.g_00835
OG0000280	Syah.g_02112	Prbb.g_01370
OG0000281	Syah.g_00722	Prbb.g_00841
OG0000282	Syah.g_01531	Prbb.g_00934
OG0000283	Syah.g_01585	Prbb.g_00965
OG0000284	Syah.g_01591	Prbb.g_00970
OG0000285	Syah.g_01603	Prbb.g_00975
OG0000286	Syah.g_01621	Prbb.g_00990
OG0000287	Syah.g_01649	Prbb.g_00101
OG0000288	Syah.g_01681	Prbb.g_01039
OG0000289	Syah.g_01695	Prbb.g_01051
OG0000290	Syah.g_02033	Prbb.g_01067
OG0000291	Syah.g_02031	Prbb.g_01069
OG0000292	Syah.g_00380	Prbb.g_01238
OG0000293	Syah.g_02173	Prbb.g_01527
OG0000294	Syah.g_02172	Prbb.g_01526
OG0000295	Syah.g_02131	Prbb.g_01502
OG0000296	Syah.g_02129	Prbb.g_01500
OG0000297	Syah.g_01427	Prbb.g_01491
OG0000298	Syah.g_01426	Prbb.g_01490
OG0000299	Syah.g_01404	Prbb.g_01471
OG0000300	Syah.g_01397	Prbb.g_01468
OG0000301	Syah.g_01396	Prbb.g_01467
OG0000302	Syah.g_01395	Prbb.g_01464
OG0000303	Syah.g_01387	Prbb.g_01459
OG0000304	Syah.g_01382	Prbb.g_01456
OG0000305	Syah.g_02028	Prbb.g_01789
OG0000306	Syah.g_02116	Prbb.g_00845
OG0000307	Syah.g_00978	Prbb.g_01648
OG0000308	Syah.g_00976	Prbb.g_01649
OG0000309	Syah.g_00971	Prbb.g_01653
OG0000310	Syah.g_01321	Prbb.g_01671
OG0000311	Syah.g_01317	Prbb.g_01673
OG0000312	Syah.g_01304	Prbb.g_01676
OG0000313	Syah.g_01285	Prbb.g_01690
OG0000314	Syah.g_01259	Prbb.g_01711
OG0000315	Syah.g_01248	Prbb.g_01721
OG0000316	Syah.g_02333	Prbb.g_01746
OG0000317	Syah.g_02380	Prbb.g_01821
OG0000318	Syah.g_02385	Prbb.g_01824
OG0000319	Syah.g_02405	Prbb.g_01835
OG0000320	Syah.g_02407	Prbb.g_01837
OG0000321	Syah.g_02408	Prbb.g_01838
OG0000322	Syah.g_02409	Prbb.g_01839
OG0000323	Syah.g_02425	Prbb.g_01848
OG0000324	Syah.g_02278	Prbb.g_01875
OG0000325	Syah.g_00689	Prbb.g_01924
OG0000326	Syah.g_00696	Prbb.g_01930
OG0000327	Syah.g_00742	Prbb.g_01959
OG0000328	Syah.g_00743	Prbb.g_01960
OG0000329	Syah.g_00760	Prbb.g_01977
OG0000330	Syah.g_00761	Prbb.g_01978
OG0000331	Syah.g_00762	Prbb.g_01979
OG0000332	Syah.g_00776	Prbb.g_01993
OG0000333	Syah.g_00779	Prbb.g_01995
OG0000334	Syah.g_00789	Prbb.g_02004
OG0000335	Syah.g_00794	Prbb.g_02009
OG0000336	Syah.g_00798	Prbb.g_02013
OG0000337	Syah.g_00178	Prbb.g_02031
OG0000338	Syah.g_00181	Prbb.g_02032
OG0000339	Syah.g_00188	Prbb.g_02037
OG0000340	Syah.g_00206	Prbb.g_02046
OG0000341	Syah.g_00208	Prbb.g_02048
OG0000342	Syah.g_00209	Prbb.g_02049
OG0000343	Syah.g_00231	Prbb.g_02050
OG0000344	Syah.g_00235	Prbb.g_02053
OG0000345	Syah.g_00246	Prbb.g_02058
OG0000346	Syah.g_00251	Prbb.g_02062
OG0000347	Syah.g_00275	Prbb.g_02082
OG0000348	Syah.g_00301	Prbb.g_02104
OG0000349	Syah.g_00320	Prbb.g_02122
OG0000350	Syah.g_00703	Prbb.g_02143
OG0000351	Syah.g_00399	Prbb.g_02168
OG0000352	Syah.g_00398	Prbb.g_02169
OG0000353	Syah.g_00374	Prbb.g_02188
OG0000355	Syah.g_00372	Prbb.g_00001
OG0000356	Syah.g_00371	Prbb.g_00002
OG0000357	Syah.g_00370	Prbb.g_00003
OG0000358	Syah.g_00366	Prbb.g_00008
OG0000359	Syah.g_00364	Prbb.g_00009
OG0000360	Syah.g_00363	Prbb.g_00010
OG0000361	Syah.g_00362	Prbb.g_00011
OG0000362	Syah.g_00360	Prbb.g_00013
OG0000363	Syah.g_00358	Prbb.g_00015
OG0000364	Syah.g_00357	Prbb.g_00016
OG0000365	Syah.g_00351	Prbb.g_00021
OG0000366	Syah.g_00350	Prbb.g_00022
OG0000367	Syah.g_00349	Prbb.g_00023
OG0000368	Syah.g_00347	Prbb.g_00025
OG0000369	Syah.g_00346	Prbb.g_00026
OG0000370	Syah.g_00345	Prbb.g_00027
OG0000371	Syah.g_00338	Prbb.g_00033
OG0000372	Syah.g_00333	Prbb.g_00035
OG0000373	Syah.g_00332	Prbb.g_00036
OG0000374	Syah.g_00331	Prbb.g_00037
OG0000375	Syah.g_00329	Prbb.g_00055
OG0000376	Syah.g_00327	Prbb.g_00057
OG0000377	Syah.g_00517	Prbb.g_00060
OG0000378	Syah.g_00526	Prbb.g_00062
OG0000379	Syah.g_00529	Prbb.g_00065
OG0000380	Syah.g_02481	Prbb.g_00121
OG0000381	Syah.g_02484	Prbb.g_00125
OG0000382	Syah.g_02500	Prbb.g_00136
OG0000383	Syah.g_02502	Prbb.g_00138
OG0000384	Syah.g_02503	Prbb.g_00139
OG0000385	Syah.g_02504	Prbb.g_00140
OG0000386	Syah.g_02505	Prbb.g_00141
OG0000387	Syah.g_02530	Prbb.g_00154
OG0000388	Syah.g_02533	Prbb.g_00158
OG0000389	Syah.g_02536	Prbb.g_00161
OG0000390	Syah.g_00002	Prbb.g_00170
