Orthogroup	Syag	Syam
OG0000346	Syag.g_02392	Syam.g_00114
OG0000347	Syag.g_02366	Syam.g_00083
OG0000348	Syag.g_02357	Syam.g_00068
OG0000349	Syag.g_02330	Syam.g_00050
OG0000350	Syag.g_02705	Syam.g_00303
OG0000351	Syag.g_02244	Syam.g_02420
OG0000352	Syag.g_02245	Syam.g_02421
OG0000353	Syag.g_02271	Syam.g_02445
OG0000354	Syag.g_01484	Syam.g_00626, Syam.g_00625
OG0000355	Syag.g_02273	Syam.g_00001
OG0000356	Syag.g_02274	Syam.g_00002
OG0000357	Syag.g_02275	Syam.g_00003
OG0000358	Syag.g_02279	Syam.g_00007
OG0000359	Syag.g_02281	Syam.g_00009
OG0000360	Syag.g_02282	Syam.g_00010
OG0000361	Syag.g_02283	Syam.g_00011
OG0000362	Syag.g_02285	Syam.g_00013
OG0000363	Syag.g_02287	Syam.g_00015
OG0000364	Syag.g_02288	Syam.g_00016
OG0000365	Syag.g_02297	Syam.g_00025
OG0000366	Syag.g_02298	Syam.g_00026
OG0000367	Syag.g_02299	Syam.g_00027
OG0000368	Syag.g_02301	Syam.g_00029
OG0000369	Syag.g_02302	Syam.g_00030
OG0000370	Syag.g_02303	Syam.g_00031
OG0000371	Syag.g_02312	Syam.g_00038
OG0000372	Syag.g_02317	Syam.g_00043
OG0000373	Syag.g_02318	Syam.g_00044
OG0000374	Syag.g_02319	Syam.g_00045
OG0000375	Syag.g_02326	Syam.g_00046
OG0000376	Syag.g_02328	Syam.g_00048
OG0000377	Syag.g_02119	Syam.g_02306
OG0000378	Syag.g_02099	Syam.g_02297
OG0000379	Syag.g_02091	Syam.g_02294
OG0000380	Syag.g_01817	Syam.g_02060
OG0000381	Syag.g_01820	Syam.g_02063
OG0000382	Syag.g_01838	Syam.g_02080
OG0000383	Syag.g_01843	Syam.g_02083
OG0000384	Syag.g_01844	Syam.g_02084
OG0000385	Syag.g_01845	Syam.g_02085
OG0000386	Syag.g_01846	Syam.g_02086
OG0000387	Syag.g_01876	Syam.g_02112
OG0000388	Syag.g_01880	Syam.g_02116
OG0000389	Syag.g_01884	Syam.g_02120
OG0000390	Syag.g_01903	Syam.g_02136
OG0000391	Syag.g_01908	Syam.g_02141
OG0000392	Syag.g_01914	Syam.g_02147
OG0000393	Syag.g_01917	Syam.g_02149
OG0000394	Syag.g_01918	Syam.g_02150
OG0000395	Syag.g_01919	Syam.g_02151
OG0000396	Syag.g_01922	Syam.g_02153
OG0000397	Syag.g_01924	Syam.g_02160
OG0000398	Syag.g_01929	Syam.g_02165
OG0000399	Syag.g_01930	Syam.g_02166
OG0000400	Syag.g_01931	Syam.g_02167
OG0000401	Syag.g_01932	Syam.g_02168
OG0000402	Syag.g_01934	Syam.g_02171
OG0000403	Syag.g_01935	Syam.g_02172
OG0000404	Syag.g_01937	Syam.g_02173
OG0000405	Syag.g_01949	Syam.g_02189
OG0000406	Syag.g_01953	Syam.g_02193
OG0000407	Syag.g_01954	Syam.g_02194
OG0000408	Syag.g_01956	Syam.g_02196
OG0000409	Syag.g_01958	Syam.g_02198
OG0000410	Syag.g_01959	Syam.g_02199
OG0000411	Syag.g_01960	Syam.g_02200
OG0000412	Syag.g_01961	Syam.g_02201
OG0000413	Syag.g_01963	Syam.g_02203
OG0000414	Syag.g_01964	Syam.g_02204
OG0000415	Syag.g_01965	Syam.g_02205
OG0000416	Syag.g_01966	Syam.g_02206
OG0000417	Syag.g_01967	Syam.g_02207
OG0000418	Syag.g_01973	Syam.g_02212
OG0000419	Syag.g_01975	Syam.g_02214
OG0000420	Syag.g_01977	Syam.g_02216
OG0000421	Syag.g_01982	Syam.g_02221
OG0000422	Syag.g_01983	Syam.g_02222
OG0000423	Syag.g_01984	Syam.g_02223
OG0000424	Syag.g_01985	Syam.g_02224
OG0000425	Syag.g_01986	Syam.g_02225
OG0000426	Syag.g_01987	Syam.g_02226
OG0000427	Syag.g_01988	Syam.g_02227
OG0000428	Syag.g_01991	Syam.g_02230
OG0000429	Syag.g_01993	Syam.g_02232
OG0000430	Syag.g_01995	Syam.g_02233
OG0000431	Syag.g_01998	Syam.g_02237
OG0000432	Syag.g_02007	Syam.g_02243
OG0000433	Syag.g_02009	Syam.g_02244
OG0000434	Syag.g_02010	Syam.g_02245
OG0000435	Syag.g_02017	Syam.g_02246
OG0000436	Syag.g_02028	Syam.g_02252
OG0000437	Syag.g_02029	Syam.g_02253
OG0000438	Syag.g_02031	Syam.g_02254
OG0000439	Syag.g_02033	Syam.g_02256
OG0000440	Syag.g_02034	Syam.g_02257
OG0000441	Syag.g_02041	Syam.g_02261
OG0000442	Syag.g_02044	Syam.g_02262
OG0000443	Syag.g_02046	Syam.g_02263
OG0000444	Syag.g_02053	Syam.g_02268
OG0000445	Syag.g_02054	Syam.g_02269
OG0000446	Syag.g_02056	Syam.g_02270
OG0000447	Syag.g_02059	Syam.g_02272
OG0000448	Syag.g_02060	Syam.g_02273
OG0000449	Syag.g_02061	Syam.g_02274
OG0000450	Syag.g_02066	Syam.g_02275
OG0000451	Syag.g_02067	Syam.g_02276
OG0000452	Syag.g_02071	Syam.g_02280
OG0000453	Syag.g_02072	Syam.g_02281
OG0000454	Syag.g_02073	Syam.g_02282
OG0000455	Syag.g_02074	Syam.g_02283
OG0000456	Syag.g_02075	Syam.g_02284
OG0000457	Syag.g_02077	Syam.g_02286
OG0000458	Syag.g_02080	Syam.g_02287
OG0000459	Syag.g_02081	Syam.g_02288
OG0000460	Syag.g_01786	Syam.g_00506
OG0000461	Syag.g_02675	Syam.g_00284
OG0000462	Syag.g_02672	Syam.g_00281
OG0000463	Syag.g_02671	Syam.g_00280
OG0000464	Syag.g_02670	Syam.g_00279
OG0000465	Syag.g_02668	Syam.g_00277
OG0000466	Syag.g_02662	Syam.g_00273
OG0000467	Syag.g_02660	Syam.g_00271
OG0000468	Syag.g_02636	Syam.g_00266
OG0000469	Syag.g_02621	Syam.g_00253
OG0000470	Syag.g_02619	Syam.g_00251
OG0000471	Syag.g_02618	Syam.g_00250
OG0000472	Syag.g_02616	Syam.g_00248
OG0000473	Syag.g_02614	Syam.g_00246
OG0000474	Syag.g_02613	Syam.g_00245
OG0000475	Syag.g_02612	Syam.g_00244
OG0000476	Syag.g_02610	Syam.g_00242
OG0000477	Syag.g_02604	Syam.g_00236
OG0000478	Syag.g_02603	Syam.g_00235
OG0000479	Syag.g_02602	Syam.g_00234
OG0000480	Syag.g_02595	Syam.g_00227
OG0000481	Syag.g_02593	Syam.g_00225
OG0000482	Syag.g_02592	Syam.g_00224
OG0000483	Syag.g_02588	Syam.g_00220
OG0000484	Syag.g_02587	Syam.g_00219
OG0000485	Syag.g_02586	Syam.g_00218
OG0000486	Syag.g_02585	Syam.g_00217
OG0000487	Syag.g_02579	Syam.g_00211
OG0000488	Syag.g_02575	Syam.g_00207
