Orthogroup	Syak	Prbf
OG0000220	Syak.g_01486	Prbf.g_01642
OG0000221	Syak.g_01498	Prbf.g_01643
OG0000222	Syak.g_01512	Prbf.g_01650
OG0000223	Syak.g_01531	Prbf.g_01662
OG0000224	Syak.g_01532	Prbf.g_01664
OG0000225	Syak.g_01230	Prbf.g_01690
OG0000226	Syak.g_01226	Prbf.g_01694
OG0000227	Syak.g_01224	Prbf.g_01696
OG0000228	Syak.g_01216	Prbf.g_01700
OG0000229	Syak.g_01191	Prbf.g_01720
OG0000230	Syak.g_01189	Prbf.g_01722
OG0000231	Syak.g_01176	Prbf.g_01733
OG0000232	Syak.g_01156	Prbf.g_01744
OG0000233	Syak.g_01145	Prbf.g_01750
OG0000234	Syak.g_01116	Prbf.g_01759
OG0000235	Syak.g_02573	Prbf.g_01762
OG0000236	Syak.g_02589	Prbf.g_01776
OG0000237	Syak.g_02607	Prbf.g_01789
OG0000238	Syak.g_02612	Prbf.g_01795
OG0000239	Syak.g_02628	Prbf.g_01806
OG0000240	Syak.g_02629	Prbf.g_01807
OG0000241	Syak.g_00027	Prbf.g_01811
OG0000242	Syak.g_02638	Prbf.g_01813
OG0000243	Syak.g_02658	Prbf.g_01824
OG0000244	Syak.g_02665	Prbf.g_01827
OG0000245	Syak.g_02667	Prbf.g_01829
OG0000246	Syak.g_02671	Prbf.g_01833
OG0000247	Syak.g_02681	Prbf.g_01843
OG0000248	Syak.g_02684	Prbf.g_01846
OG0000249	Syak.g_02686	Prbf.g_01848
OG0000250	Syak.g_02694	Prbf.g_01853
OG0000251	Syak.g_02722	Prbf.g_01873
OG0000252	Syak.g_02725	Prbf.g_01876
OG0000253	Syak.g_02727	Prbf.g_01877
OG0000254	Syak.g_02752	Prbf.g_01894
OG0000255	Syak.g_02772	Prbf.g_01900
OG0000256	Syak.g_00020	Prbf.g_01910
OG0000257	Syak.g_00026	Prbf.g_00977
OG0000258	Syak.g_00044	Prbf.g_00991
OG0000259	Syak.g_00334	Prbf.g_01008
OG0000260	Syak.g_00338	Prbf.g_01011
OG0000261	Syak.g_00348	Prbf.g_01014
OG0000262	Syak.g_00353	Prbf.g_01018
OG0000263	Syak.g_00828	Prbf.g_01282
OG0000264	Syak.g_00698	Prbf.g_01271
OG0000265	Syak.g_00211	Prbf.g_01253
OG0000266	Syak.g_00778	Prbf.g_01037
OG0000267	Syak.g_00555	Prbf.g_01049
OG0000268	Syak.g_00554	Prbf.g_01050
OG0000269	Syak.g_00429	Prbf.g_01250
OG0000270	Syak.g_00432	Prbf.g_01247
OG0000271	Syak.g_00440	Prbf.g_01239
OG0000272	Syak.g_00441	Prbf.g_01238
OG0000274	Syak.g_00615	Prbf.g_01213
OG0000275	Syak.g_00611	Prbf.g_01210
OG0000276	Syak.g_00604	Prbf.g_01204
OG0000277	Syak.g_00603	Prbf.g_01203
OG0000278	Syak.g_00600	Prbf.g_01200
OG0000279	Syak.g_00592	Prbf.g_01193
OG0000280	Syak.g_00582	Prbf.g_01192
OG0000281	Syak.g_00339	Prbf.g_01185
OG0000282	Syak.g_00375	Prbf.g_01318
OG0000283	Syak.g_00541	Prbf.g_01141
OG0000284	Syak.g_00536	Prbf.g_01136
OG0000285	Syak.g_00523	Prbf.g_01131
OG0000286	Syak.g_00504	Prbf.g_01118
OG0000287	Syak.g_00477	Prbf.g_00065
OG0000288	Syak.g_00644	Prbf.g_01079
OG0000289	Syak.g_00659	Prbf.g_01063
OG0000290	Syak.g_00738	Prbf.g_01167
OG0000291	Syak.g_00737	Prbf.g_01169
OG0000292	Syak.g_01802	Prbf.g_00873
OG0000293	Syak.g_00910	Prbf.g_00908
OG0000294	Syak.g_00909	Prbf.g_00909
OG0000295	Syak.g_00863	Prbf.g_00932
OG0000296	Syak.g_00861	Prbf.g_00934
OG0000297	Syak.g_00848	Prbf.g_00943
OG0000298	Syak.g_00847	Prbf.g_00944
OG0000299	Syak.g_00820	Prbf.g_00963
OG0000300	Syak.g_00813	Prbf.g_00966
OG0000301	Syak.g_00812	Prbf.g_00967
OG0000302	Syak.g_00811	Prbf.g_00969
OG0000303	Syak.g_00674	Prbf.g_00975
OG0000304	Syak.g_00680	Prbf.g_01915
OG0000305	Syak.g_00732	Prbf.g_00875
OG0000306	Syak.g_00094	Prbf.g_01181
OG0000307	Syak.g_02556	Prbf.g_00104
OG0000308	Syak.g_02554	Prbf.g_00105
OG0000309	Syak.g_02549	Prbf.g_00109
OG0000310	Syak.g_00994	Prbf.g_00143
OG0000311	Syak.g_00999	Prbf.g_00145
OG0000312	Syak.g_01028	Prbf.g_00148
OG0000313	Syak.g_01046	Prbf.g_00161
OG0000314	Syak.g_01079	Prbf.g_00184
OG0000315	Syak.g_01090	Prbf.g_00194
OG0000316	Syak.g_02462	Prbf.g_00219
OG0000317	Syak.g_02419	Prbf.g_00696
OG0000318	Syak.g_02415	Prbf.g_00692
OG0000319	Syak.g_02399	Prbf.g_00679
OG0000320	Syak.g_02397	Prbf.g_00677
OG0000321	Syak.g_02396	Prbf.g_00676
OG0000322	Syak.g_02395	Prbf.g_00675
OG0000323	Syak.g_02380	Prbf.g_00666
OG0000324	Syak.g_02347	Prbf.g_00639
OG0000325	Syak.g_01391	Prbf.g_00628
OG0000326	Syak.g_01384	Prbf.g_00621
OG0000327	Syak.g_01350	Prbf.g_00600
OG0000328	Syak.g_01349	Prbf.g_00599
OG0000329	Syak.g_01331	Prbf.g_00582
OG0000330	Syak.g_01330	Prbf.g_00581
OG0000331	Syak.g_01329	Prbf.g_00580
OG0000332	Syak.g_01314	Prbf.g_00566
OG0000333	Syak.g_01311	Prbf.g_00564
OG0000334	Syak.g_01302	Prbf.g_00555
OG0000335	Syak.g_01298	Prbf.g_00550
OG0000336	Syak.g_01294	Prbf.g_00546
OG0000337	Syak.g_01555	Prbf.g_00528
OG0000338	Syak.g_01558	Prbf.g_00527
OG0000339	Syak.g_01566	Prbf.g_00521
OG0000340	Syak.g_01626	Prbf.g_00512
OG0000341	Syak.g_01628	Prbf.g_00510
OG0000342	Syak.g_01629	Prbf.g_00509
OG0000343	Syak.g_01631	Prbf.g_00508
OG0000344	Syak.g_01635	Prbf.g_00505
OG0000345	Syak.g_01645	Prbf.g_00499
OG0000346	Syak.g_01651	Prbf.g_00495
OG0000347	Syak.g_01694	Prbf.g_00477
OG0000348	Syak.g_01717	Prbf.g_00469
OG0000349	Syak.g_01740	Prbf.g_00452
OG0000350	Syak.g_01377	Prbf.g_00351
OG0000351	Syak.g_01823	Prbf.g_00412
OG0000352	Syak.g_01822	Prbf.g_00411
OG0000353	Syak.g_01796	Prbf.g_00394
OG0000355	Syak.g_01793	Prbf.g_00392
OG0000356	Syak.g_01792	Prbf.g_00391
OG0000357	Syak.g_01791	Prbf.g_00390
OG0000358	Syak.g_01787	Prbf.g_00386
OG0000359	Syak.g_01785	Prbf.g_00385
OG0000360	Syak.g_01784	Prbf.g_00384
OG0000361	Syak.g_01783	Prbf.g_00383
OG0000362	Syak.g_01781	Prbf.g_00381
OG0000363	Syak.g_01779	Prbf.g_01336
OG0000364	Syak.g_01778	Prbf.g_01337
OG0000365	Syak.g_01769	Prbf.g_01342
OG0000366	Syak.g_01768	Prbf.g_01343
OG0000367	Syak.g_01767	Prbf.g_01344
OG0000368	Syak.g_01765	Prbf.g_01346
OG0000369	Syak.g_01764	Prbf.g_01347
OG0000370	Syak.g_01763	Prbf.g_01348
OG0000371	Syak.g_01753	Prbf.g_01355
OG0000372	Syak.g_01748	Prbf.g_01358
OG0000373	Syak.g_01747	Prbf.g_01359
OG0000374	Syak.g_01746	Prbf.g_01360
OG0000375	Syak.g_01744	Prbf.g_01362
OG0000376	Syak.g_01742	Prbf.g_01364
OG0000377	Syak.g_01948	Prbf.g_01368
OG0000378	Syak.g_01968	Prbf.g_01372
OG0000379	Syak.g_01972	Prbf.g_01375
OG0000380	Syak.g_02256	Prbf.g_01392
OG0000381	Syak.g_02254	Prbf.g_01397
OG0000382	Syak.g_02236	Prbf.g_01407
OG0000383	Syak.g_02229	Prbf.g_01409
OG0000384	Syak.g_02228	Prbf.g_01410
OG0000385	Syak.g_02227	Prbf.g_01411
OG0000386	Syak.g_02226	Prbf.g_01412
OG0000387	Syak.g_02200	Prbf.g_01426
OG0000388	Syak.g_02196	Prbf.g_01430
OG0000389	Syak.g_02345, Syak.g_02193	Prbf.g_01433
OG0000390	Syak.g_02177	Prbf.g_01443
OG0000391	Syak.g_02172	Prbf.g_01446
OG0000392	Syak.g_02166	Prbf.g_01450
OG0000393	Syak.g_02163	Prbf.g_01453
OG0000394	Syak.g_02162	Prbf.g_01454
OG0000395	Syak.g_02161	Prbf.g_01455
OG0000396	Syak.g_02158	Prbf.g_01457
OG0000397	Syak.g_02156	Prbf.g_01459
OG0000398	Syak.g_02151	Prbf.g_01462
OG0000399	Syak.g_02150	Prbf.g_01463
OG0000400	Syak.g_02149	Prbf.g_01464
OG0000401	Syak.g_02148	Prbf.g_01465
OG0000402	Syak.g_02146	Prbf.g_01055
OG0000403	Syak.g_02145	Prbf.g_01467
OG0000404	Syak.g_02143	Prbf.g_01468
OG0000405	Syak.g_02131	Prbf.g_01472
OG0000406	Syak.g_02126	Prbf.g_01480
OG0000407	Syak.g_02125	Prbf.g_01481
OG0000408	Syak.g_02123	Prbf.g_01483
OG0000409	Syak.g_02121	Prbf.g_01485
OG0000410	Syak.g_02120	Prbf.g_01486
OG0000411	Syak.g_02119	Prbf.g_01487
OG0000412	Syak.g_02118	Prbf.g_01488
OG0000413	Syak.g_02116	Prbf.g_01490
OG0000415	Syak.g_02114	Prbf.g_01492
OG0000416	Syak.g_02113	Prbf.g_01493
OG0000417	Syak.g_02112	Prbf.g_01494
OG0000418	Syak.g_02107	Prbf.g_01499
OG0000419	Syak.g_02105	Prbf.g_01501
OG0000420	Syak.g_02103	Prbf.g_01502
OG0000421	Syak.g_02097	Prbf.g_01507
OG0000422	Syak.g_02096	Prbf.g_01508
OG0000423	Syak.g_02095	Prbf.g_01509
OG0000424	Syak.g_02094	Prbf.g_01510
OG0000425	Syak.g_02093	Prbf.g_01511
OG0000426	Syak.g_02092	Prbf.g_01512
OG0000427	Syak.g_02091	Prbf.g_01513
OG0000428	Syak.g_02088	Prbf.g_01515
OG0000429	Syak.g_02086	Prbf.g_01516
OG0000430	Syak.g_02084	Prbf.g_01517
OG0000431	Syak.g_02081	Prbf.g_01519
OG0000432	Syak.g_02075	Prbf.g_01523
OG0000433	Syak.g_02073	Prbf.g_01524
OG0000434	Syak.g_02072	Prbf.g_01525
OG0000435	Syak.g_02071	Prbf.g_01526
OG0000436	Syak.g_02064	Prbf.g_01531
OG0000437	Syak.g_02063	Prbf.g_01532
OG0000438	Syak.g_02062	Prbf.g_01533
OG0000439	Syak.g_02060	Prbf.g_01535
OG0000440	Syak.g_02059	Prbf.g_01536
OG0000441	Syak.g_02053	Prbf.g_01539
OG0000442	Syak.g_02043	Prbf.g_01540
OG0000443	Syak.g_02041	Prbf.g_01541
OG0000444	Syak.g_02022	Prbf.g_01547
OG0000445	Syak.g_02015	Prbf.g_01548
OG0000446	Syak.g_02013	Prbf.g_01549
OG0000447	Syak.g_02006	Prbf.g_01550
OG0000448	Syak.g_02005	Prbf.g_01551
OG0000449	Syak.g_02004	Prbf.g_01552
OG0000450	Syak.g_01998	Prbf.g_01553
OG0000451	Syak.g_01997	Prbf.g_01554
OG0000452	Syak.g_01993	Prbf.g_01557
OG0000453	Syak.g_01992	Prbf.g_01558
OG0000454	Syak.g_01991	Prbf.g_01559
OG0000455	Syak.g_01990	Prbf.g_01560
OG0000456	Syak.g_01989	Prbf.g_01561
OG0000457	Syak.g_01987	Prbf.g_01563
OG0000458	Syak.g_01986	Prbf.g_01564
OG0000459	Syak.g_01985	Prbf.g_01565
