Orthogroup	Syar	Syaf
OG0000210	Syar.g_00935	Syaf.g_00713
OG0000211	Syar.g_03026	Syaf.g_02791
OG0000212	Syar.g_03017	Syaf.g_02781
OG0000213	Syar.g_00187	Syaf.g_00210
OG0000214	Syar.g_00209	Syaf.g_00226
OG0000215	Syar.g_00239	Syaf.g_00258
OG0000216	Syar.g_00244	Syaf.g_00262
OG0000217	Syar.g_00854	Syaf.g_00266
OG0000218	Syar.g_00852	Syaf.g_00268
OG0000219	Syar.g_00851	Syaf.g_00269
OG0000220	Syar.g_00850, Syar.g_02026	Syaf.g_00270
OG0000221	Syar.g_00834	Syaf.g_02597, Syaf.g_00273
OG0000222	Syar.g_02119, Syar.g_00728	Syaf.g_00287
OG0000223	Syar.g_00649	Syaf.g_00317
OG0000224	Syar.g_00273, Syar.g_00762	Syaf.g_00324
OG0000225	Syar.g_01142	Syaf.g_00007
OG0000226	Syar.g_01146	Syaf.g_00003
OG0000227	Syar.g_01148	Syaf.g_00001
OG0000228	Syar.g_01161	Syaf.g_02808
OG0000229	Syar.g_01177	Syaf.g_01214
OG0000230	Syar.g_03275, Syar.g_01179	Syaf.g_01216
OG0000231	Syar.g_02865, Syar.g_03151	Syaf.g_01236
OG0000232	Syar.g_01424	Syaf.g_02536
OG0000233	Syar.g_01247	Syaf.g_02528
OG0000234	Syar.g_01275	Syaf.g_02497
OG0000235	Syar.g_01468	Syaf.g_02722
OG0000236	Syar.g_01484	Syaf.g_02707
OG0000237	Syar.g_01503	Syaf.g_02690
OG0000238	Syar.g_01508	Syaf.g_02685
OG0000239	Syar.g_02687	Syaf.g_02669
OG0000240	Syar.g_02686	Syaf.g_02668
OG0000241	Syar.g_02410	Syaf.g_02322
OG0000242	Syar.g_01926	Syaf.g_02656
OG0000243	Syar.g_02335	Syaf.g_02634
OG0000244	Syar.g_02327	Syaf.g_02627
OG0000245	Syar.g_02325	Syaf.g_02625
OG0000246	Syar.g_02321	Syaf.g_02621
OG0000247	Syar.g_02310	Syaf.g_02610
OG0000248	Syar.g_03293	Syaf.g_02607
OG0000249	Syar.g_02305	Syaf.g_02605
OG0000250	Syar.g_02299	Syaf.g_02593
OG0000251	Syar.g_02194	Syaf.g_02568
OG0000252	Syar.g_02189, Syar.g_03263	Syaf.g_02565
OG0000253	Syar.g_02028	Syaf.g_02564
OG0000254	Syar.g_02169	Syaf.g_02371
OG0000255	Syar.g_02224	Syaf.g_02352
OG0000256	Syar.g_02244	Syaf.g_02329
OG0000257	Syar.g_02407, Syar.g_01762	Syaf.g_02323
OG0000258	Syar.g_02427	Syaf.g_02301
OG0000259	Syar.g_02472	Syaf.g_02137
OG0000260	Syar.g_02475	Syaf.g_02134
OG0000261	Syar.g_01916	Syaf.g_02131
OG0000262	Syar.g_01690	Syaf.g_02126
OG0000263	Syar.g_01991	Syaf.g_01585
OG0000264	Syar.g_02135	Syaf.g_01473
OG0000266	Syar.g_01570	Syaf.g_01967
OG0000267	Syar.g_01873	Syaf.g_01787
OG0000268	Syar.g_02589	Syaf.g_00307, Syaf.g_01788
OG0000269	Syar.g_02634	Syaf.g_02054
OG0000270	Syar.g_00744, Syar.g_02637	Syaf.g_02051
OG0000271	Syar.g_02645	Syaf.g_02043
OG0000272	Syar.g_02646	Syaf.g_02042
OG0000273	Syar.g_00008	Syaf.g_01392
OG0000274	Syar.g_02482	Syaf.g_01391
OG0000275	Syar.g_01810	Syaf.g_01386
OG0000276	Syar.g_01817	Syaf.g_01379
OG0000277	Syar.g_03242	Syaf.g_01378
OG0000278	Syar.g_01821	Syaf.g_01375
OG0000279	Syar.g_01838	Syaf.g_01367
OG0000280	Syar.g_02067, Syar.g_00734	Syaf.g_01337
OG0000281	Syar.g_02218	Syaf.g_01636
OG0000282	Syar.g_01614	Syaf.g_02101
OG0000283	Syar.g_02574	Syaf.g_01804
OG0000284	Syar.g_03258, Syar.g_02568	Syaf.g_01810
OG0000285	Syar.g_02560	Syaf.g_01842
OG0000286	Syar.g_02540	Syaf.g_01860
OG0000287	Syar.g_02512	Syaf.g_01896
OG0000288	Syar.g_01801	Syaf.g_01929
OG0000289	Syar.g_01786	Syaf.g_01943
OG0000290	Syar.g_01928	Syaf.g_01439
OG0000291	Syar.g_01930	Syaf.g_01441
OG0000292	Syar.g_00463	Syaf.g_00505
