Orthogroup	Syar	Prac
OG0000180	Syar.g_00490	Prac.g_01930
OG0000181	Syar.g_00491	Prac.g_01929
OG0000182	Syar.g_00492	Prac.g_01928
OG0000183	Syar.g_00496	Prac.g_01924
OG0000184	Syar.g_00897	Prac.g_01885
OG0000185	Syar.g_00909	Prac.g_01882
OG0000186	Syar.g_03036	Prac.g_01867
OG0000187	Syar.g_03038	Prac.g_01866
OG0000188	Syar.g_03058	Prac.g_01849
OG0000189	Syar.g_03104	Prac.g_01835
OG0000190	Syar.g_03107, Syar.g_02374	Prac.g_01834
OG0000191	Syar.g_00039	Prac.g_01814
OG0000192	Syar.g_00046	Prac.g_01810
OG0000193	Syar.g_00079	Prac.g_01784
OG0000194	Syar.g_00082, Syar.g_03236	Prac.g_01781
OG0000195	Syar.g_00023, Syar.g_00084	Prac.g_01779
OG0000196	Syar.g_00096	Prac.g_01769
OG0000197	Syar.g_00097	Prac.g_01768
OG0000198	Syar.g_00098	Prac.g_01767
OG0000199	Syar.g_00106	Prac.g_01760
OG0000200	Syar.g_00124	Prac.g_01746
OG0000201	Syar.g_01000	Prac.g_01738
OG0000202	Syar.g_00021, Syar.g_00998	Prac.g_01737
OG0000203	Syar.g_00997, Syar.g_00020	Prac.g_01736
OG0000204	Syar.g_00996	Prac.g_01735
OG0000205	Syar.g_00988	Prac.g_01728
OG0000206	Syar.g_00963	Prac.g_01723
OG0000207	Syar.g_00957	Prac.g_01721
OG0000208	Syar.g_00956	Prac.g_01720
OG0000209	Syar.g_00936, Syar.g_03261	Prac.g_01711
OG0000210	Syar.g_03260, Syar.g_00935	Prac.g_01710
OG0000211	Syar.g_03026	Prac.g_01697
OG0000212	Syar.g_03017	Prac.g_01690
OG0000213	Syar.g_00187	Prac.g_01674
OG0000214	Syar.g_00209	Prac.g_01664
OG0000215	Syar.g_00239	Prac.g_01639
OG0000216	Syar.g_00244	Prac.g_01637
OG0000217	Syar.g_00854	Prac.g_01634
