Orthogroup	Syar	Syag
OG0000154	Syar.g_01800	Syag.g_00870
OG0000155	Syar.g_01959	Syag.g_01107
OG0000156	Syar.g_01517	Syag.g_01166
OG0000157	Syar.g_01516	Syag.g_01167
OG0000158	Syar.g_00650	Syag.g_02422
OG0000159	Syar.g_02762	Syag.g_02425
OG0000160	Syar.g_02807	Syag.g_01415
OG0000161	Syar.g_02801	Syag.g_01409
OG0000162	Syar.g_02863	Syag.g_01402
OG0000163	Syar.g_00639	Syag.g_00706
OG0000163	Syar.g_01186	Syag.g_01618
OG0000164	Syar.g_03168, Syar.g_02969	Syag.g_01725
OG0000165	Syar.g_02976	Syag.g_01733
OG0000166	Syar.g_01034	Syag.g_02733
OG0000167	Syar.g_00662	Syag.g_02437
OG0000168	Syar.g_00246	Syag.g_02417
OG0000169	Syar.g_00262	Syag.g_02405
OG0000170	Syar.g_00613	Syag.g_02398
OG0000171	Syar.g_00587	Syag.g_02368
OG0000172	Syar.g_00547	Syag.g_02360
OG0000173	Syar.g_00528	Syag.g_02337
OG0000174	Syar.g_00701	Syag.g_02175
OG0000175	Syar.g_00438	Syag.g_02240
OG0000176	Syar.g_00474	Syag.g_02276
OG0000177	Syar.g_00475	Syag.g_02277
OG0000178	Syar.g_00476	Syag.g_02278
OG0000179	Syar.g_00489	Syag.g_02293
OG0000180	Syar.g_00490	Syag.g_02294
OG0000181	Syar.g_00491	Syag.g_02295
OG0000182	Syar.g_00492	Syag.g_02296
OG0000183	Syar.g_00496	Syag.g_02300
OG0000184	Syar.g_00897	Syag.g_02110
OG0000185	Syar.g_00909	Syag.g_02092
OG0000186	Syar.g_03036	Syag.g_01815
OG0000187	Syar.g_03038	Syag.g_01816
OG0000188	Syar.g_03058	Syag.g_01839
OG0000189	Syar.g_03104	Syag.g_01872
OG0000190	Syar.g_03107, Syar.g_02374	Syag.g_01874
OG0000191	Syar.g_00039	Syag.g_01909
OG0000192	Syar.g_00046	Syag.g_01915
OG0000193	Syar.g_00079	Syag.g_01952
OG0000194	Syar.g_00082	Syag.g_01955
OG0000195	Syar.g_00023, Syar.g_00084	Syag.g_01957
OG0000196	Syar.g_00096	Syag.g_01968
OG0000197	Syar.g_00097	Syag.g_01969
OG0000198	Syar.g_00098	Syag.g_00108, Syag.g_01971
OG0000199	Syar.g_00106	Syag.g_01979
OG0000200	Syar.g_00124	Syag.g_01996
OG0000201	Syar.g_01000	Syag.g_02019, Syag.g_02023
OG0000202	Syar.g_00021, Syar.g_00998	Syag.g_02024
OG0000203	Syar.g_00997, Syar.g_00020	Syag.g_02025
OG0000204	Syar.g_00996	Syag.g_02020, Syag.g_02026
OG0000205	Syar.g_00988	Syag.g_02035
