Orthogroup	Syar	Prbl
OG0000088	Syar.g_00101	Prbl.g_01838, Prbl.g_00281
OG0000089	Syar.g_01162	Prbl.g_02674
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbl.g_00766
OG0000091	Syar.g_01891, Syar.g_02426	Prbl.g_01647
OG0000093	Syar.g_02623, Syar.g_00819	Prbl.g_02359
OG0000094	Syar.g_01789	Prbl.g_02209
OG0000095	Syar.g_01932	Prbl.g_00927
OG0000097	Syar.g_01706	Prbl.g_02579
OG0000098	Syar.g_02343	Prbl.g_00722
OG0000099	Syar.g_00715	Prbl.g_00893
OG0000100	Syar.g_02477	Prbl.g_01914, Prbl.g_02305
OG0000101	Syar.g_01073	Prbl.g_01126
OG0000101	Syar.g_03154	Prbl.g_01000
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbl.g_02636
OG0000103	Syar.g_00452, Syar.g_00014	Prbl.g_02139
OG0000104	Syar.g_00466	Prbl.g_02125
OG0000105	Syar.g_00218	Prbl.g_01461
OG0000106	Syar.g_01748	Prbl.g_00411
OG0000107	Syar.g_00149	Prbl.g_02681
OG0000108	Syar.g_01469	Prbl.g_00511
OG0000109	Syar.g_03310, Syar.g_01485	Prbl.g_00527
OG0000110	Syar.g_02295	Prbl.g_01795
OG0000111	Syar.g_01940	Prbl.g_00026
OG0000112	Syar.g_02548	Prbl.g_02470
OG0000113	Syar.g_02664	Prbl.g_02310
OG0000114	Syar.g_01616	Prbl.g_02407
OG0000115	Syar.g_02854, Syar.g_01415	Prbl.g_00687
OG0000116	Syar.g_01525, Syar.g_02255	Prbl.g_02069
OG0000117	Syar.g_01969	Prbl.g_01384
OG0000118	Syar.g_02793	Prbl.g_01736
OG0000120	Syar.g_00713	Prbl.g_00892
OG0000121	Syar.g_02806	Prbl.g_00234, Prbl.g_00240
OG0000123	Syar.g_01079	Prbl.g_01135
OG0000124	Syar.g_00586	Prbl.g_02054
OG0000125	Syar.g_00338	Prbl.g_02231
OG0000126	Syar.g_00887, Syar.g_00888	Prbl.g_02127
OG0000128	Syar.g_00482	Prbl.g_02109
OG0000129	Syar.g_00324	Prbl.g_02243
OG0000130	Syar.g_03040	Prbl.g_00608
OG0000131	Syar.g_00078, Syar.g_02216	Prbl.g_00303
OG0000132	Syar.g_00099	Prbl.g_00283
OG0000133	Syar.g_02543	Prbl.g_00897
OG0000134	Syar.g_02009, Syar.g_01165	Prbl.g_02677
OG0000135	Syar.g_00698	Prbl.g_02190
OG0000136	Syar.g_02874	Prbl.g_00647
OG0000137	Syar.g_01273	Prbl.g_01340
OG0000138	Syar.g_01486	Prbl.g_00528
OG0000139	Syar.g_03245	Prbl.g_00760
OG0000140	Syar.g_02344, Syar.g_03246	Prbl.g_00754
OG0000141	Syar.g_02129	Prbl.g_01751
OG0000142	Syar.g_02418	Prbl.g_01639
OG0000143	Syar.g_02422	Prbl.g_01643
OG0000144	Syar.g_02441	Prbl.g_01042
OG0000145	Syar.g_01494	Prbl.g_00534
OG0000146	Syar.g_02549	Prbl.g_02469
OG0000147	Syar.g_02550	Prbl.g_02468
OG0000148	Syar.g_02658	Prbl.g_02316
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prbl.g_01552
OG0000150	Syar.g_02130	Prbl.g_01576
OG0000151	Syar.g_02038	Prbl.g_02386
OG0000152	Syar.g_02539	Prbl.g_02478
OG0000153	Syar.g_03283, Syar.g_02503	Prbl.g_02505
OG0000154	Syar.g_01800	Prbl.g_02532
OG0000155	Syar.g_01959	Prbl.g_00185
OG0000156	Syar.g_01517	Prbl.g_00115
OG0000157	Syar.g_01516	Prbl.g_00114
OG0000158	Syar.g_00650	Prbl.g_00843
OG0000160	Syar.g_02807	Prbl.g_00241
OG0000161	Syar.g_02801	Prbl.g_00227
OG0000162	Syar.g_02863	Prbl.g_00221
OG0000163	Syar.g_01186	Prbl.g_00452
OG0000164	Syar.g_03168, Syar.g_02969	Prbl.g_00365
OG0000165	Syar.g_02976	Prbl.g_00356
OG0000166	Syar.g_01034	Prbl.g_00962
OG0000167	Syar.g_00662	Prbl.g_00857
OG0000168	Syar.g_00246	Prbl.g_00842
OG0000169	Syar.g_00262	Prbl.g_01302
OG0000170	Syar.g_00613	Prbl.g_01290
OG0000171	Syar.g_00587	Prbl.g_02055
OG0000172	Syar.g_00547	Prbl.g_02021
OG0000173	Syar.g_00528	Prbl.g_02000
OG0000174	Syar.g_00701	Prbl.g_02188
OG0000175	Syar.g_00438	Prbl.g_02150
OG0000176	Syar.g_00474	Prbl.g_02117
OG0000177	Syar.g_00475	Prbl.g_02116
OG0000178	Syar.g_00476	Prbl.g_02115
OG0000179	Syar.g_00489	Prbl.g_01961
OG0000180	Syar.g_00490	Prbl.g_01962
OG0000181	Syar.g_00491	Prbl.g_01963
OG0000182	Syar.g_00492	Prbl.g_01964
OG0000183	Syar.g_00496	Prbl.g_01968
OG0000184	Syar.g_00897	Prbl.g_02251
OG0000185	Syar.g_00909	Prbl.g_02273
OG0000186	Syar.g_03036	Prbl.g_00614
OG0000187	Syar.g_03038	Prbl.g_00613
OG0000188	Syar.g_03058	Prbl.g_00591
OG0000189	Syar.g_03104	Prbl.g_00565
OG0000190	Syar.g_03107, Syar.g_02374	Prbl.g_00563
OG0000191	Syar.g_00039	Prbl.g_01325
OG0000192	Syar.g_00046	Prbl.g_01316
OG0000193	Syar.g_00079	Prbl.g_00302
OG0000194	Syar.g_00082, Syar.g_03236	Prbl.g_00299
OG0000195	Syar.g_00023	Prbl.g_00297
OG0000196	Syar.g_00096	Prbl.g_00286
OG0000197	Syar.g_00097	Prbl.g_00285
