Orthogroup	Syak	Syae
OG0000205	Syak.g_02058	Syae.g_01497
OG0000206	Syak.g_02038	Syae.g_01504
OG0000207	Syak.g_02025	Syae.g_01506
OG0000208	Syak.g_02024	Syae.g_01507
OG0000209	Syak.g_01995	Syae.g_01528
OG0000210	Syak.g_01994	Syae.g_01529
OG0000211	Syak.g_02300	Syae.g_02234
OG0000212	Syak.g_02311	Syae.g_02244
OG0000213	Syak.g_01425	Syae.g_02003
OG0000214	Syak.g_01442	Syae.g_01986
OG0000215	Syak.g_01474	Syae.g_01955
OG0000216	Syak.g_01478	Syae.g_01951
OG0000217	Syak.g_01482	Syae.g_01947
OG0000218	Syak.g_01484	Syae.g_01945
OG0000219	Syak.g_01485	Syae.g_01944
OG0000220	Syak.g_01486	Syae.g_01943
OG0000221	Syak.g_01498	Syae.g_01937
OG0000222	Syak.g_01512	Syae.g_01926
OG0000223	Syak.g_01531	Syae.g_01904
OG0000224	Syak.g_01532	Syae.g_01897
OG0000225	Syak.g_01230	Syae.g_02208
OG0000226	Syak.g_01226	Syae.g_02212
OG0000227	Syak.g_01224	Syae.g_02214
OG0000228	Syak.g_01216	Syae.g_02218
OG0000229	Syak.g_01191	Syae.g_00994
OG0000230	Syak.g_01189	Syae.g_00992
OG0000231	Syak.g_01176	Syae.g_00980
OG0000232	Syak.g_01156	Syae.g_02496
OG0000233	Syak.g_01145	Syae.g_02504
OG0000234	Syak.g_01116	Syae.g_02532
OG0000235	Syak.g_02573	Syae.g_02308
OG0000236	Syak.g_02589	Syae.g_02323
OG0000237	Syak.g_02607	Syae.g_02340
OG0000238	Syak.g_02612	Syae.g_02345
OG0000239	Syak.g_02628	Syae.g_02360
OG0000240	Syak.g_02629	Syae.g_02361
OG0000241	Syak.g_00027	Syae.g_00065
OG0000242	Syak.g_02638	Syae.g_02372
OG0000243	Syak.g_02658	Syae.g_02391
OG0000244	Syak.g_02665	Syae.g_02399
OG0000245	Syak.g_02667	Syae.g_02401
OG0000246	Syak.g_02671	Syae.g_02405
OG0000247	Syak.g_02681	Syae.g_02416
OG0000248	Syak.g_02684	Syae.g_02419
OG0000249	Syak.g_02686	Syae.g_02421
OG0000250	Syak.g_02694	Syae.g_02431
OG0000251	Syak.g_02722	Syae.g_02455
OG0000252	Syak.g_02725	Syae.g_02458
OG0000253	Syak.g_02727	Syae.g_02459
OG0000254	Syak.g_02752	Syae.g_00021
OG0000255	Syak.g_02772	Syae.g_00041
OG0000256	Syak.g_00020	Syae.g_00058
OG0000257	Syak.g_00026	Syae.g_00064
OG0000258	Syak.g_00044	Syae.g_00083
OG0000259	Syak.g_00334	Syae.g_00608
OG0000260	Syak.g_00338	Syae.g_00603
OG0000261	Syak.g_00348	Syae.g_00600
OG0000262	Syak.g_00353	Syae.g_00595
OG0000263	Syak.g_00828	Syae.g_00671
OG0000264	Syak.g_00698	Syae.g_00761
OG0000265	Syak.g_00211	Syae.g_00932, Syae.g_00226
OG0000267	Syak.g_00555	Syae.g_00304
OG0000268	Syak.g_00554	Syae.g_00308
OG0000269	Syak.g_00429	Syae.g_00526
OG0000270	Syak.g_00432	Syae.g_00523
OG0000271	Syak.g_00440	Syae.g_00515
OG0000272	Syak.g_00441	Syae.g_00514
OG0000274	Syak.g_00615	Syae.g_00826
OG0000275	Syak.g_00611	Syae.g_00832
OG0000276	Syak.g_00604	Syae.g_00839
OG0000277	Syak.g_00603	Syae.g_00840
OG0000278	Syak.g_00600	Syae.g_00843
OG0000279	Syak.g_00592	Syae.g_00851
OG0000280	Syak.g_00582	Syae.g_00877
OG0000281	Syak.g_00339	Syae.g_02057
OG0000282	Syak.g_00375	Syae.g_00573
OG0000283	Syak.g_00541	Syae.g_00321
OG0000284	Syak.g_00536	Syae.g_00327
OG0000285	Syak.g_00523	Syae.g_00340
OG0000286	Syak.g_00504	Syae.g_00359
OG0000287	Syak.g_00477	Syae.g_00387
OG0000288	Syak.g_00644	Syae.g_00419
OG0000289	Syak.g_00659	Syae.g_00433
OG0000290	Syak.g_00738	Syae.g_00796
OG0000291	Syak.g_00734, Syak.g_00737	Syae.g_00794
OG0000292	Syak.g_01802	Syae.g_01705
OG0000293	Syak.g_00910	Syae.g_00938
OG0000294	Syak.g_00909	Syae.g_00937
OG0000295	Syak.g_00863	Syae.g_00893
OG0000296	Syak.g_00861	Syae.g_00891
OG0000297	Syak.g_00848	Syae.g_00645
OG0000298	Syak.g_00847	Syae.g_00646
OG0000299	Syak.g_00820	Syae.g_00680
OG0000300	Syak.g_00813	Syae.g_00686
OG0000301	Syak.g_00812	Syae.g_00687
OG0000302	Syak.g_00811	Syae.g_00691
OG0000303	Syak.g_00674	Syae.g_00700
OG0000304	Syak.g_00680	Syae.g_00706
OG0000305	Syak.g_00732	Syae.g_00791
OG0000306	Syak.g_00094	Syae.g_00277
OG0000307	Syak.g_02556	Syae.g_02290
OG0000308	Syak.g_02554	Syae.g_02288
OG0000309	Syak.g_02549	Syae.g_02283
OG0000310	Syak.g_00994	Syae.g_02687
OG0000311	Syak.g_00999	Syae.g_02682
OG0000312	Syak.g_01028	Syae.g_02664
OG0000313	Syak.g_01046	Syae.g_02647
OG0000314	Syak.g_01079	Syae.g_02618
OG0000315	Syak.g_01090	Syae.g_02609
OG0000316	Syak.g_02462	Syae.g_01118
OG0000317	Syak.g_02419	Syae.g_01160
OG0000318	Syak.g_02415	Syae.g_01164
OG0000319	Syak.g_02399	Syae.g_01181
OG0000320	Syak.g_02397	Syae.g_01183
OG0000321	Syak.g_02396	Syae.g_01184
OG0000322	Syak.g_02395	Syae.g_01185
OG0000323	Syak.g_02380	Syae.g_01200
OG0000324	Syak.g_02347	Syae.g_01049
OG0000325	Syak.g_01391	Syae.g_02033
OG0000326	Syak.g_01384	Syae.g_02040
OG0000327	Syak.g_01350	Syae.g_02080
OG0000328	Syak.g_01349	Syae.g_02081
OG0000329	Syak.g_01331	Syae.g_02099
OG0000330	Syak.g_01330	Syae.g_02100
OG0000331	Syak.g_01329	Syae.g_02101
OG0000332	Syak.g_01314	Syae.g_02116
OG0000333	Syak.g_01311	Syae.g_02119
OG0000334	Syak.g_01302	Syae.g_02128
OG0000335	Syak.g_01298	Syae.g_02132
OG0000336	Syak.g_01294	Syae.g_02136
OG0000337	Syak.g_01555	Syae.g_01879
OG0000338	Syak.g_01558	Syae.g_01876
OG0000339	Syak.g_01566	Syae.g_01869
OG0000340	Syak.g_01626	Syae.g_01855
OG0000341	Syak.g_01628	Syae.g_01853
OG0000342	Syak.g_01629	Syae.g_01852
OG0000343	Syak.g_01631	Syae.g_01848
OG0000344	Syak.g_01635	Syae.g_01843
OG0000345	Syak.g_01645	Syae.g_01833
OG0000346	Syak.g_01651	Syae.g_01828
OG0000347	Syak.g_01694	Syae.g_01805
OG0000348	Syak.g_01717	Syae.g_01781
OG0000349	Syak.g_01740	Syae.g_01763
OG0000350	Syak.g_01377	Syae.g_02047
OG0000351	Syak.g_01823	Syae.g_01684
OG0000352	Syak.g_01822	Syae.g_01685
OG0000353	Syak.g_01796	Syae.g_01711
OG0000354	Syak.g_02618	Syae.g_02351
OG0000354	Syak.g_01775	Syae.g_01731
OG0000355	Syak.g_01793	Syae.g_01713
OG0000356	Syak.g_01792	Syae.g_01714
OG0000357	Syak.g_01791	Syae.g_01715
OG0000358	Syak.g_01787	Syae.g_01719
OG0000359	Syak.g_01785	Syae.g_01721
OG0000360	Syak.g_01784	Syae.g_01722
OG0000361	Syak.g_01783	Syae.g_01723
OG0000362	Syak.g_01781	Syae.g_01725
OG0000363	Syak.g_01779	Syae.g_01727
OG0000364	Syak.g_01778	Syae.g_01728
OG0000365	Syak.g_01769	Syae.g_01737
OG0000366	Syak.g_01768	Syae.g_01738
OG0000367	Syak.g_01767	Syae.g_01739
OG0000368	Syak.g_01765	Syae.g_01741
OG0000369	Syak.g_01764	Syae.g_01742
OG0000370	Syak.g_01763	Syae.g_01743
OG0000371	Syak.g_01753	Syae.g_01751
OG0000372	Syak.g_01748	Syae.g_01756
OG0000373	Syak.g_01747	Syae.g_01757
OG0000374	Syak.g_01746	Syae.g_01758
OG0000375	Syak.g_01744	Syae.g_01759
OG0000376	Syak.g_01742	Syae.g_01761
OG0000377	Syak.g_01948	Syae.g_01561
OG0000378	Syak.g_01968	Syae.g_01553
OG0000379	Syak.g_01972	Syae.g_01550
OG0000380	Syak.g_02256	Syae.g_01281
OG0000381	Syak.g_02254	Syae.g_01285
OG0000382	Syak.g_02236	Syae.g_01322
OG0000383	Syak.g_02229	Syae.g_01324
OG0000384	Syak.g_02228	Syae.g_01325
OG0000385	Syak.g_02227	Syae.g_01326
OG0000386	Syak.g_02226	Syae.g_01327
OG0000387	Syak.g_02200	Syae.g_01354
OG0000388	Syak.g_02196	Syae.g_01358
OG0000389	Syak.g_02193, Syak.g_02345	Syae.g_01362
OG0000390	Syak.g_02177	Syae.g_01378
OG0000391	Syak.g_02172	Syae.g_01383
OG0000392	Syak.g_02166	Syae.g_01389
OG0000393	Syak.g_02163	Syae.g_01392
OG0000394	Syak.g_02162	Syae.g_01393
OG0000395	Syak.g_02161	Syae.g_01394
OG0000396	Syak.g_02158	Syae.g_01397
OG0000397	Syak.g_02156	Syae.g_01400
OG0000398	Syak.g_02151	Syae.g_01405
OG0000399	Syak.g_02150	Syae.g_01406
OG0000400	Syak.g_02149	Syae.g_01407
OG0000401	Syak.g_02148	Syae.g_01408
OG0000402	Syak.g_02146	Syae.g_01410
OG0000403	Syak.g_02145	Syae.g_01411
OG0000404	Syak.g_02143	Syae.g_01412
OG0000405	Syak.g_02131	Syae.g_01426
OG0000406	Syak.g_02126	Syae.g_01430
OG0000407	Syak.g_02125	Syae.g_01431
OG0000408	Syak.g_02123	Syae.g_01433
OG0000409	Syak.g_02121	Syae.g_01435
OG0000410	Syak.g_02120	Syae.g_01436
OG0000411	Syak.g_02119	Syae.g_01437
OG0000412	Syak.g_02118	Syae.g_01438
OG0000413	Syak.g_02116	Syae.g_01440
OG0000415	Syak.g_02114	Syae.g_01441
OG0000416	Syak.g_02113	Syae.g_01442
OG0000417	Syak.g_02112	Syae.g_01443
OG0000418	Syak.g_02107	Syae.g_01448
OG0000419	Syak.g_02105	Syae.g_01450
OG0000420	Syak.g_02103	Syae.g_01452
OG0000421	Syak.g_02097	Syae.g_01457
OG0000422	Syak.g_02096	Syae.g_01458
OG0000423	Syak.g_02095	Syae.g_01459
OG0000424	Syak.g_02094	Syae.g_01460
OG0000425	Syak.g_02093	Syae.g_01461
OG0000426	Syak.g_02092	Syae.g_01462
OG0000427	Syak.g_02091	Syae.g_01463
OG0000428	Syak.g_02088	Syae.g_01466
OG0000429	Syak.g_02086	Syae.g_01468
OG0000430	Syak.g_02084	Syae.g_01470
OG0000431	Syak.g_02081	Syae.g_01473
OG0000432	Syak.g_02075	Syae.g_01481
OG0000433	Syak.g_02073	Syae.g_01484
OG0000434	Syak.g_02072	Syae.g_01485
OG0000435	Syak.g_02071	Syae.g_01486
OG0000436	Syak.g_02064	Syae.g_01491
OG0000437	Syak.g_02063	Syae.g_01492
OG0000438	Syak.g_02062	Syae.g_01493
OG0000439	Syak.g_02060	Syae.g_01495
OG0000440	Syak.g_02059	Syae.g_01496
OG0000441	Syak.g_02053	Syae.g_01501
OG0000442	Syak.g_02043	Syae.g_01502
OG0000443	Syak.g_02041	Syae.g_01503
OG0000444	Syak.g_02022	Syae.g_01509
OG0000445	Syak.g_02015	Syae.g_01510
OG0000446	Syak.g_02013	Syae.g_01512
OG0000447	Syak.g_02006	Syae.g_01517
OG0000448	Syak.g_02005	Syae.g_01518
OG0000449	Syak.g_02004	Syae.g_01519
OG0000450	Syak.g_01998	Syae.g_01525
OG0000451	Syak.g_01997	Syae.g_01526
OG0000452	Syak.g_01993	Syae.g_01530
OG0000453	Syak.g_01992	Syae.g_01531
OG0000454	Syak.g_01991	Syae.g_01532
OG0000455	Syak.g_01990	Syae.g_01533
OG0000456	Syak.g_01989	Syae.g_01534
OG0000457	Syak.g_01987	Syae.g_01536
OG0000458	Syak.g_01986	Syae.g_01538
OG0000459	Syak.g_01985	Syae.g_01539
OG0000460	Syak.g_02303	Syae.g_02236
OG0000461	Syak.g_01402	Syae.g_02024
OG0000462	Syak.g_01405	Syae.g_02021
OG0000463	Syak.g_01406	Syae.g_02020
OG0000464	Syak.g_01407	Syae.g_02019
OG0000465	Syak.g_01409	Syae.g_02018
OG0000466	Syak.g_01414	Syae.g_02014
OG0000467	Syak.g_01416	Syae.g_02012
OG0000468	Syak.g_01421	Syae.g_02007
OG0000469	Syak.g_01436	Syae.g_01992
OG0000470	Syak.g_01438	Syae.g_01990
OG0000471	Syak.g_01439	Syae.g_01989
OG0000472	Syak.g_01441	Syae.g_01987
OG0000473	Syak.g_01443	Syae.g_01985
OG0000474	Syak.g_01444	Syae.g_01984
OG0000475	Syak.g_01445	Syae.g_01983
OG0000476	Syak.g_01447	Syae.g_01981
OG0000477	Syak.g_01453	Syae.g_01975
OG0000478	Syak.g_01454	Syae.g_01974
OG0000479	Syak.g_01455	Syae.g_01973
OG0000480	Syak.g_01462	Syae.g_01966
OG0000481	Syak.g_01464	Syae.g_01964
OG0000482	Syak.g_01465	Syae.g_01963
OG0000483	Syak.g_01469	Syae.g_01959
OG0000484	Syak.g_01470	Syae.g_01958
OG0000485	Syak.g_01472	Syae.g_01957
OG0000486	Syak.g_01473	Syae.g_01956
OG0000487	Syak.g_01479	Syae.g_01950
OG0000488	Syak.g_01483	Syae.g_01946
OG0000489	Syak.g_01499	Syae.g_01936
OG0000490	Syak.g_01507	Syae.g_01928
OG0000491	Syak.g_01511	Syae.g_01927
OG0000492	Syak.g_01513	Syae.g_01925
