Orthogroup	Syak	Syaf
OG0000260	Syak.g_00338	Syaf.g_02134
OG0000261	Syak.g_00348	Syaf.g_02131
OG0000262	Syak.g_00353	Syaf.g_02126
OG0000263	Syak.g_00828	Syaf.g_01585
OG0000264	Syak.g_00698	Syaf.g_01473
OG0000265	Syak.g_00211	Syaf.g_01196
OG0000267	Syak.g_00555	Syaf.g_01787
OG0000268	Syak.g_00554	Syaf.g_01788
OG0000269	Syak.g_00429	Syaf.g_02054
OG0000270	Syak.g_00432	Syaf.g_02051
OG0000271	Syak.g_00440	Syaf.g_02043
OG0000272	Syak.g_00441	Syaf.g_02042
OG0000274	Syak.g_00615	Syaf.g_01391
OG0000275	Syak.g_00611	Syaf.g_01386
OG0000276	Syak.g_00604	Syaf.g_01379
OG0000277	Syak.g_00603	Syaf.g_01378
OG0000278	Syak.g_00600	Syaf.g_01375
OG0000279	Syak.g_00592	Syaf.g_01367
OG0000280	Syak.g_00582	Syaf.g_01337
OG0000281	Syak.g_00339	Syaf.g_01636
OG0000282	Syak.g_00375	Syaf.g_02101
OG0000283	Syak.g_00541	Syaf.g_01804
OG0000284	Syak.g_00536	Syaf.g_01810
OG0000285	Syak.g_00523	Syaf.g_01842
OG0000286	Syak.g_00504	Syaf.g_01860
OG0000287	Syak.g_00477	Syaf.g_01896
OG0000288	Syak.g_00644	Syaf.g_01929
OG0000289	Syak.g_00659	Syaf.g_01943
OG0000290	Syak.g_00738	Syaf.g_01439
OG0000291	Syak.g_00734, Syak.g_00737	Syaf.g_01441
OG0000292	Syak.g_01802	Syaf.g_00505
OG0000293	Syak.g_00910	Syaf.g_01277
OG0000294	Syak.g_00909	Syaf.g_01278
OG0000295	Syak.g_00863	Syaf.g_01316
OG0000296	Syak.g_00861	Syaf.g_01318
OG0000297	Syak.g_00848	Syaf.g_01607
OG0000298	Syak.g_00847	Syaf.g_01606
OG0000299	Syak.g_00820	Syaf.g_01578
OG0000300	Syak.g_00813	Syaf.g_01571
OG0000301	Syak.g_00812	Syaf.g_01570
OG0000302	Syak.g_00811	Syaf.g_01568
OG0000303	Syak.g_00674	Syaf.g_01559
OG0000304	Syak.g_00680	Syaf.g_01551
OG0000305	Syak.g_00732	Syaf.g_01444
OG0000306	Syak.g_00094	Syaf.g_01332
OG0000307	Syak.g_02556	Syaf.g_02742
OG0000308	Syak.g_02554	Syaf.g_02744
OG0000309	Syak.g_02549	Syaf.g_02749
OG0000310	Syak.g_00994	Syaf.g_02387
OG0000311	Syak.g_00999	Syaf.g_02391
OG0000312	Syak.g_01028	Syaf.g_02397
OG0000313	Syak.g_01046	Syaf.g_02421
OG0000314	Syak.g_01079	Syaf.g_02458
OG0000315	Syak.g_01090	Syaf.g_02468
OG0000316	Syak.g_02462	Syaf.g_01088
OG0000317	Syak.g_02419	Syaf.g_01040
OG0000318	Syak.g_02415	Syaf.g_01032
OG0000319	Syak.g_02399	Syaf.g_01015
OG0000320	Syak.g_02397	Syaf.g_01013
OG0000321	Syak.g_02396	Syaf.g_01012
OG0000322	Syak.g_02395	Syaf.g_01011
OG0000323	Syak.g_02380	Syaf.g_00997
OG0000324	Syak.g_02347	Syaf.g_01164
OG0000325	Syak.g_01391	Syaf.g_00176
OG0000326	Syak.g_01384	Syaf.g_00169
OG0000327	Syak.g_01350	Syaf.g_00138
OG0000328	Syak.g_01349	Syaf.g_00137
OG0000329	Syak.g_01331	Syaf.g_00119
OG0000330	Syak.g_01330	Syaf.g_00118
OG0000331	Syak.g_01329	Syaf.g_00117
OG0000332	Syak.g_01314	Syaf.g_00102
OG0000333	Syak.g_01311	Syaf.g_00099
OG0000334	Syak.g_01302	Syaf.g_00090
OG0000335	Syak.g_01298	Syaf.g_00085
OG0000336	Syak.g_01294	Syaf.g_00081
OG0000337	Syak.g_01555	Syaf.g_00344
OG0000338	Syak.g_01558	Syaf.g_00348
OG0000339	Syak.g_01566	Syaf.g_00355
OG0000340	Syak.g_01626	Syaf.g_00366
OG0000341	Syak.g_01628	Syaf.g_00368
OG0000342	Syak.g_01629	Syaf.g_00369
OG0000343	Syak.g_01631	Syaf.g_00370
OG0000344	Syak.g_01635	Syaf.g_00374
OG0000345	Syak.g_01645	Syaf.g_00384
OG0000346	Syak.g_01651	Syaf.g_00389
OG0000347	Syak.g_01694	Syaf.g_00415
OG0000348	Syak.g_01717	Syaf.g_00427
