Orthogroup	Syak	Prbc
OG0000227	Syak.g_01224	Prbc.g_01263
OG0000228	Syak.g_01216	Prbc.g_01267
OG0000229	Syak.g_01191	Prbc.g_01497
OG0000230	Syak.g_01189	Prbc.g_01499
OG0000231	Syak.g_01176	Prbc.g_01510
OG0000232	Syak.g_01156	Prbc.g_01518
OG0000233	Syak.g_01145	Prbc.g_01526
OG0000234	Syak.g_01116	Prbc.g_01535
OG0000235	Syak.g_02573	Prbc.g_01539
OG0000236	Syak.g_02589	Prbc.g_01552
OG0000237	Syak.g_02607	Prbc.g_01586
OG0000238	Syak.g_02612	Prbc.g_01592
OG0000239	Syak.g_02628	Prbc.g_01604
OG0000240	Syak.g_02629	Prbc.g_01605
OG0000241	Syak.g_00027	Prbc.g_01609
OG0000242	Syak.g_02638	Prbc.g_01611
OG0000243	Syak.g_02658	Prbc.g_01622
OG0000244	Syak.g_02665	Prbc.g_01626
OG0000245	Syak.g_02667	Prbc.g_01628
OG0000246	Syak.g_02671	Prbc.g_01632
OG0000247	Syak.g_02681	Prbc.g_01642
OG0000248	Syak.g_02684	Prbc.g_01644
OG0000249	Syak.g_02686	Prbc.g_01646
OG0000250	Syak.g_02694	Prbc.g_01651
OG0000251	Syak.g_02722	Prbc.g_01667
OG0000252	Syak.g_02725	Prbc.g_01669
OG0000253	Syak.g_02727	Prbc.g_01671
OG0000254	Syak.g_02752	Prbc.g_01688
OG0000255	Syak.g_02772	Prbc.g_01694
OG0000256	Syak.g_00020	Prbc.g_01704
OG0000257	Syak.g_00026	Prbc.g_01707
OG0000258	Syak.g_00044	Prbc.g_01720
OG0000259	Syak.g_00334	Prbc.g_01737
OG0000260	Syak.g_00338	Prbc.g_01740
OG0000261	Syak.g_00348	Prbc.g_01743
OG0000262	Syak.g_00353	Prbc.g_01748
OG0000263	Syak.g_00828	Prbc.g_01762
OG0000264	Syak.g_00698	Prbc.g_01773
OG0000265	Syak.g_00211	Prbc.g_01787
OG0000266	Syak.g_00778	Prbc.g_01797
OG0000267	Syak.g_00555	Prbc.g_01810
OG0000268	Syak.g_00554	Prbc.g_01811
OG0000269	Syak.g_00429	Prbc.g_01853
OG0000270	Syak.g_00432	Prbc.g_01856
OG0000271	Syak.g_00440	Prbc.g_01864
OG0000272	Syak.g_00441	Prbc.g_01865
OG0000273	Syak.g_00616	Prbc.g_01890
OG0000274	Syak.g_00615	Prbc.g_01891
OG0000275	Syak.g_00611	Prbc.g_01893
OG0000276	Syak.g_00604	Prbc.g_01899
OG0000277	Syak.g_00603	Prbc.g_01900
OG0000278	Syak.g_00600	Prbc.g_01904
OG0000279	Syak.g_00592	Prbc.g_01911
OG0000280	Syak.g_00582	Prbc.g_00068
OG0000281	Syak.g_00339	Prbc.g_01917
OG0000282	Syak.g_00375	Prbc.g_01979
OG0000283	Syak.g_00541	Prbc.g_02010
OG0000284	Syak.g_00536	Prbc.g_02015
OG0000285	Syak.g_00523	Prbc.g_02020
OG0000286	Syak.g_00504	Prbc.g_02035
OG0000287	Syak.g_00477	Prbc.g_02190
OG0000288	Syak.g_00644	Prbc.g_02082
OG0000289	Syak.g_00659	Prbc.g_02094
OG0000290	Syak.g_00738	Prbc.g_02110
OG0000291	Syak.g_00734, Syak.g_00737	Prbc.g_02112
OG0000292	Syak.g_01802	Prbc.g_00173
OG0000293	Syak.g_00910	Prbc.g_01456
OG0000294	Syak.g_00909	Prbc.g_01455
OG0000295	Syak.g_00863	Prbc.g_01431
OG0000296	Syak.g_00861	Prbc.g_01429
OG0000297	Syak.g_00848	Prbc.g_01421
OG0000298	Syak.g_00847	Prbc.g_01420
OG0000299	Syak.g_00820	Prbc.g_01401
OG0000300	Syak.g_00813	Prbc.g_01398
OG0000301	Syak.g_00812	Prbc.g_01397
OG0000302	Syak.g_00811	Prbc.g_01395
OG0000303	Syak.g_00674	Prbc.g_01390
OG0000304	Syak.g_00680	Prbc.g_01387
OG0000305	Syak.g_00732	Prbc.g_00810
OG0000306	Syak.g_00094	Prbc.g_01921
