Orthogroup	Syas	Praa
OG0000512	Syas.g_01517	Praa.g_00350
OG0000513	Syas.g_01508	Praa.g_00357
OG0000514	Syas.g_01504	Praa.g_00431
OG0000515	Syas.g_01503	Praa.g_00432
OG0000516	Syas.g_01501	Praa.g_00433
OG0000517	Syas.g_01498	Praa.g_00435
OG0000518	Syas.g_00360, Syas.g_02746	Praa.g_00445
OG0000519	Syas.g_02747	Praa.g_00446
OG0000520	Syas.g_02748	Praa.g_00447
OG0000521	Syas.g_01281	Praa.g_00452
OG0000522	Syas.g_01279	Praa.g_00454
OG0000523	Syas.g_01278	Praa.g_00455
OG0000524	Syas.g_01354	Praa.g_00461
OG0000525	Syas.g_01342	Praa.g_00464
OG0000526	Syas.g_01340	Praa.g_00465
OG0000527	Syas.g_01335	Praa.g_00473
OG0000528	Syas.g_01256	Praa.g_00478
OG0000529	Syas.g_01252	Praa.g_00481
OG0000530	Syas.g_01249	Praa.g_00484
OG0000531	Syas.g_01248	Praa.g_00485
OG0000532	Syas.g_01245	Praa.g_00487
OG0000533	Syas.g_01243	Praa.g_00488
OG0000534	Syas.g_01242	Praa.g_00489
OG0000535	Syas.g_01241	Praa.g_00490
OG0000536	Syas.g_01240	Praa.g_00491
OG0000537	Syas.g_01238	Praa.g_00492
OG0000538	Syas.g_01228	Praa.g_00500
OG0000539	Syas.g_01227	Praa.g_00501
OG0000540	Syas.g_01226	Praa.g_00502
OG0000541	Syas.g_01225	Praa.g_00503
OG0000542	Syas.g_01221	Praa.g_00505
OG0000543	Syas.g_01219	Praa.g_00507
OG0000544	Syas.g_01218	Praa.g_00508
OG0000545	Syas.g_01216	Praa.g_00510
OG0000546	Syas.g_01214	Praa.g_00513
OG0000547	Syas.g_01212	Praa.g_00515
OG0000548	Syas.g_01211	Praa.g_00516
OG0000549	Syas.g_00005	Praa.g_00518
OG0000550	Syas.g_00010	Praa.g_00523
OG0000551	Syas.g_00015	Praa.g_00527
OG0000552	Syas.g_00016	Praa.g_00528
OG0000553	Syas.g_00019	Praa.g_00529
OG0000554	Syas.g_00063	Praa.g_00534
OG0000555	Syas.g_00775	Praa.g_00543
OG0000556	Syas.g_00781	Praa.g_00545
OG0000557	Syas.g_00783	Praa.g_00546
OG0000558	Syas.g_00785	Praa.g_00548
OG0000559	Syas.g_00789	Praa.g_00552
OG0000560	Syas.g_00792	Praa.g_00555
OG0000561	Syas.g_00793	Praa.g_00556
OG0000562	Syas.g_00794	Praa.g_00557
OG0000563	Syas.g_00795	Praa.g_00558
OG0000564	Syas.g_00796	Praa.g_00559
OG0000565	Syas.g_00800	Praa.g_00562
OG0000566	Syas.g_00804	Praa.g_00564
OG0000567	Syas.g_00808	Praa.g_00568
OG0000568	Syas.g_00810	Praa.g_00569
OG0000569	Syas.g_00811	Praa.g_00570
OG0000570	Syas.g_00812	Praa.g_00571
OG0000571	Syas.g_00815	Praa.g_00573
OG0000572	Syas.g_00839	Praa.g_00586
OG0000573	Syas.g_00952	Praa.g_00592
OG0000574	Syas.g_00951	Praa.g_00593
OG0000575	Syas.g_00848	Praa.g_00597
OG0000576	Syas.g_00850	Praa.g_00599
OG0000577	Syas.g_00851	Praa.g_00600
OG0000578	Syas.g_00852	Praa.g_00601
OG0000579	Syas.g_00853	Praa.g_00602
OG0000580	Syas.g_00854	Praa.g_00603
OG0000581	Syas.g_00861	Praa.g_00605
OG0000582	Syas.g_00873	Praa.g_00608
OG0000583	Syas.g_00872	Praa.g_00609
OG0000584	Syas.g_00871	Praa.g_00610
OG0000585	Syas.g_00868	Praa.g_00612
OG0000586	Syas.g_00867	Praa.g_00613
OG0000587	Syas.g_00865	Praa.g_00614
OG0000588	Syas.g_00960	Praa.g_00618
OG0000589	Syas.g_00121	Praa.g_00621
OG0000590	Syas.g_00120	Praa.g_00622
OG0000591	Syas.g_00106	Praa.g_00625
OG0000592	Syas.g_00105	Praa.g_00626
OG0000593	Syas.g_00750	Praa.g_00632
OG0000594	Syas.g_00749	Praa.g_00633
OG0000595	Syas.g_00748	Praa.g_00634
OG0000596	Syas.g_00743	Praa.g_00638
OG0000597	Syas.g_00740	Praa.g_00640
OG0000598	Syas.g_00739	Praa.g_00641
OG0000599	Syas.g_00732	Praa.g_00644
OG0000600	Syas.g_00731	Praa.g_00645
OG0000601	Syas.g_00730	Praa.g_00646
OG0000602	Syas.g_00725	Praa.g_00648
OG0000603	Syas.g_00724	Praa.g_00649
OG0000604	Syas.g_00721	Praa.g_00650
OG0000605	Syas.g_00719	Praa.g_00651
OG0000606	Syas.g_00716	Praa.g_00654
OG0000607	Syas.g_00713	Praa.g_00657
OG0000608	Syas.g_00712	Praa.g_00658
OG0000609	Syas.g_00710	Praa.g_00659
