Orthogroup	Pram	Syaq
OG0000153	Pram.g_00961	Syaq.g_02518
OG0000154	Pram.g_00978	Syaq.g_00066
OG0000155	Pram.g_01118	Syaq.g_00212
OG0000156	Pram.g_01219	Syaq.g_00281
OG0000157	Pram.g_01220	Syaq.g_00282
OG0000158	Pram.g_01815	Syaq.g_01003
OG0000159	Pram.g_01438	Syaq.g_00918
OG0000160	Pram.g_01377	Syaq.g_00374
OG0000161	Pram.g_01145, Pram.g_01371	Syaq.g_00382
OG0000162	Pram.g_01365	Syaq.g_00389
OG0000163	Pram.g_01326	Syaq.g_01730
OG0000164	Pram.g_01656	Syaq.g_01642
OG0000165	Pram.g_01664	Syaq.g_01630
OG0000166	Pram.g_01733	Syaq.g_00647
OG0000167	Pram.g_01805	Syaq.g_00983
OG0000168	Pram.g_01816	Syaq.g_01004
OG0000169	Pram.g_01826	Syaq.g_01016
OG0000170	Pram.g_01829	Syaq.g_01023
OG0000171	Pram.g_01849	Syaq.g_01052
OG0000172	Pram.g_01856	Syaq.g_01074
OG0000173	Pram.g_01871	Syaq.g_01092
OG0000174	Pram.g_01902	Syaq.g_01224
OG0000175	Pram.g_01914	Syaq.g_01183
OG0000176	Pram.g_01942	Syaq.g_01146
OG0000177	Pram.g_01943	Syaq.g_01145
OG0000178	Pram.g_01944	Syaq.g_01144
OG0000179	Pram.g_00003	Syaq.g_01129
OG0000180	Pram.g_00004	Syaq.g_01128
OG0000181	Pram.g_00005	Syaq.g_01127
OG0000182	Pram.g_00006	Syaq.g_01126
OG0000183	Pram.g_00010	Syaq.g_01122
OG0000184	Pram.g_00033	Syaq.g_01277
OG0000185	Pram.g_00036	Syaq.g_01290
OG0000186	Pram.g_00048	Syaq.g_01563
OG0000187	Pram.g_00049	Syaq.g_01561
OG0000188	Pram.g_00066	Syaq.g_01539
OG0000189	Pram.g_00080	Syaq.g_01499
OG0000190	Pram.g_00081	Syaq.g_01497
OG0000191	Pram.g_00103	Syaq.g_01467
OG0000192	Pram.g_00108	Syaq.g_01462
OG0000193	Pram.g_00131	Syaq.g_01423
OG0000194	Pram.g_00134	Syaq.g_01420
OG0000195	Pram.g_00136	Syaq.g_01418
