Orthogroup	Syan	Praf
OG0000532	Syan.g_02756	Praf.g_00603
OG0000533	Syan.g_02754	Praf.g_00605
OG0000534	Syan.g_02753	Praf.g_00606
OG0000535	Syan.g_02752	Praf.g_00607
OG0000536	Syan.g_02751	Praf.g_00608
OG0000537	Syan.g_02750	Praf.g_00609
OG0000538	Syan.g_02738	Praf.g_00619
OG0000539	Syan.g_02737	Praf.g_00621
OG0000540	Syan.g_02736	Praf.g_00622
OG0000541	Syan.g_02735	Praf.g_00623
OG0000542	Syan.g_02732	Praf.g_00626
OG0000543	Syan.g_02730	Praf.g_00628
OG0000544	Syan.g_02729	Praf.g_00629
OG0000545	Syan.g_02727	Praf.g_00630
OG0000546	Syan.g_02725	Praf.g_00632
OG0000547	Syan.g_02723	Praf.g_00634
OG0000548	Syan.g_02722	Praf.g_00635
OG0000549	Syan.g_01194	Praf.g_00641
OG0000550	Syan.g_01189	Praf.g_00646
OG0000551	Syan.g_01184	Praf.g_00650
OG0000552	Syan.g_01183	Praf.g_00651
OG0000553	Syan.g_01179	Praf.g_00656
OG0000554	Syan.g_01165	Praf.g_00661
OG0000555	Syan.g_00839	Praf.g_00677
OG0000556	Syan.g_00842	Praf.g_00683
OG0000557	Syan.g_00847	Praf.g_00684
OG0000558	Syan.g_00849	Praf.g_00687
OG0000559	Syan.g_00853	Praf.g_00691
OG0000560	Syan.g_00856	Praf.g_00694
OG0000561	Syan.g_00857	Praf.g_00695
OG0000562	Syan.g_00858	Praf.g_00696
OG0000563	Syan.g_00859	Praf.g_00697
OG0000564	Syan.g_00860	Praf.g_00698
OG0000565	Syan.g_00864	Praf.g_00701
OG0000566	Syan.g_00868	Praf.g_00705
OG0000567	Syan.g_00872	Praf.g_00709
OG0000568	Syan.g_00874	Praf.g_00711
OG0000569	Syan.g_00875	Praf.g_00712
OG0000570	Syan.g_00876	Praf.g_00713
OG0000571	Syan.g_00879	Praf.g_00716
OG0000572	Syan.g_00954	Praf.g_00733
OG0000573	Syan.g_00963	Praf.g_00740
OG0000574	Syan.g_00965	Praf.g_00741
OG0000575	Syan.g_01003	Praf.g_00751
OG0000576	Syan.g_01007	Praf.g_00753
OG0000577	Syan.g_01008	Praf.g_00754
OG0000578	Syan.g_01009	Praf.g_00755
OG0000579	Syan.g_01010	Praf.g_00756
OG0000580	Syan.g_01011	Praf.g_00757
OG0000581	Syan.g_01018	Praf.g_00761
OG0000582	Syan.g_01030	Praf.g_00765
OG0000583	Syan.g_01029	Praf.g_00766
OG0000584	Syan.g_01028	Praf.g_00767
