Orthogroup	Praa	Syas
OG0000276	Praa.g_00843	Syas.g_00237
OG0000277	Praa.g_00844	Syas.g_00238
OG0000278	Praa.g_00847	Syas.g_00241
OG0000279	Praa.g_00854	Syas.g_00288
OG0000280	Praa.g_00855	Syas.g_00889, Syas.g_00481
OG0000281	Praa.g_00860	Syas.g_00970
OG0000282	Praa.g_00909	Syas.g_00672
OG0000283	Praa.g_00941	Syas.g_00409
OG0000284	Praa.g_00946	Syas.g_00416
OG0000285	Praa.g_00951	Syas.g_00436
OG0000286	Praa.g_00963	Syas.g_00460
OG0000287	Praa.g_00980	Syas.g_00534
OG0000288	Praa.g_01012	Syas.g_00220
OG0000289	Praa.g_01023	Syas.g_00205
OG0000290	Praa.g_01036	Syas.g_01016
OG0000291	Praa.g_01038	Syas.g_01018
OG0000292	Praa.g_01089	Syas.g_02020
OG0000293	Praa.g_01151	Syas.g_01197
OG0000294	Praa.g_01152	Syas.g_01196
OG0000295	Praa.g_01171	Syas.g_01139
OG0000296	Praa.g_01173	Syas.g_01137
OG0000297	Praa.g_01181	Syas.g_01124
OG0000298	Praa.g_01182	Syas.g_01123
OG0000299	Praa.g_01199	Syas.g_01087
OG0000300	Praa.g_01202	Syas.g_01082
OG0000301	Praa.g_01203	Syas.g_01081
OG0000302	Praa.g_01205	Syas.g_01080
OG0000303	Praa.g_01212	Syas.g_01071
OG0000304	Praa.g_01216	Syas.g_01066
OG0000305	Praa.g_01358	Syas.g_01023
OG0000306	Praa.g_01361	Syas.g_01929
OG0000307	Praa.g_01375	Syas.g_01270
OG0000308	Praa.g_01376	Syas.g_01272
OG0000309	Praa.g_01380	Syas.g_01364
OG0000310	Praa.g_01461	Syas.g_02796
OG0000311	Praa.g_01463	Syas.g_02799
OG0000312	Praa.g_01466	Syas.g_02804
OG0000313	Praa.g_01480	Syas.g_02823
OG0000314	Praa.g_01503	Syas.g_01296
OG0000315	Praa.g_01513	Syas.g_01306
OG0000316	Praa.g_01533	Syas.g_02728
OG0000317	Praa.g_01633	Syas.g_02687
OG0000318	Praa.g_01636	Syas.g_02680
OG0000319	Praa.g_01649	Syas.g_02663
OG0000320	Praa.g_01651	Syas.g_02661
OG0000321	Praa.g_01652	Syas.g_02660
OG0000322	Praa.g_01653	Syas.g_02659
OG0000323	Praa.g_01662	Syas.g_02646, Syas.g_00159
OG0000324	Praa.g_01690	Syas.g_02578
OG0000325	Praa.g_01700	Syas.g_01668
OG0000326	Praa.g_01706	Syas.g_01661
OG0000327	Praa.g_01734	Syas.g_01634
OG0000328	Praa.g_01735	Syas.g_01633
OG0000329	Praa.g_01752	Syas.g_01615
OG0000330	Praa.g_01753	Syas.g_01614
OG0000331	Praa.g_01754	Syas.g_01613
OG0000332	Praa.g_01768	Syas.g_01598
OG0000333	Praa.g_01770	Syas.g_01595
OG0000334	Praa.g_01778	Syas.g_01586
OG0000335	Praa.g_01783	Syas.g_01581
OG0000336	Praa.g_01787	Syas.g_01577
OG0000337	Praa.g_01804	Syas.g_02211
OG0000338	Praa.g_01805	Syas.g_02199
OG0000339	Praa.g_01809	Syas.g_02192
OG0000340	Praa.g_01817	Syas.g_02183
OG0000341	Praa.g_01819	Syas.g_02181
OG0000342	Praa.g_01820	Syas.g_02180
OG0000343	Praa.g_01821	Syas.g_02176
OG0000344	Praa.g_01824	Syas.g_02172
OG0000345	Praa.g_01829	Syas.g_02160
OG0000346	Praa.g_01833	Syas.g_02155
OG0000347	Praa.g_01849	Syas.g_02136
OG0000348	Praa.g_01859	Syas.g_02107
OG0000349	Praa.g_01876	Syas.g_02085
OG0000350	Praa.g_01894	Syas.g_01654
OG0000351	Praa.g_01911	Syas.g_01998
OG0000352	Praa.g_01912	Syas.g_01999
OG0000353	Praa.g_01927	Syas.g_02033
OG0000355	Praa.g_00001	Syas.g_02035
OG0000356	Praa.g_00002	Syas.g_02036
OG0000357	Praa.g_00003	Syas.g_02037
OG0000358	Praa.g_00007	Syas.g_02041
OG0000359	Praa.g_00008	Syas.g_02043
OG0000360	Praa.g_00009	Syas.g_02044
OG0000361	Praa.g_00010	Syas.g_02045
OG0000362	Praa.g_00012	Syas.g_02047
OG0000363	Praa.g_00014	Syas.g_02049
OG0000364	Praa.g_00015	Syas.g_02685
OG0000365	Praa.g_00020	Syas.g_02058
OG0000366	Praa.g_00021	Syas.g_02059
OG0000368	Praa.g_00024	Syas.g_02062
OG0000369	Praa.g_00025	Syas.g_02063
OG0000370	Praa.g_00026	Syas.g_02064
OG0000371	Praa.g_00032	Syas.g_02073
OG0000372	Praa.g_00035	Syas.g_02078
OG0000373	Praa.g_00036	Syas.g_02079
OG0000374	Praa.g_00037	Syas.g_02080
OG0000375	Praa.g_00040	Syas.g_02081
OG0000376	Praa.g_00042	Syas.g_02083
OG0000377	Praa.g_00045	Syas.g_01879
OG0000378	Praa.g_00047	Syas.g_01867
OG0000379	Praa.g_00050	Syas.g_01859
OG0000380	Praa.g_00066	Syas.g_02523
OG0000381	Praa.g_00070	Syas.g_02521
OG0000382	Praa.g_00081	Syas.g_02503
OG0000383	Praa.g_00083	Syas.g_02480
OG0000384	Praa.g_00084	Syas.g_02479
OG0000385	Praa.g_00085	Syas.g_02478
OG0000386	Praa.g_00086	Syas.g_02477
OG0000387	Praa.g_00099	Syas.g_00134
OG0000388	Praa.g_00102	Syas.g_02426
OG0000389	Praa.g_00106	Syas.g_02422
OG0000390	Praa.g_00113	Syas.g_02406
OG0000391	Praa.g_00116	Syas.g_02401
OG0000392	Praa.g_00120	Syas.g_02396
OG0000393	Praa.g_00122	Syas.g_02394
OG0000394	Praa.g_00123	Syas.g_02393
OG0000395	Praa.g_00124	Syas.g_02392
OG0000396	Praa.g_00127	Syas.g_02389
OG0000397	Praa.g_00129	Syas.g_02387
OG0000398	Praa.g_00131	Syas.g_02382
OG0000399	Praa.g_00132	Syas.g_02381
OG0000400	Praa.g_00133	Syas.g_02380
OG0000401	Praa.g_00134	Syas.g_02379
OG0000402	Praa.g_00136	Syas.g_02377
OG0000403	Praa.g_00137	Syas.g_02376
OG0000404	Praa.g_00138	Syas.g_02375
OG0000405	Praa.g_00142	Syas.g_02369
OG0000406	Praa.g_00147	Syas.g_02365
OG0000407	Praa.g_00148	Syas.g_02364
OG0000408	Praa.g_00150	Syas.g_02361
OG0000409	Praa.g_00152	Syas.g_02359
OG0000410	Praa.g_00153	Syas.g_02358
OG0000411	Praa.g_00154	Syas.g_02357
OG0000412	Praa.g_00155	Syas.g_02356
OG0000413	Praa.g_00156	Syas.g_02354
OG0000414	Praa.g_00157	Syas.g_02353
OG0000415	Praa.g_00158	Syas.g_02352
OG0000416	Praa.g_00159	Syas.g_02351
OG0000417	Praa.g_00160	Syas.g_02338
OG0000418	Praa.g_00165	Syas.g_02333
OG0000419	Praa.g_00167	Syas.g_02331
OG0000420	Praa.g_00168	Syas.g_02329
OG0000421	Praa.g_00173	Syas.g_02324
OG0000422	Praa.g_00174	Syas.g_02323
OG0000423	Praa.g_00175	Syas.g_02322
OG0000424	Praa.g_00176	Syas.g_02321
OG0000425	Praa.g_00177	Syas.g_02320
OG0000426	Praa.g_00178	Syas.g_02319
OG0000427	Praa.g_00179	Syas.g_02318
OG0000428	Praa.g_00181	Syas.g_02315
OG0000429	Praa.g_00182	Syas.g_02312
OG0000430	Praa.g_00183	Syas.g_02311
OG0000431	Praa.g_00185	Syas.g_02296
OG0000432	Praa.g_00188	Syas.g_02288
OG0000433	Praa.g_00189	Syas.g_02286
OG0000434	Praa.g_00190	Syas.g_02285
OG0000435	Praa.g_00191	Syas.g_02282
OG0000436	Praa.g_00196	Syas.g_02273
OG0000437	Praa.g_00197	Syas.g_02272
OG0000438	Praa.g_00198	Syas.g_02271
OG0000439	Praa.g_00200	Syas.g_02269
OG0000440	Praa.g_00201	Syas.g_02268
OG0000441	Praa.g_00204	Syas.g_02265
OG0000442	Praa.g_00205	Syas.g_02259
OG0000443	Praa.g_00206	Syas.g_02241
OG0000444	Praa.g_00211	Syas.g_02234
OG0000445	Praa.g_00212	Syas.g_02233
OG0000446	Praa.g_00213	Syas.g_02231
OG0000447	Praa.g_00214	Syas.g_02229
OG0000448	Praa.g_00215	Syas.g_02228
OG0000449	Praa.g_00216	Syas.g_02226
OG0000450	Praa.g_00217	Syas.g_01834
OG0000451	Praa.g_00218	Syas.g_01835
OG0000452	Praa.g_00221	Syas.g_01844
OG0000453	Praa.g_00222	Syas.g_01845
OG0000454	Praa.g_00223	Syas.g_01846
OG0000455	Praa.g_00224	Syas.g_01847
OG0000456	Praa.g_00225	Syas.g_01848
OG0000457	Praa.g_00226	Syas.g_01850
OG0000458	Praa.g_00227	Syas.g_01851
OG0000459	Praa.g_00228	Syas.g_01852
