Orthogroup	Praz	Prai
OG0000322	Praz.g_00859	Prai.g_01656
OG0000323	Praz.g_00850	Prai.g_01665
OG0000324	Praz.g_00824	Prai.g_01691
OG0000325	Praz.g_00334	Prai.g_01702
OG0000326	Praz.g_00328	Prai.g_01708
OG0000327	Praz.g_00304	Prai.g_01735
OG0000328	Praz.g_00303	Prai.g_01736
OG0000329	Praz.g_00286	Prai.g_01754
OG0000330	Praz.g_00285	Prai.g_01755
OG0000331	Praz.g_00284	Prai.g_01756
OG0000332	Praz.g_00270	Prai.g_01770
OG0000333	Praz.g_00268	Prai.g_01777
OG0000334	Praz.g_00260	Prai.g_01785
OG0000335	Praz.g_00255	Prai.g_01790
OG0000336	Praz.g_00251	Prai.g_01794
OG0000337	Praz.g_00234	Prai.g_01810
OG0000338	Praz.g_00233	Prai.g_01811
OG0000339	Praz.g_00229	Prai.g_01815
OG0000340	Praz.g_00221	Prai.g_01823
OG0000341	Praz.g_00219	Prai.g_01825
OG0000342	Praz.g_00218	Prai.g_01826
OG0000343	Praz.g_00217	Prai.g_01827
OG0000344	Praz.g_00214	Prai.g_01830
OG0000345	Praz.g_00209	Prai.g_01835
OG0000346	Praz.g_00204	Prai.g_01839
OG0000347	Praz.g_00188	Prai.g_01855
OG0000348	Praz.g_00178	Prai.g_01866
OG0000349	Praz.g_00161	Prai.g_01883
OG0000350	Praz.g_00142	Prai.g_01901
OG0000351	Praz.g_00125	Prai.g_01918
OG0000352	Praz.g_00124	Prai.g_01919
OG0000353	Praz.g_00364	Prai.g_01935
OG0000355	Praz.g_00366	Prai.g_00001
OG0000356	Praz.g_00367	Prai.g_00002
OG0000357	Praz.g_00368	Prai.g_00003
OG0000358	Praz.g_00372	Prai.g_00007
OG0000359	Praz.g_00373	Prai.g_00008
OG0000360	Praz.g_00374	Prai.g_00009
OG0000361	Praz.g_00375	Prai.g_00010
OG0000362	Praz.g_00377	Prai.g_00012
OG0000363	Praz.g_00379	Prai.g_00014
OG0000364	Praz.g_00380	Prai.g_00015
OG0000365	Praz.g_00385	Prai.g_00020
OG0000366	Praz.g_00386	Prai.g_00021
OG0000367	Praz.g_00387	Prai.g_00022
OG0000368	Praz.g_00389	Prai.g_00024
OG0000369	Praz.g_00390	Prai.g_00025
OG0000370	Praz.g_00391	Prai.g_00026
OG0000371	Praz.g_00397	Prai.g_00032
OG0000372	Praz.g_00400	Prai.g_00035
OG0000373	Praz.g_00401	Prai.g_00036
OG0000374	Praz.g_00402	Prai.g_00037
OG0000375	Praz.g_00406	Prai.g_00047
OG0000376	Praz.g_00408	Prai.g_00049
OG0000377	Praz.g_00411	Prai.g_00052
OG0000378	Praz.g_00413	Prai.g_00054
OG0000379	Praz.g_00416	Prai.g_00057
OG0000380	Praz.g_00426	Prai.g_00066
OG0000381	Praz.g_00430	Prai.g_00070
OG0000382	Praz.g_00441	Prai.g_00081
OG0000383	Praz.g_00443	Prai.g_00083
OG0000384	Praz.g_00444	Prai.g_00084
OG0000385	Praz.g_00445	Prai.g_00085
OG0000386	Praz.g_00446	Prai.g_00086
OG0000387	Praz.g_00459	Prai.g_00099
OG0000388	Praz.g_00462	Prai.g_00102
OG0000389	Praz.g_00466	Prai.g_00106
OG0000390	Praz.g_00473	Prai.g_00113
OG0000391	Praz.g_00476	Prai.g_00116
OG0000392	Praz.g_00480	Prai.g_00120
OG0000393	Praz.g_00482	Prai.g_00122
OG0000394	Praz.g_00483	Prai.g_00123
OG0000395	Praz.g_00484	Prai.g_00124
OG0000396	Praz.g_00487	Prai.g_00127
OG0000397	Praz.g_00489	Prai.g_00129
OG0000398	Praz.g_00491	Prai.g_00131
OG0000399	Praz.g_00492	Prai.g_00132
OG0000400	Praz.g_00493	Prai.g_00133
OG0000401	Praz.g_00494	Prai.g_00134
OG0000402	Praz.g_00496	Prai.g_00136
OG0000403	Praz.g_00497	Prai.g_00137
