Orthogroup	Syal	Prai
OG0000466	Syal.g_01210	Prai.g_00263
OG0000467	Syal.g_01212	Prai.g_00264
OG0000468	Syal.g_01225	Prai.g_00266
OG0000469	Syal.g_01240	Prai.g_00275
OG0000470	Syal.g_01242	Prai.g_00277
OG0000471	Syal.g_01243	Prai.g_00278
OG0000472	Syal.g_01245	Prai.g_00279
OG0000473	Syal.g_01247	Prai.g_00281
OG0000474	Syal.g_01248	Prai.g_00282
OG0000475	Syal.g_01249	Prai.g_00283
OG0000476	Syal.g_01251	Prai.g_00284
OG0000477	Syal.g_01257	Prai.g_00288
OG0000478	Syal.g_01258	Prai.g_00289
OG0000479	Syal.g_01259	Prai.g_00290
OG0000480	Syal.g_01266	Prai.g_00295
OG0000481	Syal.g_01268	Prai.g_00297
OG0000482	Syal.g_01269	Prai.g_00298
OG0000483	Syal.g_01273	Prai.g_00301
OG0000484	Syal.g_01274	Prai.g_00302
OG0000485	Syal.g_01275	Prai.g_00303
OG0000486	Syal.g_01276	Prai.g_00304
OG0000487	Syal.g_01282	Prai.g_00308
OG0000488	Syal.g_01286	Prai.g_00311
OG0000489	Syal.g_01298	Prai.g_00316
OG0000490	Syal.g_01307	Prai.g_00321
OG0000491	Syal.g_01308	Prai.g_00322
OG0000492	Syal.g_01310	Prai.g_00324
OG0000493	Syal.g_01311	Prai.g_00325
OG0000494	Syal.g_01312	Prai.g_00326
OG0000495	Syal.g_01313	Prai.g_00327
OG0000496	Syal.g_01314	Prai.g_00328
OG0000497	Syal.g_01315	Prai.g_00329
OG0000498	Syal.g_01316	Prai.g_00330
OG0000499	Syal.g_01317	Prai.g_00331
OG0000500	Syal.g_01318	Prai.g_00332
OG0000501	Syal.g_01321	Prai.g_00334
OG0000502	Syal.g_01328	Prai.g_00337
OG0000503	Syal.g_00347	Prai.g_00347
OG0000504	Syal.g_00349	Prai.g_00348
OG0000505	Syal.g_00350	Prai.g_00349
OG0000506	Syal.g_00352	Prai.g_00351
OG0000507	Syal.g_00358	Prai.g_00354
OG0000508	Syal.g_00362	Prai.g_00357
OG0000509	Syal.g_00364	Prai.g_00359
OG0000510	Syal.g_00365	Prai.g_00360
OG0000511	Syal.g_00366	Prai.g_00361
OG0000512	Syal.g_00368	Prai.g_00363
OG0000513	Syal.g_00551	Prai.g_00370
OG0000514	Syal.g_00539	Prai.g_00462
OG0000515	Syal.g_00538	Prai.g_00463
OG0000516	Syal.g_00534	Prai.g_00464
OG0000517	Syal.g_00526	Prai.g_00466
OG0000518	Syal.g_00514	Prai.g_00477
OG0000519	Syal.g_00513	Prai.g_00478
OG0000520	Syal.g_00512	Prai.g_00479
OG0000521	Syal.g_00502	Prai.g_00484
OG0000522	Syal.g_00500	Prai.g_00486
OG0000523	Syal.g_00499	Prai.g_00487
OG0000524	Syal.g_00491	Prai.g_00492
OG0000525	Syal.g_00473	Prai.g_00495
OG0000526	Syal.g_00471	Prai.g_00496
OG0000527	Syal.g_00465	Prai.g_00503
OG0000528	Syal.g_02893	Prai.g_00508
OG0000529	Syal.g_02898	Prai.g_00511
OG0000530	Syal.g_02901	Prai.g_00514
OG0000531	Syal.g_02902	Prai.g_00515
OG0000532	Syal.g_02905	Prai.g_00517
OG0000533	Syal.g_02907	Prai.g_00518
OG0000534	Syal.g_02908	Prai.g_00519
OG0000535	Syal.g_02909	Prai.g_00520
OG0000536	Syal.g_02910	Prai.g_00521
OG0000537	Syal.g_02911	Prai.g_00522
OG0000538	Syal.g_02923	Prai.g_00530
OG0000539	Syal.g_02924	Prai.g_00531
OG0000540	Syal.g_02925	Prai.g_00532
OG0000541	Syal.g_02926	Prai.g_00533
OG0000542	Syal.g_02929	Prai.g_00535
OG0000543	Syal.g_02931	Prai.g_00537
OG0000544	Syal.g_02932	Prai.g_00538
OG0000545	Syal.g_02934	Prai.g_00540
OG0000546	Syal.g_02936	Prai.g_00543
OG0000547	Syal.g_02938	Prai.g_00544
OG0000548	Syal.g_02939	Prai.g_00545
OG0000549	Syal.g_02945	Prai.g_00547
OG0000550	Syal.g_02949	Prai.g_00552
OG0000551	Syal.g_02953	Prai.g_00555
OG0000552	Syal.g_02954	Prai.g_00556
OG0000553	Syal.g_02843	Prai.g_00557
OG0000554	Syal.g_02837	Prai.g_00562
OG0000555	Syal.g_02823	Prai.g_00570
OG0000556	Syal.g_02819	Prai.g_00572
OG0000557	Syal.g_02816	Prai.g_00573
OG0000558	Syal.g_02814	Prai.g_00575
OG0000559	Syal.g_02305, Syal.g_02810	Prai.g_00579
OG0000560	Syal.g_02807	Prai.g_00582
OG0000561	Syal.g_02806	Prai.g_00583
OG0000562	Syal.g_02805	Prai.g_00584
OG0000563	Syal.g_02804	Prai.g_00585
OG0000564	Syal.g_02803	Prai.g_00586
OG0000565	Syal.g_02799	Prai.g_00589
OG0000566	Syal.g_02795	Prai.g_00592
OG0000567	Syal.g_02791	Prai.g_00596
OG0000568	Syal.g_02789	Prai.g_00597
OG0000569	Syal.g_02788	Prai.g_00598
OG0000570	Syal.g_02787	Prai.g_00599
OG0000571	Syal.g_02784	Prai.g_00601
OG0000572	Syal.g_02767	Prai.g_00614
OG0000573	Syal.g_02759	Prai.g_00620
OG0000574	Syal.g_02758	Prai.g_00621
OG0000575	Syal.g_02753	Prai.g_00625
OG0000576	Syal.g_02751	Prai.g_00627
OG0000577	Syal.g_02750	Prai.g_00628
OG0000578	Syal.g_02749	Prai.g_00629
OG0000579	Syal.g_02748	Prai.g_00630
OG0000580	Syal.g_02747	Prai.g_00631
OG0000581	Syal.g_02741	Prai.g_00633
OG0000582	Syal.g_02736	Prai.g_00636
OG0000583	Syal.g_02735	Prai.g_00637
