Orthogroup	Syal	Prae
OG0000340	Syal.g_01434	Prae.g_01800
OG0000341	Syal.g_01436	Prae.g_01802
OG0000342	Syal.g_01437	Prae.g_01803
OG0000343	Syal.g_01441	Prae.g_01804
OG0000344	Syal.g_01445	Prae.g_01807
OG0000345	Syal.g_01455	Prae.g_01812
OG0000346	Syal.g_01460	Prae.g_01816
OG0000347	Syal.g_01525	Prae.g_01832
OG0000348	Syal.g_00170	Prae.g_01841
OG0000349	Syal.g_00148	Prae.g_01858
OG0000350	Syal.g_00209	Prae.g_01877
OG0000351	Syal.g_01175	Prae.g_01894
OG0000352	Syal.g_01176	Prae.g_01895
OG0000353	Syal.g_00095	Prae.g_01910
OG0000354	Syal.g_00116	Prae.g_00689
OG0000355	Syal.g_00098	Prae.g_00001
OG0000356	Syal.g_00099	Prae.g_00002
OG0000357	Syal.g_00100	Prae.g_00003
OG0000358	Syal.g_00104	Prae.g_00007
OG0000359	Syal.g_00106	Prae.g_00008
OG0000360	Syal.g_00107	Prae.g_00009
OG0000361	Syal.g_00108	Prae.g_00010
OG0000362	Syal.g_00110	Prae.g_00012
OG0000363	Syal.g_00112	Prae.g_00014
OG0000364	Syal.g_00113	Prae.g_00015
OG0000365	Syal.g_00122	Prae.g_00020
OG0000366	Syal.g_00123	Prae.g_00021
OG0000367	Syal.g_00124	Prae.g_00022
OG0000368	Syal.g_00126	Prae.g_00024
OG0000369	Syal.g_00127	Prae.g_00025
OG0000370	Syal.g_00128	Prae.g_00026
OG0000371	Syal.g_00135	Prae.g_00032
OG0000372	Syal.g_00141	Prae.g_00035
OG0000373	Syal.g_00142	Prae.g_00036
OG0000374	Syal.g_00143	Prae.g_00037
OG0000375	Syal.g_00144	Prae.g_00042
OG0000376	Syal.g_00146	Prae.g_00044
OG0000377	Syal.g_01061	Prae.g_00047
OG0000378	Syal.g_01027	Prae.g_00049
OG0000379	Syal.g_02681, Syal.g_01024	Prae.g_00052
OG0000380	Syal.g_00749	Prae.g_00066
OG0000381	Syal.g_00752	Prae.g_00070
OG0000382	Syal.g_00770	Prae.g_00081
OG0000383	Syal.g_00775	Prae.g_00083
OG0000384	Syal.g_00776	Prae.g_00084
OG0000385	Syal.g_00777	Prae.g_00085
OG0000386	Syal.g_00778	Prae.g_00086
OG0000387	Syal.g_00811	Prae.g_00099
OG0000388	Syal.g_00815	Prae.g_00102
OG0000389	Syal.g_00819	Prae.g_00105
OG0000390	Syal.g_00835	Prae.g_00112
OG0000391	Syal.g_00840	Prae.g_00116
OG0000392	Syal.g_00846	Prae.g_00120
OG0000393	Syal.g_00849	Prae.g_00122
OG0000394	Syal.g_00850	Prae.g_00123
OG0000395	Syal.g_00851	Prae.g_00124
OG0000396	Syal.g_00854	Prae.g_00127
OG0000397	Syal.g_00857	Prae.g_00129
OG0000398	Syal.g_00862	Prae.g_00131
OG0000399	Syal.g_00863	Prae.g_00132
OG0000400	Syal.g_00864	Prae.g_00133
OG0000401	Syal.g_00865	Prae.g_00134
OG0000402	Syal.g_00867	Prae.g_00136
OG0000403	Syal.g_00868	Prae.g_00137
OG0000404	Syal.g_00870	Prae.g_00138
OG0000405	Syal.g_00883	Prae.g_00142
OG0000406	Syal.g_00888	Prae.g_00150
OG0000407	Syal.g_00889	Prae.g_00151
OG0000408	Syal.g_00891	Prae.g_00153
OG0000409	Syal.g_00893	Prae.g_00155
OG0000410	Syal.g_00894	Prae.g_00156
OG0000411	Syal.g_00895	Prae.g_00157
OG0000412	Syal.g_00896	Prae.g_00158
OG0000413	Syal.g_00898	Prae.g_00159
OG0000414	Syal.g_00899	Prae.g_00160
OG0000415	Syal.g_00900	Prae.g_00161
OG0000416	Syal.g_00901	Prae.g_00162
OG0000417	Syal.g_00902	Prae.g_00163
OG0000418	Syal.g_00907	Prae.g_00168
OG0000419	Syal.g_00909	Prae.g_00170
OG0000420	Syal.g_00911	Prae.g_00171
OG0000421	Syal.g_00916	Prae.g_00176
OG0000422	Syal.g_00917	Prae.g_00177
OG0000423	Syal.g_00918	Prae.g_00178
OG0000424	Syal.g_00919	Prae.g_00179
OG0000425	Syal.g_00920	Prae.g_00180
OG0000426	Syal.g_00921	Prae.g_00181
OG0000427	Syal.g_00922	Prae.g_00182
OG0000428	Syal.g_00925	Prae.g_00184
OG0000429	Syal.g_00929	Prae.g_00185
OG0000430	Syal.g_00931	Prae.g_00186
OG0000431	Syal.g_00934	Prae.g_00188
OG0000432	Syal.g_00940	Prae.g_00191
OG0000433	Syal.g_00943	Prae.g_00192
OG0000434	Syal.g_00944	Prae.g_00193
OG0000435	Syal.g_00946	Prae.g_00194
OG0000436	Syal.g_00953	Prae.g_00199
OG0000437	Syal.g_00954	Prae.g_00200
OG0000438	Syal.g_00955	Prae.g_00201
OG0000439	Syal.g_00957	Prae.g_00203
OG0000440	Syal.g_00958	Prae.g_00204
OG0000441	Syal.g_00962	Prae.g_00207
OG0000442	Syal.g_00964	Prae.g_00208
OG0000443	Syal.g_00966	Prae.g_00209
OG0000444	Syal.g_00978	Prae.g_00214
OG0000445	Syal.g_00979	Prae.g_00215
OG0000446	Syal.g_00981	Prae.g_00216
OG0000447	Syal.g_00989	Prae.g_00217
OG0000448	Syal.g_00990	Prae.g_00218
OG0000449	Syal.g_00991	Prae.g_00219
OG0000450	Syal.g_00997	Prae.g_00220
OG0000451	Syal.g_00998	Prae.g_00221
OG0000452	Syal.g_01002	Prae.g_00224
OG0000453	Syal.g_01003	Prae.g_00225
OG0000454	Syal.g_01004	Prae.g_00226
OG0000455	Syal.g_01005	Prae.g_00227
OG0000456	Syal.g_01006	Prae.g_00228
OG0000457	Syal.g_01008	Prae.g_00229
OG0000458	Syal.g_01009	Prae.g_00230
OG0000459	Syal.g_01010	Prae.g_00231
OG0000460	Syal.g_00686	Prae.g_00238
OG0000461	Syal.g_01199	Prae.g_00245
OG0000462	Syal.g_01202	Prae.g_00247
OG0000463	Syal.g_01203	Prae.g_00248
OG0000464	Syal.g_01204	Prae.g_00249
OG0000465	Syal.g_01205	Prae.g_00250
OG0000466	Syal.g_01210	Prae.g_00253
OG0000467	Syal.g_01212	Prae.g_00254
OG0000468	Syal.g_01225	Prae.g_00256
OG0000469	Syal.g_01240	Prae.g_00265
