Orthogroup	Prbd	Pram
OG0000148	Prbd.g_00118	Pram.g_00826
OG0000149	Prbd.g_00149	Pram.g_00858
OG0000150	Prbd.g_00157	Pram.g_00868
OG0000151	Prbd.g_00216	Pram.g_00744
OG0000152	Prbd.g_00264	Pram.g_00943
OG0000153	Prbd.g_00283	Pram.g_00961
OG0000154	Prbd.g_00314	Pram.g_00978
OG0000155	Prbd.g_00488	Pram.g_01118
OG0000156	Prbd.g_01812	Pram.g_01219
OG0000157	Prbd.g_01811	Pram.g_01220
OG0000158	Prbd.g_01736	Pram.g_01815
OG0000159	Prbd.g_01735	Pram.g_01438
OG0000160	Prbd.g_01688	Pram.g_01377
OG0000161	Prbd.g_01682	Pram.g_01145, Pram.g_01371
OG0000162	Prbd.g_01676	Pram.g_01365
OG0000163	Prbd.g_01642	Pram.g_01326
OG0000164	Prbd.g_01501	Pram.g_01656
OG0000165	Prbd.g_01494	Pram.g_01664
OG0000166	Prbd.g_01427	Pram.g_01733
OG0000167	Prbd.g_01361	Pram.g_01805
OG0000168	Prbd.g_01351	Pram.g_01816
OG0000169	Prbd.g_01341	Pram.g_01826
OG0000170	Prbd.g_01339	Pram.g_01829
OG0000171	Prbd.g_01319	Pram.g_01849
OG0000172	Prbd.g_01310	Pram.g_01856
OG0000173	Prbd.g_01295	Pram.g_01871
OG0000174	Prbd.g_01268	Pram.g_01902
OG0000175	Prbd.g_01258	Pram.g_01914
OG0000176	Prbd.g_01233	Pram.g_01942
OG0000177	Prbd.g_01232	Pram.g_01943
OG0000178	Prbd.g_01231	Pram.g_01944
OG0000179	Prbd.g_01221	Pram.g_00003
OG0000180	Prbd.g_01220	Pram.g_00004
OG0000181	Prbd.g_01219	Pram.g_00005
OG0000182	Prbd.g_01218	Pram.g_00006
OG0000183	Prbd.g_01214	Pram.g_00010
OG0000184	Prbd.g_01191	Pram.g_00033
OG0000185	Prbd.g_01188	Pram.g_00036
OG0000186	Prbd.g_01180	Pram.g_00048
OG0000187	Prbd.g_01179	Pram.g_00049
OG0000188	Prbd.g_01162	Pram.g_00066
OG0000189	Prbd.g_01148	Pram.g_00080
OG0000190	Prbd.g_01147	Pram.g_00081
OG0000191	Prbd.g_01126	Pram.g_00103
OG0000192	Prbd.g_01122	Pram.g_00108
OG0000193	Prbd.g_01094	Pram.g_00131
OG0000194	Prbd.g_01091	Pram.g_00134
OG0000195	Prbd.g_01089	Pram.g_00136
OG0000196	Prbd.g_01079	Pram.g_00146
OG0000197	Prbd.g_01078	Pram.g_00147
OG0000198	Prbd.g_01077	Pram.g_00148
OG0000199	Prbd.g_01070	Pram.g_00155
OG0000200	Prbd.g_01056	Pram.g_00168
OG0000201	Prbd.g_01048	Pram.g_00177
OG0000202	Prbd.g_01047	Pram.g_00178
OG0000203	Prbd.g_01046	Pram.g_00179
OG0000204	Prbd.g_01045	Pram.g_00180
OG0000205	Prbd.g_01038	Pram.g_00187
OG0000206	Prbd.g_01033	Pram.g_00192
OG0000207	Prbd.g_01031	Pram.g_00194
OG0000208	Prbd.g_01030	Pram.g_00195
OG0000209	Prbd.g_01021	Pram.g_00204
OG0000210	Prbd.g_01020	Pram.g_00205
OG0000211	Prbd.g_01006	Pram.g_00220
OG0000212	Prbd.g_00999	Pram.g_00228
OG0000213	Prbd.g_00982	Pram.g_00246
OG0000214	Prbd.g_00972	Pram.g_00255
OG0000215	Prbd.g_00947	Pram.g_00282
