Orthogroup	Prad	Syar
OG0000283	Prad.g_00209	Syar.g_02574
OG0000284	Prad.g_00204	Syar.g_02568
OG0000285	Prad.g_00199	Syar.g_02560
OG0000286	Prad.g_00187	Syar.g_02540
OG0000287	Prad.g_00170	Syar.g_02512
OG0000288	Prad.g_00140	Syar.g_01801
OG0000289	Prad.g_01035	Syar.g_01786
OG0000290	Prad.g_01021	Syar.g_01928
OG0000291	Prad.g_01019	Syar.g_01930
OG0000292	Prad.g_00972	Syar.g_00463
OG0000293	Prad.g_01505	Syar.g_01526, Syar.g_03297
OG0000294	Prad.g_01504	Syar.g_01527, Syar.g_03296
OG0000295	Prad.g_01484	Syar.g_01951, Syar.g_03208
OG0000296	Prad.g_01482	Syar.g_01953
OG0000297	Prad.g_01474	Syar.g_03216
OG0000298	Prad.g_01473	Syar.g_03215
OG0000299	Prad.g_01455	Syar.g_01704
OG0000300	Prad.g_01452	Syar.g_01646
OG0000301	Prad.g_01451	Syar.g_01712
OG0000302	Prad.g_01449	Syar.g_01713
OG0000303	Prad.g_01442	Syar.g_01723
OG0000304	Prad.g_01438	Syar.g_01728
OG0000305	Prad.g_00602	Syar.g_01933, Syar.g_03163
OG0000306	Prad.g_00599	Syar.g_01884, Syar.g_03140
OG0000307	Prad.g_00585	Syar.g_01452, Syar.g_03153
OG0000308	Prad.g_00584	Syar.g_01450
OG0000309	Prad.g_00580	Syar.g_01239
OG0000310	Prad.g_00530	Syar.g_02826
OG0000311	Prad.g_00528	Syar.g_02823
OG0000312	Prad.g_00525	Syar.g_00015, Syar.g_02818
OG0000313	Prad.g_00511	Syar.g_02804
OG0000314	Prad.g_00487	Syar.g_01403
OG0000315	Prad.g_00477	Syar.g_01393
OG0000316	Prad.g_00457	Syar.g_02885
OG0000317	Prad.g_00943	Syar.g_02926
OG0000318	Prad.g_00940	Syar.g_02930
OG0000319	Prad.g_00927	Syar.g_02954
OG0000320	Prad.g_00925	Syar.g_02956
OG0000321	Prad.g_00924	Syar.g_02957
OG0000322	Prad.g_00923	Syar.g_02958
OG0000323	Prad.g_00914	Syar.g_02973
OG0000324	Prad.g_00887	Syar.g_00350, Syar.g_03001
OG0000325	Prad.g_00878	Syar.g_03291, Syar.g_00148
OG0000326	Prad.g_00872	Syar.g_00139, Syar.g_03134
OG0000327	Prad.g_00848	Syar.g_01029
OG0000328	Prad.g_00847	Syar.g_01030
OG0000329	Prad.g_00830	Syar.g_03189, Syar.g_01048
OG0000330	Prad.g_00829	Syar.g_01049
OG0000331	Prad.g_00828	Syar.g_03191, Syar.g_01050
OG0000332	Prad.g_00814	Syar.g_01064, Syar.g_03299
OG0000333	Prad.g_00812	Syar.g_01067
OG0000334	Prad.g_00804	Syar.g_01076
OG0000335	Prad.g_00799	Syar.g_01080
OG0000336	Prad.g_00795	Syar.g_01084
OG0000337	Prad.g_00779	Syar.g_00285
OG0000338	Prad.g_00778	Syar.g_03225, Syar.g_00287
OG0000339	Prad.g_00774	Syar.g_00658
OG0000340	Prad.g_00766, Prad.g_01294	Syar.g_00247
OG0000341	Prad.g_00764	Syar.g_00249
OG0000342	Prad.g_00763	Syar.g_00250
OG0000343	Prad.g_00762	Syar.g_00256
OG0000344	Prad.g_01639	Syar.g_00260
OG0000345	Prad.g_01634	Syar.g_00612
OG0000346	Prad.g_01630	Syar.g_00607
OG0000347	Prad.g_01615	Syar.g_00558
OG0000348	Prad.g_01606	Syar.g_00544
OG0000349	Prad.g_01589	Syar.g_00521
OG0000350	Prad.g_01570	Syar.g_00132
OG0000351	Prad.g_01553	Syar.g_00442
