Orthogroup	Prad	Syat
OG0000188	Prad.g_01911	Syat.g_01489
OG0000189	Prad.g_01897	Syat.g_01557
OG0000190	Prad.g_01896	Syat.g_00330
OG0000191	Prad.g_01876	Syat.g_03344, Syat.g_02939
OG0000192	Prad.g_01872	Syat.g_02933
OG0000193	Prad.g_01845	Syat.g_02897
OG0000194	Prad.g_01842	Syat.g_02894
OG0000195	Prad.g_01840	Syat.g_02892
OG0000196	Prad.g_01830	Syat.g_02867
OG0000197	Prad.g_01829	Syat.g_02866
OG0000198	Prad.g_01828	Syat.g_02865
OG0000199	Prad.g_01821	Syat.g_02857
OG0000200	Prad.g_01807	Syat.g_02840
OG0000201	Prad.g_01799	Syat.g_02821
OG0000202	Prad.g_01798	Syat.g_02820
OG0000203	Prad.g_01797	Syat.g_02819
OG0000204	Prad.g_01796	Syat.g_02818
OG0000205	Prad.g_01789	Syat.g_02809
OG0000206	Prad.g_01784	Syat.g_02785
OG0000207	Prad.g_01782	Syat.g_02778
OG0000208	Prad.g_01781	Syat.g_02777
OG0000209	Prad.g_01772	Syat.g_02735
OG0000210	Prad.g_01771	Syat.g_02734
OG0000211	Prad.g_01758	Syat.g_01452
OG0000212	Prad.g_01751	Syat.g_01442
OG0000213	Prad.g_01734	Syat.g_01889
OG0000214	Prad.g_01724	Syat.g_02042
OG0000215	Prad.g_01699	Syat.g_02075
OG0000216	Prad.g_01697	Syat.g_02079
OG0000217	Prad.g_01694	Syat.g_02085
OG0000218	Prad.g_01692	Syat.g_02087
OG0000219	Prad.g_01691	Syat.g_02088
OG0000220	Prad.g_01690	Syat.g_02089
OG0000221	Prad.g_01689	Syat.g_02095
OG0000222	Prad.g_01681	Syat.g_02109
OG0000223	Prad.g_01668	Syat.g_02570
OG0000224	Prad.g_01666	Syat.g_02139
OG0000225	Prad.g_01645	Syat.g_01595
OG0000226	Prad.g_00761	Syat.g_01588
OG0000228	Prad.g_00756	Syat.g_02952
OG0000229	Prad.g_00666	Syat.g_02970
OG0000230	Prad.g_00069	Syat.g_02972
OG0000231	Prad.g_00058	Syat.g_01283
OG0000232	Prad.g_00049	Syat.g_01313
OG0000233	Prad.g_00043	Syat.g_01407
OG0000234	Prad.g_00031	Syat.g_01369
OG0000235	Prad.g_00028	Syat.g_03169
OG0000236	Prad.g_00014	Syat.g_03186
OG0000237	Prad.g_00123	Syat.g_03214
OG0000238	Prad.g_00117	Syat.g_03219
OG0000239	Prad.g_00104	Syat.g_01105
OG0000240	Prad.g_00103	Syat.g_01104
OG0000241	Prad.g_00099	Syat.g_00111
OG0000242	Prad.g_00097	Syat.g_01077
OG0000243	Prad.g_01333	Syat.g_00092
OG0000244	Prad.g_01336	Syat.g_00082
OG0000245	Prad.g_01338	Syat.g_00080
OG0000246	Prad.g_01342	Syat.g_00076
OG0000247	Prad.g_01352	Syat.g_00065
OG0000248	Prad.g_01354	Syat.g_00062
OG0000249	Prad.g_01356	Syat.g_00060
OG0000250	Prad.g_01361	Syat.g_00053
OG0000251	Prad.g_01380	Syat.g_00027
OG0000252	Prad.g_01383	Syat.g_00022
OG0000253	Prad.g_01384	Syat.g_00021
OG0000254	Prad.g_01400	Syat.g_03407
OG0000255	Prad.g_01406	Syat.g_02405
OG0000256	Prad.g_01416	Syat.g_03306
OG0000257	Prad.g_01419	Syat.g_00109
OG0000258	Prad.g_01432	Syat.g_00382
OG0000259	Prad.g_01234	Syat.g_00342
OG0000260	Prad.g_01237	Syat.g_00392
OG0000261	Prad.g_01239	Syat.g_00400
OG0000262	Prad.g_01243	Syat.g_00407
OG0000263	Prad.g_01255	Syat.g_00200
OG0000266	Prad.g_01059	Syat.g_00671
OG0000267	Prad.g_01070	Syat.g_00636
OG0000268	Prad.g_01071	Syat.g_00634
OG0000269	Prad.g_01141	Syat.g_00474, Syat.g_00126
OG0000270	Prad.g_01144	Syat.g_00477
OG0000271	Prad.g_01152	Syat.g_00485
OG0000272	Prad.g_01153	Syat.g_00486
OG0000273	Prad.g_01176	Syat.g_00520
OG0000274	Prad.g_01177	Syat.g_00521
OG0000275	Prad.g_01180	Syat.g_00718
OG0000276	Prad.g_01185	Syat.g_00725
OG0000277	Prad.g_00308	Syat.g_00738
OG0000278	Prad.g_00305	Syat.g_00741
OG0000279	Prad.g_00298	Syat.g_00755
OG0000280	Prad.g_00297	Syat.g_01669
OG0000281	Prad.g_00292	Syat.g_00960
OG0000282	Prad.g_00243	Syat.g_00431
OG0000283	Prad.g_00209	Syat.g_00620
OG0000284	Prad.g_00204	Syat.g_00614
OG0000285	Prad.g_00199	Syat.g_00607
OG0000286	Prad.g_00187	Syat.g_00579
OG0000287	Prad.g_00170	Syat.g_00550
OG0000288	Prad.g_00140	Syat.g_00709
OG0000289	Prad.g_01035	Syat.g_00695
OG0000290	Prad.g_01021	Syat.g_00805
OG0000292	Prad.g_00972	Syat.g_02388
OG0000293	Prad.g_01505	Syat.g_03241
OG0000294	Prad.g_01504	Syat.g_03248
OG0000295	Prad.g_01484	Syat.g_00297
OG0000296	Prad.g_01482	Syat.g_00295
OG0000299	Prad.g_01455	Syat.g_00910
OG0000300	Prad.g_01452	Syat.g_00904
OG0000301	Prad.g_01451	Syat.g_00903
OG0000302	Prad.g_01449	Syat.g_00901
OG0000303	Prad.g_01442	Syat.g_00892
OG0000304	Prad.g_01438	Syat.g_00885
OG0000305	Prad.g_00602	Syat.g_00809
OG0000306	Prad.g_00599	Syat.g_01704
OG0000307	Prad.g_00585	Syat.g_01304
OG0000308	Prad.g_00584	Syat.g_01306
OG0000309	Prad.g_00580	Syat.g_01417
OG0000310	Prad.g_00530	Syat.g_01246
OG0000311	Prad.g_00528	Syat.g_01242
OG0000312	Prad.g_00525	Syat.g_01237
OG0000313	Prad.g_00511	Syat.g_01183
OG0000314	Prad.g_00487	Syat.g_01341
OG0000315	Prad.g_00477	Syat.g_01351
OG0000316	Prad.g_00457	Syat.g_03082
OG0000317	Prad.g_00943	Syat.g_03120
OG0000318	Prad.g_00940	Syat.g_03125
OG0000319	Prad.g_00927	Syat.g_03055
OG0000320	Prad.g_00925	Syat.g_03053
OG0000321	Prad.g_00924	Syat.g_03052
OG0000322	Prad.g_00923	Syat.g_03051
OG0000323	Prad.g_00914	Syat.g_03038
OG0000324	Prad.g_00887	Syat.g_02998
OG0000325	Prad.g_00878	Syat.g_01861
OG0000326	Prad.g_00872	Syat.g_01854
OG0000327	Prad.g_00848	Syat.g_01827
OG0000328	Prad.g_00847	Syat.g_01826
OG0000329	Prad.g_00830	Syat.g_01808
OG0000330	Prad.g_00829	Syat.g_01807
OG0000331	Prad.g_00828	Syat.g_01806
OG0000332	Prad.g_00814	Syat.g_01790
OG0000333	Prad.g_00812	Syat.g_01787
OG0000334	Prad.g_00804	Syat.g_01657
OG0000335	Prad.g_00799	Syat.g_01652
OG0000336	Prad.g_00795	Syat.g_01648
OG0000337	Prad.g_00779	Syat.g_02144
OG0000338	Prad.g_00778	Syat.g_02146
OG0000339	Prad.g_00774	Syat.g_02155, Syat.g_01055
OG0000340	Prad.g_00766	Syat.g_02165
OG0000340	Prad.g_01294	Syat.g_02165
OG0000341	Prad.g_00764	Syat.g_02167
OG0000342	Prad.g_00763	Syat.g_02168
OG0000343	Prad.g_00762	Syat.g_02185
OG0000344	Prad.g_01639	Syat.g_02189
OG0000345	Prad.g_01634	Syat.g_02202
OG0000346	Prad.g_01630	Syat.g_02207
OG0000347	Prad.g_01615	Syat.g_02234
OG0000348	Prad.g_01606	Syat.g_02264
OG0000349	Prad.g_01589	Syat.g_02291
OG0000350	Prad.g_01570	Syat.g_01847
OG0000351	Prad.g_01553	Syat.g_02411
OG0000352	Prad.g_01552	Syat.g_02410
OG0000353	Prad.g_01537	Syat.g_00955, Syat.g_02377
OG0000354	Prad.g_01041	Syat.g_02325
OG0000355	Prad.g_01535	Syat.g_02375
OG0000356	Prad.g_01534	Syat.g_02374
OG0000357	Prad.g_01533	Syat.g_02373
OG0000358	Prad.g_01529	Syat.g_02336
OG0000359	Prad.g_01528	Syat.g_02334
OG0000360	Prad.g_01527	Syat.g_02333
OG0000361	Prad.g_01976	Syat.g_02332
OG0000362	Prad.g_01974	Syat.g_02330
OG0000363	Prad.g_01972	Syat.g_02328
OG0000364	Prad.g_01971	Syat.g_03122
OG0000365	Prad.g_01966	Syat.g_02318
OG0000366	Prad.g_01965	Syat.g_02317
OG0000367	Prad.g_01964	Syat.g_02316
OG0000368	Prad.g_01962	Syat.g_02314
OG0000369	Prad.g_01961	Syat.g_02313
OG0000370	Prad.g_01960	Syat.g_02312
OG0000371	Prad.g_01954	Syat.g_02304
OG0000372	Prad.g_01951	Syat.g_02298
OG0000373	Prad.g_01950	Syat.g_02297
OG0000374	Prad.g_01949	Syat.g_02296
OG0000375	Prad.g_01947	Syat.g_02295
OG0000376	Prad.g_01945	Syat.g_02293
OG0000377	Prad.g_01941	Syat.g_02695
OG0000378	Prad.g_01939	Syat.g_02715
OG0000379	Prad.g_01936	Syat.g_02720
OG0000380	Prad.g_01927	Syat.g_01468
OG0000381	Prad.g_01923	Syat.g_01470
OG0000382	Prad.g_01912	Syat.g_01488
OG0000383	Prad.g_01910	Syat.g_01521
OG0000384	Prad.g_01909	Syat.g_01522
OG0000385	Prad.g_01908	Syat.g_01523
OG0000386	Prad.g_01907	Syat.g_01524
OG0000387	Prad.g_01894	Syat.g_01561
OG0000388	Prad.g_01891	Syat.g_01565
OG0000389	Prad.g_01887	Syat.g_01569
OG0000390	Prad.g_00011, Prad.g_01880	Syat.g_02945
OG0000391	Prad.g_01877	Syat.g_02940
OG0000392	Prad.g_01873	Syat.g_02934
OG0000393	Prad.g_01871	Syat.g_02931
OG0000394	Prad.g_01870	Syat.g_02930
OG0000395	Prad.g_01869	Syat.g_02929
OG0000396	Prad.g_01866	Syat.g_02927
OG0000397	Prad.g_01864	Syat.g_02925
OG0000398	Prad.g_01862	Syat.g_02920
OG0000399	Prad.g_01861	Syat.g_02919
OG0000400	Prad.g_01860	Syat.g_02918
OG0000401	Prad.g_01859	Syat.g_02917
OG0000402	Prad.g_01857	Syat.g_02915
OG0000403	Prad.g_01856	Syat.g_02914
OG0000404	Prad.g_01855	Syat.g_02913
OG0000405	Prad.g_01851	Syat.g_02900
OG0000406	Prad.g_01844	Syat.g_02896
OG0000407	Prad.g_01843	Syat.g_02895
OG0000408	Prad.g_01841	Syat.g_02893
OG0000409	Prad.g_01839	Syat.g_02891
OG0000410	Prad.g_01838	Syat.g_02890
OG0000411	Prad.g_01837	Syat.g_02889
OG0000412	Prad.g_01836	Syat.g_02888
OG0000413	Prad.g_01835	Syat.g_02886
OG0000414	Prad.g_01834	Syat.g_02885
OG0000415	Prad.g_01833	Syat.g_02884
OG0000416	Prad.g_01832	Syat.g_02883
OG0000417	Prad.g_01831	Syat.g_02868
OG0000418	Prad.g_01826	Syat.g_02863
OG0000419	Prad.g_01824	Syat.g_02861
OG0000420	Prad.g_01823	Syat.g_02859
OG0000421	Prad.g_01818	Syat.g_02855
OG0000422	Prad.g_01817	Syat.g_02854
OG0000423	Prad.g_01816	Syat.g_02853
OG0000424	Prad.g_01815	Syat.g_02852
OG0000425	Prad.g_01814	Syat.g_02851
OG0000426	Prad.g_01813	Syat.g_02850
OG0000427	Prad.g_01812	Syat.g_02849
OG0000428	Prad.g_01810	Syat.g_02846
OG0000429	Prad.g_01809	Syat.g_02843
OG0000430	Prad.g_01808	Syat.g_02841
OG0000431	Prad.g_01806	Syat.g_02838
OG0000432	Prad.g_01803	Syat.g_02832
OG0000433	Prad.g_01802	Syat.g_02829
OG0000434	Prad.g_01801	Syat.g_02828
OG0000435	Prad.g_01800	Syat.g_02824
OG0000436	Prad.g_01795	Syat.g_02817
OG0000437	Prad.g_01794	Syat.g_02558
OG0000438	Prad.g_01793	Syat.g_02813
OG0000439	Prad.g_01791	Syat.g_02811
OG0000440	Prad.g_01790	Syat.g_02810
OG0000441	Prad.g_01787	Syat.g_02807
OG0000442	Prad.g_01786	Syat.g_02797
OG0000443	Prad.g_01785	Syat.g_02787
OG0000444	Prad.g_01780	Syat.g_02756
OG0000445	Prad.g_01779	Syat.g_02755
OG0000446	Prad.g_01778	Syat.g_02753
OG0000447	Prad.g_01777	Syat.g_02749
OG0000448	Prad.g_01776	Syat.g_02748
OG0000449	Prad.g_01775	Syat.g_02747
OG0000450	Prad.g_01774	Syat.g_02738
OG0000451	Prad.g_01773	Syat.g_02737
OG0000452	Prad.g_01770	Syat.g_02732
OG0000453	Prad.g_01769	Syat.g_02731
OG0000454	Prad.g_01768	Syat.g_02730
OG0000455	Prad.g_01767	Syat.g_02729
OG0000456	Prad.g_01766	Syat.g_02728
OG0000457	Prad.g_01765	Syat.g_02726
OG0000458	Prad.g_01764	Syat.g_02725
OG0000459	Prad.g_01763	Syat.g_02724
OG0000460	Prad.g_01756	Syat.g_01450
OG0000461	Prad.g_01749	Syat.g_01866
OG0000462	Prad.g_01747	Syat.g_01868
OG0000463	Prad.g_01746	Syat.g_01869
OG0000464	Prad.g_01745	Syat.g_01870
OG0000465	Prad.g_01744	Syat.g_01872
OG0000466	Prad.g_01741	Syat.g_01877
OG0000467	Prad.g_01740	Syat.g_01878
OG0000468	Prad.g_01738	Syat.g_01884
OG0000469	Prad.g_01729	Syat.g_02000
OG0000470	Prad.g_01727	Syat.g_02038
OG0000471	Prad.g_01726	Syat.g_02039
OG0000472	Prad.g_01725	Syat.g_02041
OG0000473	Prad.g_01723	Syat.g_02043
OG0000474	Prad.g_01722	Syat.g_02044
OG0000475	Prad.g_01721	Syat.g_02045
OG0000476	Prad.g_01720	Syat.g_02047
OG0000477	Prad.g_01716	Syat.g_02053
OG0000478	Prad.g_01715	Syat.g_02054
OG0000479	Prad.g_01714	Syat.g_02056
OG0000480	Prad.g_01709	Syat.g_02063
OG0000481	Prad.g_01707	Syat.g_02066
OG0000482	Prad.g_01706	Syat.g_02067
OG0000483	Prad.g_01703	Syat.g_02071
OG0000484	Prad.g_01702	Syat.g_02072
OG0000485	Prad.g_01701	Syat.g_02073
OG0000486	Prad.g_01700	Syat.g_02074
OG0000487	Prad.g_01696	Syat.g_02080
OG0000488	Prad.g_01693	Syat.g_02086
OG0000489	Prad.g_01688	Syat.g_02097
OG0000490	Prad.g_01683	Syat.g_02106
OG0000491	Prad.g_01682	Syat.g_02107
OG0000492	Prad.g_01680	Syat.g_02110
OG0000493	Prad.g_01679	Syat.g_02111
OG0000494	Prad.g_01678	Syat.g_02112
OG0000495	Prad.g_01677	Syat.g_02120
OG0000496	Prad.g_01676	Syat.g_02121
OG0000497	Prad.g_01675	Syat.g_02122
OG0000498	Prad.g_01674	Syat.g_02123
OG0000499	Prad.g_01673	Syat.g_02124
OG0000500	Prad.g_01672	Syat.g_02125
OG0000501	Prad.g_01670	Syat.g_02128
OG0000502	Prad.g_01667	Syat.g_02135
OG0000503	Prad.g_01657	Syat.g_01614
OG0000504	Prad.g_01656	Syat.g_01612
OG0000505	Prad.g_01655	Syat.g_01611
OG0000506	Prad.g_01653	Syat.g_01609
OG0000507	Prad.g_01650	Syat.g_01603
OG0000508	Prad.g_01646	Syat.g_01596
OG0000509	Prad.g_01644	Syat.g_01591
OG0000510	Prad.g_01643	Syat.g_01590
OG0000511	Prad.g_01642	Syat.g_01589
OG0000512	Prad.g_00760	Syat.g_01587
OG0000513	Prad.g_00753	Syat.g_02957
OG0000514	Prad.g_00671	Syat.g_02962
OG0000515	Prad.g_00670	Syat.g_02963
OG0000516	Prad.g_00669	Syat.g_02965
OG0000517	Prad.g_00667	Syat.g_02969
OG0000518	Prad.g_00061	Syat.g_01286
OG0000519	Prad.g_00060	Syat.g_01285
OG0000520	Prad.g_00059	Syat.g_01284
OG0000521	Prad.g_00054	Syat.g_01319
OG0000522	Prad.g_00052	Syat.g_01317
OG0000523	Prad.g_00051	Syat.g_01316
OG0000524	Prad.g_00045	Syat.g_01409
OG0000525	Prad.g_00042	Syat.g_01382
OG0000526	Prad.g_00041	Syat.g_01380
OG0000527	Prad.g_00034	Syat.g_01373
OG0000528	Prad.g_00029	Syat.g_03167
OG0000529	Prad.g_00026	Syat.g_03171
OG0000530	Prad.g_00023	Syat.g_03174
OG0000531	Prad.g_00022	Syat.g_03175
OG0000532	Prad.g_00020	Syat.g_03178
OG0000533	Prad.g_00019	Syat.g_03180
OG0000534	Prad.g_00018	Syat.g_03181
OG0000535	Prad.g_00017	Syat.g_03182
OG0000536	Prad.g_00016	Syat.g_03183
OG0000537	Prad.g_00015	Syat.g_03185
OG0000538	Prad.g_00129	Syat.g_03204
