Orthogroup	Prbf	Prbk
OG0000145	Prbf.g_00385	Prbk.g_02287
OG0000146	Prbf.g_00384	Prbk.g_02288
OG0000147	Prbf.g_00383	Prbk.g_02289
OG0000148	Prbf.g_00381	Prbk.g_02291
OG0000149	Prbf.g_01336	Prbk.g_01639
OG0000150	Prbf.g_01337	Prbk.g_01638
OG0000151	Prbf.g_01338	Prbk.g_01633
OG0000152	Prbf.g_01339	Prbk.g_01632
OG0000153	Prbf.g_01340	Prbk.g_01631
OG0000154	Prbf.g_01341	Prbk.g_01630
OG0000155	Prbf.g_01342	Prbk.g_01629
OG0000156	Prbf.g_01343	Prbk.g_01628
OG0000157	Prbf.g_01344	Prbk.g_01627
OG0000158	Prbf.g_01346	Prbk.g_01625
OG0000159	Prbf.g_01347	Prbk.g_01624
OG0000160	Prbf.g_01348	Prbk.g_01623
OG0000161	Prbf.g_01349	Prbk.g_01622
OG0000162	Prbf.g_01350	Prbk.g_01621
OG0000163	Prbf.g_01352	Prbk.g_01619
OG0000164	Prbf.g_01355	Prbk.g_01614
OG0000165	Prbf.g_01358	Prbk.g_01609
OG0000166	Prbf.g_01359	Prbk.g_01608
OG0000167	Prbf.g_01360	Prbk.g_01607
OG0000168	Prbf.g_01362	Prbk.g_01606
OG0000169	Prbf.g_01364	Prbk.g_01604
OG0000170	Prbf.g_01366	Prbk.g_02158
OG0000171	Prbf.g_01367	Prbk.g_02156
OG0000172	Prbf.g_01368	Prbk.g_02155
OG0000173	Prbf.g_01371	Prbk.g_02148
OG0000174	Prbf.g_01372	Prbk.g_02141
OG0000175	Prbf.g_01373	Prbk.g_02133
OG0000176	Prbf.g_01375	Prbk.g_02125
OG0000177	Prbf.g_01376	Prbk.g_02124
OG0000178	Prbf.g_01378	Prbk.g_02123
OG0000179	Prbf.g_01390	Prbk.g_01326
OG0000180	Prbf.g_01391	Prbk.g_01324
OG0000181	Prbf.g_01392	Prbk.g_01323
OG0000182	Prbf.g_01396	Prbk.g_01320
OG0000183	Prbf.g_01397	Prbk.g_01319
OG0000184	Prbf.g_01400	Prbk.g_01315
OG0000185	Prbf.g_01404	Prbk.g_01309
OG0000186	Prbf.g_01405	Prbk.g_01308
OG0000187	Prbf.g_00291	Prbk.g_01665
OG0000188	Prbf.g_01406	Prbk.g_01307
OG0000189	Prbf.g_01407	Prbk.g_01304
OG0000190	Prbf.g_01408	Prbk.g_01303
OG0000191	Prbf.g_01409	Prbk.g_01302
OG0000192	Prbf.g_01410	Prbk.g_01301
OG0000193	Prbf.g_01411	Prbk.g_01300
OG0000194	Prbf.g_01412	Prbk.g_01299
OG0000195	Prbf.g_01414	Prbk.g_01295
OG0000196	Prbf.g_01415	Prbk.g_01294
OG0000197	Prbf.g_01416	Prbk.g_00035
OG0000198	Prbf.g_01417	Prbk.g_00031
OG0000199	Prbf.g_01420	Prbk.g_00026
OG0000200	Prbf.g_01421	Prbk.g_00025
OG0000201	Prbf.g_01422	Prbk.g_00024
OG0000202	Prbf.g_01424	Prbk.g_00022
OG0000203	Prbf.g_01425	Prbk.g_00021
OG0000204	Prbf.g_01426	Prbk.g_00020
OG0000205	Prbf.g_01428	Prbk.g_00018
OG0000206	Prbf.g_01429	Prbk.g_00017
OG0000207	Prbf.g_01430	Prbk.g_00016
OG0000208	Prbf.g_01431	Prbk.g_00015
OG0000209	Prbf.g_01432	Prbk.g_00014
OG0000210	Prbf.g_01433	Prbk.g_00012
OG0000211	Prbf.g_01435	Prbk.g_00011
OG0000212	Prbf.g_01436	Prbk.g_00010
OG0000213	Prbf.g_01437	Prbk.g_00007
OG0000214	Prbf.g_01441	Prbk.g_00001
OG0000215	Prbf.g_01442	Prbk.g_00190
OG0000216	Prbf.g_01444	Prbk.g_00192
OG0000217	Prbf.g_01445	Prbk.g_00194
OG0000218	Prbf.g_01446	Prbk.g_00196
OG0000219	Prbf.g_01447	Prbk.g_00197
OG0000220	Prbf.g_01450	Prbk.g_00202
OG0000221	Prbf.g_01453	Prbk.g_00207
OG0000222	Prbf.g_01454	Prbk.g_00208
OG0000223	Prbf.g_01455	Prbk.g_00209
OG0000224	Prbf.g_01457	Prbk.g_00542
OG0000225	Prbf.g_01459	Prbk.g_00544
OG0000226	Prbf.g_01461	Prbk.g_00547
OG0000227	Prbf.g_01462	Prbk.g_00549
OG0000228	Prbf.g_01463	Prbk.g_00550
OG0000229	Prbf.g_01464	Prbk.g_00551
OG0000230	Prbf.g_01465	Prbk.g_00552
OG0000231	Prbf.g_01055	Prbk.g_00554
OG0000232	Prbf.g_01467	Prbk.g_00555
OG0000233	Prbf.g_01470	Prbk.g_00560
OG0000234	Prbf.g_01472	Prbk.g_00749
OG0000235	Prbf.g_01478	Prbk.g_00751
OG0000236	Prbf.g_01479	Prbk.g_00752
OG0000237	Prbf.g_01480	Prbk.g_00753
OG0000238	Prbf.g_01481	Prbk.g_00754
OG0000239	Prbf.g_01482	Prbk.g_00755
OG0000240	Prbf.g_01484	Prbk.g_00757
OG0000241	Prbf.g_01485	Prbk.g_00758
OG0000242	Prbf.g_01486	Prbk.g_00759
OG0000243	Prbf.g_01487	Prbk.g_00760
OG0000244	Prbf.g_01488	Prbk.g_00761
OG0000245	Prbf.g_01490	Prbk.g_00763
OG0000246	Prbf.g_01492	Prbk.g_00765
OG0000247	Prbf.g_01493	Prbk.g_00766
OG0000248	Prbf.g_01494	Prbk.g_00767
OG0000249	Prbf.g_01495	Prbk.g_00768
OG0000250	Prbf.g_01496	Prbk.g_00769
OG0000251	Prbf.g_01497	Prbk.g_00770
OG0000252	Prbf.g_01498	Prbk.g_00771
OG0000253	Prbf.g_01499	Prbk.g_00772
OG0000254	Prbf.g_01501	Prbk.g_00774
OG0000255	Prbf.g_01502	Prbk.g_00775
OG0000256	Prbf.g_01505	Prbk.g_00778
OG0000257	Prbf.g_01507	Prbk.g_00779
OG0000258	Prbf.g_01508	Prbk.g_00780
OG0000259	Prbf.g_01509	Prbk.g_00781
OG0000260	Prbf.g_01510	Prbk.g_00782
OG0000261	Prbf.g_01511	Prbk.g_00783
OG0000262	Prbf.g_01512	Prbk.g_00784
OG0000263	Prbf.g_01513	Prbk.g_00785
OG0000264	Prbf.g_01515	Prbk.g_02425
OG0000265	Prbf.g_01516	Prbk.g_01283
OG0000266	Prbf.g_01517	Prbk.g_01281
OG0000267	Prbf.g_01519	Prbk.g_01277
OG0000268	Prbf.g_01521	Prbk.g_01275
OG0000269	Prbf.g_01522	Prbk.g_01272
OG0000270	Prbf.g_01523	Prbk.g_01270
OG0000271	Prbf.g_01524	Prbk.g_01267
OG0000272	Prbf.g_01525	Prbk.g_01266
OG0000273	Prbf.g_01526	Prbk.g_01263
OG0000274	Prbf.g_01527	Prbk.g_01261
OG0000275	Prbf.g_01528	Prbk.g_01260
OG0000276	Prbf.g_01529	Prbk.g_01259
OG0000277	Prbf.g_01530	Prbk.g_01258
OG0000278	Prbf.g_01531	Prbk.g_01257
OG0000279	Prbf.g_01532	Prbk.g_01256
OG0000280	Prbf.g_01533	Prbk.g_01255
OG0000281	Prbf.g_01535	Prbk.g_01253
OG0000282	Prbf.g_01536	Prbk.g_01252
OG0000283	Prbf.g_01539	Prbk.g_01245
OG0000284	Prbf.g_01540	Prbk.g_01244
OG0000285	Prbf.g_01541	Prbk.g_00631
OG0000286	Prbf.g_01543	Prbk.g_00633
OG0000287	Prbf.g_01545	Prbk.g_00686
OG0000288	Prbf.g_01546	Prbk.g_00685
OG0000289	Prbf.g_01547	Prbk.g_00683
OG0000290	Prbf.g_01548	Prbk.g_00682
OG0000291	Prbf.g_01549	Prbk.g_00680
OG0000292	Prbf.g_01550	Prbk.g_00670
OG0000293	Prbf.g_01551	Prbk.g_00669
OG0000294	Prbf.g_01552	Prbk.g_00668
OG0000295	Prbf.g_01553	Prbk.g_00662
OG0000296	Prbf.g_01554	Prbk.g_00661
OG0000297	Prbf.g_01555	Prbk.g_00658
OG0000298	Prbf.g_01556	Prbk.g_00657
OG0000299	Prbf.g_01557	Prbk.g_00656
OG0000300	Prbf.g_01558	Prbk.g_00655
OG0000301	Prbf.g_01559	Prbk.g_00654
OG0000302	Prbf.g_01560	Prbk.g_00653
OG0000303	Prbf.g_01561	Prbk.g_00652
OG0000304	Prbf.g_01563	Prbk.g_00650
OG0000305	Prbf.g_01564	Prbk.g_00649
OG0000306	Prbf.g_01565	Prbk.g_00648
OG0000307	Prbf.g_01567	Prbk.g_01364
OG0000308	Prbf.g_01568	Prbk.g_01136
OG0000309	Prbf.g_01569	Prbk.g_01135
OG0000310	Prbf.g_01570	Prbk.g_01134
OG0000311	Prbf.g_01571	Prbk.g_01368
OG0000312	Prbf.g_01573	Prbk.g_01369
OG0000313	Prbf.g_01574	Prbk.g_01521
OG0000314	Prbf.g_01578	Prbk.g_01515
OG0000315	Prbf.g_01579	Prbk.g_01514
OG0000316	Prbf.g_01581	Prbk.g_01900
OG0000317	Prbf.g_01583	Prbk.g_01012
OG0000318	Prbf.g_01584	Prbk.g_01011
OG0000319	Prbf.g_01585	Prbk.g_01010
OG0000320	Prbf.g_01586	Prbk.g_01008
OG0000321	Prbf.g_01589	Prbk.g_01003
OG0000322	Prbf.g_01593	Prbk.g_00371
OG0000323	Prbf.g_01594	Prbk.g_00372
OG0000324	Prbf.g_01597	Prbk.g_00374
OG0000325	Prbf.g_01598	Prbk.g_00376
OG0000326	Prbf.g_01599	Prbk.g_00378
OG0000327	Prbf.g_01601	Prbk.g_00384
OG0000328	Prbf.g_01602	Prbk.g_01365
OG0000329	Prbf.g_01603	Prbk.g_00397
OG0000330	Prbf.g_01604	Prbk.g_00398
OG0000331	Prbf.g_01606	Prbk.g_00400
OG0000332	Prbf.g_01607	Prbk.g_00401
OG0000333	Prbf.g_01608	Prbk.g_00402
OG0000334	Prbf.g_01609	Prbk.g_00403
OG0000335	Prbf.g_01610	Prbk.g_00404
OG0000336	Prbf.g_01612	Prbk.g_00406
OG0000337	Prbf.g_01615	Prbk.g_00411
OG0000338	Prbf.g_01616	Prbk.g_00412
OG0000339	Prbf.g_01617	Prbk.g_00413
OG0000340	Prbf.g_01618	Prbk.g_00415
OG0000341	Prbf.g_01622	Prbk.g_00420
OG0000342	Prbf.g_01623	Prbk.g_00421
OG0000343	Prbf.g_01626	Prbk.g_00423
OG0000344	Prbf.g_01627	Prbk.g_00425
OG0000345	Prbf.g_01628	Prbk.g_00426
OG0000346	Prbf.g_01629	Prbk.g_00427
OG0000347	Prbf.g_01630	Prbk.g_00428
OG0000348	Prbf.g_01632	Prbk.g_00429
OG0000349	Prbf.g_01633	Prbk.g_00430
OG0000350	Prbf.g_01634	Prbk.g_00431
OG0000351	Prbf.g_01636	Prbk.g_00435
OG0000352	Prbf.g_01639	Prbk.g_00439
OG0000353	Prbf.g_01640	Prbk.g_00442
OG0000354	Prbf.g_01641	Prbk.g_00443
OG0000355	Prbf.g_01642	Prbk.g_00444
OG0000356	Prbf.g_01643	Prbk.g_00449
OG0000357	Prbf.g_01644	Prbk.g_00450
OG0000358	Prbf.g_01645	Prbk.g_00451
OG0000359	Prbf.g_01646	Prbk.g_00453
OG0000360	Prbf.g_01648	Prbk.g_00456
OG0000361	Prbf.g_01649	Prbk.g_00457
OG0000362	Prbf.g_01650	Prbk.g_00458
OG0000363	Prbf.g_01651	Prbk.g_00460
OG0000364	Prbf.g_01652	Prbk.g_00461
OG0000365	Prbf.g_01653	Prbk.g_00462
OG0000366	Prbf.g_01654	Prbk.g_00463
OG0000367	Prbf.g_01655	Prbk.g_00464
