Orthogroup	Syaq	Syae
OG0000184	Syaq.g_01277	Syae.g_01554
OG0000185	Syaq.g_01290	Syae.g_01551
OG0000186	Syaq.g_01563	Syae.g_01279
OG0000187	Syaq.g_01561	Syae.g_01280
OG0000188	Syaq.g_01539	Syae.g_01323
OG0000189	Syaq.g_01499	Syae.g_01350
OG0000190	Syaq.g_01497	Syae.g_01352
OG0000191	Syaq.g_01467	Syae.g_01384
OG0000192	Syaq.g_01462	Syae.g_01390
OG0000193	Syaq.g_01423	Syae.g_01429
OG0000194	Syaq.g_01420	Syae.g_01432
OG0000195	Syaq.g_01418	Syae.g_01434
OG0000196	Syaq.g_01407	Syae.g_01444
OG0000197	Syaq.g_01406	Syae.g_01445
OG0000198	Syaq.g_01405	Syae.g_01446
OG0000199	Syaq.g_01398	Syae.g_01454
OG0000200	Syaq.g_01382	Syae.g_01471
OG0000201	Syaq.g_01365	Syae.g_01487
OG0000202	Syaq.g_01364	Syae.g_01488
OG0000203	Syaq.g_01363	Syae.g_01489
OG0000204	Syaq.g_01362	Syae.g_01490
OG0000205	Syaq.g_01355	Syae.g_01497
OG0000206	Syaq.g_01345	Syae.g_01504
OG0000207	Syaq.g_01338	Syae.g_01506
OG0000208	Syaq.g_01337	Syae.g_01507
OG0000209	Syaq.g_01310	Syae.g_01528
OG0000210	Syaq.g_01309	Syae.g_01529
OG0000211	Syaq.g_01570	Syae.g_02234
OG0000212	Syaq.g_01586	Syae.g_02244
OG0000213	Syaq.g_00729	Syae.g_02003
OG0000214	Syaq.g_00745	Syae.g_01986
OG0000215	Syaq.g_00777	Syae.g_01955
OG0000216	Syaq.g_00781	Syae.g_01951
OG0000217	Syaq.g_00844	Syae.g_01947
OG0000218	Syaq.g_00846	Syae.g_01945
OG0000219	Syaq.g_00847	Syae.g_01944
OG0000220	Syaq.g_00848	Syae.g_01943
OG0000221	Syaq.g_00856	Syae.g_01937
OG0000222	Syaq.g_00868	Syae.g_01926
OG0000223	Syaq.g_00946	Syae.g_01904
OG0000224	Syaq.g_00950	Syae.g_01897
OG0000225	Syaq.g_00543	Syae.g_02208
OG0000226	Syaq.g_00536	Syae.g_02212
OG0000227	Syaq.g_00534	Syae.g_02214
OG0000228	Syaq.g_00531	Syae.g_02218
OG0000229	Syaq.g_00501	Syae.g_00994
OG0000230	Syaq.g_00499	Syae.g_00992
OG0000231	Syaq.g_00485	Syae.g_00980
OG0000232	Syaq.g_00472	Syae.g_02496
OG0000233	Syaq.g_00464	Syae.g_02504
OG0000234	Syaq.g_00440	Syae.g_02532
OG0000235	Syaq.g_01771	Syae.g_02308
OG0000236	Syaq.g_01787	Syae.g_02323
OG0000237	Syaq.g_01805	Syae.g_02340
OG0000238	Syaq.g_01810	Syae.g_02345
OG0000239	Syaq.g_01826	Syae.g_02360
OG0000240	Syaq.g_01827	Syae.g_02361
OG0000241	Syaq.g_02074	Syae.g_00065
OG0000242	Syaq.g_01836	Syae.g_02372
OG0000243	Syaq.g_01922	Syae.g_02391
OG0000244	Syaq.g_01928	Syae.g_02399
OG0000245	Syaq.g_01930	Syae.g_02401
OG0000246	Syaq.g_01934	Syae.g_02405
OG0000247	Syaq.g_01945	Syae.g_02416
OG0000248	Syaq.g_01948	Syae.g_02419
OG0000249	Syaq.g_01950	Syae.g_02421
OG0000250	Syaq.g_01958	Syae.g_02431
OG0000251	Syaq.g_01984	Syae.g_02455
OG0000252	Syaq.g_01987	Syae.g_02458
OG0000253	Syaq.g_01989	Syae.g_02459
OG0000254	Syaq.g_02016	Syae.g_00021
OG0000255	Syaq.g_02041	Syae.g_00041
OG0000256	Syaq.g_02068	Syae.g_00058
OG0000257	Syaq.g_02073	Syae.g_00064
OG0000258	Syaq.g_02095	Syae.g_00083
OG0000259	Syaq.g_02239	Syae.g_00608
OG0000260	Syaq.g_02242	Syae.g_00603
OG0000261	Syaq.g_02245	Syae.g_00600
OG0000262	Syaq.g_02250	Syae.g_00595
OG0000263	Syaq.g_00185	Syae.g_00671
OG0000264	Syaq.g_02582	Syae.g_00761
OG0000266	Syaq.g_00037	Syae.g_00457
OG0000267	Syaq.g_02430	Syae.g_00304
OG0000268	Syaq.g_02431	Syae.g_00308
OG0000269	Syaq.g_02335	Syae.g_00526
