Orthogroup	Syaq	Praw
OG0000150	Syaq.g_02011	Praw.g_01644
OG0000151	Syaq.g_02283	Praw.g_01587
OG0000152	Syaq.g_02485	Praw.g_01539
OG0000153	Syaq.g_02518	Praw.g_01520
OG0000154	Syaq.g_00066	Praw.g_01493
OG0000155	Syaq.g_00212	Praw.g_00254
OG0000156	Syaq.g_00281	Praw.g_00968
OG0000157	Syaq.g_00282	Praw.g_00969
OG0000158	Syaq.g_01003	Praw.g_01052
OG0000159	Syaq.g_00918, Syaq.g_00941	Praw.g_01054
OG0000160	Syaq.g_00374	Praw.g_01079, Praw.g_01080
OG0000161	Syaq.g_00382	Praw.g_00344
OG0000162	Syaq.g_00389	Praw.g_00350
OG0000163	Syaq.g_01730	Praw.g_00384
OG0000164	Syaq.g_01642	Praw.g_00539
OG0000165	Syaq.g_01630	Praw.g_00546
OG0000166	Syaq.g_00647	Praw.g_00132
OG0000167	Syaq.g_00983	Praw.g_00066
OG0000168	Syaq.g_01004	Praw.g_00056
OG0000169	Syaq.g_01016	Praw.g_00046
OG0000170	Syaq.g_01023	Praw.g_00044
OG0000171	Syaq.g_01052	Praw.g_00024
OG0000172	Syaq.g_01074	Praw.g_00016
OG0000173	Syaq.g_01092	Praw.g_00001
OG0000174	Syaq.g_01224	Praw.g_01166
OG0000175	Syaq.g_01183	Praw.g_01156
OG0000176	Syaq.g_01146	Praw.g_01132
OG0000177	Syaq.g_01145	Praw.g_01131
OG0000178	Syaq.g_01144	Praw.g_01130
OG0000179	Syaq.g_01129	Praw.g_01412
OG0000180	Syaq.g_01128	Praw.g_01411
OG0000181	Syaq.g_01127	Praw.g_01410
OG0000182	Syaq.g_01126	Praw.g_01409
OG0000183	Syaq.g_01122	Praw.g_01405
OG0000184	Syaq.g_01277	Praw.g_01382
OG0000185	Syaq.g_01290	Praw.g_01379
OG0000186	Syaq.g_01563	Praw.g_01370
OG0000187	Syaq.g_01561	Praw.g_01369
OG0000188	Syaq.g_01539	Praw.g_01352
OG0000189	Syaq.g_01499	Praw.g_01339
OG0000190	Syaq.g_01497	Praw.g_01338
OG0000191	Syaq.g_01467	Praw.g_01318
OG0000192	Syaq.g_01462	Praw.g_01314
OG0000193	Syaq.g_01423	Praw.g_01289
OG0000194	Syaq.g_01420	Praw.g_01286
OG0000195	Syaq.g_01418	Praw.g_01284
OG0000196	Syaq.g_01407	Praw.g_01274
OG0000197	Syaq.g_01406	Praw.g_01273
OG0000198	Syaq.g_01405	Praw.g_01272
OG0000199	Syaq.g_01398	Praw.g_01265
OG0000200	Syaq.g_01382	Praw.g_01251
OG0000201	Syaq.g_01365	Praw.g_01243
OG0000202	Syaq.g_01364	Praw.g_01242
OG0000203	Syaq.g_01363	Praw.g_01241
OG0000204	Syaq.g_01362	Praw.g_01240
OG0000205	Syaq.g_01355	Praw.g_01233
OG0000206	Syaq.g_01345	Praw.g_01228
OG0000207	Syaq.g_01338	Praw.g_01226
OG0000208	Syaq.g_01337	Praw.g_01225
OG0000209	Syaq.g_01310	Praw.g_01216
OG0000210	Syaq.g_01309	Praw.g_01215
OG0000211	Syaq.g_01570	Praw.g_01202
OG0000212	Syaq.g_01586	Praw.g_01195
OG0000213	Syaq.g_00729	Praw.g_00876
OG0000214	Syaq.g_00745	Praw.g_00867
OG0000215	Syaq.g_00777	Praw.g_00842
OG0000216	Syaq.g_00781	Praw.g_00840
OG0000217	Syaq.g_00844	Praw.g_00837
OG0000218	Syaq.g_00846	Praw.g_00835
OG0000219	Syaq.g_00847	Praw.g_00834
OG0000220	Syaq.g_00848	Praw.g_00833
OG0000221	Syaq.g_00856	Praw.g_00832
OG0000222	Syaq.g_00868	Praw.g_00824
OG0000223	Syaq.g_00946	Praw.g_00811
OG0000224	Syaq.g_00950	Praw.g_00809
OG0000225	Syaq.g_00543	Praw.g_00786
OG0000226	Syaq.g_00536	Praw.g_00782
OG0000227	Syaq.g_00534	Praw.g_00780
OG0000228	Syaq.g_00531	Praw.g_00777
OG0000229	Syaq.g_00501	Praw.g_00711
OG0000230	Syaq.g_00499	Praw.g_00709
OG0000231	Syaq.g_00485	Praw.g_00698
OG0000232	Syaq.g_00472	Praw.g_00689
OG0000233	Syaq.g_00464	Praw.g_00684
OG0000234	Syaq.g_00440	Praw.g_00671
OG0000235	Syaq.g_01771	Praw.g_00668
OG0000236	Syaq.g_01787	Praw.g_00655
OG0000237	Syaq.g_01805	Praw.g_00642
OG0000238	Syaq.g_01810	Praw.g_00636
OG0000239	Syaq.g_01826	Praw.g_00623
OG0000240	Syaq.g_01827	Praw.g_00622
OG0000241	Syaq.g_02074	Praw.g_00618
OG0000242	Syaq.g_01836	Praw.g_00616
OG0000243	Syaq.g_01922	Praw.g_00605
OG0000244	Syaq.g_01928	Praw.g_00602
OG0000245	Syaq.g_01930	Praw.g_00600
OG0000246	Syaq.g_01934	Praw.g_00596
OG0000247	Syaq.g_01945	Praw.g_00586
OG0000248	Syaq.g_01948	Praw.g_00584
OG0000249	Syaq.g_01950	Praw.g_00582
OG0000250	Syaq.g_01958	Praw.g_00577
OG0000251	Syaq.g_01984	Praw.g_01937
OG0000252	Syaq.g_01987	Praw.g_01940
OG0000253	Syaq.g_01989	Praw.g_01941
OG0000254	Syaq.g_02016	Praw.g_00147
OG0000255	Syaq.g_02041	Praw.g_00153
OG0000256	Syaq.g_02068	Praw.g_00163
OG0000257	Syaq.g_02073	Praw.g_00166
OG0000258	Syaq.g_02095	Praw.g_01879
OG0000259	Syaq.g_02239	Praw.g_01862
OG0000260	Syaq.g_02242	Praw.g_01859
OG0000261	Syaq.g_02245	Praw.g_01857
OG0000262	Syaq.g_02250	Praw.g_01853
OG0000263	Syaq.g_00185	Praw.g_01841
OG0000264	Syaq.g_02582	Praw.g_01831
OG0000266	Syaq.g_00037	Praw.g_01799
OG0000267	Syaq.g_02430	Praw.g_01788
OG0000268	Syaq.g_02431	Praw.g_01787
OG0000269	Syaq.g_02335	Praw.g_01702
OG0000270	Syaq.g_02338	Praw.g_01699
OG0000271	Syaq.g_02346	Praw.g_01691
OG0000272	Syaq.g_02347	Praw.g_01690
OG0000273	Syaq.g_02376	Praw.g_01668
OG0000274	Syaq.g_02377	Praw.g_01667
OG0000275	Syaq.g_02380	Praw.g_01665
OG0000276	Syaq.g_02387	Praw.g_01660
OG0000277	Syaq.g_02388	Praw.g_01659
OG0000278	Syaq.g_02391	Praw.g_01656
OG0000279	Syaq.g_02401	Praw.g_01649
OG0000280	Syaq.g_02410	Praw.g_01648
OG0000281	Syaq.g_02224	Praw.g_01643
OG0000282	Syaq.g_02271	Praw.g_01595
OG0000283	Syaq.g_02445	Praw.g_01562
OG0000284	Syaq.g_02450	Praw.g_01557
OG0000285	Syaq.g_02466	Praw.g_01552
OG0000286	Syaq.g_02484	Praw.g_01540
OG0000288	Syaq.g_00067	Praw.g_01494
OG0000289	Syaq.g_00053	Praw.g_01483
OG0000290	Syaq.g_02682	Praw.g_01470
OG0000291	Syaq.g_02680	Praw.g_01468
OG0000292	Syaq.g_01157	Praw.g_01418
OG0000293	Syaq.g_00262	Praw.g_00225
OG0000294	Syaq.g_00261	Praw.g_00226
OG0000295	Syaq.g_00220	Praw.g_00246
OG0000296	Syaq.g_00218	Praw.g_00248
OG0000297	Syaq.g_00205	Praw.g_00256
OG0000298	Syaq.g_00204	Praw.g_00257
OG0000299	Syaq.g_00171	Praw.g_00274
OG0000300	Syaq.g_00164	Praw.g_00277
OG0000301	Syaq.g_00163	Praw.g_00278
OG0000302	Syaq.g_00162	Praw.g_00280
OG0000303	Syaq.g_00152	Praw.g_00287
OG0000304	Syaq.g_00146	Praw.g_00291
OG0000305	Syaq.g_02677	Praw.g_01008
OG0000306	Syaq.g_01861	Praw.g_01011
OG0000307	Syaq.g_01754	Praw.g_01025
OG0000308	Syaq.g_01752	Praw.g_01026
OG0000309	Syaq.g_01747	Praw.g_01030
OG0000310	Syaq.g_00347	Praw.g_01098
OG0000311	Syaq.g_00352	Praw.g_01096
OG0000312	Syaq.g_00359	Praw.g_01093
OG0000313	Syaq.g_00379	Praw.g_01076
OG0000314	Syaq.g_00408	Praw.g_00363
OG0000315	Syaq.g_00418	Praw.g_00374
OG0000316	Syaq.g_01716	Praw.g_00394
OG0000317	Syaq.g_01675	Praw.g_00513
OG0000318	Syaq.g_01672	Praw.g_00516
OG0000319	Syaq.g_01657	Praw.g_00529
OG0000320	Syaq.g_01655	Praw.g_00531
OG0000321	Syaq.g_01654	Praw.g_00532
OG0000322	Syaq.g_01653	Praw.g_00533
OG0000323	Syaq.g_01638	Praw.g_00542
OG0000324	Syaq.g_01605	Praw.g_00569
OG0000325	Syaq.g_00693	Praw.g_01916
OG0000326	Syaq.g_00686	Praw.g_01910
OG0000327	Syaq.g_00652	Praw.g_00137
OG0000328	Syaq.g_00651	Praw.g_00136
OG0000329	Syaq.g_00633	Praw.g_00119
OG0000330	Syaq.g_00632	Praw.g_00118
OG0000331	Syaq.g_00631	Praw.g_00117
OG0000332	Syaq.g_00616	Praw.g_00103
OG0000333	Syaq.g_00613	Praw.g_00101
OG0000334	Syaq.g_00603	Praw.g_00093
OG0000335	Syaq.g_00598	Praw.g_00088
OG0000336	Syaq.g_00594	Praw.g_00084
OG0000337	Syaq.g_00975	Praw.g_00068
OG0000338	Syaq.g_00981	Praw.g_00067
OG0000339	Syaq.g_00988	Praw.g_00063
OG0000340	Syaq.g_01005	Praw.g_00055
OG0000341	Syaq.g_01007	Praw.g_00053
OG0000342	Syaq.g_01008	Praw.g_00052
OG0000343	Syaq.g_01010	Praw.g_00051
OG0000344	Syaq.g_01014	Praw.g_00048
OG0000345	Syaq.g_01024	Praw.g_00043
OG0000346	Syaq.g_01029	Praw.g_00038
OG0000347	Syaq.g_01057	Praw.g_00022
OG0000348	Syaq.g_01070	Praw.g_00013
OG0000349	Syaq.g_01099	Praw.g_01189
OG0000350	Syaq.g_00679	Praw.g_01170
OG0000351	Syaq.g_01179	Praw.g_01153
OG0000352	Syaq.g_01178	Praw.g_01152
OG0000353	Syaq.g_01151	Praw.g_01137
OG0000354	Syaq.g_01131	Praw.g_00910
OG0000355	Syaq.g_01149	Praw.g_01135
OG0000356	Syaq.g_01148	Praw.g_01134
OG0000357	Syaq.g_01147	Praw.g_01133
OG0000358	Syaq.g_01143	Praw.g_01129
OG0000359	Syaq.g_01141	Praw.g_01128
OG0000360	Syaq.g_01140	Praw.g_01127
OG0000361	Syaq.g_01139	Praw.g_01126
OG0000362	Syaq.g_01137	Praw.g_01124
OG0000363	Syaq.g_01135	Praw.g_01414
OG0000364	Syaq.g_01134	Praw.g_01413
OG0000365	Syaq.g_01125	Praw.g_01408
OG0000366	Syaq.g_01124	Praw.g_01407
OG0000367	Syaq.g_01123	Praw.g_01406
OG0000368	Syaq.g_01121	Praw.g_01404
OG0000369	Syaq.g_01120	Praw.g_01403
OG0000370	Syaq.g_01119	Praw.g_01402
OG0000371	Syaq.g_01111	Praw.g_01396
OG0000372	Syaq.g_01106	Praw.g_01393
OG0000373	Syaq.g_01105	Praw.g_01392
OG0000374	Syaq.g_01104	Praw.g_01391
OG0000375	Syaq.g_01103	Praw.g_01388
OG0000376	Syaq.g_01101	Praw.g_01386
OG0000377	Syaq.g_01270	Praw.g_01383
OG0000378	Syaq.g_01286	Praw.g_01381
OG0000379	Syaq.g_01291	Praw.g_01378
OG0000380	Syaq.g_01560	Praw.g_01368
OG0000381	Syaq.g_01558	Praw.g_01364
OG0000382	Syaq.g_01540	Praw.g_01353
OG0000383	Syaq.g_01535	Praw.g_01351
OG0000384	Syaq.g_01534	Praw.g_01350
OG0000385	Syaq.g_01533	Praw.g_01349
OG0000386	Syaq.g_01532	Praw.g_01348
OG0000387	Syaq.g_01495	Praw.g_01336
OG0000388	Syaq.g_01491	Praw.g_01333
OG0000389	Syaq.g_01488	Praw.g_01329
OG0000390	Syaq.g_01473	Praw.g_01322
OG0000391	Syaq.g_01468	Praw.g_01319
OG0000392	Syaq.g_01463	Praw.g_01315
OG0000393	Syaq.g_01460	Praw.g_01313
OG0000394	Syaq.g_01459	Praw.g_01312
OG0000395	Syaq.g_01458	Praw.g_01311
OG0000396	Syaq.g_01455	Praw.g_01308
OG0000397	Syaq.g_01453	Praw.g_01306
OG0000398	Syaq.g_01448	Praw.g_01304
OG0000399	Syaq.g_01447	Praw.g_01303
OG0000400	Syaq.g_01446	Praw.g_01302
OG0000401	Syaq.g_01445	Praw.g_01301
OG0000402	Syaq.g_01443	Praw.g_01299
OG0000403	Syaq.g_01442	Praw.g_01298
OG0000404	Syaq.g_01440	Praw.g_01297
OG0000405	Syaq.g_01429	Praw.g_01293
OG0000406	Syaq.g_01422	Praw.g_01288
OG0000407	Syaq.g_01421	Praw.g_01287
OG0000408	Syaq.g_01419	Praw.g_01285
OG0000409	Syaq.g_01417	Praw.g_01283
OG0000410	Syaq.g_01416	Praw.g_01282
OG0000411	Syaq.g_01415	Praw.g_01281
OG0000412	Syaq.g_01414	Praw.g_01280
OG0000413	Syaq.g_01412	Praw.g_01279
OG0000414	Syaq.g_01411	Praw.g_01278
OG0000415	Syaq.g_01410	Praw.g_01277
OG0000416	Syaq.g_01409	Praw.g_01276
OG0000417	Syaq.g_01408	Praw.g_01275
OG0000418	Syaq.g_01403	Praw.g_01270
OG0000419	Syaq.g_01401	Praw.g_01268
OG0000420	Syaq.g_01400	Praw.g_01267
OG0000421	Syaq.g_01395	Praw.g_01262
OG0000422	Syaq.g_01394	Praw.g_01261
OG0000423	Syaq.g_01393	Praw.g_01260
OG0000424	Syaq.g_01392	Praw.g_01259
OG0000425	Syaq.g_01391	Praw.g_01258
OG0000426	Syaq.g_01390	Praw.g_01257
OG0000427	Syaq.g_01389	Praw.g_01256
OG0000428	Syaq.g_01386	Praw.g_01254
OG0000429	Syaq.g_01384	Praw.g_01253
OG0000430	Syaq.g_01383	Praw.g_01252
OG0000431	Syaq.g_01380	Praw.g_01250
OG0000432	Syaq.g_01374	Praw.g_01247
OG0000433	Syaq.g_01369	Praw.g_01246
OG0000434	Syaq.g_01368	Praw.g_01245
OG0000435	Syaq.g_01367	Praw.g_01244
OG0000436	Syaq.g_01361	Praw.g_01239
OG0000437	Syaq.g_01360	Praw.g_01238
OG0000438	Syaq.g_01359	Praw.g_01237
OG0000439	Syaq.g_01357	Praw.g_01235
OG0000440	Syaq.g_01356	Praw.g_01234
OG0000441	Syaq.g_01352	Praw.g_01231
OG0000442	Syaq.g_01350	Praw.g_01230
OG0000443	Syaq.g_01347	Praw.g_01229
OG0000444	Syaq.g_01333	Praw.g_01224
OG0000445	Syaq.g_01332	Praw.g_01223
OG0000446	Syaq.g_01330	Praw.g_01222
OG0000447	Syaq.g_01328	Praw.g_01221
OG0000448	Syaq.g_01327	Praw.g_01220
OG0000449	Syaq.g_01320	Praw.g_01219
OG0000450	Syaq.g_01313	Praw.g_01218
OG0000451	Syaq.g_01312	Praw.g_01217
OG0000452	Syaq.g_01308	Praw.g_01214
OG0000453	Syaq.g_01307	Praw.g_01213
OG0000454	Syaq.g_01306	Praw.g_01212
OG0000455	Syaq.g_01305	Praw.g_01211
OG0000456	Syaq.g_01304	Praw.g_01210
OG0000457	Syaq.g_01302	Praw.g_01209
OG0000458	Syaq.g_01299	Praw.g_01208
OG0000459	Syaq.g_01298	Praw.g_01207
OG0000460	Syaq.g_01577	Praw.g_01200
OG0000461	Syaq.g_00707	Praw.g_00891
OG0000462	Syaq.g_00710	Praw.g_00889
OG0000463	Syaq.g_00711	Praw.g_00888
OG0000464	Syaq.g_00712	Praw.g_00887
OG0000465	Syaq.g_00714	Praw.g_00886
OG0000466	Syaq.g_00718	Praw.g_00883
OG0000467	Syaq.g_00720	Praw.g_00882
OG0000468	Syaq.g_00725	Praw.g_00880
OG0000469	Syaq.g_00739	Praw.g_00872
OG0000470	Syaq.g_00741	Praw.g_00870
OG0000471	Syaq.g_00742	Praw.g_00869
OG0000472	Syaq.g_00744	Praw.g_00868
OG0000473	Syaq.g_00746	Praw.g_00866
OG0000474	Syaq.g_00747	Praw.g_00865
OG0000475	Syaq.g_00748	Praw.g_00864
OG0000476	Syaq.g_00750	Praw.g_00863
OG0000477	Syaq.g_00756	Praw.g_00859
OG0000478	Syaq.g_00757	Praw.g_00858
OG0000479	Syaq.g_00759	Praw.g_00857
OG0000480	Syaq.g_00766	Praw.g_00852
OG0000481	Syaq.g_00768	Praw.g_00850
OG0000482	Syaq.g_00769	Praw.g_00849
OG0000483	Syaq.g_00773	Praw.g_00846
OG0000484	Syaq.g_00774	Praw.g_00845
OG0000485	Syaq.g_00775	Praw.g_00844
OG0000486	Syaq.g_00776	Praw.g_00843
OG0000487	Syaq.g_00782	Praw.g_00839
OG0000488	Syaq.g_00845	Praw.g_00836
OG0000489	Syaq.g_00857	Praw.g_00831
OG0000490	Syaq.g_00864	Praw.g_00826
OG0000491	Syaq.g_00865	Praw.g_00825
OG0000492	Syaq.g_00869	Praw.g_00823
OG0000493	Syaq.g_00870	Praw.g_00822
OG0000494	Syaq.g_00871	Praw.g_00821
OG0000495	Syaq.g_00872	Praw.g_00820
OG0000496	Syaq.g_00873	Praw.g_00819
OG0000497	Syaq.g_00874	Praw.g_00818
OG0000498	Syaq.g_00875	Praw.g_00817
OG0000499	Syaq.g_00876	Praw.g_00816
