Orthogroup	Syaq	Prbe
OG0000148	Syaq.g_02359	Prbe.g_01239
OG0000149	Syaq.g_02395	Prbe.g_01271
OG0000150	Syaq.g_02011	Prbe.g_01281
OG0000151	Syaq.g_02283	Prbe.g_00427
OG0000152	Syaq.g_02485	Prbe.g_01350
OG0000153	Syaq.g_02518	Prbe.g_01369
OG0000154	Syaq.g_00066	Prbe.g_01389
OG0000155	Syaq.g_00212	Prbe.g_01528
OG0000156	Syaq.g_00281	Prbe.g_00904
OG0000157	Syaq.g_00282	Prbe.g_00903
OG0000158	Syaq.g_01003	Prbe.g_00792
OG0000159	Syaq.g_00918, Syaq.g_00941	Prbe.g_00165
OG0000160	Syaq.g_00374	Prbe.g_00310
OG0000161	Syaq.g_00382	Prbe.g_00304
OG0000162	Syaq.g_00389	Prbe.g_00298
OG0000163	Syaq.g_01730	Prbe.g_00259
OG0000164	Syaq.g_01642	Prbe.g_00961
OG0000165	Syaq.g_01630	Prbe.g_00954
OG0000166	Syaq.g_00647	Prbe.g_01083
OG0000167	Syaq.g_00983	Prbe.g_00802
OG0000168	Syaq.g_01004	Prbe.g_00791
OG0000169	Syaq.g_01016	Prbe.g_00781
OG0000170	Syaq.g_01023	Prbe.g_00778
OG0000171	Syaq.g_01052	Prbe.g_00758
OG0000172	Syaq.g_01074	Prbe.g_00751
OG0000173	Syaq.g_01092	Prbe.g_01143
OG0000174	Syaq.g_01224	Prbe.g_01173
OG0000175	Syaq.g_01183	Prbe.g_01186
OG0000176	Syaq.g_01146	Prbe.g_01069
OG0000177	Syaq.g_01145	Prbe.g_01070
OG0000178	Syaq.g_01144	Prbe.g_01071
OG0000179	Syaq.g_01129	Prbe.g_00116
OG0000180	Syaq.g_01128	Prbe.g_00117
OG0000181	Syaq.g_01127	Prbe.g_00118
OG0000182	Syaq.g_01126	Prbe.g_00119
OG0000183	Syaq.g_01122	Prbe.g_00123
OG0000184	Syaq.g_01277	Prbe.g_00149
OG0000185	Syaq.g_01290	Prbe.g_00152
OG0000186	Syaq.g_01563	Prbe.g_00168
OG0000187	Syaq.g_01561	Prbe.g_00169
OG0000188	Syaq.g_01539	Prbe.g_00186
OG0000189	Syaq.g_01499	Prbe.g_01636
OG0000190	Syaq.g_01497	Prbe.g_01638
OG0000191	Syaq.g_01467	Prbe.g_01661
OG0000192	Syaq.g_01462	Prbe.g_01666
OG0000193	Syaq.g_01423	Prbe.g_01693
OG0000194	Syaq.g_01420	Prbe.g_01696
OG0000195	Syaq.g_01418	Prbe.g_01698
OG0000196	Syaq.g_01407	Prbe.g_01709
OG0000197	Syaq.g_01406	Prbe.g_01710
OG0000198	Syaq.g_01405	Prbe.g_01711
OG0000199	Syaq.g_01398	Prbe.g_01718
OG0000200	Syaq.g_01382	Prbe.g_01732
OG0000201	Syaq.g_01365	Prbe.g_01741
OG0000202	Syaq.g_01364	Prbe.g_01742
OG0000203	Syaq.g_01363	Prbe.g_01743
OG0000204	Syaq.g_01362	Prbe.g_01744
OG0000205	Syaq.g_01355	Prbe.g_01751
OG0000206	Syaq.g_01345	Prbe.g_01756
OG0000207	Syaq.g_01338	Prbe.g_01759
OG0000208	Syaq.g_01337	Prbe.g_01760
OG0000209	Syaq.g_01310	Prbe.g_01769
OG0000210	Syaq.g_01309	Prbe.g_01770
OG0000211	Syaq.g_01570	Prbe.g_01785
OG0000212	Syaq.g_01586	Prbe.g_01793
OG0000213	Syaq.g_00729	Prbe.g_01811
OG0000214	Syaq.g_00745	Prbe.g_01821
OG0000215	Syaq.g_00777	Prbe.g_01848
OG0000216	Syaq.g_00781	Prbe.g_01849
OG0000217	Syaq.g_00844	Prbe.g_01852
OG0000218	Syaq.g_00846	Prbe.g_01854
OG0000219	Syaq.g_00847	Prbe.g_01855
OG0000220	Syaq.g_00848	Prbe.g_01856
OG0000221	Syaq.g_00856	Prbe.g_01857
OG0000222	Syaq.g_00868	Prbe.g_01864
OG0000223	Syaq.g_00946	Prbe.g_01876
OG0000224	Syaq.g_00950	Prbe.g_01878
OG0000225	Syaq.g_00543	Prbe.g_01904
OG0000226	Syaq.g_00536	Prbe.g_01908
OG0000227	Syaq.g_00534	Prbe.g_01910
OG0000228	Syaq.g_00531	Prbe.g_01914
OG0000229	Syaq.g_00501	Prbe.g_01934
OG0000230	Syaq.g_00499	Prbe.g_01936
OG0000231	Syaq.g_00485	Prbe.g_01947
OG0000232	Syaq.g_00472	Prbe.g_00672
OG0000233	Syaq.g_00464	Prbe.g_00666
OG0000234	Syaq.g_00440	Prbe.g_00657
OG0000235	Syaq.g_01771	Prbe.g_00654
OG0000236	Syaq.g_01787	Prbe.g_00640
OG0000237	Syaq.g_01805	Prbe.g_00627
OG0000238	Syaq.g_01810	Prbe.g_00621
OG0000239	Syaq.g_01826	Prbe.g_00610
OG0000240	Syaq.g_01827	Prbe.g_00609
OG0000241	Syaq.g_02074	Prbe.g_00605
OG0000242	Syaq.g_01836	Prbe.g_00603
OG0000243	Syaq.g_01922	Prbe.g_00592
OG0000244	Syaq.g_01928	Prbe.g_00589
OG0000245	Syaq.g_01930	Prbe.g_00587
OG0000246	Syaq.g_01934	Prbe.g_00583
OG0000247	Syaq.g_01945	Prbe.g_00573
OG0000248	Syaq.g_01948	Prbe.g_00570
OG0000249	Syaq.g_01950	Prbe.g_00568
OG0000250	Syaq.g_01958	Prbe.g_00563
OG0000251	Syaq.g_01984	Prbe.g_00543
OG0000252	Syaq.g_01987	Prbe.g_00540
OG0000253	Syaq.g_01989	Prbe.g_00539
OG0000254	Syaq.g_02016	Prbe.g_00522
OG0000255	Syaq.g_02041	Prbe.g_00516
OG0000256	Syaq.g_02068	Prbe.g_00506
OG0000257	Syaq.g_02073	Prbe.g_01490
OG0000258	Syaq.g_02095	Prbe.g_01476
OG0000259	Syaq.g_02239	Prbe.g_01459
OG0000260	Syaq.g_02242	Prbe.g_01456
OG0000261	Syaq.g_02245	Prbe.g_01453
OG0000262	Syaq.g_02250	Prbe.g_01449
OG0000263	Syaq.g_00185	Prbe.g_00455
OG0000264	Syaq.g_02582	Prbe.g_00466
OG0000266	Syaq.g_00037	Prbe.g_01430
OG0000267	Syaq.g_02430	Prbe.g_01418
OG0000268	Syaq.g_02431	Prbe.g_01417
OG0000269	Syaq.g_02335	Prbe.g_01217
OG0000270	Syaq.g_02338	Prbe.g_01220
OG0000271	Syaq.g_02346	Prbe.g_01228
OG0000272	Syaq.g_02347	Prbe.g_01229
OG0000273	Syaq.g_02376	Prbe.g_01253
OG0000274	Syaq.g_02377	Prbe.g_01254
OG0000275	Syaq.g_02380	Prbe.g_01257
OG0000276	Syaq.g_02387	Prbe.g_01263
OG0000277	Syaq.g_02388	Prbe.g_01264
OG0000278	Syaq.g_02391	Prbe.g_01267
OG0000279	Syaq.g_02401	Prbe.g_01274
OG0000280	Syaq.g_02410	Prbe.g_01275
OG0000281	Syaq.g_02224	Prbe.g_01282
OG0000282	Syaq.g_02271	Prbe.g_00419
OG0000283	Syaq.g_02445	Prbe.g_01326
OG0000284	Syaq.g_02450	Prbe.g_01331
OG0000285	Syaq.g_02466	Prbe.g_01336
