Orthogroup	Syan	Prar
OG0000282	Syan.g_00739	Prar.g_01778
OG0000283	Syan.g_00491	Prar.g_01810
OG0000284	Syan.g_00497	Prar.g_01815
OG0000285	Syan.g_00533	Prar.g_01820
OG0000286	Syan.g_00564	Prar.g_01832
OG0000287	Syan.g_00593	Prar.g_01849
OG0000288	Syan.g_00364	Prar.g_01877
OG0000289	Syan.g_00350	Prar.g_01888
OG0000290	Syan.g_00293	Prar.g_01901
OG0000291	Syan.g_00291	Prar.g_01903
OG0000292	Syan.g_01703	Prar.g_01953
OG0000293	Syan.g_02709	Prar.g_01272
OG0000294	Syan.g_02708	Prar.g_01271
OG0000295	Syan.g_02662	Prar.g_01251
OG0000296	Syan.g_02660	Prar.g_01249
OG0000297	Syan.g_02646	Prar.g_01241
OG0000298	Syan.g_02645	Prar.g_01240
OG0000299	Syan.g_02601	Prar.g_01223
OG0000300	Syan.g_02593, Syan.g_02594	Prar.g_01220
OG0000301	Syan.g_02592	Prar.g_01219
OG0000302	Syan.g_02591	Prar.g_01217
OG0000303	Syan.g_02582	Prar.g_01210
OG0000304	Syan.g_02556	Prar.g_01206
OG0000305	Syan.g_00195	Prar.g_00919
OG0000306	Syan.g_00087	Prar.g_00916
OG0000307	Syan.g_02782	Prar.g_00902
OG0000308	Syan.g_02784	Prar.g_00901
OG0000309	Syan.g_02883	Prar.g_00897
OG0000310	Syan.g_01304	Prar.g_00354
OG0000311	Syan.g_01299	Prar.g_00352
OG0000312	Syan.g_01290	Prar.g_00349
OG0000313	Syan.g_01271	Prar.g_00335
OG0000314	Syan.g_02823	Prar.g_00820
OG0000315	Syan.g_02833	Prar.g_00810
OG0000316	Syan.g_01354	Prar.g_00790
OG0000317	Syan.g_01396	Prar.g_01145
OG0000318	Syan.g_01401	Prar.g_01142
OG0000319	Syan.g_01425	Prar.g_01129
OG0000320	Syan.g_01427	Prar.g_01127
OG0000321	Syan.g_01428	Prar.g_01126
OG0000322	Syan.g_01429	Prar.g_01125
OG0000323	Syan.g_01442	Prar.g_01967
OG0000324	Syan.g_01472	Prar.g_00609
OG0000325	Syan.g_02107	Prar.g_01113
OG0000326	Syan.g_02114	Prar.g_01107
OG0000327	Syan.g_02244	Prar.g_01068
OG0000328	Syan.g_02243	Prar.g_01067
OG0000329	Syan.g_02225	Prar.g_01050
OG0000330	Syan.g_02224	Prar.g_01049
OG0000331	Syan.g_02223	Prar.g_01048
OG0000332	Syan.g_02208	Prar.g_01034
OG0000333	Syan.g_02205	Prar.g_01032
OG0000334	Syan.g_00247, Syan.g_02194	Prar.g_01024
OG0000335	Syan.g_02189	Prar.g_01020
OG0000336	Syan.g_02185	Prar.g_01016
OG0000337	Syan.g_01949	Prar.g_00625
OG0000338	Syan.g_01943	Prar.g_00626
OG0000339	Syan.g_01935, Syan.g_00264	Prar.g_00630
OG0000340	Syan.g_01923	Prar.g_00638
OG0000341	Syan.g_01921	Prar.g_00640
OG0000342	Syan.g_01920	Prar.g_00641
OG0000343	Syan.g_01918	Prar.g_00642
OG0000344	Syan.g_01914	Prar.g_00645
OG0000345	Syan.g_01900	Prar.g_00650
OG0000346	Syan.g_01895	Prar.g_00654
OG0000347	Syan.g_01867	Prar.g_00669
OG0000348	Syan.g_01803	Prar.g_00678
OG0000349	Syan.g_01727	Prar.g_00695
OG0000350	Syan.g_02121	Prar.g_00072
OG0000351	Syan.g_01682	Prar.g_00055
OG0000352	Syan.g_01683	Prar.g_00054
OG0000353	Syan.g_01795	Prar.g_00039
OG0000355	Syan.g_01797	Prar.g_00037
OG0000356	Syan.g_01798	Prar.g_00036
OG0000357	Syan.g_01800	Prar.g_00035
OG0000358	Syan.g_01773	Prar.g_00031
OG0000359	Syan.g_01771	Prar.g_00030
OG0000360	Syan.g_01770	Prar.g_00029
OG0000361	Syan.g_01769	Prar.g_00028
OG0000362	Syan.g_01767	Prar.g_00026
OG0000363	Syan.g_01765	Prar.g_00024
OG0000364	Syan.g_01398	Prar.g_00023
OG0000365	Syan.g_01755	Prar.g_00018
OG0000366	Syan.g_01754	Prar.g_00017
OG0000367	Syan.g_01753	Prar.g_00016
OG0000368	Syan.g_01751	Prar.g_00014
OG0000369	Syan.g_01750	Prar.g_00013
OG0000370	Syan.g_01749	Prar.g_00012
OG0000371	Syan.g_01740	Prar.g_00006
OG0000372	Syan.g_01734	Prar.g_00002
OG0000373	Syan.g_01733	Prar.g_00001
OG0000374	Syan.g_01732	Prar.g_00594
OG0000375	Syan.g_01731	Prar.g_00580
OG0000376	Syan.g_01729	Prar.g_00578
OG0000377	Syan.g_01555	Prar.g_00574
OG0000378	Syan.g_01543	Prar.g_00572
OG0000379	Syan.g_01539	Prar.g_00569
OG0000380	Syan.g_02905	Prar.g_00552
OG0000381	Syan.g_02908	Prar.g_00548
OG0000382	Syan.g_02925	Prar.g_00247
OG0000383	Syan.g_02936	Prar.g_00245
OG0000384	Syan.g_02937	Prar.g_00244
OG0000385	Syan.g_02938	Prar.g_00243
OG0000386	Syan.g_02939	Prar.g_00242
OG0000387	Syan.g_00967	Prar.g_00229
OG0000388	Syan.g_02970	Prar.g_00226
OG0000389	Syan.g_02973	Prar.g_00222
OG0000390	Syan.g_02306	Prar.g_00215
OG0000391	Syan.g_02301	Prar.g_00212
OG0000392	Syan.g_02295	Prar.g_00208
OG0000393	Syan.g_02292	Prar.g_00206
OG0000394	Syan.g_02291	Prar.g_00205
OG0000395	Syan.g_02290	Prar.g_00204
OG0000396	Syan.g_02287	Prar.g_00201
OG0000397	Syan.g_02285	Prar.g_00199
OG0000398	Syan.g_02279	Prar.g_00197
OG0000399	Syan.g_02278	Prar.g_00196
OG0000400	Syan.g_02277	Prar.g_00195
OG0000401	Syan.g_02274	Prar.g_00194
OG0000402	Syan.g_02272	Prar.g_00192
OG0000403	Syan.g_02271	Prar.g_00191
OG0000404	Syan.g_02269	Prar.g_00190
OG0000405	Syan.g_03005	Prar.g_00186
OG0000406	Syan.g_03010	Prar.g_00180
OG0000407	Syan.g_03011	Prar.g_00179
OG0000408	Syan.g_03013	Prar.g_00177
OG0000409	Syan.g_03015	Prar.g_00175
OG0000410	Syan.g_03016	Prar.g_00174
OG0000411	Syan.g_03017	Prar.g_00173
OG0000412	Syan.g_03018	Prar.g_00172
OG0000413	Syan.g_03020	Prar.g_00171
OG0000414	Syan.g_03021	Prar.g_01569, Prar.g_00170
OG0000415	Syan.g_03022	Prar.g_00169
OG0000416	Syan.g_03023	Prar.g_00168
OG0000417	Syan.g_03025	Prar.g_00167
OG0000418	Syan.g_03030	Prar.g_00162
OG0000419	Syan.g_03033	Prar.g_00160
OG0000420	Syan.g_03035	Prar.g_00159
OG0000421	Syan.g_03040	Prar.g_00154
OG0000422	Syan.g_03041	Prar.g_00153
OG0000423	Syan.g_03042	Prar.g_00152
OG0000424	Syan.g_03043	Prar.g_00151
OG0000425	Syan.g_03044	Prar.g_00150
OG0000426	Syan.g_03045	Prar.g_00149
OG0000427	Syan.g_03046	Prar.g_00148
OG0000428	Syan.g_03049	Prar.g_00146
OG0000429	Syan.g_03051	Prar.g_00145
OG0000430	Syan.g_03053	Prar.g_00144
OG0000431	Syan.g_03058	Prar.g_00142
OG0000432	Syan.g_03065	Prar.g_00139
OG0000433	Syan.g_03068	Prar.g_00138
OG0000434	Syan.g_03069	Prar.g_00137
OG0000435	Syan.g_03071	Prar.g_00136
OG0000436	Syan.g_03079	Prar.g_00131
OG0000437	Syan.g_03080	Prar.g_00130
OG0000438	Syan.g_03083	Prar.g_00129
OG0000439	Syan.g_03085	Prar.g_00127
OG0000440	Syan.g_03086	Prar.g_00126
OG0000441	Syan.g_03089	Prar.g_00123
OG0000442	Syan.g_03090	Prar.g_00122
OG0000443	Syan.g_03094	Prar.g_00121
OG0000444	Syan.g_03102	Prar.g_00116
OG0000445	Syan.g_03103	Prar.g_00115
OG0000446	Syan.g_03105	Prar.g_00114
OG0000447	Syan.g_03111	Prar.g_00113
OG0000448	Syan.g_03112	Prar.g_00112
OG0000449	Syan.g_03113	Prar.g_00111
OG0000450	Syan.g_01518	Prar.g_00110
OG0000451	Syan.g_01519	Prar.g_00109
OG0000452	Syan.g_01523	Prar.g_00106
OG0000453	Syan.g_01524	Prar.g_00105
OG0000454	Syan.g_01525	Prar.g_00104
OG0000455	Syan.g_01526	Prar.g_00103
OG0000456	Syan.g_01527	Prar.g_00102
OG0000457	Syan.g_01529	Prar.g_00101
OG0000458	Syan.g_01530	Prar.g_00100
OG0000459	Syan.g_01531	Prar.g_00099
OG0000460	Syan.g_02423	Prar.g_00092
OG0000461	Syan.g_02099	Prar.g_00085
OG0000462	Syan.g_02096	Prar.g_00083
OG0000463	Syan.g_02095	Prar.g_00082
OG0000464	Syan.g_02094	Prar.g_00081
OG0000465	Syan.g_02092	Prar.g_00080
OG0000466	Syan.g_02087	Prar.g_00077
OG0000467	Syan.g_02086	Prar.g_00076
OG0000468	Syan.g_02063	Prar.g_00334
OG0000469	Syan.g_02046	Prar.g_00325
OG0000470	Syan.g_02044	Prar.g_00323
OG0000471	Syan.g_02043	Prar.g_00322
OG0000472	Syan.g_02041	Prar.g_00321
OG0000473	Syan.g_02039	Prar.g_00319
OG0000474	Syan.g_02038	Prar.g_00318
OG0000475	Syan.g_02037	Prar.g_00317
OG0000476	Syan.g_02035	Prar.g_00316
OG0000477	Syan.g_02029	Prar.g_00312
OG0000478	Syan.g_02028	Prar.g_00311
OG0000479	Syan.g_02027	Prar.g_00310
OG0000480	Syan.g_02020	Prar.g_00305
OG0000481	Syan.g_00975	Prar.g_00303
OG0000482	Syan.g_02018	Prar.g_00302
OG0000483	Syan.g_02014	Prar.g_00299
OG0000484	Syan.g_02013	Prar.g_00298
OG0000485	Syan.g_02012	Prar.g_00297
OG0000486	Syan.g_02011	Prar.g_00296
OG0000487	Syan.g_02005	Prar.g_00292
OG0000488	Syan.g_02000	Prar.g_00289
OG0000489	Syan.g_01993	Prar.g_00284
OG0000490	Syan.g_01985	Prar.g_00279
OG0000491	Syan.g_01983	Prar.g_00278
OG0000492	Syan.g_01980	Prar.g_00276
OG0000493	Syan.g_01979	Prar.g_00275
OG0000494	Syan.g_01978	Prar.g_00274
OG0000495	Syan.g_01977	Prar.g_00273
OG0000496	Syan.g_01976	Prar.g_00272
OG0000497	Syan.g_01975	Prar.g_00271
OG0000498	Syan.g_01974	Prar.g_00270
OG0000499	Syan.g_01973	Prar.g_00269
OG0000500	Syan.g_01972	Prar.g_00268
OG0000501	Syan.g_01969	Prar.g_00266
OG0000502	Syan.g_01961	Prar.g_00263
OG0000503	Syan.g_02144	Prar.g_00394
OG0000504	Syan.g_02142	Prar.g_00395
OG0000505	Syan.g_02141	Prar.g_00396
OG0000506	Syan.g_02139	Prar.g_00398
OG0000507	Syan.g_02133	Prar.g_00401
OG0000508	Syan.g_02998	Prar.g_00405
OG0000509	Syan.g_02993	Prar.g_00407
OG0000510	Syan.g_02992	Prar.g_00408
OG0000511	Syan.g_02991	Prar.g_00409
OG0000512	Syan.g_02989	Prar.g_00411
OG0000513	Syan.g_02320	Prar.g_00418
OG0000514	Syan.g_02326	Prar.g_00479
OG0000515	Syan.g_02327	Prar.g_00480
OG0000516	Syan.g_02389	Prar.g_00481
OG0000517	Syan.g_02395	Prar.g_00483
OG0000518	Syan.g_01336	Prar.g_00494
OG0000519	Syan.g_01335	Prar.g_00495
OG0000520	Syan.g_01334	Prar.g_00496
OG0000521	Syan.g_02805	Prar.g_00501
OG0000522	Syan.g_02803	Prar.g_00503
OG0000523	Syan.g_02802	Prar.g_00504
OG0000524	Syan.g_02878	Prar.g_00510
OG0000525	Syan.g_02853	Prar.g_00513
OG0000526	Syan.g_02852	Prar.g_00514
OG0000527	Syan.g_02848	Prar.g_00523
OG0000528	Syan.g_02767	Prar.g_00528
OG0000529	Syan.g_02763	Prar.g_00531
OG0000530	Syan.g_02760	Prar.g_00534
OG0000531	Syan.g_02759	Prar.g_00535
OG0000532	Syan.g_02756	Prar.g_00537
OG0000533	Syan.g_02754	Prar.g_00538
OG0000534	Syan.g_02753	Prar.g_00539
OG0000535	Syan.g_02752	Prar.g_00540
OG0000536	Syan.g_02751	Prar.g_00541
OG0000537	Syan.g_02750	Prar.g_00542
OG0000538	Syan.g_02738	Prar.g_01331
OG0000539	Syan.g_02737	Prar.g_01332
OG0000540	Syan.g_02736	Prar.g_01333
OG0000541	Syan.g_02735	Prar.g_01334
OG0000542	Syan.g_02732	Prar.g_01336
OG0000543	Syan.g_02730	Prar.g_01338
OG0000544	Syan.g_02729	Prar.g_01339
OG0000545	Syan.g_02727	Prar.g_01341
OG0000546	Syan.g_02725	Prar.g_01344
OG0000547	Syan.g_02723	Prar.g_01345
OG0000548	Syan.g_02722	Prar.g_01346
OG0000549	Syan.g_01194	Prar.g_01348
OG0000550	Syan.g_01189	Prar.g_01353
OG0000551	Syan.g_01184	Prar.g_01357
OG0000552	Syan.g_01183	Prar.g_01358
OG0000553	Syan.g_01179	Prar.g_01359
OG0000554	Syan.g_01165	Prar.g_01364
OG0000555	Syan.g_00839	Prar.g_01372
OG0000556	Syan.g_00842	Prar.g_01374
OG0000557	Syan.g_00847	Prar.g_01375
OG0000558	Syan.g_00849	Prar.g_01377
OG0000559	Syan.g_00853	Prar.g_01381
OG0000560	Syan.g_00856	Prar.g_01384
OG0000561	Syan.g_00857	Prar.g_01385
OG0000562	Syan.g_00858	Prar.g_01386
OG0000563	Syan.g_00859	Prar.g_01387
OG0000564	Syan.g_00860	Prar.g_01388
OG0000565	Syan.g_00864	Prar.g_01391
OG0000566	Syan.g_00868	Prar.g_01393
OG0000567	Syan.g_00872	Prar.g_01397
OG0000568	Syan.g_00874	Prar.g_01398
OG0000569	Syan.g_00875	Prar.g_01399
OG0000570	Syan.g_00876	Prar.g_01400
OG0000571	Syan.g_00879	Prar.g_01402
OG0000572	Syan.g_00954	Prar.g_01415
OG0000573	Syan.g_00963	Prar.g_01422
OG0000574	Syan.g_00965	Prar.g_01423
OG0000575	Syan.g_01003	Prar.g_01427
OG0000576	Syan.g_01007	Prar.g_01429
