Orthogroup	Prba	Syak
OG0000405	Prba.g_01930	Syak.g_02131
OG0000406	Prba.g_01935	Syak.g_02126
OG0000407	Prba.g_01936	Syak.g_02125
OG0000408	Prba.g_01938	Syak.g_02123
OG0000409	Prba.g_01940	Syak.g_02121
OG0000410	Prba.g_01941	Syak.g_02120
OG0000411	Prba.g_01942	Syak.g_02119
OG0000412	Prba.g_01943	Syak.g_02118
OG0000413	Prba.g_01944	Syak.g_02116
OG0000415	Prba.g_01946	Syak.g_02114
OG0000416	Prba.g_01947	Syak.g_02113
OG0000417	Prba.g_01948	Syak.g_02112
OG0000418	Prba.g_01953	Syak.g_02107
OG0000419	Prba.g_00623	Syak.g_02105
OG0000420	Prba.g_00624	Syak.g_02103
OG0000421	Prba.g_00629	Syak.g_02097
OG0000422	Prba.g_00630	Syak.g_02096
OG0000423	Prba.g_00631	Syak.g_02095
OG0000424	Prba.g_00632	Syak.g_02094
OG0000425	Prba.g_00633	Syak.g_02093
OG0000426	Prba.g_00634	Syak.g_02092
OG0000427	Prba.g_00635	Syak.g_02091
OG0000428	Prba.g_00637	Syak.g_02088
OG0000429	Prba.g_00638	Syak.g_02086
OG0000430	Prba.g_00639	Syak.g_02084
OG0000431	Prba.g_00641	Syak.g_02081
OG0000432	Prba.g_00644	Syak.g_02075
OG0000433	Prba.g_00645	Syak.g_02073
OG0000434	Prba.g_00646	Syak.g_02072
OG0000435	Prba.g_00647	Syak.g_02071
OG0000436	Prba.g_00652	Syak.g_02064
OG0000437	Prba.g_00653	Syak.g_02063
OG0000438	Prba.g_00654	Syak.g_02062
OG0000439	Prba.g_00656	Syak.g_02060
OG0000440	Prba.g_00657	Syak.g_02059
OG0000441	Prba.g_00660	Syak.g_02053
OG0000442	Prba.g_00661	Syak.g_02043
OG0000443	Prba.g_00662	Syak.g_02041
OG0000444	Prba.g_00667	Syak.g_02022
OG0000445	Prba.g_00668	Syak.g_02015
OG0000446	Prba.g_00669	Syak.g_02013
OG0000447	Prba.g_00670	Syak.g_02006
OG0000448	Prba.g_00671	Syak.g_02005
OG0000449	Prba.g_00672	Syak.g_02004
OG0000450	Prba.g_00673	Syak.g_01998
OG0000451	Prba.g_00674	Syak.g_01997
OG0000452	Prba.g_00440	Syak.g_01993
OG0000453	Prba.g_00441	Syak.g_01992
OG0000454	Prba.g_00442	Syak.g_01991
OG0000455	Prba.g_00443	Syak.g_01990
OG0000456	Prba.g_00444	Syak.g_01989
OG0000457	Prba.g_00445	Syak.g_01987
OG0000458	Prba.g_00446	Syak.g_01986
OG0000459	Prba.g_00447	Syak.g_01985
OG0000460	Prba.g_00454	Syak.g_02303
OG0000461	Prba.g_00461	Syak.g_01402
OG0000462	Prba.g_00463	Syak.g_01405
OG0000463	Prba.g_00464	Syak.g_01406
OG0000464	Prba.g_00465	Syak.g_01407
OG0000465	Prba.g_00466	Syak.g_01409
OG0000466	Prba.g_00469	Syak.g_01414
OG0000467	Prba.g_00470	Syak.g_01416
OG0000468	Prba.g_00472	Syak.g_01421
OG0000469	Prba.g_00480	Syak.g_01436
OG0000470	Prba.g_00482	Syak.g_01438
OG0000471	Prba.g_00483	Syak.g_01439
OG0000472	Prba.g_00484	Syak.g_01441
OG0000473	Prba.g_00486	Syak.g_01443
OG0000474	Prba.g_00487	Syak.g_01444
OG0000475	Prba.g_00488	Syak.g_01445
OG0000476	Prba.g_00489	Syak.g_01447
OG0000477	Prba.g_00492	Syak.g_01453
OG0000478	Prba.g_00493	Syak.g_01454
OG0000479	Prba.g_00494	Syak.g_01455
OG0000480	Prba.g_00499	Syak.g_01462
OG0000481	Prba.g_00501	Syak.g_01464
OG0000482	Prba.g_00502	Syak.g_01465
OG0000483	Prba.g_00505	Syak.g_01469
OG0000484	Prba.g_00506	Syak.g_01470
OG0000485	Prba.g_00507	Syak.g_01472
OG0000486	Prba.g_00508	Syak.g_01473
OG0000487	Prba.g_00511	Syak.g_01479
OG0000488	Prba.g_00514	Syak.g_01483
OG0000489	Prba.g_00519	Syak.g_01499
OG0000490	Prba.g_00524	Syak.g_01507
OG0000491	Prba.g_00525	Syak.g_01511
OG0000492	Prba.g_00527	Syak.g_01513
OG0000493	Prba.g_00528	Syak.g_01514
OG0000494	Prba.g_00529	Syak.g_01515
OG0000495	Prba.g_00530	Syak.g_01516
OG0000496	Prba.g_00531	Syak.g_01517
OG0000497	Prba.g_00532	Syak.g_01518
OG0000498	Prba.g_00533	Syak.g_01519
OG0000499	Prba.g_00534	Syak.g_01520
OG0000500	Prba.g_00535	Syak.g_01521
OG0000501	Prba.g_00537	Syak.g_01524
OG0000502	Prba.g_00540	Syak.g_01538
OG0000503	Prba.g_00550	Syak.g_01246
OG0000504	Prba.g_00551	Syak.g_01244
OG0000505	Prba.g_00552	Syak.g_01243
OG0000506	Prba.g_00554	Syak.g_01241
OG0000507	Prba.g_00557	Syak.g_01235
OG0000508	Prba.g_00561	Syak.g_01231
OG0000509	Prba.g_00218	Syak.g_01229
OG0000510	Prba.g_00219	Syak.g_01228
OG0000511	Prba.g_00220	Syak.g_01227
OG0000512	Prba.g_00222	Syak.g_01225
OG0000513	Prba.g_00852	Syak.g_01211
OG0000514	Prba.g_01030	Syak.g_01204
OG0000515	Prba.g_01029	Syak.g_01203
OG0000516	Prba.g_01028	Syak.g_01199
OG0000517	Prba.g_01026	Syak.g_01192
OG0000518	Prba.g_01015	Syak.g_01180
OG0000519	Prba.g_01014	Syak.g_01179
OG0000520	Prba.g_01013	Syak.g_01178
OG0000521	Prba.g_01008	Syak.g_01167
OG0000522	Prba.g_01006	Syak.g_01163
OG0000523	Prba.g_01005	Syak.g_01162
OG0000524	Prba.g_01000	Syak.g_01149
OG0000525	Prba.g_00997	Syak.g_01130
OG0000526	Prba.g_00996	Syak.g_01127
OG0000527	Prba.g_00988	Syak.g_01120
OG0000528	Prba.g_00983	Syak.g_02570
OG0000529	Prba.g_00980	Syak.g_02575
OG0000530	Prba.g_00977	Syak.g_02578
OG0000531	Prba.g_00976	Syak.g_02579
OG0000532	Prba.g_00974	Syak.g_02582
OG0000533	Prba.g_00973	Syak.g_02584
OG0000534	Prba.g_00972	Syak.g_02585
OG0000535	Prba.g_00971	Syak.g_02586
OG0000536	Prba.g_00970	Syak.g_02587
OG0000537	Prba.g_00969	Syak.g_02588
OG0000538	Prba.g_00961	Syak.g_02600
OG0000539	Prba.g_00960	Syak.g_02601
OG0000540	Prba.g_00959	Syak.g_02602
OG0000541	Prba.g_00958	Syak.g_02603
OG0000542	Prba.g_00956	Syak.g_02606
OG0000543	Prba.g_00954	Syak.g_02608
OG0000544	Prba.g_00953	Syak.g_02609
OG0000545	Prba.g_00951	Syak.g_02611
OG0000546	Prba.g_00948	Syak.g_02613
OG0000547	Prba.g_00946	Syak.g_02615
OG0000548	Prba.g_00945	Syak.g_02616
OG0000549	Prba.g_00943	Syak.g_02622
OG0000550	Prba.g_00938	Syak.g_02626
OG0000551	Prba.g_00934	Syak.g_02631
OG0000552	Prba.g_00933	Syak.g_02632
OG0000553	Prba.g_00932	Syak.g_02636
OG0000554	Prba.g_00927	Syak.g_02641
OG0000555	Prba.g_01773	Syak.g_02657
OG0000556	Prba.g_01771	Syak.g_02661
OG0000557	Prba.g_01770	Syak.g_02663
OG0000558	Prba.g_01768	Syak.g_02666
OG0000559	Prba.g_01764	Syak.g_02670
OG0000560	Prba.g_01761	Syak.g_02672
OG0000561	Prba.g_01760	Syak.g_02673
OG0000562	Prba.g_01759	Syak.g_02674
OG0000563	Prba.g_01758	Syak.g_02675
OG0000564	Prba.g_01757	Syak.g_02676
OG0000565	Prba.g_01754	Syak.g_02679
OG0000566	Prba.g_01752	Syak.g_02683
OG0000567	Prba.g_01748	Syak.g_02687
OG0000568	Prba.g_01747	Syak.g_02690
OG0000569	Prba.g_01746	Syak.g_02691
OG0000570	Prba.g_01745	Syak.g_02692
OG0000571	Prba.g_01743	Syak.g_02696
OG0000572	Prba.g_01730	Syak.g_02713
OG0000573	Prba.g_01725	Syak.g_02723
OG0000574	Prba.g_01724	Syak.g_02724
OG0000575	Prba.g_01720	Syak.g_02729
OG0000576	Prba.g_01718	Syak.g_02731
OG0000577	Prba.g_01717	Syak.g_02732
OG0000578	Prba.g_01716	Syak.g_02733
OG0000579	Prba.g_01715	Syak.g_02734
OG0000580	Prba.g_01714	Syak.g_02735
OG0000581	Prba.g_01712	Syak.g_02742
