Orthogroup	Pral	Syab
OG0000192	Pral.g_00923	Syab.g_02528
OG0000193	Pral.g_00899	Syab.g_02565
OG0000194	Pral.g_00896	Syab.g_02568
OG0000195	Pral.g_00894	Syab.g_02570
OG0000196	Pral.g_00883	Syab.g_02581
OG0000197	Pral.g_00882	Syab.g_02582
OG0000198	Pral.g_00881	Syab.g_02583
OG0000199	Pral.g_00873	Syab.g_02591
OG0000200	Pral.g_00860	Syab.g_02611
OG0000201	Pral.g_00851	Syab.g_02628
OG0000202	Pral.g_00850	Syab.g_02629
OG0000203	Pral.g_00849	Syab.g_02630
OG0000204	Pral.g_00848	Syab.g_02631
OG0000205	Pral.g_00842	Syab.g_02638
OG0000206	Pral.g_00837	Syab.g_02674
OG0000207	Pral.g_00835	Syab.g_02677
OG0000208	Pral.g_00834	Syab.g_02678
OG0000209	Pral.g_00825	Syab.g_02698
OG0000210	Pral.g_00824	Syab.g_02699
OG0000211	Pral.g_00807	Syab.g_02374
OG0000212	Pral.g_00799	Syab.g_02365
OG0000213	Pral.g_00781	Syab.g_00332
OG0000214	Pral.g_00772	Syab.g_00312
OG0000215	Pral.g_00746	Syab.g_00281
OG0000216	Pral.g_00744	Syab.g_00277
OG0000217	Pral.g_00741	Syab.g_00273
OG0000218	Pral.g_00739	Syab.g_00271
OG0000219	Pral.g_00738	Syab.g_00270
OG0000220	Pral.g_00737	Syab.g_00269
OG0000221	Pral.g_00736	Syab.g_00257
OG0000222	Pral.g_00729	Syab.g_00244
OG0000223	Pral.g_00716	Syab.g_00226
OG0000224	Pral.g_00714	Syab.g_00223
OG0000225	Pral.g_00686	Syab.g_00538
OG0000226	Pral.g_00682	Syab.g_00542
OG0000227	Pral.g_00680	Syab.g_00544
OG0000228	Pral.g_00677	Syab.g_00550
OG0000229	Pral.g_00658	Syab.g_00583
OG0000230	Pral.g_00656	Syab.g_00585
OG0000231	Pral.g_00644	Syab.g_00613
OG0000232	Pral.g_00631	Syab.g_00631
OG0000233	Pral.g_00625	Syab.g_00645
OG0000234	Pral.g_00616	Syab.g_00699
OG0000235	Pral.g_00612	Syab.g_02095
OG0000236	Pral.g_00597	Syab.g_02111
OG0000237	Pral.g_00584	Syab.g_02129
OG0000238	Pral.g_00578	Syab.g_02134
OG0000239	Pral.g_00565	Syab.g_02151
OG0000240	Pral.g_00564	Syab.g_02152
OG0000241	Pral.g_00560	Syab.g_01884
OG0000242	Pral.g_00558	Syab.g_02043
OG0000243	Pral.g_00547	Syab.g_02025
OG0000244	Pral.g_00544	Syab.g_02017
OG0000245	Pral.g_00542	Syab.g_02015
OG0000246	Pral.g_00538	Syab.g_02011
OG0000247	Pral.g_00527	Syab.g_01999
OG0000248	Pral.g_00524	Syab.g_01996
OG0000249	Pral.g_00522	Syab.g_01994
OG0000250	Pral.g_00516	Syab.g_01988
OG0000251	Pral.g_00498	Syab.g_01961
OG0000252	Pral.g_00495	Syab.g_01958
OG0000253	Pral.g_00494	Syab.g_01956
OG0000254	Pral.g_00477	Syab.g_01925
OG0000255	Pral.g_00470	Syab.g_01912
OG0000256	Pral.g_00460	Syab.g_01890
OG0000257	Pral.g_01430	Syab.g_01885
OG0000258	Pral.g_01444	Syab.g_01861
OG0000259	Pral.g_01461	Syab.g_01538
OG0000260	Pral.g_01464	Syab.g_01544
OG0000261	Pral.g_01467	Syab.g_01556
OG0000262	Pral.g_01471	Syab.g_01561
OG0000263	Pral.g_01761	Syab.g_01035
OG0000264	Pral.g_01750	Syab.g_01173
OG0000265	Pral.g_01729	Syab.g_01773
OG0000266	Pral.g_01719	Syab.g_01667
OG0000267	Pral.g_01706	Syab.g_01433
OG0000268	Pral.g_01705	Syab.g_01432
OG0000269	Pral.g_01483	Syab.g_01650
OG0000270	Pral.g_01486	Syab.g_01657
OG0000271	Pral.g_01494	Syab.g_01279
OG0000272	Pral.g_01495	Syab.g_01280
OG0000273	Pral.g_01518	Syab.g_01699
OG0000274	Pral.g_01519	Syab.g_01700
OG0000275	Pral.g_01522	Syab.g_01704
OG0000276	Pral.g_01527	Syab.g_01712
OG0000277	Pral.g_01528	Syab.g_01713
OG0000278	Pral.g_01531	Syab.g_01716
OG0000279	Pral.g_01538	Syab.g_01724
OG0000280	Pral.g_01539	Syab.g_01736
OG0000281	Pral.g_01546	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Pral.g_01797	Syab.g_01631
OG0000283	Pral.g_01655	Syab.g_01418
OG0000284	Pral.g_01650	Syab.g_01413
OG0000285	Pral.g_01644	Syab.g_01402
OG0000286	Pral.g_01628	Syab.g_01384
OG0000287	Pral.g_00050	Syab.g_01350
OG0000288	Pral.g_01594	Syab.g_01318
OG0000289	Pral.g_01609	Syab.g_01303
OG0000290	Pral.g_01564	Syab.g_01213
OG0000291	Pral.g_01562	Syab.g_01211
OG0000292	Pral.g_01316	Syab.g_02907
OG0000293	Pral.g_01357	Syab.g_00946
OG0000294	Pral.g_01358	Syab.g_00947
OG0000295	Pral.g_01382	Syab.g_01001
OG0000296	Pral.g_01384	Syab.g_01003
OG0000297	Pral.g_01394	Syab.g_01016
OG0000298	Pral.g_01395	Syab.g_01017
OG0000299	Pral.g_01415	Syab.g_01047
OG0000300	Pral.g_01419	Syab.g_01054
OG0000301	Pral.g_01420	Syab.g_01055
OG0000302	Pral.g_01422	Syab.g_01056
OG0000303	Pral.g_01428	Syab.g_01149
OG0000304	Pral.g_00455	Syab.g_01143
OG0000305	Pral.g_01323	Syab.g_01208
OG0000306	Pral.g_01550	Syab.g_01819
OG0000307	Pral.g_01213	Syab.g_02078
OG0000308	Pral.g_01212	Syab.g_02076
OG0000309	Pral.g_01208	Syab.g_02071
OG0000310	Pral.g_01181	Syab.g_00817
OG0000311	Pral.g_01179	Syab.g_00811
OG0000312	Pral.g_01176	Syab.g_00793
OG0000313	Pral.g_01157	Syab.g_00769
OG0000314	Pral.g_01133	Syab.g_00736
OG0000315	Pral.g_01123	Syab.g_00726
OG0000316	Pral.g_01095	Syab.g_02189
OG0000317	Pral.g_00104	Syab.g_02251
OG0000318	Pral.g_00108	Syab.g_02257
OG0000319	Pral.g_00121	Syab.g_02291
OG0000320	Pral.g_00123	Syab.g_02293
OG0000321	Pral.g_00124	Syab.g_02294
OG0000322	Pral.g_00125	Syab.g_02295
OG0000323	Pral.g_00134	Syab.g_02310
OG0000324	Pral.g_00162	Syab.g_02341
OG0000325	Pral.g_00172	Syab.g_00368
OG0000326	Pral.g_00179	Syab.g_00375
OG0000327	Pral.g_00201	Syab.g_00402
OG0000328	Pral.g_00202	Syab.g_00403
OG0000329	Pral.g_00219	Syab.g_00420
OG0000330	Pral.g_00220	Syab.g_00421
OG0000331	Pral.g_00221	Syab.g_00422
OG0000332	Pral.g_00235	Syab.g_00437
OG0000333	Pral.g_00237	Syab.g_00440
OG0000334	Pral.g_00246	Syab.g_00450
OG0000335	Pral.g_00251	Syab.g_00455
OG0000336	Pral.g_00255	Syab.g_00459
OG0000337	Pral.g_00274	Syab.g_00210
OG0000338	Pral.g_00275	Syab.g_00207
OG0000339	Pral.g_00280	Syab.g_00201
OG0000340	Pral.g_00289	Syab.g_00135
OG0000341	Pral.g_00291	Syab.g_00157, Syab.g_00133
OG0000342	Pral.g_00292	Syab.g_00132
OG0000343	Pral.g_00293	Syab.g_00131
OG0000344	Pral.g_00296	Syab.g_00127, Syab.g_02424
OG0000345	Pral.g_00302	Syab.g_00117
OG0000346	Pral.g_00306	Syab.g_00112
OG0000347	Pral.g_00323	Syab.g_00087
OG0000348	Pral.g_00331	Syab.g_00076
OG0000349	Pral.g_00349	Syab.g_00054
OG0000350	Pral.g_00370	Syab.g_00382
OG0000351	Pral.g_00390	Syab.g_02879
OG0000352	Pral.g_00391	Syab.g_02880
OG0000353	Pral.g_00409	Syab.g_02913
OG0000354	Pral.g_01677	Syab.g_02140, Syab.g_00020
OG0000355	Pral.g_00411	Syab.g_00001
OG0000356	Pral.g_00412	Syab.g_00002
OG0000357	Pral.g_00413	Syab.g_00003
OG0000358	Pral.g_00417	Syab.g_00007
OG0000359	Pral.g_00418	Syab.g_00009
OG0000360	Pral.g_00419	Syab.g_00010
OG0000361	Pral.g_00420	Syab.g_00011
OG0000362	Pral.g_00422	Syab.g_00013
OG0000363	Pral.g_01030	Syab.g_00015
OG0000364	Pral.g_01029	Syab.g_00016
OG0000365	Pral.g_01024	Syab.g_00026
OG0000366	Pral.g_01023	Syab.g_00027
OG0000367	Pral.g_01022	Syab.g_00028
OG0000368	Pral.g_01020	Syab.g_00030
OG0000369	Pral.g_01019	Syab.g_00031
