Orthogroup	Syao	Pran
OG0000284	Syao.g_00634	Pran.g_00469
OG0000285	Syao.g_00706	Pran.g_00474
OG0000286	Syao.g_00675	Pran.g_00486
OG0000287	Syao.g_00825	Pran.g_00503
OG0000288	Syao.g_00446	Pran.g_00541
OG0000289	Syao.g_00461	Pran.g_00552
OG0000290	Syao.g_00428	Pran.g_00565
OG0000291	Syao.g_00333	Pran.g_00567
OG0000292	Syao.g_02196	Pran.g_00135
OG0000293	Syao.g_00136	Pran.g_00069
OG0000294	Syao.g_00135	Pran.g_00068
OG0000295	Syao.g_00186	Pran.g_00048
OG0000296	Syao.g_00184	Pran.g_00046
OG0000299	Syao.g_00231	Pran.g_00020
OG0000301	Syao.g_00272, Syao.g_00273	Pran.g_00016
OG0000302	Syao.g_00271	Pran.g_00014
OG0000303	Syao.g_00262	Pran.g_00007
OG0000304	Syao.g_00256	Pran.g_00003
OG0000305	Syao.g_00388	Pran.g_00848
OG0000306	Syao.g_01216	Pran.g_00846
OG0000307	Syao.g_00045	Pran.g_00832
OG0000308	Syao.g_00047	Pran.g_00831
OG0000309	Syao.g_02705	Pran.g_00827
OG0000310	Syao.g_01530	Pran.g_00748
OG0000311	Syao.g_01533	Pran.g_00746
OG0000312	Syao.g_01538	Pran.g_00743
OG0000313	Syao.g_01491	Pran.g_00729
OG0000314	Syao.g_00078	Pran.g_00706
OG0000315	Syao.g_00088	Pran.g_00696
OG0000316	Syao.g_01602	Pran.g_00676
OG0000317	Syao.g_01560	Pran.g_00968
OG0000318	Syao.g_01553	Pran.g_00971
OG0000319	Syao.g_01678	Pran.g_00984
OG0000320	Syao.g_01676	Pran.g_00986
OG0000321	Syao.g_01675	Pran.g_00987
OG0000322	Syao.g_01674	Pran.g_00988
OG0000323	Syao.g_01661	Pran.g_00997
OG0000324	Syao.g_01630	Pran.g_01023
OG0000325	Syao.g_01936	Pran.g_01033
OG0000326	Syao.g_01918	Pran.g_01039
OG0000327	Syao.g_01795	Pran.g_01063
OG0000328	Syao.g_01794	Pran.g_01064
OG0000329	Syao.g_01776	Pran.g_01082
OG0000330	Syao.g_01775	Pran.g_01083
OG0000331	Syao.g_01774	Pran.g_01084
OG0000332	Syao.g_01813	Pran.g_01098
OG0000333	Syao.g_01810	Pran.g_01100
OG0000334	Syao.g_01836	Pran.g_01108
OG0000335	Syao.g_01831	Pran.g_01113
OG0000336	Syao.g_01827	Pran.g_01117
OG0000337	Syao.g_01968	Pran.g_01133
OG0000338	Syao.g_01962	Pran.g_01134
OG0000339	Syao.g_02259	Pran.g_01138
OG0000340	Syao.g_02129	Pran.g_01145
OG0000341	Syao.g_02131	Pran.g_01147
OG0000342	Syao.g_02132	Pran.g_01148
OG0000343	Syao.g_02133	Pran.g_01149
OG0000344	Syao.g_02137	Pran.g_01152
OG0000345	Syao.g_01953	Pran.g_01157
OG0000346	Syao.g_01948	Pran.g_01161
OG0000347	Syao.g_02178	Pran.g_01177
OG0000348	Syao.g_02166	Pran.g_01187
OG0000349	Syao.g_02219	Pran.g_01203
OG0000350	Syao.g_01925	Pran.g_01222
OG0000351	Syao.g_02331	Pran.g_01239
OG0000352	Syao.g_02332	Pran.g_01240
OG0000353	Syao.g_02160	Pran.g_01256
OG0000355	Syao.g_02162	Pran.g_01258
OG0000356	Syao.g_02163	Pran.g_01259
OG0000357	Syao.g_02164	Pran.g_01260
OG0000358	Syao.g_02154	Pran.g_01264
OG0000359	Syao.g_02152	Pran.g_01265
OG0000360	Syao.g_02151	Pran.g_01266
OG0000361	Syao.g_02150	Pran.g_01267
OG0000362	Syao.g_01954	Pran.g_01269
OG0000363	Syao.g_02255	Pran.g_00410
OG0000364	Syao.g_01558	Pran.g_00409
OG0000365	Syao.g_02246	Pran.g_00404
OG0000366	Syao.g_02245	Pran.g_00403
OG0000367	Syao.g_02244	Pran.g_00402
OG0000368	Syao.g_02242	Pran.g_00400
OG0000369	Syao.g_02241	Pran.g_00399
OG0000370	Syao.g_02240	Pran.g_00398
OG0000371	Syao.g_02231	Pran.g_00392
OG0000372	Syao.g_02226	Pran.g_00389
OG0000373	Syao.g_02225	Pran.g_00388
OG0000374	Syao.g_02224	Pran.g_00387
OG0000375	Syao.g_02223	Pran.g_00385
OG0000376	Syao.g_02221	Pran.g_00383
OG0000377	Syao.g_02429	Pran.g_00380
OG0000378	Syao.g_02414	Pran.g_00378
OG0000379	Syao.g_02409	Pran.g_00375
OG0000380	Syao.g_02616	Pran.g_00366
OG0000381	Syao.g_02618	Pran.g_00362
OG0000382	Syao.g_02636	Pran.g_00351
OG0000383	Syao.g_02643	Pran.g_00349
OG0000384	Syao.g_02644	Pran.g_00348
OG0000385	Syao.g_02645	Pran.g_00347
OG0000386	Syao.g_02646	Pran.g_00346
OG0000387	Syao.g_01019	Pran.g_00334
OG0000388	Syao.g_02596	Pran.g_00331
OG0000389	Syao.g_02599	Pran.g_00327
OG0000390	Syao.g_02567	Pran.g_00320
OG0000391	Syao.g_02572	Pran.g_00317
OG0000392	Syao.g_02578	Pran.g_00313
OG0000393	Syao.g_02581	Pran.g_00311
OG0000394	Syao.g_02582	Pran.g_00310
OG0000395	Syao.g_02583	Pran.g_00309
OG0000396	Syao.g_02586	Pran.g_00307
OG0000397	Syao.g_02542	Pran.g_00305
OG0000398	Syao.g_02547	Pran.g_00303
OG0000399	Syao.g_02548	Pran.g_00302
OG0000400	Syao.g_02549	Pran.g_00301
OG0000401	Syao.g_02550	Pran.g_00300
OG0000402	Syao.g_02552	Pran.g_00298
OG0000403	Syao.g_02553	Pran.g_00297
OG0000404	Syao.g_02554	Pran.g_00296
OG0000405	Syao.g_02478	Pran.g_00292
OG0000406	Syao.g_02482	Pran.g_00286
OG0000407	Syao.g_02483	Pran.g_00285
OG0000408	Syao.g_02485	Pran.g_00282
OG0000409	Syao.g_02487	Pran.g_00280
OG0000410	Syao.g_02488	Pran.g_00279
OG0000411	Syao.g_02489	Pran.g_00278
OG0000412	Syao.g_02490	Pran.g_00277
OG0000413	Syao.g_02492	Pran.g_00276
OG0000414	Syao.g_02493	Pran.g_00275
OG0000415	Syao.g_02494	Pran.g_00274
OG0000416	Syao.g_02495	Pran.g_00273
OG0000417	Syao.g_02497	Pran.g_00272
OG0000418	Syao.g_02502	Pran.g_00267
OG0000419	Syao.g_02504	Pran.g_00265
OG0000420	Syao.g_02506	Pran.g_00264
OG0000421	Syao.g_02510	Pran.g_00259
OG0000422	Syao.g_02511	Pran.g_00258
OG0000423	Syao.g_02512	Pran.g_00257
OG0000424	Syao.g_02513	Pran.g_00256
OG0000425	Syao.g_02514	Pran.g_00255
OG0000426	Syao.g_02515	Pran.g_00254
OG0000427	Syao.g_02516	Pran.g_00253
OG0000428	Syao.g_02519	Pran.g_00251
OG0000429	Syao.g_02522	Pran.g_00250
OG0000430	Syao.g_02523	Pran.g_00249
OG0000431	Syao.g_02526	Pran.g_00247
OG0000432	Syao.g_02532	Pran.g_00244
OG0000433	Syao.g_02534	Pran.g_00243
OG0000434	Syao.g_02535	Pran.g_00242
OG0000435	Syao.g_02538	Pran.g_00241
OG0000436	Syao.g_02458	Pran.g_00236
OG0000437	Syao.g_02459	Pran.g_00235
OG0000438	Syao.g_02460	Pran.g_00234
OG0000439	Syao.g_02462	Pran.g_00232
OG0000440	Syao.g_02463	Pran.g_00231
OG0000441	Syao.g_02466	Pran.g_00228
OG0000442	Syao.g_02467	Pran.g_00227
OG0000443	Syao.g_02468	Pran.g_00226
OG0000444	Syao.g_02473	Pran.g_00221
OG0000445	Syao.g_02474	Pran.g_00220
OG0000446	Syao.g_02476	Pran.g_00219
OG0000447	Syao.g_02383	Pran.g_00218
OG0000448	Syao.g_02384	Pran.g_00217
OG0000449	Syao.g_02385	Pran.g_00216
OG0000450	Syao.g_02391	Pran.g_00215
OG0000451	Syao.g_02392	Pran.g_00214
OG0000452	Syao.g_02396	Pran.g_00211
OG0000453	Syao.g_02397	Pran.g_00210
OG0000454	Syao.g_02398	Pran.g_00209
OG0000455	Syao.g_02399	Pran.g_00208
OG0000456	Syao.g_02400	Pran.g_00207
OG0000457	Syao.g_02402	Pran.g_00206
OG0000458	Syao.g_02403	Pran.g_00205
OG0000459	Syao.g_02404	Pran.g_00204
OG0000460	Syao.g_01702	Pran.g_00197
OG0000461	Syao.g_02119	Pran.g_01950
OG0000462	Syao.g_02116	Pran.g_01948
OG0000463	Syao.g_02115	Pran.g_01947
OG0000464	Syao.g_02114	Pran.g_01946
OG0000465	Syao.g_02112	Pran.g_01945
OG0000466	Syao.g_02107	Pran.g_01942
OG0000467	Syao.g_02106	Pran.g_01941
OG0000468	Syao.g_02102	Pran.g_01939
OG0000469	Syao.g_02087	Pran.g_01931
OG0000470	Syao.g_02085	Pran.g_01929
OG0000471	Syao.g_02084	Pran.g_01928
OG0000472	Syao.g_02082	Pran.g_01927
OG0000473	Syao.g_02080	Pran.g_01925
OG0000474	Syao.g_02079	Pran.g_01924
OG0000475	Syao.g_02078	Pran.g_01923
OG0000476	Syao.g_02076	Pran.g_01922
OG0000477	Syao.g_02069	Pran.g_01919
OG0000478	Syao.g_02068	Pran.g_01918
OG0000479	Syao.g_02067	Pran.g_01917
OG0000480	Syao.g_02060	Pran.g_01912
OG0000481	Syao.g_01012	Pran.g_01910
OG0000482	Syao.g_02058	Pran.g_01909
OG0000483	Syao.g_02054	Pran.g_01906
OG0000484	Syao.g_02053	Pran.g_01905
OG0000485	Syao.g_02052	Pran.g_01904
OG0000486	Syao.g_02051	Pran.g_01903
OG0000487	Syao.g_02044	Pran.g_01899
OG0000488	Syao.g_02040	Pran.g_01896
OG0000489	Syao.g_02033	Pran.g_01891
OG0000490	Syao.g_02025	Pran.g_01886
OG0000491	Syao.g_02024	Pran.g_01885
OG0000492	Syao.g_02022	Pran.g_01883
OG0000493	Syao.g_02021	Pran.g_01882
OG0000494	Syao.g_02020	Pran.g_01881
OG0000495	Syao.g_02018	Pran.g_01880
OG0000496	Syao.g_02017	Pran.g_01879
OG0000497	Syao.g_02016	Pran.g_01878
OG0000498	Syao.g_02015	Pran.g_01877
OG0000499	Syao.g_02014	Pran.g_01876
OG0000500	Syao.g_02013	Pran.g_01875
OG0000501	Syao.g_02010	Pran.g_01873
OG0000502	Syao.g_01974	Pran.g_01870
OG0000503	Syao.g_01877	Pran.g_01860
OG0000504	Syao.g_01875	Pran.g_01859
OG0000505	Syao.g_01874	Pran.g_01858
OG0000506	Syao.g_01872	Pran.g_01857
OG0000507	Syao.g_01866	Pran.g_01854
OG0000508	Syao.g_01750	Pran.g_01850
OG0000509	Syao.g_01755	Pran.g_01848
OG0000510	Syao.g_01756	Pran.g_01847
OG0000511	Syao.g_01757	Pran.g_01846
OG0000512	Syao.g_01759	Pran.g_01844
OG0000513	Syao.g_01720	Pran.g_01837
OG0000514	Syao.g_01727	Pran.g_01749
OG0000515	Syao.g_01728	Pran.g_01748
OG0000516	Syao.g_01730	Pran.g_01747
OG0000517	Syao.g_01735	Pran.g_01745
OG0000518	Syao.g_01621	Pran.g_01734
OG0000519	Syao.g_01622	Pran.g_01733
OG0000520	Syao.g_01512	Pran.g_01729
OG0000521	Syao.g_00061	Pran.g_01724
OG0000522	Syao.g_00059	Pran.g_01723
OG0000523	Syao.g_00058	Pran.g_01722
OG0000524	Syao.g_02699	Pran.g_01717
OG0000525	Syao.g_02691	Pran.g_01714
OG0000526	Syao.g_02688	Pran.g_01713
OG0000527	Syao.g_02684	Pran.g_01705
OG0000528	Syao.g_00031	Pran.g_01700
OG0000529	Syao.g_00027	Pran.g_01697
OG0000530	Syao.g_00122	Pran.g_01694
OG0000531	Syao.g_00121	Pran.g_01693
OG0000532	Syao.g_00118	Pran.g_01691
OG0000533	Syao.g_00116	Pran.g_01690
OG0000534	Syao.g_00115	Pran.g_01689
OG0000535	Syao.g_00114	Pran.g_01688
OG0000536	Syao.g_00113	Pran.g_01687
OG0000537	Syao.g_00112	Pran.g_01686
OG0000538	Syao.g_00100	Pran.g_01678
OG0000539	Syao.g_00099	Pran.g_01677
OG0000540	Syao.g_00098	Pran.g_01676
OG0000541	Syao.g_00097	Pran.g_01675
OG0000542	Syao.g_00167	Pran.g_01673
OG0000543	Syao.g_00165	Pran.g_01671
OG0000544	Syao.g_00164	Pran.g_01670
OG0000545	Syao.g_00162	Pran.g_01668
OG0000546	Syao.g_00160	Pran.g_01665
OG0000547	Syao.g_00158	Pran.g_01663
OG0000548	Syao.g_00157	Pran.g_01662
OG0000549	Syao.g_01391	Pran.g_01660
OG0000550	Syao.g_01396	Pran.g_01655
OG0000551	Syao.g_01401	Pran.g_01651
OG0000552	Syao.g_01402	Pran.g_01650
OG0000553	Syao.g_01404	Pran.g_01649
OG0000554	Syao.g_01413	Pran.g_01644
OG0000555	Syao.g_00875	Pran.g_01636
OG0000556	Syao.g_00871	Pran.g_01634
OG0000557	Syao.g_00866	Pran.g_01633
OG0000558	Syao.g_00864	Pran.g_01631
OG0000559	Syao.g_00860	Pran.g_01627
OG0000560	Syao.g_00857	Pran.g_01624
OG0000561	Syao.g_00856	Pran.g_01623
OG0000562	Syao.g_00855	Pran.g_01622
OG0000563	Syao.g_00854	Pran.g_01621
OG0000564	Syao.g_00853	Pran.g_01620
OG0000565	Syao.g_00849	Pran.g_01617
OG0000566	Syao.g_00845	Pran.g_01614
OG0000567	Syao.g_00841	Pran.g_01610
OG0000568	Syao.g_00839	Pran.g_01609
OG0000569	Syao.g_00838	Pran.g_01608
OG0000570	Syao.g_00837	Pran.g_01607
OG0000571	Syao.g_00834	Pran.g_01605
OG0000572	Syao.g_01033	Pran.g_01592
OG0000573	Syao.g_01022	Pran.g_01586
OG0000574	Syao.g_01021	Pran.g_01585
OG0000575	Syao.g_01000	Pran.g_01581
OG0000576	Syao.g_00996	Pran.g_01579
OG0000577	Syao.g_00995	Pran.g_01578
OG0000578	Syao.g_00994	Pran.g_01577
OG0000579	Syao.g_00993	Pran.g_01576
OG0000580	Syao.g_00992	Pran.g_01575
OG0000581	Syao.g_01059	Pran.g_01573
OG0000582	Syao.g_01204	Pran.g_01570
OG0000583	Syao.g_01205	Pran.g_01569
OG0000584	Syao.g_01206	Pran.g_01568
OG0000585	Syao.g_01054	Pran.g_01566
OG0000586	Syao.g_01055	Pran.g_01565
OG0000587	Syao.g_01057	Pran.g_01564
OG0000588	Syao.g_00406	Pran.g_01560
OG0000589	Syao.g_01342	Pran.g_01557
OG0000590	Syao.g_01341	Pran.g_01556
OG0000591	Syao.g_01330	Pran.g_01553
OG0000592	Syao.g_01329	Pran.g_01552
OG0000593	Syao.g_00890	Pran.g_01546
OG0000594	Syao.g_00891	Pran.g_01545
OG0000595	Syao.g_00892	Pran.g_01544
OG0000596	Syao.g_00897	Pran.g_01540
OG0000597	Syao.g_00900	Pran.g_01538
OG0000598	Syao.g_00901	Pran.g_01537
OG0000599	Syao.g_00908	Pran.g_01534
OG0000600	Syao.g_00909	Pran.g_01533
OG0000601	Syao.g_00910	Pran.g_01532
OG0000602	Syao.g_00914	Pran.g_01530
