Orthogroup	Prbl	Praw
OG0000191	Prbl.g_02241	Praw.g_01385
OG0000192	Prbl.g_02243	Praw.g_01384
OG0000193	Prbl.g_02244	Praw.g_01383
OG0000194	Prbl.g_02251	Praw.g_01382
OG0000195	Prbl.g_02258	Praw.g_01381
OG0000196	Prbl.g_02266	Praw.g_01380
OG0000197	Prbl.g_02274	Praw.g_01378
OG0000198	Prbl.g_02275	Praw.g_01377
OG0000199	Prbl.g_02276	Praw.g_01376
OG0000200	Prbl.g_00614	Praw.g_01370
OG0000201	Prbl.g_00613	Praw.g_01369
OG0000202	Prbl.g_00612	Praw.g_01368
OG0000203	Prbl.g_00608	Praw.g_01365
OG0000204	Prbl.g_00607	Praw.g_01364
OG0000205	Prbl.g_00603	Praw.g_01361
OG0000206	Prbl.g_00601	Praw.g_01359
OG0000207	Prbl.g_00597	Praw.g_01357
OG0000208	Prbl.g_00596	Praw.g_01356
OG0000209	Prbl.g_01075	Praw.g_01355
OG0000210	Prbl.g_00595	Praw.g_01354
OG0000211	Prbl.g_00592	Praw.g_01353
OG0000212	Prbl.g_00591	Praw.g_01352
OG0000213	Prbl.g_00590	Praw.g_01351
OG0000214	Prbl.g_00589	Praw.g_01350
OG0000215	Prbl.g_00588	Praw.g_01349
OG0000216	Prbl.g_00587	Praw.g_01348
OG0000217	Prbl.g_00583	Praw.g_01346
OG0000218	Prbl.g_00582	Praw.g_01345
OG0000219	Prbl.g_00576	Praw.g_01344
OG0000220	Prbl.g_00572	Praw.g_01343
OG0000221	Prbl.g_00567	Praw.g_01341
OG0000222	Prbl.g_00566	Praw.g_01340
OG0000223	Prbl.g_00565	Praw.g_01339
OG0000224	Prbl.g_00563	Praw.g_01338
OG0000225	Prbl.g_00562	Praw.g_01337
OG0000226	Prbl.g_00561	Praw.g_01336
OG0000227	Prbl.g_00559	Praw.g_01335
OG0000228	Prbl.g_00558	Praw.g_01334
OG0000229	Prbl.g_00557	Praw.g_01333
OG0000230	Prbl.g_00556	Praw.g_01332
OG0000231	Prbl.g_00555	Praw.g_01331
OG0000232	Prbl.g_00553	Praw.g_01329
OG0000233	Prbl.g_00552	Praw.g_01328
OG0000234	Prbl.g_00551	Praw.g_01327
OG0000235	Prbl.g_00548	Praw.g_01326
OG0000236	Prbl.g_00544	Praw.g_01325
OG0000237	Prbl.g_00542	Praw.g_01324
OG0000238	Prbl.g_01332	Praw.g_01323
OG0000239	Prbl.g_01330	Praw.g_01321
OG0000240	Prbl.g_01328	Praw.g_01320
OG0000241	Prbl.g_01326	Praw.g_01319
OG0000242	Prbl.g_01325	Praw.g_01318
OG0000243	Prbl.g_01320	Praw.g_01315
OG0000244	Prbl.g_01315	Praw.g_01313
OG0000245	Prbl.g_01314	Praw.g_01312
OG0000246	Prbl.g_01313	Praw.g_01311
OG0000247	Prbl.g_00827	Praw.g_01308
OG0000248	Prbl.g_00825	Praw.g_01306
OG0000249	Prbl.g_00822	Praw.g_01305
OG0000250	Prbl.g_00820	Praw.g_01304
OG0000251	Prbl.g_00819	Praw.g_01303
OG0000252	Prbl.g_00818	Praw.g_01302
OG0000253	Prbl.g_00817	Praw.g_01301
OG0000254	Prbl.g_00815	Praw.g_01299
OG0000255	Prbl.g_00814	Praw.g_01298
OG0000256	Prbl.g_00809	Praw.g_01295
OG0000257	Prbl.g_00305	Praw.g_01293
OG0000258	Prbl.g_00303	Praw.g_01290
OG0000259	Prbl.g_00302	Praw.g_01289
OG0000260	Prbl.g_00301	Praw.g_01288
OG0000261	Prbl.g_00300	Praw.g_01287
OG0000262	Prbl.g_00299	Praw.g_01286
OG0000263	Prbl.g_00297	Praw.g_01284
OG0000264	Prbl.g_00296	Praw.g_01283
OG0000265	Prbl.g_00295	Praw.g_01282
OG0000266	Prbl.g_00294	Praw.g_01281
OG0000267	Prbl.g_00293	Praw.g_01280
OG0000268	Prbl.g_00291	Praw.g_01279
OG0000269	Prbl.g_00289	Praw.g_01277
OG0000270	Prbl.g_00288	Praw.g_01276
OG0000271	Prbl.g_00287	Praw.g_01275
OG0000272	Prbl.g_00286	Praw.g_01274
OG0000273	Prbl.g_00285	Praw.g_01273
OG0000274	Prbl.g_00284	Praw.g_01272
OG0000275	Prbl.g_00283	Praw.g_01271
OG0000276	Prbl.g_00282	Praw.g_01270
OG0000277	Prbl.g_00280	Praw.g_01268
OG0000278	Prbl.g_00279	Praw.g_01267
OG0000279	Prbl.g_00278	Praw.g_01266
OG0000280	Prbl.g_00276	Praw.g_01264
OG0000281	Prbl.g_00275	Praw.g_01262
OG0000282	Prbl.g_00274	Praw.g_01261
OG0000283	Prbl.g_00273	Praw.g_01260
OG0000284	Prbl.g_00272	Praw.g_01259
OG0000285	Prbl.g_00271	Praw.g_01258
OG0000286	Prbl.g_00270	Praw.g_01257
OG0000287	Prbl.g_00269	Praw.g_01256
OG0000288	Prbl.g_02377	Praw.g_01254
OG0000289	Prbl.g_00066	Praw.g_01253
OG0000290	Prbl.g_00068	Praw.g_01252
OG0000291	Prbl.g_00072	Praw.g_01250
OG0000292	Prbl.g_00074	Praw.g_01249
OG0000293	Prbl.g_00077	Praw.g_01248
OG0000294	Prbl.g_00079	Praw.g_01247
OG0000295	Prbl.g_00082	Praw.g_01246
OG0000296	Prbl.g_00083	Praw.g_01245
OG0000297	Prbl.g_00086	Praw.g_01244
OG0000298	Prbl.g_00089	Praw.g_01242
OG0000299	Prbl.g_00090	Praw.g_01241
OG0000300	Prbl.g_00091	Praw.g_01240
OG0000301	Prbl.g_00092	Praw.g_01239
OG0000302	Prbl.g_00093	Praw.g_01238
OG0000303	Prbl.g_00094	Praw.g_01237
OG0000304	Prbl.g_00096	Praw.g_01235
OG0000305	Prbl.g_00097	Praw.g_01234
OG0000306	Prbl.g_00104	Praw.g_01231
OG0000307	Prbl.g_00105	Praw.g_01230
OG0000308	Prbl.g_01283	Praw.g_01229
OG0000309	Prbl.g_01282	Praw.g_01228
OG0000310	Prbl.g_01281	Praw.g_01227
OG0000311	Prbl.g_00130	Praw.g_01226
OG0000312	Prbl.g_00129	Praw.g_01225
OG0000313	Prbl.g_00127	Praw.g_01224
OG0000314	Prbl.g_00126	Praw.g_01223
OG0000315	Prbl.g_00124	Praw.g_01222
OG0000316	Prbl.g_01244	Praw.g_01221
OG0000317	Prbl.g_01245	Praw.g_01220
OG0000318	Prbl.g_01246	Praw.g_01219
OG0000319	Prbl.g_01252	Praw.g_01218
OG0000320	Prbl.g_01253	Praw.g_01217
OG0000321	Prbl.g_01256	Praw.g_01216
OG0000322	Prbl.g_01257	Praw.g_01215
OG0000323	Prbl.g_01258	Praw.g_01214
OG0000324	Prbl.g_01259	Praw.g_01213
OG0000325	Prbl.g_01260	Praw.g_01212
OG0000326	Prbl.g_01261	Praw.g_01211
OG0000327	Prbl.g_01262	Praw.g_01210
OG0000328	Prbl.g_01264	Praw.g_01209
OG0000329	Prbl.g_01265	Praw.g_01208
OG0000330	Prbl.g_01266	Praw.g_01207
OG0000331	Prbl.g_01918	Praw.g_01206
OG0000332	Prbl.g_01769	Praw.g_01205
OG0000333	Prbl.g_01770	Praw.g_01204
OG0000334	Prbl.g_01771	Praw.g_01203
OG0000335	Prbl.g_01922	Praw.g_01202
OG0000336	Prbl.g_01923	Praw.g_01200
OG0000337	Prbl.g_00199	Praw.g_01199
OG0000338	Prbl.g_00192	Praw.g_01195
OG0000339	Prbl.g_02679	Praw.g_00891
OG0000340	Prbl.g_02666	Praw.g_00889
OG0000341	Prbl.g_01516	Praw.g_00888
OG0000342	Prbl.g_01515	Praw.g_00887
OG0000343	Prbl.g_01513	Praw.g_00886
OG0000344	Prbl.g_01508	Praw.g_00883
OG0000345	Prbl.g_01499	Praw.g_00880
OG0000346	Prbl.g_01498	Praw.g_00879
OG0000347	Prbl.g_01496	Praw.g_00876
OG0000348	Prbl.g_01494	Praw.g_00875
OG0000349	Prbl.g_01492	Praw.g_00874
OG0000350	Prbl.g_01486	Praw.g_00872
OG0000351	Prbl.g_01919	Praw.g_00871
OG0000352	Prbl.g_01473	Praw.g_00870
OG0000353	Prbl.g_01472	Praw.g_00869
OG0000354	Prbl.g_01470	Praw.g_00868
OG0000355	Prbl.g_01469	Praw.g_00867
OG0000356	Prbl.g_01468	Praw.g_00866
OG0000357	Prbl.g_01467	Praw.g_00865
OG0000358	Prbl.g_01466	Praw.g_00864
OG0000359	Prbl.g_01464	Praw.g_00863
OG0000360	Prbl.g_01459	Praw.g_00859
OG0000361	Prbl.g_01458	Praw.g_00858
OG0000362	Prbl.g_01457	Praw.g_00857
OG0000363	Prbl.g_01455	Praw.g_00856
OG0000364	Prbl.g_01450	Praw.g_00852
OG0000365	Prbl.g_01449	Praw.g_00851
OG0000366	Prbl.g_01447	Praw.g_00849
OG0000367	Prbl.g_01445	Praw.g_00848
OG0000368	Prbl.g_01444	Praw.g_00847
OG0000369	Prbl.g_01443	Praw.g_00846
OG0000370	Prbl.g_01442	Praw.g_00845
OG0000371	Prbl.g_01441	Praw.g_00844
OG0000372	Prbl.g_01440	Praw.g_00843
OG0000373	Prbl.g_01439	Praw.g_00842
OG0000374	Prbl.g_01436	Praw.g_00840
OG0000375	Prbl.g_01435	Praw.g_00839
OG0000376	Prbl.g_01431	Praw.g_00836
OG0000377	Prbl.g_01428	Praw.g_00835
OG0000378	Prbl.g_01427	Praw.g_00834
OG0000379	Prbl.g_01426	Praw.g_00833
OG0000380	Prbl.g_01421	Praw.g_00832
OG0000381	Prbl.g_01420	Praw.g_00831
OG0000382	Prbl.g_01419	Praw.g_00830
OG0000383	Prbl.g_01417	Praw.g_00829
OG0000384	Prbl.g_01414	Praw.g_00826
OG0000385	Prbl.g_01413	Praw.g_00825
OG0000386	Prbl.g_00911	Praw.g_00824
OG0000387	Prbl.g_00909	Praw.g_00823
OG0000388	Prbl.g_00908	Praw.g_00822
OG0000389	Prbl.g_00907	Praw.g_00821
OG0000390	Prbl.g_00906	Praw.g_00820
OG0000391	Prbl.g_00905	Praw.g_00819
OG0000392	Prbl.g_00904	Praw.g_00818
OG0000393	Prbl.g_00903	Praw.g_00817
OG0000394	Prbl.g_00902	Praw.g_00816
OG0000395	Prbl.g_00901	Praw.g_00815
OG0000396	Prbl.g_00898	Praw.g_00813
OG0000397	Prbl.g_00888	Praw.g_00811
OG0000398	Prbl.g_00886	Praw.g_00810
OG0000399	Prbl.g_01183	Praw.g_00807
OG0000400	Prbl.g_01190	Praw.g_00806
OG0000401	Prbl.g_01191	Praw.g_00805
OG0000402	Prbl.g_01201	Praw.g_00796
OG0000403	Prbl.g_01203	Praw.g_00795
OG0000404	Prbl.g_01204	Praw.g_00794
OG0000405	Prbl.g_01206	Praw.g_00792
OG0000406	Prbl.g_01210	Praw.g_00790
OG0000407	Prbl.g_01211	Praw.g_00789
OG0000408	Prbl.g_01217	Praw.g_00787
