Orthogroup	Prbg	Prap
OG0000264	Prbg.g_00959	Prap.g_00989
OG0000265	Prbg.g_00960	Prap.g_00988
OG0000266	Prbg.g_00961	Prap.g_00987
OG0000267	Prbg.g_00963	Prap.g_00985
OG0000268	Prbg.g_00965	Prap.g_00983
OG0000269	Prbg.g_00966	Prap.g_00982
OG0000270	Prbg.g_00967	Prap.g_00981
OG0000271	Prbg.g_00968	Prap.g_00980
OG0000272	Prbg.g_00969	Prap.g_00979
OG0000273	Prbg.g_00970	Prap.g_00978
OG0000274	Prbg.g_00971	Prap.g_00977
OG0000275	Prbg.g_00972	Prap.g_00976
OG0000276	Prbg.g_00973	Prap.g_00975
OG0000277	Prbg.g_00974	Prap.g_00974
OG0000278	Prbg.g_00975	Prap.g_00973
OG0000279	Prbg.g_00976	Prap.g_00972
OG0000280	Prbg.g_00977	Prap.g_00971
OG0000281	Prbg.g_00979	Prap.g_00969
OG0000282	Prbg.g_00980	Prap.g_00968
OG0000283	Prbg.g_00983	Prap.g_00965
OG0000284	Prbg.g_00984	Prap.g_00964
OG0000285	Prbg.g_00985	Prap.g_00963
OG0000286	Prbg.g_00987	Prap.g_00961
OG0000287	Prbg.g_00989	Prap.g_00959
OG0000288	Prbg.g_00990	Prap.g_00958
OG0000289	Prbg.g_00991	Prap.g_00957
OG0000290	Prbg.g_00992	Prap.g_00956
OG0000291	Prbg.g_00993	Prap.g_00955
OG0000292	Prbg.g_00994	Prap.g_00954
OG0000293	Prbg.g_00995	Prap.g_00953
OG0000294	Prbg.g_00996	Prap.g_00952
OG0000295	Prbg.g_00997	Prap.g_00951
OG0000296	Prbg.g_00998	Prap.g_00950
OG0000297	Prbg.g_00999	Prap.g_00949
OG0000298	Prbg.g_01000	Prap.g_00948
OG0000299	Prbg.g_01001	Prap.g_00947
OG0000300	Prbg.g_01002	Prap.g_00946
OG0000301	Prbg.g_01003	Prap.g_00945
OG0000302	Prbg.g_01004	Prap.g_00944
OG0000303	Prbg.g_01005	Prap.g_00943
OG0000304	Prbg.g_01007	Prap.g_01487
OG0000305	Prbg.g_01008	Prap.g_01486
OG0000306	Prbg.g_01009	Prap.g_01485
OG0000307	Prbg.g_01011	Prap.g_01483
OG0000308	Prbg.g_01012	Prap.g_01482
OG0000309	Prbg.g_01013	Prap.g_01481
OG0000310	Prbg.g_01014	Prap.g_01480
OG0000311	Prbg.g_01015	Prap.g_01479
OG0000312	Prbg.g_01017	Prap.g_01477
OG0000313	Prbg.g_01018	Prap.g_01476
OG0000314	Prbg.g_01022	Prap.g_01472
OG0000315	Prbg.g_01023	Prap.g_01471
OG0000316	Prbg.g_01025	Prap.g_01469
OG0000317	Prbg.g_01027	Prap.g_01467
OG0000318	Prbg.g_01028	Prap.g_01466
OG0000319	Prbg.g_01029	Prap.g_01465
OG0000320	Prbg.g_01030	Prap.g_01464
OG0000321	Prbg.g_01033	Prap.g_01461
OG0000322	Prbg.g_01037	Prap.g_01457
OG0000323	Prbg.g_01038	Prap.g_01456
OG0000324	Prbg.g_01041	Prap.g_01453
OG0000325	Prbg.g_01042	Prap.g_01452
OG0000326	Prbg.g_01043	Prap.g_01451
OG0000327	Prbg.g_01045	Prap.g_01449
OG0000328	Prbg.g_01046	Prap.g_01448
OG0000329	Prbg.g_00042	Prap.g_01447
OG0000330	Prbg.g_00043	Prap.g_01446
OG0000331	Prbg.g_00045	Prap.g_01444
OG0000332	Prbg.g_00046	Prap.g_01443
OG0000333	Prbg.g_00047	Prap.g_01442
OG0000334	Prbg.g_00048	Prap.g_01441
OG0000335	Prbg.g_00049	Prap.g_01440
OG0000336	Prbg.g_00051	Prap.g_01438
OG0000337	Prbg.g_00054	Prap.g_01435
OG0000338	Prbg.g_00055	Prap.g_01434
OG0000339	Prbg.g_00056	Prap.g_01433
OG0000340	Prbg.g_00057	Prap.g_01432
OG0000341	Prbg.g_00061	Prap.g_01428
OG0000342	Prbg.g_00062	Prap.g_01427
OG0000343	Prbg.g_00065	Prap.g_01424
OG0000344	Prbg.g_00066	Prap.g_01423
OG0000345	Prbg.g_00067	Prap.g_01422
OG0000346	Prbg.g_00068	Prap.g_01421
OG0000347	Prbg.g_00069	Prap.g_01420
OG0000348	Prbg.g_00071	Prap.g_01418
OG0000349	Prbg.g_00072	Prap.g_01417
OG0000350	Prbg.g_00073	Prap.g_01416
OG0000351	Prbg.g_00075	Prap.g_01414
OG0000352	Prbg.g_00078	Prap.g_01411
OG0000353	Prbg.g_00079	Prap.g_01410
OG0000354	Prbg.g_00080	Prap.g_01409
OG0000355	Prbg.g_00081	Prap.g_01408
OG0000356	Prbg.g_00082	Prap.g_01407
OG0000357	Prbg.g_00083	Prap.g_01406
OG0000358	Prbg.g_00084	Prap.g_01405
OG0000359	Prbg.g_00085	Prap.g_01404
OG0000360	Prbg.g_00087	Prap.g_01402
OG0000361	Prbg.g_00088	Prap.g_01401
OG0000362	Prbg.g_00089	Prap.g_01400
OG0000363	Prbg.g_00090	Prap.g_01399
OG0000364	Prbg.g_00091	Prap.g_01398
OG0000365	Prbg.g_00092	Prap.g_01397
OG0000366	Prbg.g_00093	Prap.g_01396
OG0000367	Prbg.g_00094	Prap.g_01395
OG0000368	Prbg.g_00095	Prap.g_01394
OG0000369	Prbg.g_00096	Prap.g_01393
OG0000370	Prbg.g_00097	Prap.g_01392
