Orthogroup	Prax	Prbd
OG0000232	Prax.g_00743	Prbd.g_00784
OG0000233	Prax.g_00738	Prbd.g_00779
OG0000234	Prax.g_00726	Prbd.g_00766
OG0000235	Prax.g_00723	Prbd.g_00763
OG0000236	Prax.g_00708	Prbd.g_00749
OG0000237	Prax.g_00695	Prbd.g_00736
OG0000238	Prax.g_00689	Prbd.g_00730
OG0000239	Prax.g_00676	Prbd.g_00717
OG0000240	Prax.g_00675	Prbd.g_00716
OG0000241	Prax.g_00671	Prbd.g_00712
OG0000242	Prax.g_00669	Prbd.g_00710
OG0000243	Prax.g_00004	Prbd.g_00699
OG0000244	Prax.g_00007	Prbd.g_00696
OG0000245	Prax.g_00009	Prbd.g_00694
OG0000246	Prax.g_00013	Prbd.g_00690
OG0000247	Prax.g_00023	Prbd.g_00680
OG0000248	Prax.g_00025	Prbd.g_00678
OG0000249	Prax.g_00027	Prbd.g_00676
OG0000250	Prax.g_00032	Prbd.g_00671
OG0000251	Prax.g_00050	Prbd.g_00653
OG0000252	Prax.g_00053	Prbd.g_00650
OG0000253	Prax.g_00054	Prbd.g_00649
OG0000254	Prax.g_00070	Prbd.g_00633
OG0000255	Prax.g_00076	Prbd.g_00627
OG0000256	Prax.g_00086	Prbd.g_00617
OG0000257	Prax.g_00089	Prbd.g_00614
OG0000258	Prax.g_00102	Prbd.g_00601
OG0000259	Prax.g_00119	Prbd.g_00584
OG0000260	Prax.g_00122	Prbd.g_00581
OG0000261	Prax.g_00977	Prbd.g_00579
OG0000262	Prax.g_00973	Prbd.g_00575
OG0000263	Prax.g_00961	Prbd.g_00563
OG0000264	Prax.g_00951	Prbd.g_00553
OG0000265	Prax.g_00485	Prbd.g_00007
OG0000266	Prax.g_00475	Prbd.g_00017
OG0000267	Prax.g_00464	Prbd.g_00028
OG0000268	Prax.g_00463	Prbd.g_00029
OG0000269	Prax.g_00378	Prbd.g_00097
OG0000270	Prax.g_00375	Prbd.g_00100
OG0000271	Prax.g_00367	Prbd.g_00108
OG0000272	Prax.g_00366	Prbd.g_00109
OG0000273	Prax.g_00343	Prbd.g_00132
OG0000274	Prax.g_00342	Prbd.g_00133
OG0000275	Prax.g_00339	Prbd.g_00136
OG0000276	Prax.g_00334	Prbd.g_00141
OG0000277	Prax.g_00333	Prbd.g_00142
OG0000278	Prax.g_00330	Prbd.g_00145
OG0000279	Prax.g_00323	Prbd.g_00152
OG0000280	Prax.g_00322	Prbd.g_00153
OG0000281	Prax.g_00317	Prbd.g_00158
OG0000282	Prax.g_00563	Prbd.g_00208
OG0000283	Prax.g_00597	Prbd.g_00241
OG0000284	Prax.g_00602	Prbd.g_00246
OG0000285	Prax.g_00607	Prbd.g_00251
OG0000286	Prax.g_00619	Prbd.g_00263
OG0000287	Prax.g_01145	Prbd.g_00280
OG0000288	Prax.g_01177	Prbd.g_00313
OG0000289	Prax.g_01188	Prbd.g_00324
OG0000290	Prax.g_01201	Prbd.g_00337
OG0000291	Prax.g_01203	Prbd.g_00339
OG0000292	Prax.g_01254	Prbd.g_00389
OG0000293	Prax.g_00191	Prbd.g_00459
OG0000294	Prax.g_00192	Prbd.g_00460
OG0000295	Prax.g_00212	Prbd.g_00480
OG0000296	Prax.g_00214	Prbd.g_00482
OG0000297	Prax.g_00222	Prbd.g_00490
OG0000298	Prax.g_00223	Prbd.g_00491
OG0000299	Prax.g_00240	Prbd.g_00508
OG0000300	Prax.g_00243	Prbd.g_00511
OG0000301	Prax.g_00244	Prbd.g_00512
OG0000302	Prax.g_00246	Prbd.g_00514
OG0000303	Prax.g_00253	Prbd.g_00521
OG0000304	Prax.g_00257	Prbd.g_00525
OG0000305	Prax.g_01871	Prbd.g_01772
OG0000306	Prax.g_01868	Prbd.g_01769
OG0000307	Prax.g_01854	Prbd.g_01755
OG0000308	Prax.g_01853	Prbd.g_01754
OG0000309	Prax.g_01849	Prbd.g_01750
OG0000310	Prax.g_01748	Prbd.g_01704
OG0000311	Prax.g_01746	Prbd.g_01702
OG0000312	Prax.g_01743	Prbd.g_01699
OG0000313	Prax.g_01724	Prbd.g_01685
OG0000314	Prax.g_01701	Prbd.g_01662
OG0000315	Prax.g_01691	Prbd.g_01652
OG0000316	Prax.g_01671	Prbd.g_01632
OG0000317	Prax.g_01561	Prbd.g_01527
OG0000318	Prax.g_01558	Prbd.g_01524
OG0000319	Prax.g_01545	Prbd.g_01511
OG0000320	Prax.g_01543	Prbd.g_01509
OG0000321	Prax.g_01542	Prbd.g_01508
OG0000322	Prax.g_01541	Prbd.g_01507
OG0000323	Prax.g_01532	Prbd.g_01498
OG0000324	Prax.g_01505	Prbd.g_01471
OG0000325	Prax.g_01263	Prbd.g_01462
OG0000326	Prax.g_01269	Prbd.g_01456
OG0000327	Prax.g_01297	Prbd.g_01432
OG0000328	Prax.g_01298	Prbd.g_01431
OG0000329	Prax.g_01315	Prbd.g_01414
OG0000330	Prax.g_01316	Prbd.g_01413
OG0000331	Prax.g_01317	Prbd.g_01412
OG0000332	Prax.g_01331	Prbd.g_01398
OG0000333	Prax.g_01333	Prbd.g_01396
OG0000334	Prax.g_01341	Prbd.g_01388
OG0000335	Prax.g_01346	Prbd.g_01383
OG0000336	Prax.g_01350	Prbd.g_01379
OG0000337	Prax.g_01366	Prbd.g_01363
OG0000338	Prax.g_01367	Prbd.g_01362
OG0000339	Prax.g_01371	Prbd.g_01358
OG0000340	Prax.g_01379	Prbd.g_01350
OG0000341	Prax.g_01381	Prbd.g_01348
OG0000342	Prax.g_01382	Prbd.g_01347
OG0000343	Prax.g_01383	Prbd.g_01346
OG0000344	Prax.g_01386	Prbd.g_01343
OG0000345	Prax.g_01391	Prbd.g_01338
OG0000346	Prax.g_01395	Prbd.g_01334
OG0000347	Prax.g_01411	Prbd.g_01317
OG0000348	Prax.g_01421	Prbd.g_01307
OG0000349	Prax.g_01438	Prbd.g_01290
OG0000350	Prax.g_01456	Prbd.g_01272
OG0000351	Prax.g_01473	Prbd.g_01255
OG0000352	Prax.g_01474	Prbd.g_01254
OG0000353	Prax.g_01489	Prbd.g_01238
OG0000355	Prax.g_01491	Prbd.g_01236
OG0000356	Prax.g_01492	Prbd.g_01235
OG0000357	Prax.g_01493	Prbd.g_01234
OG0000358	Prax.g_01497	Prbd.g_01230
OG0000359	Prax.g_01498	Prbd.g_01229
OG0000360	Prax.g_01499	Prbd.g_01228
OG0000361	Prax.g_01975	Prbd.g_01227
OG0000362	Prax.g_01973	Prbd.g_01225
OG0000363	Prax.g_00299	Prbd.g_01223
OG0000364	Prax.g_00298	Prbd.g_01222
OG0000365	Prax.g_00293	Prbd.g_01217
OG0000366	Prax.g_00292	Prbd.g_01216
OG0000367	Prax.g_00291	Prbd.g_01215
OG0000368	Prax.g_00289	Prbd.g_01213
OG0000369	Prax.g_00288	Prbd.g_01212
OG0000370	Prax.g_00287	Prbd.g_01211
OG0000371	Prax.g_00281	Prbd.g_01205
OG0000372	Prax.g_00278	Prbd.g_01202
OG0000373	Prax.g_00277	Prbd.g_01201
OG0000374	Prax.g_00276	Prbd.g_01200
OG0000375	Prax.g_00273	Prbd.g_01198
OG0000376	Prax.g_00271	Prbd.g_01196
OG0000377	Prax.g_00261	Prbd.g_01192
OG0000378	Prax.g_00622	Prbd.g_01190
OG0000379	Prax.g_00625	Prbd.g_01187
OG0000380	Prax.g_00637	Prbd.g_01178
OG0000381	Prax.g_00641	Prbd.g_01174
OG0000382	Prax.g_00652	Prbd.g_01163
OG0000383	Prax.g_00654	Prbd.g_01161
OG0000384	Prax.g_00655	Prbd.g_01160
OG0000385	Prax.g_00656	Prbd.g_01159
OG0000386	Prax.g_00657	Prbd.g_01158
OG0000387	Prax.g_01119	Prbd.g_01145
OG0000388	Prax.g_01116	Prbd.g_01142
OG0000389	Prax.g_01113	Prbd.g_01138
OG0000390	Prax.g_01106	Prbd.g_01131
OG0000391	Prax.g_01102	Prbd.g_01127
OG0000392	Prax.g_01098	Prbd.g_01123
OG0000393	Prax.g_01096	Prbd.g_01121
OG0000394	Prax.g_01095	Prbd.g_01120
OG0000395	Prax.g_01094	Prbd.g_01119
OG0000396	Prax.g_01091	Prbd.g_01116
OG0000397	Prax.g_01089	Prbd.g_01114
OG0000398	Prax.g_01087	Prbd.g_01112
OG0000399	Prax.g_01086	Prbd.g_01111
OG0000400	Prax.g_01085	Prbd.g_01110
OG0000401	Prax.g_01084	Prbd.g_01109
OG0000402	Prax.g_01082	Prbd.g_01107
OG0000403	Prax.g_01081	Prbd.g_01106
OG0000404	Prax.g_01080	Prbd.g_01105
OG0000405	Prax.g_01076	Prbd.g_01100
OG0000406	Prax.g_01071	Prbd.g_01093
OG0000407	Prax.g_01070	Prbd.g_01092
OG0000408	Prax.g_01068	Prbd.g_01090
OG0000409	Prax.g_01066	Prbd.g_01088
OG0000410	Prax.g_01065	Prbd.g_01087
OG0000411	Prax.g_01064	Prbd.g_01086
OG0000412	Prax.g_01063	Prbd.g_01085
OG0000413	Prax.g_01062	Prbd.g_01084
OG0000414	Prax.g_01061	Prbd.g_01083
OG0000415	Prax.g_01060	Prbd.g_01082
OG0000416	Prax.g_01059	Prbd.g_01081
OG0000417	Prax.g_01058	Prbd.g_01080
OG0000418	Prax.g_01053	Prbd.g_01075
OG0000419	Prax.g_01051	Prbd.g_01073
OG0000420	Prax.g_01050	Prbd.g_01072
OG0000421	Prax.g_01045	Prbd.g_01067
OG0000422	Prax.g_01044	Prbd.g_01066
OG0000423	Prax.g_01043	Prbd.g_01065
OG0000424	Prax.g_01042	Prbd.g_01064
OG0000425	Prax.g_01041	Prbd.g_01063
OG0000426	Prax.g_01040	Prbd.g_01062
OG0000427	Prax.g_01039	Prbd.g_01061
OG0000428	Prax.g_01037	Prbd.g_01059
OG0000429	Prax.g_01036	Prbd.g_01058
OG0000430	Prax.g_01035	Prbd.g_01057
OG0000431	Prax.g_01033	Prbd.g_01055
OG0000432	Prax.g_01030	Prbd.g_01052
OG0000433	Prax.g_01029	Prbd.g_01051
OG0000434	Prax.g_01028	Prbd.g_01050
OG0000435	Prax.g_01027	Prbd.g_01049
OG0000436	Prax.g_01022	Prbd.g_01044
OG0000437	Prax.g_01021	Prbd.g_01043
OG0000438	Prax.g_01020	Prbd.g_01042
OG0000439	Prax.g_01018	Prbd.g_01040
OG0000440	Prax.g_01017	Prbd.g_01039
OG0000441	Prax.g_01014	Prbd.g_01036
OG0000442	Prax.g_01013	Prbd.g_01035
OG0000443	Prax.g_01012	Prbd.g_01034
OG0000444	Prax.g_01007	Prbd.g_01029
OG0000445	Prax.g_01006	Prbd.g_01028
OG0000446	Prax.g_01005	Prbd.g_01027
OG0000447	Prax.g_01004	Prbd.g_01026
OG0000448	Prax.g_01003	Prbd.g_01025
OG0000449	Prax.g_01002	Prbd.g_01024
OG0000450	Prax.g_01001	Prbd.g_01023
OG0000451	Prax.g_01000	Prbd.g_01022
OG0000452	Prax.g_00997	Prbd.g_01019
OG0000453	Prax.g_00996	Prbd.g_01018
OG0000454	Prax.g_00995	Prbd.g_01017
OG0000455	Prax.g_00994	Prbd.g_01016
OG0000456	Prax.g_00993	Prbd.g_01015
OG0000457	Prax.g_00992	Prbd.g_01013
OG0000458	Prax.g_00991	Prbd.g_01012
OG0000459	Prax.g_00990	Prbd.g_01011
OG0000460	Prax.g_00983	Prbd.g_01004
OG0000461	Prax.g_00933	Prbd.g_00997
OG0000462	Prax.g_00931	Prbd.g_00995
OG0000463	Prax.g_00930	Prbd.g_00994
OG0000464	Prax.g_00929	Prbd.g_00993
OG0000465	Prax.g_00928	Prbd.g_00992
OG0000466	Prax.g_00925	Prbd.g_00989
OG0000467	Prax.g_00924	Prbd.g_00988
OG0000468	Prax.g_00922	Prbd.g_00986
OG0000469	Prax.g_00913	Prbd.g_00977
OG0000470	Prax.g_00911	Prbd.g_00975
OG0000471	Prax.g_00910	Prbd.g_00974
OG0000472	Prax.g_00909	Prbd.g_00973
OG0000473	Prax.g_00907	Prbd.g_00971
OG0000474	Prax.g_00906	Prbd.g_00970
OG0000475	Prax.g_00905	Prbd.g_00969
OG0000476	Prax.g_00904	Prbd.g_00968
OG0000477	Prax.g_00900	Prbd.g_00964
OG0000478	Prax.g_00899	Prbd.g_00963
OG0000479	Prax.g_00898	Prbd.g_00962
OG0000480	Prax.g_00893	Prbd.g_00957
OG0000481	Prax.g_00891	Prbd.g_00955
OG0000482	Prax.g_00890	Prbd.g_00954
OG0000483	Prax.g_00887	Prbd.g_00951
OG0000484	Prax.g_00886	Prbd.g_00950
OG0000485	Prax.g_00885	Prbd.g_00949
OG0000486	Prax.g_00884	Prbd.g_00948
OG0000487	Prax.g_00880	Prbd.g_00944
OG0000488	Prax.g_00877	Prbd.g_00941
OG0000489	Prax.g_00872	Prbd.g_00936
OG0000490	Prax.g_00867	Prbd.g_00931
OG0000491	Prax.g_00866	Prbd.g_00930
OG0000492	Prax.g_00864	Prbd.g_00928
OG0000493	Prax.g_00863	Prbd.g_00927
OG0000494	Prax.g_00862	Prbd.g_00926
OG0000495	Prax.g_00861	Prbd.g_00925
OG0000496	Prax.g_00860	Prbd.g_00924
OG0000497	Prax.g_00859	Prbd.g_00923
OG0000498	Prax.g_00858	Prbd.g_00922
OG0000499	Prax.g_00857	Prbd.g_00921
OG0000500	Prax.g_00856	Prbd.g_00920
OG0000501	Prax.g_00854	Prbd.g_00918
OG0000502	Prax.g_00849	Prbd.g_00915
OG0000503	Prax.g_00839	Prbd.g_00905
OG0000504	Prax.g_00838	Prbd.g_00904
OG0000505	Prax.g_00837	Prbd.g_00903
OG0000506	Prax.g_00835	Prbd.g_00901
OG0000507	Prax.g_00832	Prbd.g_00898
OG0000508	Prax.g_00828	Prbd.g_00894
OG0000509	Prax.g_00826	Prbd.g_00892
OG0000510	Prax.g_00825	Prbd.g_00891
OG0000511	Prax.g_00824	Prbd.g_00890
OG0000512	Prax.g_00822	Prbd.g_00888
OG0000513	Prax.g_00815	Prbd.g_00881
OG0000514	Prax.g_00769	Prbd.g_00811
OG0000515	Prax.g_00768	Prbd.g_00810
OG0000516	Prax.g_00767	Prbd.g_00809
OG0000517	Prax.g_00765	Prbd.g_00807
OG0000518	Prax.g_00754	Prbd.g_00796
OG0000519	Prax.g_00753	Prbd.g_00795
OG0000520	Prax.g_00752	Prbd.g_00794
OG0000521	Prax.g_00747	Prbd.g_00789
OG0000522	Prax.g_00746	Prbd.g_00787
OG0000523	Prax.g_00745	Prbd.g_00786
OG0000524	Prax.g_00740	Prbd.g_00781
OG0000525	Prax.g_00737	Prbd.g_00778
OG0000526	Prax.g_00736	Prbd.g_00777
OG0000527	Prax.g_00729	Prbd.g_00769
OG0000528	Prax.g_00724	Prbd.g_00764
OG0000529	Prax.g_00721	Prbd.g_00761
