Orthogroup	Syar	Prae
OG0000361	Syar.g_00481	Prae.g_00010
OG0000362	Syar.g_00483	Prae.g_00012
OG0000363	Syar.g_00484	Prae.g_00014
OG0000364	Syar.g_02928	Prae.g_00015
OG0000365	Syar.g_00493	Prae.g_00020
OG0000366	Syar.g_00494	Prae.g_00021
OG0000367	Syar.g_03262, Syar.g_00495	Prae.g_00022
OG0000368	Syar.g_00497	Prae.g_00024
OG0000369	Syar.g_00498	Prae.g_00025
OG0000370	Syar.g_00499	Prae.g_00026
OG0000371	Syar.g_00508	Prae.g_00032
OG0000372	Syar.g_00514	Prae.g_00035
OG0000373	Syar.g_00515	Prae.g_00036
OG0000374	Syar.g_00516	Prae.g_00037
OG0000375	Syar.g_00517	Prae.g_00042
OG0000376	Syar.g_00519	Prae.g_00044
OG0000377	Syar.g_00322	Prae.g_00047
OG0000378	Syar.g_00905	Prae.g_00049
OG0000379	Syar.g_00910	Prae.g_00052
OG0000380	Syar.g_03039	Prae.g_00066
OG0000381	Syar.g_03041	Prae.g_00070
OG0000382	Syar.g_03057	Prae.g_00081
OG0000383	Syar.g_03074	Prae.g_00083
OG0000384	Syar.g_03075	Prae.g_00084
OG0000385	Syar.g_03076	Prae.g_00085
OG0000386	Syar.g_03077	Prae.g_00086
OG0000387	Syar.g_03109	Prae.g_00099
OG0000388	Syar.g_03148, Syar.g_03113	Prae.g_00102
OG0000389	Syar.g_03118	Prae.g_00105
OG0000390	Syar.g_00033	Prae.g_00112
OG0000391	Syar.g_00038	Prae.g_00116
OG0000392	Syar.g_00045	Prae.g_00120
OG0000393	Syar.g_00048	Prae.g_00122
OG0000394	Syar.g_00049	Prae.g_00123
OG0000395	Syar.g_00050	Prae.g_00124
OG0000396	Syar.g_00053	Prae.g_00127
OG0000397	Syar.g_00055	Prae.g_00129
OG0000398	Syar.g_00060	Prae.g_00131
OG0000399	Syar.g_00061	Prae.g_00132
OG0000400	Syar.g_00062	Prae.g_00133
OG0000401	Syar.g_00063	Prae.g_00134
OG0000402	Syar.g_00065	Prae.g_00136
OG0000403	Syar.g_00066	Prae.g_00137
OG0000404	Syar.g_00067	Prae.g_00138
OG0000405	Syar.g_00076	Prae.g_00142
OG0000406	Syar.g_00080	Prae.g_00150
OG0000407	Syar.g_00081	Prae.g_00151
OG0000408	Syar.g_00083	Prae.g_00153
OG0000409	Syar.g_00085	Prae.g_00155
OG0000410	Syar.g_00086	Prae.g_00156
OG0000411	Syar.g_00087	Prae.g_00157
OG0000412	Syar.g_00088	Prae.g_00158
OG0000413	Syar.g_00090	Prae.g_00159
OG0000414	Syar.g_00091, Syar.g_03179	Prae.g_00160
OG0000415	Syar.g_00092	Prae.g_00161
OG0000416	Syar.g_00093	Prae.g_00162
OG0000417	Syar.g_00095	Prae.g_00163
OG0000418	Syar.g_00100	Prae.g_00168
OG0000419	Syar.g_00102	Prae.g_00170
OG0000420	Syar.g_00104	Prae.g_00171
OG0000421	Syar.g_00109	Prae.g_00176
OG0000422	Syar.g_00110	Prae.g_00177
OG0000423	Syar.g_00111	Prae.g_00178
OG0000424	Syar.g_00112	Prae.g_00179
OG0000425	Syar.g_00113	Prae.g_00180
OG0000426	Syar.g_00114	Prae.g_00181
OG0000427	Syar.g_00115	Prae.g_00182
OG0000428	Syar.g_00118	Prae.g_00184
OG0000429	Syar.g_00121	Prae.g_00185
OG0000430	Syar.g_00123	Prae.g_00186
OG0000431	Syar.g_00127	Prae.g_00188
OG0000432	Syar.g_01009	Prae.g_00191
OG0000433	Syar.g_01007	Prae.g_00192
OG0000434	Syar.g_01006	Prae.g_00193
OG0000435	Syar.g_01003	Prae.g_00194
OG0000436	Syar.g_00994	Prae.g_00199
OG0000437	Syar.g_00993	Prae.g_00200
OG0000438	Syar.g_00992	Prae.g_00201
OG0000439	Syar.g_00990	Prae.g_00203
OG0000440	Syar.g_00989	Prae.g_00204
OG0000441	Syar.g_00986	Prae.g_00207
OG0000442	Syar.g_00977	Prae.g_00208
OG0000443	Syar.g_00964	Prae.g_00209
OG0000444	Syar.g_00954	Prae.g_00214
OG0000445	Syar.g_00953	Prae.g_00215
