Orthogroup	Prbk	Syaj
OG0000231	Prbk.g_00311	Syaj.g_01541
OG0000232	Prbk.g_00295	Syaj.g_01497
OG0000233	Prbk.g_02092	Syaj.g_01481
OG0000234	Prbk.g_02114	Syaj.g_01442
OG0000235	Prbk.g_02060	Syaj.g_00071
OG0000236	Prbk.g_02076	Syaj.g_00086
OG0000237	Prbk.g_01047	Syaj.g_00103
OG0000238	Prbk.g_01051	Syaj.g_00108
OG0000239	Prbk.g_01067	Syaj.g_00125
OG0000240	Prbk.g_01068	Syaj.g_00126
OG0000241	Prbk.g_01965	Syaj.g_01291
OG0000242	Prbk.g_01078	Syaj.g_00142
OG0000243	Prbk.g_02684	Syaj.g_00164
OG0000244	Prbk.g_01897	Syaj.g_00180
OG0000245	Prbk.g_01894	Syaj.g_00182
OG0000246	Prbk.g_01890	Syaj.g_00186
OG0000247	Prbk.g_01879	Syaj.g_00197
OG0000248	Prbk.g_01876	Syaj.g_00200
OG0000249	Prbk.g_01874	Syaj.g_00202
OG0000250	Prbk.g_01106	Syaj.g_00211
OG0000251	Prbk.g_01130	Syaj.g_00237
OG0000252	Prbk.g_01133	Syaj.g_00243
OG0000253	Prbk.g_01139	Syaj.g_00245
OG0000254	Prbk.g_01158	Syaj.g_01335
OG0000255	Prbk.g_02604	Syaj.g_01315
OG0000256	Prbk.g_02618	Syaj.g_01297
OG0000257	Prbk.g_02624	Syaj.g_01292
OG0000258	Prbk.g_02647	Syaj.g_01274
OG0000259	Prbk.g_00720	Syaj.g_00707
OG0000260	Prbk.g_00717	Syaj.g_00712
OG0000261	Prbk.g_00714	Syaj.g_00715
OG0000262	Prbk.g_00709	Syaj.g_00720
OG0000263	Prbk.g_00672	Syaj.g_00605
OG0000264	Prbk.g_01815	Syaj.g_00485
OG0000265	Prbk.g_00619, Prbk.g_01835	Syaj.g_00510
OG0000266	Prbk.g_00608	Syaj.g_00946
OG0000267	Prbk.g_02371	Syaj.g_00770
OG0000268	Prbk.g_02370	Syaj.g_00771
OG0000269	Prbk.g_02463	Syaj.g_01031
OG0000270	Prbk.g_02466	Syaj.g_01025
OG0000271	Prbk.g_02474	Syaj.g_01017
OG0000272	Prbk.g_02475	Syaj.g_01016
OG0000273	Prbk.g_02526	Syaj.g_00389
OG0000274	Prbk.g_02527	Syaj.g_00388
OG0000275	Prbk.g_02530	Syaj.g_00384
OG0000276	Prbk.g_02536	Syaj.g_00377
OG0000277	Prbk.g_02537	Syaj.g_00376
OG0000278	Prbk.g_02540	Syaj.g_00373
OG0000279	Prbk.g_02548	Syaj.g_00357
OG0000280	Prbk.g_02554	Syaj.g_00348
OG0000281	Prbk.g_02568	Syaj.g_02670
OG0000282	Prbk.g_02398	Syaj.g_00743
OG0000283	Prbk.g_02359	Syaj.g_00790
OG0000284	Prbk.g_02353	Syaj.g_00930
OG0000285	Prbk.g_01698	Syaj.g_00917
OG0000286	Prbk.g_02325	Syaj.g_00899
OG0000287	Prbk.g_01728	Syaj.g_00849
OG0000288	Prbk.g_00583	Syaj.g_00815
OG0000289	Prbk.g_00596	Syaj.g_00800
OG0000290	Prbk.g_00059	Syaj.g_00424
OG0000291	Prbk.g_00057	Syaj.g_00426
OG0000292	Prbk.g_02271	Syaj.g_02255
OG0000293	Prbk.g_01032	Syaj.g_00290
OG0000294	Prbk.g_01031	Syaj.g_00291
OG0000295	Prbk.g_00106	Syaj.g_00330
OG0000296	Prbk.g_00104	Syaj.g_00332
OG0000297	Prbk.g_01498	Syaj.g_00639
OG0000298	Prbk.g_01497	Syaj.g_00638
OG0000299	Prbk.g_01508	Syaj.g_00592
OG0000300	Prbk.g_00186	Syaj.g_00586
OG0000301	Prbk.g_00185	Syaj.g_00585
OG0000302	Prbk.g_00182	Syaj.g_00582
OG0000303	Prbk.g_00097	Syaj.g_00572
OG0000304	Prbk.g_00121	Syaj.g_00566
OG0000305	Prbk.g_00055	Syaj.g_00429
OG0000306	Prbk.g_02578	Syaj.g_01126
OG0000307	Prbk.g_02044	Syaj.g_00051
OG0000308	Prbk.g_02042	Syaj.g_00049
OG0000309	Prbk.g_02038	Syaj.g_00044
OG0000310	Prbk.g_01937	Syaj.g_01358
OG0000311	Prbk.g_00243	Syaj.g_01362
OG0000312	Prbk.g_00247	Syaj.g_01368
OG0000313	Prbk.g_00271	Syaj.g_01386
OG0000314	Prbk.g_01222	Syaj.g_01420
OG0000315	Prbk.g_01212	Syaj.g_01430
OG0000316	Prbk.g_01991	Syaj.g_01664
OG0000317	Prbk.g_00913	Syaj.g_01715
OG0000318	Prbk.g_00906	Syaj.g_01722
OG0000319	Prbk.g_01443	Syaj.g_01741
OG0000320	Prbk.g_01441	Syaj.g_01743
OG0000321	Prbk.g_01440	Syaj.g_01744
OG0000322	Prbk.g_01439	Syaj.g_01745
OG0000323	Prbk.g_01428	Syaj.g_01760
OG0000324	Prbk.g_01399	Syaj.g_01609
OG0000325	Prbk.g_01904	Syaj.g_02638
OG0000326	Prbk.g_01912	Syaj.g_02645
OG0000327	Prbk.g_00987	Syaj.g_02693
OG0000328	Prbk.g_00986	Syaj.g_02694
OG0000329	Prbk.g_00969	Syaj.g_02712
OG0000330	Prbk.g_00968	Syaj.g_02713
OG0000331	Prbk.g_00967	Syaj.g_02714
OG0000332	Prbk.g_00952	Syaj.g_02729
OG0000333	Prbk.g_00950	Syaj.g_02732
OG0000334	Prbk.g_00801	Syaj.g_02741
OG0000335	Prbk.g_00806	Syaj.g_02746
OG0000336	Prbk.g_00810	Syaj.g_02750
OG0000337	Prbk.g_00506	Syaj.g_02466
OG0000338	Prbk.g_00510	Syaj.g_02462
OG0000339	Prbk.g_00516	Syaj.g_02455
OG0000340	Prbk.g_00528	Syaj.g_02443
OG0000341	Prbk.g_00530	Syaj.g_02441
OG0000342	Prbk.g_00531	Syaj.g_02440
OG0000343	Prbk.g_00215	Syaj.g_02437
OG0000344	Prbk.g_00218	Syaj.g_02433
OG0000345	Prbk.g_00233	Syaj.g_02421
OG0000346	Prbk.g_00238	Syaj.g_02416
OG0000347	Prbk.g_01540	Syaj.g_02383
OG0000348	Prbk.g_01578	Syaj.g_02333
OG0000349	Prbk.g_01602	Syaj.g_02314
OG0000350	Prbk.g_02204	Syaj.g_02652
OG0000351	Prbk.g_02252	Syaj.g_02234
OG0000352	Prbk.g_02253	Syaj.g_02235
OG0000353	Prbk.g_02277	Syaj.g_02261
OG0000354	Prbk.g_01057	Syaj.g_00114
OG0000354	Prbk.g_01635	Syaj.g_02281
OG0000355	Prbk.g_02279	Syaj.g_02263
OG0000356	Prbk.g_02280	Syaj.g_02264
OG0000357	Prbk.g_02281	Syaj.g_02265
OG0000358	Prbk.g_02285	Syaj.g_02269
OG0000359	Prbk.g_02287	Syaj.g_02271
OG0000360	Prbk.g_02288	Syaj.g_02272
OG0000361	Prbk.g_02289	Syaj.g_02273
OG0000362	Prbk.g_02291	Syaj.g_02275
OG0000363	Prbk.g_01639	Syaj.g_02277
OG0000364	Prbk.g_01638	Syaj.g_02278
OG0000365	Prbk.g_01629	Syaj.g_02287
OG0000366	Prbk.g_01628	Syaj.g_02288
OG0000367	Prbk.g_01627	Syaj.g_02289
OG0000368	Prbk.g_01625	Syaj.g_02291
OG0000369	Prbk.g_01624	Syaj.g_02292
OG0000370	Prbk.g_01623	Syaj.g_02293
OG0000371	Prbk.g_01614	Syaj.g_02301
OG0000372	Prbk.g_01609	Syaj.g_02307
OG0000373	Prbk.g_01608	Syaj.g_02308
OG0000374	Prbk.g_01607	Syaj.g_02309
OG0000375	Prbk.g_01606	Syaj.g_02310
OG0000376	Prbk.g_01604	Syaj.g_02312
OG0000377	Prbk.g_02155	Syaj.g_02105
OG0000378	Prbk.g_02141	Syaj.g_02091
OG0000379	Prbk.g_02125	Syaj.g_02086
OG0000380	Prbk.g_01323	Syaj.g_01815
OG0000381	Prbk.g_01319	Syaj.g_01819
OG0000382	Prbk.g_01304	Syaj.g_01836
OG0000383	Prbk.g_01302	Syaj.g_01839
OG0000384	Prbk.g_01301	Syaj.g_01840
OG0000385	Prbk.g_01300	Syaj.g_01841
OG0000386	Prbk.g_01299	Syaj.g_01842
OG0000387	Prbk.g_00020	Syaj.g_01878
OG0000388	Prbk.g_00016	Syaj.g_01882
OG0000389	Prbk.g_00012	Syaj.g_01886
OG0000390	Prbk.g_00191	Syaj.g_01904
OG0000391	Prbk.g_00196	Syaj.g_01909
OG0000392	Prbk.g_00202	Syaj.g_01918
OG0000393	Prbk.g_00207	Syaj.g_01922
OG0000394	Prbk.g_00208	Syaj.g_01923
OG0000395	Prbk.g_00209	Syaj.g_01924
OG0000396	Prbk.g_00542	Syaj.g_01928
OG0000397	Prbk.g_00544	Syaj.g_01930
OG0000398	Prbk.g_00549	Syaj.g_01935
OG0000399	Prbk.g_00550	Syaj.g_01936
OG0000400	Prbk.g_00551	Syaj.g_01937
OG0000401	Prbk.g_00552	Syaj.g_01938
OG0000402	Prbk.g_00554	Syaj.g_01940
OG0000403	Prbk.g_00555	Syaj.g_01941
OG0000404	Prbk.g_00557	Syaj.g_01943
OG0000405	Prbk.g_00749	Syaj.g_01961
OG0000406	Prbk.g_00753	Syaj.g_01966
OG0000407	Prbk.g_00754	Syaj.g_01967
OG0000408	Prbk.g_00756	Syaj.g_01970
OG0000409	Prbk.g_00758	Syaj.g_01972
OG0000410	Prbk.g_00759	Syaj.g_01973
OG0000411	Prbk.g_00760	Syaj.g_01974
OG0000412	Prbk.g_00761	Syaj.g_01975
OG0000413	Prbk.g_00763	Syaj.g_01977
OG0000415	Prbk.g_00765	Syaj.g_01978
OG0000416	Prbk.g_00766	Syaj.g_01979
OG0000417	Prbk.g_00767	Syaj.g_01980
OG0000418	Prbk.g_00772	Syaj.g_01985
OG0000419	Prbk.g_00774	Syaj.g_01987
OG0000420	Prbk.g_00775	Syaj.g_01989
OG0000421	Prbk.g_00779	Syaj.g_01994
OG0000422	Prbk.g_00780	Syaj.g_01995
OG0000423	Prbk.g_00781	Syaj.g_01996
OG0000424	Prbk.g_00782	Syaj.g_01997
OG0000425	Prbk.g_00783	Syaj.g_01998
OG0000426	Prbk.g_00784	Syaj.g_01999
OG0000427	Prbk.g_00785	Syaj.g_02000
OG0000428	Prbk.g_02425	Syaj.g_02003
OG0000429	Prbk.g_01283	Syaj.g_02005
OG0000430	Prbk.g_01281	Syaj.g_02007
OG0000431	Prbk.g_01277	Syaj.g_02010
OG0000432	Prbk.g_01270	Syaj.g_02017
OG0000433	Prbk.g_01267	Syaj.g_02020
OG0000434	Prbk.g_01266	Syaj.g_02021
OG0000435	Prbk.g_01263	Syaj.g_02023
OG0000436	Prbk.g_01257	Syaj.g_02029
OG0000437	Prbk.g_01256	Syaj.g_02030
OG0000438	Prbk.g_01255	Syaj.g_02031
OG0000439	Prbk.g_01253	Syaj.g_02033
OG0000440	Prbk.g_01252	Syaj.g_02034
OG0000441	Prbk.g_01245	Syaj.g_02038
OG0000442	Prbk.g_01244	Syaj.g_02039
OG0000443	Prbk.g_00631	Syaj.g_02040
OG0000444	Prbk.g_00683	Syaj.g_02052
OG0000445	Prbk.g_00682	Syaj.g_02053
OG0000446	Prbk.g_00680	Syaj.g_02055
OG0000447	Prbk.g_00670	Syaj.g_02058
OG0000448	Prbk.g_00669	Syaj.g_02059
OG0000449	Prbk.g_00668	Syaj.g_02060
OG0000450	Prbk.g_00662	Syaj.g_02067
OG0000451	Prbk.g_00661	Syaj.g_02068
OG0000452	Prbk.g_00656	Syaj.g_02072
OG0000453	Prbk.g_00655	Syaj.g_02073
OG0000454	Prbk.g_00654	Syaj.g_02074
OG0000455	Prbk.g_00653	Syaj.g_02075
OG0000456	Prbk.g_00652	Syaj.g_02076
OG0000457	Prbk.g_00650	Syaj.g_02078
OG0000458	Prbk.g_00649	Syaj.g_02079
OG0000459	Prbk.g_00648	Syaj.g_02080
OG0000460	Prbk.g_01369	Syaj.g_02858
OG0000461	Prbk.g_01900	Syaj.g_02623
OG0000462	Prbk.g_01012	Syaj.g_02620
OG0000463	Prbk.g_01011	Syaj.g_02619
OG0000464	Prbk.g_01010	Syaj.g_02618
