Orthogroup	Prbk	Syae
OG0000247	Prbk.g_01879	Syae.g_02416
OG0000248	Prbk.g_01876	Syae.g_02419
OG0000249	Prbk.g_01874	Syae.g_02421
OG0000250	Prbk.g_01106	Syae.g_02431
OG0000251	Prbk.g_01130	Syae.g_02455
OG0000252	Prbk.g_01133	Syae.g_02458
OG0000253	Prbk.g_01139	Syae.g_02459
OG0000254	Prbk.g_01158	Syae.g_00021
OG0000255	Prbk.g_02604	Syae.g_00041
OG0000256	Prbk.g_02618	Syae.g_00058
OG0000257	Prbk.g_02624	Syae.g_00064
OG0000258	Prbk.g_02647	Syae.g_00083
OG0000259	Prbk.g_00720	Syae.g_00608
OG0000260	Prbk.g_00717	Syae.g_00603
OG0000261	Prbk.g_00714	Syae.g_00600
OG0000262	Prbk.g_00709	Syae.g_00595
OG0000263	Prbk.g_00672	Syae.g_00671
OG0000264	Prbk.g_01815	Syae.g_00761
OG0000266	Prbk.g_00608	Syae.g_00457
OG0000267	Prbk.g_02371	Syae.g_00304
OG0000268	Prbk.g_02370	Syae.g_00308
OG0000269	Prbk.g_02463	Syae.g_00526
OG0000270	Prbk.g_02466	Syae.g_00523
OG0000271	Prbk.g_02474	Syae.g_00515
OG0000272	Prbk.g_02475	Syae.g_00514
OG0000273	Prbk.g_02526	Syae.g_00825
OG0000274	Prbk.g_02527	Syae.g_00826
OG0000275	Prbk.g_02530	Syae.g_00832
OG0000276	Prbk.g_02536	Syae.g_00839
OG0000277	Prbk.g_02537	Syae.g_00840
OG0000278	Prbk.g_02540	Syae.g_00843
OG0000279	Prbk.g_02548	Syae.g_00851
OG0000280	Prbk.g_02554	Syae.g_00877
OG0000281	Prbk.g_02568	Syae.g_02057
OG0000282	Prbk.g_02398	Syae.g_00573
OG0000283	Prbk.g_02359	Syae.g_00321
OG0000284	Prbk.g_02353	Syae.g_00327
OG0000285	Prbk.g_01698	Syae.g_00340
OG0000286	Prbk.g_02325	Syae.g_00359
OG0000287	Prbk.g_01728	Syae.g_00387
OG0000288	Prbk.g_00583	Syae.g_00419
OG0000289	Prbk.g_00596	Syae.g_00433
OG0000290	Prbk.g_00059	Syae.g_00796
OG0000291	Prbk.g_00057	Syae.g_00794
OG0000292	Prbk.g_02271	Syae.g_01705
OG0000293	Prbk.g_01032	Syae.g_00938
OG0000294	Prbk.g_01031	Syae.g_00937
OG0000295	Prbk.g_00106	Syae.g_00893
OG0000296	Prbk.g_00104	Syae.g_00891
OG0000297	Prbk.g_01498	Syae.g_00645
OG0000298	Prbk.g_01497	Syae.g_00646
OG0000299	Prbk.g_01508	Syae.g_00680
OG0000300	Prbk.g_00186	Syae.g_00686
OG0000301	Prbk.g_00185	Syae.g_00687
OG0000302	Prbk.g_00182	Syae.g_00691
OG0000303	Prbk.g_00097	Syae.g_00700
OG0000304	Prbk.g_00121	Syae.g_00706
OG0000305	Prbk.g_00055	Syae.g_00791
OG0000306	Prbk.g_02578	Syae.g_00277
OG0000307	Prbk.g_02044	Syae.g_02290
