Orthogroup	Syae	Syas
OG0000314	Syae.g_02618	Syas.g_01296
OG0000315	Syae.g_02609	Syas.g_01306
OG0000316	Syae.g_01118	Syas.g_02728
OG0000317	Syae.g_01160	Syas.g_02687
OG0000318	Syae.g_01164	Syas.g_02680
OG0000319	Syae.g_01181	Syas.g_02663
OG0000320	Syae.g_01183	Syas.g_02661
OG0000321	Syae.g_01184	Syas.g_02660
OG0000322	Syae.g_01185	Syas.g_02659
OG0000323	Syae.g_01200	Syas.g_02646, Syas.g_00159
OG0000324	Syae.g_01049	Syas.g_02578
OG0000325	Syae.g_02033	Syas.g_01668
OG0000326	Syae.g_02040	Syas.g_01661
OG0000327	Syae.g_02080	Syas.g_01634
OG0000328	Syae.g_02081	Syas.g_01633
OG0000329	Syae.g_02099	Syas.g_01615
OG0000330	Syae.g_02100	Syas.g_01614
OG0000331	Syae.g_02101	Syas.g_01613
OG0000332	Syae.g_02116	Syas.g_01598
OG0000333	Syae.g_02119	Syas.g_01595
OG0000334	Syae.g_02128	Syas.g_01586
OG0000335	Syae.g_02132	Syas.g_01581
OG0000336	Syae.g_02136	Syas.g_01577
OG0000337	Syae.g_01879	Syas.g_02211
OG0000338	Syae.g_01876	Syas.g_02199
OG0000339	Syae.g_01869	Syas.g_02192
OG0000340	Syae.g_01855	Syas.g_02183
OG0000341	Syae.g_01853	Syas.g_02181
OG0000342	Syae.g_01852	Syas.g_02180
OG0000343	Syae.g_01848	Syas.g_02176
OG0000344	Syae.g_01843	Syas.g_02172
OG0000345	Syae.g_01833	Syas.g_02160
OG0000346	Syae.g_01828	Syas.g_02155
OG0000347	Syae.g_01805	Syas.g_02136
OG0000348	Syae.g_01781	Syas.g_02107
OG0000349	Syae.g_01763	Syas.g_02085
OG0000350	Syae.g_02047	Syas.g_01654
OG0000351	Syae.g_01684	Syas.g_01998
OG0000352	Syae.g_01685	Syas.g_01999
OG0000353	Syae.g_01711	Syas.g_02033
OG0000354	Syae.g_02351	Syas.g_01209
OG0000354	Syae.g_01731	Syas.g_02052
OG0000355	Syae.g_01713	Syas.g_02035
OG0000356	Syae.g_01714	Syas.g_02036
OG0000357	Syae.g_01715	Syas.g_02037
OG0000358	Syae.g_01719	Syas.g_02041
OG0000359	Syae.g_01721	Syas.g_02043
OG0000360	Syae.g_01722	Syas.g_02044
OG0000361	Syae.g_01723	Syas.g_02045
OG0000362	Syae.g_01725	Syas.g_02047
OG0000363	Syae.g_01727	Syas.g_02049
OG0000364	Syae.g_01728	Syas.g_02685
OG0000365	Syae.g_01737	Syas.g_02058
OG0000366	Syae.g_01738	Syas.g_02059
OG0000368	Syae.g_01741	Syas.g_02062
OG0000369	Syae.g_01742	Syas.g_02063
OG0000370	Syae.g_01743	Syas.g_02064
OG0000371	Syae.g_01751	Syas.g_02073
OG0000372	Syae.g_01756	Syas.g_02078
OG0000373	Syae.g_01757	Syas.g_02079
OG0000374	Syae.g_01758	Syas.g_02080
OG0000375	Syae.g_01759	Syas.g_02081
