Orthogroup	Praa	Praj
OG0000381	Praa.g_00303	Praj.g_00338
OG0000382	Praa.g_00304	Praj.g_00339
OG0000383	Praa.g_00305	Praj.g_00340
OG0000384	Praa.g_00308	Praj.g_00343
OG0000385	Praa.g_00309	Praj.g_00344
OG0000386	Praa.g_00310	Praj.g_00345
OG0000387	Praa.g_00311	Praj.g_00346
OG0000388	Praa.g_00312	Praj.g_00347
OG0000389	Praa.g_00313	Praj.g_00348
OG0000390	Praa.g_00314	Praj.g_00349
OG0000391	Praa.g_00315	Praj.g_00350
OG0000392	Praa.g_00316	Praj.g_00351
OG0000393	Praa.g_00317	Praj.g_00352
OG0000394	Praa.g_00318	Praj.g_00353
OG0000395	Praa.g_00319	Praj.g_00354
OG0000396	Praa.g_00321	Praj.g_00356
OG0000397	Praa.g_00323	Praj.g_00358
OG0000398	Praa.g_00324	Praj.g_00359
OG0000399	Praa.g_00327	Praj.g_00362
OG0000400	Praa.g_00328	Praj.g_00368
OG0000401	Praa.g_00329	Praj.g_00724
OG0000402	Praa.g_00334	Praj.g_00380
OG0000403	Praa.g_00335	Praj.g_00382
OG0000404	Praa.g_00336	Praj.g_00383
OG0000405	Praa.g_00338	Praj.g_00384
OG0000406	Praa.g_00340	Praj.g_00387
OG0000407	Praa.g_00341	Praj.g_00388
OG0000408	Praa.g_00344	Praj.g_00390
OG0000409	Praa.g_00345	Praj.g_00391
OG0000410	Praa.g_00346	Praj.g_00392
OG0000411	Praa.g_00347	Praj.g_00393
OG0000412	Praa.g_00348	Praj.g_00394
OG0000413	Praa.g_00349	Praj.g_00395
OG0000414	Praa.g_00350	Praj.g_00396
OG0000415	Praa.g_00351	Praj.g_00397
OG0000416	Praa.g_00354	Praj.g_00402
OG0000417	Praa.g_00355	Praj.g_00403
OG0000418	Praa.g_00356	Praj.g_00405
OG0000419	Praa.g_00357	Praj.g_00406
OG0000420	Praa.g_00358	Praj.g_00824
OG0000421	Praa.g_00370	Praj.g_01049
OG0000422	Praa.g_00378	Praj.g_01081
OG0000423	Praa.g_00379	Praj.g_01244
OG0000424	Praa.g_00383	Praj.g_01869
OG0000425	Praa.g_00431	Praj.g_00425
OG0000426	Praa.g_00432	Praj.g_00426
OG0000427	Praa.g_00433	Praj.g_00427
OG0000428	Praa.g_00435	Praj.g_00429
OG0000429	Praa.g_00436	Praj.g_00430
OG0000430	Praa.g_00437	Praj.g_00432
OG0000431	Praa.g_00438	Praj.g_00433
OG0000432	Praa.g_00439	Praj.g_00434
OG0000433	Praa.g_00440	Praj.g_00435
OG0000434	Praa.g_00441	Praj.g_00436
OG0000435	Praa.g_00442	Praj.g_00437
OG0000436	Praa.g_00443	Praj.g_00438
OG0000437	Praa.g_00444	Praj.g_00439
OG0000438	Praa.g_00445	Praj.g_00440
OG0000439	Praa.g_00446	Praj.g_00441
OG0000440	Praa.g_00447	Praj.g_00442
OG0000441	Praa.g_00448	Praj.g_00443
OG0000442	Praa.g_00449	Praj.g_00444
OG0000443	Praa.g_00450	Praj.g_00445
OG0000444	Praa.g_00451	Praj.g_00446
OG0000445	Praa.g_00452	Praj.g_00447
OG0000446	Praa.g_00454	Praj.g_00449
OG0000447	Praa.g_00455	Praj.g_00450
OG0000448	Praa.g_00457	Praj.g_00451
OG0000449	Praa.g_00461	Praj.g_00457
OG0000450	Praa.g_00462	Praj.g_00458
OG0000451	Praa.g_00463	Praj.g_00459
OG0000452	Praa.g_00464	Praj.g_00461
OG0000453	Praa.g_00465	Praj.g_00462
OG0000454	Praa.g_00471	Praj.g_00464
OG0000455	Praa.g_00473	Praj.g_00465
OG0000456	Praa.g_00477	Praj.g_00469
OG0000457	Praa.g_00478	Praj.g_00471
OG0000458	Praa.g_00479	Praj.g_00472
OG0000459	Praa.g_00481	Praj.g_00474
