Orthogroup	Prbk	Syad
OG0000287	Prbk.g_01728	Syad.g_01720
OG0000288	Prbk.g_00583	Syad.g_01687
OG0000289	Prbk.g_00596	Syad.g_01672
OG0000290	Prbk.g_00059	Syad.g_01287
OG0000291	Prbk.g_00057	Syad.g_01289
OG0000292	Prbk.g_02271	Syad.g_00155
OG0000293	Prbk.g_01032	Syad.g_01124
OG0000294	Prbk.g_01031	Syad.g_01125
OG0000295	Prbk.g_00106	Syad.g_01181
OG0000296	Prbk.g_00104	Syad.g_01183
OG0000297	Prbk.g_01498	Syad.g_01512
OG0000298	Prbk.g_01497	Syad.g_01511
OG0000299	Prbk.g_01508	Syad.g_01462
OG0000300	Prbk.g_00186	Syad.g_01455
OG0000301	Prbk.g_00185	Syad.g_01454
OG0000302	Prbk.g_00182	Syad.g_01453
OG0000303	Prbk.g_00097	Syad.g_01442
OG0000304	Prbk.g_00121	Syad.g_01436
OG0000305	Prbk.g_00055	Syad.g_01292
OG0000306	Prbk.g_02578	Syad.g_01989
OG0000307	Prbk.g_02044	Syad.g_00883
OG0000308	Prbk.g_02042	Syad.g_00881
OG0000309	Prbk.g_02038	Syad.g_00876
OG0000310	Prbk.g_01937	Syad.g_02250
OG0000311	Prbk.g_00243	Syad.g_02254
OG0000312	Prbk.g_00247	Syad.g_02265
OG0000313	Prbk.g_00271	Syad.g_02284
OG0000314	Prbk.g_01222	Syad.g_02313, Syad.g_02231
OG0000315	Prbk.g_01212	Syad.g_02323
OG0000316	Prbk.g_01991	Syad.g_02564
OG0000317	Prbk.g_00913	Syad.g_02620
OG0000318	Prbk.g_00906	Syad.g_02624
OG0000319	Prbk.g_01443	Syad.g_02642
OG0000320	Prbk.g_01441	Syad.g_02644
OG0000321	Prbk.g_01440	Syad.g_02645
OG0000322	Prbk.g_01439	Syad.g_02646
OG0000323	Prbk.g_01428	Syad.g_02661
OG0000324	Prbk.g_01399	Syad.g_02505
OG0000325	Prbk.g_01904	Syad.g_00591
OG0000326	Prbk.g_01912	Syad.g_00598
OG0000327	Prbk.g_00987	Syad.g_00649
OG0000328	Prbk.g_00986	Syad.g_00650
OG0000329	Prbk.g_00969	Syad.g_00668
OG0000330	Prbk.g_00968	Syad.g_00669
OG0000331	Prbk.g_00967	Syad.g_00670
OG0000332	Prbk.g_00952	Syad.g_00685
OG0000333	Prbk.g_00950	Syad.g_00688
OG0000334	Prbk.g_00801	Syad.g_00697
OG0000335	Prbk.g_00806	Syad.g_00702
OG0000336	Prbk.g_00810	Syad.g_00706
OG0000337	Prbk.g_00506	Syad.g_00425, Syad.g_00427
OG0000338	Prbk.g_00510	Syad.g_00421
OG0000339	Prbk.g_00516	Syad.g_00414
OG0000340	Prbk.g_00528	Syad.g_00370
OG0000341	Prbk.g_00530	Syad.g_00368
OG0000342	Prbk.g_00531	Syad.g_00367
OG0000343	Prbk.g_00215	Syad.g_00366
OG0000344	Prbk.g_00218	Syad.g_00362
OG0000345	Prbk.g_00233	Syad.g_00352
OG0000346	Prbk.g_00238	Syad.g_00347
OG0000347	Prbk.g_01540	Syad.g_00318
OG0000348	Prbk.g_01578	Syad.g_00233
OG0000349	Prbk.g_01602	Syad.g_00213
OG0000350	Prbk.g_02204	Syad.g_00605
OG0000351	Prbk.g_02252	Syad.g_00134
OG0000352	Prbk.g_02253	Syad.g_00135
OG0000353	Prbk.g_02277	Syad.g_00161
OG0000354	Prbk.g_01057	Syad.g_00947
OG0000354	Prbk.g_01635	Syad.g_00181
OG0000355	Prbk.g_02279	Syad.g_00163
OG0000356	Prbk.g_02280	Syad.g_00164
OG0000357	Prbk.g_02281	Syad.g_00165
OG0000358	Prbk.g_02285	Syad.g_00169
OG0000359	Prbk.g_02287	Syad.g_00171
OG0000360	Prbk.g_02288	Syad.g_00172
OG0000361	Prbk.g_02289	Syad.g_00173
OG0000362	Prbk.g_02291	Syad.g_00175
OG0000363	Prbk.g_01639	Syad.g_00177
OG0000364	Prbk.g_01638	Syad.g_00178
OG0000365	Prbk.g_01629	Syad.g_00187
OG0000366	Prbk.g_01628	Syad.g_00188
OG0000367	Prbk.g_01627	Syad.g_00189
OG0000368	Prbk.g_01625	Syad.g_00191
OG0000369	Prbk.g_01624	Syad.g_00192
OG0000370	Prbk.g_01623	Syad.g_00193
OG0000371	Prbk.g_01614	Syad.g_00201
OG0000372	Prbk.g_01609	Syad.g_00206
OG0000373	Prbk.g_01608	Syad.g_00207
OG0000374	Prbk.g_01607	Syad.g_00208
OG0000375	Prbk.g_01606	Syad.g_00209
OG0000376	Prbk.g_01604	Syad.g_00211
OG0000377	Prbk.g_02155	Syad.g_03027
OG0000378	Prbk.g_02141	Syad.g_03012
OG0000379	Prbk.g_02125	Syad.g_03005
OG0000380	Prbk.g_01323	Syad.g_02725
OG0000381	Prbk.g_01319	Syad.g_02729
OG0000382	Prbk.g_01304	Syad.g_02758
OG0000383	Prbk.g_01302	Syad.g_02761
OG0000384	Prbk.g_01301	Syad.g_02762
OG0000385	Prbk.g_01300	Syad.g_02763
OG0000386	Prbk.g_01299	Syad.g_02764
OG0000387	Prbk.g_00020	Syad.g_02792
OG0000388	Prbk.g_00016	Syad.g_02796
OG0000389	Prbk.g_00012	Syad.g_02800
OG0000390	Prbk.g_00191	Syad.g_02818
OG0000391	Prbk.g_00196	Syad.g_02823
OG0000392	Prbk.g_00202	Syad.g_02833
OG0000393	Prbk.g_00207	Syad.g_02837
OG0000394	Prbk.g_00208	Syad.g_02838
OG0000395	Prbk.g_00209	Syad.g_02839
OG0000396	Prbk.g_00542	Syad.g_02843
OG0000397	Prbk.g_00544	Syad.g_02845
OG0000398	Prbk.g_00549	Syad.g_02850
OG0000399	Prbk.g_00550	Syad.g_02851
OG0000400	Prbk.g_00551	Syad.g_02852
OG0000401	Prbk.g_00552	Syad.g_02853
OG0000402	Prbk.g_00554	Syad.g_02855
OG0000403	Prbk.g_00555	Syad.g_02856
OG0000404	Prbk.g_00557	Syad.g_02858
OG0000405	Prbk.g_00749	Syad.g_02874
OG0000406	Prbk.g_00753	Syad.g_02878
OG0000407	Prbk.g_00754	Syad.g_02879
OG0000408	Prbk.g_00756	Syad.g_02883
OG0000409	Prbk.g_00758	Syad.g_02885
OG0000410	Prbk.g_00759	Syad.g_02886
OG0000411	Prbk.g_00760	Syad.g_02887
OG0000412	Prbk.g_00761	Syad.g_02888
OG0000413	Prbk.g_00763	Syad.g_02890
OG0000415	Prbk.g_00765	Syad.g_02891
OG0000416	Prbk.g_00766	Syad.g_02892
OG0000417	Prbk.g_00767	Syad.g_02893
OG0000418	Prbk.g_00772	Syad.g_02898
OG0000419	Prbk.g_00774	Syad.g_02900
OG0000420	Prbk.g_00775	Syad.g_02902
OG0000421	Prbk.g_00779	Syad.g_02907
OG0000422	Prbk.g_00780	Syad.g_02908
OG0000423	Prbk.g_00781	Syad.g_02909
OG0000424	Prbk.g_00782	Syad.g_02910
OG0000425	Prbk.g_00783	Syad.g_02911
OG0000426	Prbk.g_00784	Syad.g_02912
OG0000427	Prbk.g_00785	Syad.g_02913
OG0000428	Prbk.g_02425	Syad.g_02916
OG0000429	Prbk.g_01283	Syad.g_02918
OG0000430	Prbk.g_01281	Syad.g_02920
OG0000431	Prbk.g_01277	Syad.g_02923
