Orthogroup	Pral	Praw
OG0000249	Pral.g_00883	Praw.g_01274
OG0000250	Pral.g_00882	Praw.g_01273
OG0000251	Pral.g_00881	Praw.g_01272
OG0000252	Pral.g_00880	Praw.g_01271
OG0000253	Pral.g_00879	Praw.g_01270
OG0000254	Pral.g_00877	Praw.g_01268
OG0000255	Pral.g_00875	Praw.g_01267
OG0000256	Pral.g_00872	Praw.g_01264
OG0000257	Pral.g_00871	Praw.g_01262
OG0000258	Pral.g_00870	Praw.g_01261
OG0000259	Pral.g_00869	Praw.g_01260
OG0000260	Pral.g_00868	Praw.g_01259
OG0000261	Pral.g_00867	Praw.g_01258
OG0000262	Pral.g_00866	Praw.g_01257
OG0000263	Pral.g_00865	Praw.g_01256
OG0000264	Pral.g_00863	Praw.g_01254
OG0000265	Pral.g_00862	Praw.g_01253
OG0000266	Pral.g_00861	Praw.g_01252
OG0000267	Pral.g_00859	Praw.g_01250
OG0000268	Pral.g_00857	Praw.g_01249
OG0000269	Pral.g_00856	Praw.g_01248
OG0000270	Pral.g_00855	Praw.g_01247
OG0000271	Pral.g_00854	Praw.g_01246
OG0000272	Pral.g_00853	Praw.g_01245
OG0000273	Pral.g_00852	Praw.g_01244
OG0000274	Pral.g_00851	Praw.g_01243
OG0000275	Pral.g_00850	Praw.g_01242
OG0000276	Pral.g_00849	Praw.g_01241
OG0000277	Pral.g_00848	Praw.g_01240
OG0000278	Pral.g_00847	Praw.g_01239
OG0000279	Pral.g_00846	Praw.g_01238
OG0000280	Pral.g_00845	Praw.g_01237
OG0000281	Pral.g_00844	Praw.g_01235
OG0000282	Pral.g_00843	Praw.g_01234
OG0000283	Pral.g_00840	Praw.g_01231
OG0000284	Pral.g_00839	Praw.g_01230
OG0000285	Pral.g_00838	Praw.g_01229
OG0000286	Pral.g_00836	Praw.g_01227
OG0000287	Pral.g_00835	Praw.g_01226
OG0000288	Pral.g_00834	Praw.g_01225
OG0000289	Pral.g_00833	Praw.g_01224
OG0000290	Pral.g_00832	Praw.g_01223
OG0000291	Pral.g_00831	Praw.g_01222
OG0000292	Pral.g_00830	Praw.g_01221
OG0000293	Pral.g_00829	Praw.g_01220
OG0000294	Pral.g_00828	Praw.g_01219
OG0000295	Pral.g_00827	Praw.g_01218
OG0000296	Pral.g_00826	Praw.g_01217
OG0000297	Pral.g_00825	Praw.g_01216
OG0000298	Pral.g_00824	Praw.g_01215
OG0000299	Pral.g_00823	Praw.g_01214
OG0000300	Pral.g_00822	Praw.g_01213
OG0000301	Pral.g_00821	Praw.g_01212
OG0000302	Pral.g_00820	Praw.g_01211
OG0000303	Pral.g_00819	Praw.g_01210
OG0000304	Pral.g_00817	Praw.g_01209
OG0000305	Pral.g_00816	Praw.g_01208
OG0000306	Pral.g_00815	Praw.g_01207
OG0000307	Pral.g_00812	Praw.g_01206
OG0000308	Pral.g_00811	Praw.g_01205
OG0000309	Pral.g_00810	Praw.g_01204
OG0000310	Pral.g_00809	Praw.g_01203
OG0000311	Pral.g_00807	Praw.g_01202
OG0000312	Pral.g_00805	Praw.g_01200
OG0000313	Pral.g_00804	Praw.g_01199
OG0000314	Pral.g_00800	Praw.g_01196
OG0000315	Pral.g_00799	Praw.g_01195
OG0000316	Pral.g_00796	Praw.g_00891
OG0000317	Pral.g_00795	Praw.g_00889
OG0000318	Pral.g_00794	Praw.g_00888
OG0000319	Pral.g_00793	Praw.g_00887
OG0000320	Pral.g_00792	Praw.g_00886
OG0000321	Pral.g_00789	Praw.g_00883
OG0000322	Pral.g_00785	Praw.g_00880
OG0000323	Pral.g_00784	Praw.g_00879
OG0000324	Pral.g_00781	Praw.g_00876
OG0000325	Pral.g_00780	Praw.g_00875
OG0000326	Pral.g_00779	Praw.g_00874
OG0000327	Pral.g_00777	Praw.g_00872
OG0000328	Pral.g_00776	Praw.g_00871
OG0000329	Pral.g_00775	Praw.g_00870
OG0000330	Pral.g_00774	Praw.g_00869
OG0000331	Pral.g_00773	Praw.g_00868
OG0000332	Pral.g_00772	Praw.g_00867
OG0000333	Pral.g_00771	Praw.g_00866
OG0000334	Pral.g_00770	Praw.g_00865
OG0000335	Pral.g_00769	Praw.g_00864
OG0000336	Pral.g_00767	Praw.g_00863
OG0000337	Pral.g_00764	Praw.g_00859
OG0000338	Pral.g_00763	Praw.g_00858
OG0000339	Pral.g_00762	Praw.g_00857
OG0000340	Pral.g_00761	Praw.g_00856
OG0000341	Pral.g_00756	Praw.g_00852
OG0000342	Pral.g_00755	Praw.g_00851
OG0000343	Pral.g_00753	Praw.g_00849
OG0000344	Pral.g_00752	Praw.g_00848
OG0000345	Pral.g_00751	Praw.g_00847
OG0000346	Pral.g_00750	Praw.g_00846
OG0000347	Pral.g_00749	Praw.g_00845
OG0000348	Pral.g_00748	Praw.g_00844
OG0000349	Pral.g_00747	Praw.g_00843
OG0000350	Pral.g_00746	Praw.g_00842
OG0000351	Pral.g_00743	Praw.g_00839
OG0000352	Pral.g_00740	Praw.g_00836
OG0000353	Pral.g_00739	Praw.g_00835
OG0000354	Pral.g_00738	Praw.g_00834
OG0000355	Pral.g_00737	Praw.g_00833
OG0000356	Pral.g_00736	Praw.g_00832
OG0000357	Pral.g_00735	Praw.g_00831
OG0000358	Pral.g_00734	Praw.g_00830
OG0000359	Pral.g_00733	Praw.g_00829
OG0000360	Pral.g_00731	Praw.g_00826
OG0000361	Pral.g_00730	Praw.g_00825
OG0000362	Pral.g_00729	Praw.g_00824
OG0000363	Pral.g_00728	Praw.g_00823
OG0000364	Pral.g_00727	Praw.g_00822
OG0000365	Pral.g_00726	Praw.g_00821
OG0000366	Pral.g_00725	Praw.g_00820
OG0000367	Pral.g_00724	Praw.g_00819
OG0000368	Pral.g_00723	Praw.g_00818
OG0000369	Pral.g_00722	Praw.g_00817
OG0000370	Pral.g_00721	Praw.g_00816
OG0000371	Pral.g_00720	Praw.g_00815
OG0000372	Pral.g_00718	Praw.g_00813
OG0000373	Pral.g_00716	Praw.g_00811
OG0000374	Pral.g_00715	Praw.g_00810
OG0000375	Pral.g_00714	Praw.g_00809
OG0000376	Pral.g_00712	Praw.g_00807
OG0000377	Pral.g_00706	Praw.g_00806
OG0000378	Pral.g_00705	Praw.g_00805
OG0000379	Pral.g_00698	Praw.g_00796
OG0000380	Pral.g_00696	Praw.g_00795
OG0000381	Pral.g_00695	Praw.g_00794
OG0000382	Pral.g_00694	Praw.g_00792
OG0000383	Pral.g_00691	Praw.g_00790
OG0000384	Pral.g_00690	Praw.g_00789
OG0000385	Pral.g_00687	Praw.g_00787
OG0000386	Pral.g_00686	Praw.g_00786
OG0000387	Pral.g_00685	Praw.g_00785
OG0000388	Pral.g_00684	Praw.g_00784
OG0000389	Pral.g_00683	Praw.g_00783
OG0000390	Pral.g_00682	Praw.g_00782
OG0000391	Pral.g_00681	Praw.g_00781
OG0000392	Pral.g_00680	Praw.g_00780
OG0000393	Pral.g_00677	Praw.g_00777
OG0000394	Pral.g_00676	Praw.g_00776
OG0000395	Pral.g_00673	Praw.g_00774
OG0000396	Pral.g_01541	Praw.g_00773
OG0000397	Pral.g_01322	Praw.g_00761
OG0000398	Pral.g_01039	Praw.g_00754
OG0000399	Pral.g_01840	Praw.g_00753
OG0000400	Pral.g_00171	Praw.g_00748
OG0000401	Pral.g_00663	Praw.g_00716
OG0000402	Pral.g_00662	Praw.g_00715
OG0000403	Pral.g_00661	Praw.g_00714
OG0000404	Pral.g_00659	Praw.g_00712
OG0000405	Pral.g_00658	Praw.g_00711
OG0000406	Pral.g_00656	Praw.g_00709
OG0000407	Pral.g_00655	Praw.g_00708
OG0000408	Pral.g_00654	Praw.g_00707
OG0000409	Pral.g_00653	Praw.g_00706
OG0000410	Pral.g_00651	Praw.g_00705
OG0000411	Pral.g_00650	Praw.g_00704
OG0000412	Pral.g_00649	Praw.g_00703
OG0000413	Pral.g_00648	Praw.g_00702
OG0000414	Pral.g_00647	Praw.g_00701
OG0000415	Pral.g_00646	Praw.g_00700
OG0000416	Pral.g_00645	Praw.g_00699
OG0000417	Pral.g_00644	Praw.g_00698
OG0000418	Pral.g_00643	Praw.g_00697
OG0000419	Pral.g_00642	Praw.g_00696
OG0000420	Pral.g_00641	Praw.g_00695
OG0000421	Pral.g_00635	Praw.g_00694
OG0000422	Pral.g_00633	Praw.g_00692
OG0000423	Pral.g_00632	Praw.g_00691
OG0000424	Pral.g_00631	Praw.g_00689
OG0000425	Pral.g_00627	Praw.g_00686
OG0000426	Pral.g_00626	Praw.g_00685
OG0000427	Pral.g_00625	Praw.g_00684
OG0000428	Pral.g_00623	Praw.g_00683
OG0000429	Pral.g_00622	Praw.g_00682
OG0000430	Pral.g_00621	Praw.g_00676
OG0000431	Pral.g_00619	Praw.g_00674
OG0000432	Pral.g_00618	Praw.g_00673
OG0000433	Pral.g_00615	Praw.g_00670
OG0000434	Pral.g_00613	Praw.g_00669
OG0000435	Pral.g_00612	Praw.g_00668
OG0000436	Pral.g_00610	Praw.g_00666
OG0000437	Pral.g_00608	Praw.g_00665
OG0000438	Pral.g_00607	Praw.g_00664
OG0000439	Pral.g_00606	Praw.g_00663
OG0000440	Pral.g_00603	Praw.g_00661
OG0000441	Pral.g_00602	Praw.g_00660
OG0000442	Pral.g_00601	Praw.g_00659
OG0000443	Pral.g_00600	Praw.g_00658
OG0000444	Pral.g_00599	Praw.g_00657
OG0000445	Pral.g_00598	Praw.g_00656
OG0000446	Pral.g_00597	Praw.g_00655
OG0000447	Pral.g_00596	Praw.g_00654
OG0000448	Pral.g_00595	Praw.g_00653
OG0000449	Pral.g_00590	Praw.g_00648
OG0000450	Pral.g_00589	Praw.g_00647
OG0000451	Pral.g_00588	Praw.g_00646
OG0000452	Pral.g_00587	Praw.g_00645
OG0000453	Pral.g_00585	Praw.g_00643
OG0000454	Pral.g_00584	Praw.g_00642
OG0000455	Pral.g_00583	Praw.g_00641
OG0000456	Pral.g_00582	Praw.g_00640
OG0000457	Pral.g_00580	Praw.g_00638
OG0000458	Pral.g_00578	Praw.g_00636
OG0000459	Pral.g_00577	Praw.g_00635
OG0000460	Pral.g_00575	Praw.g_00633
OG0000461	Pral.g_00574	Praw.g_00632
OG0000462	Pral.g_00573	Praw.g_00631
OG0000463	Pral.g_00571	Praw.g_00630
OG0000464	Pral.g_00566	Praw.g_00625
OG0000465	Pral.g_00565	Praw.g_00623
OG0000466	Pral.g_00564	Praw.g_00622
OG0000467	Pral.g_00563	Praw.g_00621
OG0000468	Pral.g_00562	Praw.g_00620
OG0000469	Pral.g_00561	Praw.g_00619
OG0000470	Pral.g_00560	Praw.g_00618
OG0000471	Pral.g_00559	Praw.g_00617
OG0000472	Pral.g_00556	Praw.g_00614
OG0000473	Pral.g_00555	Praw.g_00613
OG0000474	Pral.g_00554	Praw.g_00612
OG0000475	Pral.g_00553	Praw.g_00611
OG0000476	Pral.g_00552	Praw.g_00610
OG0000477	Pral.g_00550	Praw.g_00608
OG0000478	Pral.g_00549	Praw.g_00607
OG0000479	Pral.g_00548	Praw.g_00606
OG0000480	Pral.g_00546	Praw.g_00604
OG0000481	Pral.g_00545	Praw.g_00603
OG0000482	Pral.g_00544	Praw.g_00602
OG0000483	Pral.g_00543	Praw.g_00601
OG0000484	Pral.g_00542	Praw.g_00600
OG0000485	Pral.g_00541	Praw.g_00599
OG0000486	Pral.g_00540	Praw.g_00598
OG0000487	Pral.g_00539	Praw.g_00597
OG0000488	Pral.g_00537	Praw.g_00595
OG0000489	Pral.g_00536	Praw.g_00594
OG0000490	Pral.g_00535	Praw.g_00593
OG0000491	Pral.g_00534	Praw.g_00592
OG0000492	Pral.g_00533	Praw.g_00591
OG0000493	Pral.g_00532	Praw.g_00590
