Orthogroup	Prak	Prbl
OG0000320	Prak.g_00264	Prbl.g_01513
OG0000321	Prak.g_00267	Prbl.g_01508
OG0000322	Prak.g_00271	Prbl.g_01499
OG0000323	Prak.g_00272	Prbl.g_01498
OG0000324	Prak.g_00275	Prbl.g_01496
OG0000325	Prak.g_00276	Prbl.g_01494
OG0000326	Prak.g_00277	Prbl.g_01492
OG0000327	Prak.g_00279	Prbl.g_01486
OG0000328	Prak.g_00280	Prbl.g_01919
OG0000329	Prak.g_00281	Prbl.g_01473
OG0000330	Prak.g_00282	Prbl.g_01472
OG0000331	Prak.g_00284	Prbl.g_01470
OG0000332	Prak.g_00285	Prbl.g_01469
OG0000333	Prak.g_00286	Prbl.g_01468
OG0000334	Prak.g_00287	Prbl.g_01467
OG0000335	Prak.g_00288	Prbl.g_01466
OG0000336	Prak.g_00290	Prbl.g_01464
OG0000337	Prak.g_00293	Prbl.g_01459
OG0000338	Prak.g_00294	Prbl.g_01458
OG0000339	Prak.g_00295	Prbl.g_01457
OG0000340	Prak.g_00296	Prbl.g_01455
OG0000341	Prak.g_00300	Prbl.g_01450
OG0000342	Prak.g_00301	Prbl.g_01449
OG0000343	Prak.g_00304	Prbl.g_01447
OG0000344	Prak.g_00305	Prbl.g_01445
OG0000345	Prak.g_00306	Prbl.g_01444
OG0000346	Prak.g_00307	Prbl.g_01443
OG0000347	Prak.g_00308	Prbl.g_01442
OG0000348	Prak.g_00310	Prbl.g_01441
OG0000349	Prak.g_00311	Prbl.g_01440
OG0000350	Prak.g_00312	Prbl.g_01439
OG0000351	Prak.g_00314	Prbl.g_01435
OG0000352	Prak.g_00317	Prbl.g_01431
OG0000353	Prak.g_00318	Prbl.g_01428
OG0000354	Prak.g_00319	Prbl.g_01427
OG0000355	Prak.g_00320	Prbl.g_01426
OG0000356	Prak.g_00321	Prbl.g_01421
OG0000357	Prak.g_00322	Prbl.g_01420
OG0000358	Prak.g_00323	Prbl.g_01419
OG0000359	Prak.g_00324	Prbl.g_01417
OG0000360	Prak.g_00326	Prbl.g_01414
OG0000361	Prak.g_00327	Prbl.g_01413
OG0000362	Prak.g_00328	Prbl.g_00911
OG0000363	Prak.g_00329	Prbl.g_00909
OG0000364	Prak.g_00330	Prbl.g_00908
OG0000365	Prak.g_00331	Prbl.g_00907
OG0000366	Prak.g_00332	Prbl.g_00906
OG0000367	Prak.g_00333	Prbl.g_00905
OG0000368	Prak.g_00334	Prbl.g_00904
OG0000369	Prak.g_00335	Prbl.g_00903
OG0000370	Prak.g_00336	Prbl.g_00902
OG0000371	Prak.g_00337	Prbl.g_00901
OG0000372	Prak.g_00338	Prbl.g_00898
OG0000373	Prak.g_00340	Prbl.g_00888
OG0000374	Prak.g_00341	Prbl.g_00886
OG0000375	Prak.g_00342	Prbl.g_00877
OG0000376	Prak.g_00343	Prbl.g_01183
OG0000377	Prak.g_00349	Prbl.g_01190
OG0000378	Prak.g_00350	Prbl.g_01191
OG0000379	Prak.g_00356	Prbl.g_01201
OG0000380	Prak.g_00358	Prbl.g_01203
OG0000381	Prak.g_00359	Prbl.g_01204
OG0000382	Prak.g_00360	Prbl.g_01206
OG0000383	Prak.g_00363	Prbl.g_01210
OG0000384	Prak.g_00364	Prbl.g_01211
OG0000385	Prak.g_00367	Prbl.g_01217
OG0000386	Prak.g_00368	Prbl.g_01218
OG0000387	Prak.g_00369	Prbl.g_01219
OG0000388	Prak.g_00370	Prbl.g_01220
OG0000389	Prak.g_00371	Prbl.g_01221
OG0000390	Prak.g_00372	Prbl.g_01222
OG0000391	Prak.g_00373	Prbl.g_01223
OG0000392	Prak.g_00374	Prbl.g_01224
OG0000393	Prak.g_00378	Prbl.g_02673
OG0000394	Prak.g_00379	Prbl.g_02674
OG0000395	Prak.g_00382	Prbl.g_02678
OG0000396	Prak.g_00900	Prbl.g_01564
OG0000397	Prak.g_01216	Prbl.g_00609
OG0000398	Prak.g_01597	Prbl.g_00410
OG0000399	Prak.g_01211	Prbl.g_01693
OG0000400	Prak.g_01709	Prbl.g_02681
OG0000401	Prak.g_00393	Prbl.g_00676
OG0000402	Prak.g_00394	Prbl.g_00675
OG0000403	Prak.g_00395	Prbl.g_00663
OG0000404	Prak.g_00397	Prbl.g_00653
OG0000405	Prak.g_00398	Prbl.g_00652
OG0000406	Prak.g_00400	Prbl.g_00650
OG0000407	Prak.g_00401	Prbl.g_00649
OG0000408	Prak.g_00402	Prbl.g_00648
OG0000409	Prak.g_00403	Prbl.g_00647
OG0000410	Prak.g_00404	Prbl.g_00645
OG0000411	Prak.g_00405	Prbl.g_00644
OG0000412	Prak.g_00406	Prbl.g_00643
OG0000413	Prak.g_00407	Prbl.g_00642
OG0000414	Prak.g_00408	Prbl.g_00641
OG0000415	Prak.g_00409	Prbl.g_00640
OG0000416	Prak.g_00410	Prbl.g_00639
OG0000417	Prak.g_00411	Prbl.g_00635
OG0000418	Prak.g_00412	Prbl.g_00634
OG0000419	Prak.g_00413	Prbl.g_00633
OG0000420	Prak.g_00414	Prbl.g_00632
OG0000421	Prak.g_00418	Prbl.g_00625
OG0000422	Prak.g_00420	Prbl.g_00623
OG0000423	Prak.g_00421	Prbl.g_00622
OG0000424	Prak.g_00422	Prbl.g_00619
OG0000425	Prak.g_00426	Prbl.g_01364
OG0000426	Prak.g_00427	Prbl.g_01363
OG0000427	Prak.g_00428	Prbl.g_01360
OG0000428	Prak.g_00430	Prbl.g_01348
OG0000429	Prak.g_00431	Prbl.g_01346
