Orthogroup	Prbj	Prag
OG0000445	Prbj.g_01616	Prag.g_00471
OG0000446	Prbj.g_01615	Prag.g_00472
OG0000447	Prbj.g_01614	Prag.g_00473
OG0000448	Prbj.g_01613	Prag.g_00474
OG0000449	Prbj.g_01605	Prag.g_00479
OG0000450	Prbj.g_02088	Prag.g_00480
OG0000451	Prbj.g_02089	Prag.g_00481
OG0000452	Prbj.g_02090	Prag.g_00482
OG0000453	Prbj.g_02093	Prag.g_00484
OG0000454	Prbj.g_02094	Prag.g_00485
OG0000455	Prbj.g_02095	Prag.g_00486
OG0000456	Prbj.g_02096	Prag.g_00487
OG0000457	Prbj.g_02097	Prag.g_00489
OG0000458	Prbj.g_02098	Prag.g_00491
OG0000459	Prbj.g_02099	Prag.g_00492
OG0000460	Prbj.g_02101	Prag.g_00494
OG0000461	Prbj.g_02102	Prag.g_00495
OG0000462	Prbj.g_02103	Prag.g_00496
OG0000463	Prbj.g_02108	Prag.g_00497
OG0000464	Prbj.g_02113	Prag.g_00502
OG0000465	Prbj.g_02114	Prag.g_00504
OG0000466	Prbj.g_02115	Prag.g_00505
OG0000467	Prbj.g_02117	Prag.g_00506
OG0000468	Prbj.g_02118	Prag.g_00507
OG0000469	Prbj.g_02123	Prag.g_00508
OG0000470	Prbj.g_01116	Prag.g_00509
OG0000471	Prbj.g_00765	Prag.g_00510
OG0000472	Prbj.g_02128	Prag.g_00513
OG0000473	Prbj.g_02130	Prag.g_00514
OG0000474	Prbj.g_02132	Prag.g_00515
OG0000475	Prbj.g_02133	Prag.g_00516
OG0000476	Prbj.g_02139	Prag.g_00517
OG0000477	Prbj.g_02142	Prag.g_00519
OG0000478	Prbj.g_02144	Prag.g_00520
OG0000479	Prbj.g_02146	Prag.g_00521
OG0000480	Prbj.g_02666	Prag.g_00523
OG0000481	Prbj.g_01858	Prag.g_00524
OG0000482	Prbj.g_01859	Prag.g_00525
OG0000483	Prbj.g_01861	Prag.g_00526
OG0000484	Prbj.g_01862	Prag.g_00527
OG0000485	Prbj.g_01863	Prag.g_00528
OG0000486	Prbj.g_01864	Prag.g_00529
OG0000487	Prbj.g_01865	Prag.g_00530
OG0000488	Prbj.g_01867	Prag.g_00532
OG0000489	Prbj.g_01868	Prag.g_00533
OG0000490	Prbj.g_01869	Prag.g_00534
OG0000491	Prbj.g_01870	Prag.g_00535
OG0000492	Prbj.g_01871	Prag.g_00536
OG0000493	Prbj.g_01872	Prag.g_00537
OG0000494	Prbj.g_01874	Prag.g_00539
OG0000495	Prbj.g_01875	Prag.g_00540
OG0000496	Prbj.g_01877	Prag.g_00541
OG0000497	Prbj.g_01879	Prag.g_00542
OG0000498	Prbj.g_01880	Prag.g_00543
OG0000499	Prbj.g_01882	Prag.g_00545
OG0000500	Prbj.g_01883	Prag.g_00546
OG0000501	Prbj.g_01807	Prag.g_00548
OG0000502	Prbj.g_01806	Prag.g_00549
OG0000503	Prbj.g_01805	Prag.g_00550
OG0000504	Prbj.g_01803	Prag.g_00551
OG0000505	Prbj.g_01802	Prag.g_00552
OG0000506	Prbj.g_01801	Prag.g_00553
OG0000507	Prbj.g_01800	Prag.g_00554
OG0000508	Prbj.g_01796	Prag.g_00556
OG0000509	Prbj.g_01795	Prag.g_00557
OG0000510	Prbj.g_01794	Prag.g_00558
OG0000511	Prbj.g_01793	Prag.g_00559
OG0000512	Prbj.g_01792	Prag.g_00560
OG0000513	Prbj.g_01791	Prag.g_00561
OG0000514	Prbj.g_01790	Prag.g_00562
OG0000515	Prbj.g_01787	Prag.g_00564
OG0000516	Prbj.g_01786	Prag.g_00565
OG0000517	Prbj.g_01785	Prag.g_00566
OG0000518	Prbj.g_01781	Prag.g_00569
OG0000519	Prbj.g_01780	Prag.g_00570
OG0000520	Prbj.g_01779	Prag.g_00571
OG0000521	Prbj.g_01778	Prag.g_00572
OG0000522	Prbj.g_01772	Prag.g_00573
OG0000523	Prbj.g_01771	Prag.g_00574
OG0000524	Prbj.g_01770	Prag.g_00575
OG0000525	Prbj.g_01768	Prag.g_00577
OG0000526	Prbj.g_01767	Prag.g_00578
OG0000527	Prbj.g_01766	Prag.g_00579
OG0000528	Prbj.g_01765	Prag.g_00580
OG0000529	Prbj.g_01764	Prag.g_00581
OG0000530	Prbj.g_01763	Prag.g_00582
OG0000531	Prbj.g_01760	Prag.g_00583
OG0000532	Prbj.g_01758	Prag.g_00584
OG0000533	Prbj.g_01757	Prag.g_00585
OG0000534	Prbj.g_01756	Prag.g_00586
OG0000535	Prbj.g_01755	Prag.g_00587
OG0000536	Prbj.g_01754	Prag.g_00588
OG0000537	Prbj.g_01753	Prag.g_00589
OG0000538	Prbj.g_01752	Prag.g_00590
OG0000539	Prbj.g_01750	Prag.g_00591
OG0000540	Prbj.g_01748	Prag.g_00592
OG0000541	Prbj.g_02544	Prag.g_00593
OG0000542	Prbj.g_02545	Prag.g_00594
OG0000543	Prbj.g_02546	Prag.g_00595
OG0000544	Prbj.g_02547	Prag.g_00596
OG0000545	Prbj.g_02550	Prag.g_00599
OG0000546	Prbj.g_02551	Prag.g_00600
OG0000547	Prbj.g_02553	Prag.g_00602
OG0000548	Prbj.g_02558	Prag.g_00603
OG0000549	Prbj.g_02559	Prag.g_00604
OG0000550	Prbj.g_02560	Prag.g_00605
OG0000551	Prbj.g_02563	Prag.g_00606
OG0000552	Prbj.g_02565	Prag.g_00607
OG0000553	Prbj.g_02566	Prag.g_00608
OG0000554	Prbj.g_02568	Prag.g_00609
OG0000555	Prbj.g_02569	Prag.g_00610
OG0000556	Prbj.g_02570	Prag.g_00611
OG0000557	Prbj.g_02571	Prag.g_00612
OG0000558	Prbj.g_02573	Prag.g_00613
OG0000559	Prbj.g_02574	Prag.g_00614
OG0000560	Prbj.g_02576	Prag.g_00616
OG0000561	Prbj.g_02577	Prag.g_00617
OG0000562	Prbj.g_02579	Prag.g_00618
