Orthogroup	Prbn	Prav
OG0000148	Prbn.g_00897	Prav.g_01656
OG0000149	Prbn.g_01742	Prav.g_01759
OG0000150	Prbn.g_01782	Prav.g_01797
OG0000151	Prbn.g_01785	Prav.g_01800
OG0000152	Prbn.g_01805	Prav.g_00264
OG0000153	Prbn.g_01839	Prav.g_00591
OG0000154	Prbn.g_01875	Prav.g_00627
OG0000155	Prbn.g_01894	Prav.g_00645
OG0000156	Prbn.g_01012	Prav.g_00674
OG0000157	Prbn.g_00978	Prav.g_00706
OG0000158	Prbn.g_00913	Prav.g_00768
OG0000160	Prbn.g_00301	Prav.g_00787
OG0000161	Prbn.g_00302	Prav.g_00788
OG0000162	Prbn.g_00010	Prav.g_00790
OG0000163	Prbn.g_00009	Prav.g_00791
OG0000164	Prbn.g_00008	Prav.g_00792
OG0000165	Prbn.g_00007	Prav.g_00793
OG0000166	Prbn.g_00006	Prav.g_00794
OG0000167	Prbn.g_00005	Prav.g_00795
OG0000168	Prbn.g_00004	Prav.g_00078
OG0000169	Prbn.g_00001	Prav.g_00080
OG0000170	Prbn.g_00768	Prav.g_00082
OG0000171	Prbn.g_00767	Prav.g_00083
OG0000172	Prbn.g_00766	Prav.g_00084
OG0000173	Prbn.g_00765	Prav.g_00085
OG0000174	Prbn.g_00764	Prav.g_00086
OG0000175	Prbn.g_00763	Prav.g_00087
OG0000176	Prbn.g_00762	Prav.g_00088
OG0000177	Prbn.g_00761	Prav.g_00089
OG0000178	Prbn.g_00760	Prav.g_00090
OG0000179	Prbn.g_00758	Prav.g_00092
OG0000180	Prbn.g_00757	Prav.g_00093
OG0000181	Prbn.g_00756	Prav.g_00094
OG0000182	Prbn.g_00755	Prav.g_00095
OG0000183	Prbn.g_00754	Prav.g_00096
OG0000184	Prbn.g_00752	Prav.g_00097
OG0000185	Prbn.g_00749	Prav.g_00100
OG0000186	Prbn.g_00746	Prav.g_00103
OG0000187	Prbn.g_00745	Prav.g_00104
OG0000188	Prbn.g_00744	Prav.g_00105
OG0000189	Prbn.g_00742	Prav.g_00111
OG0000190	Prbn.g_00740	Prav.g_00113
OG0000191	Prbn.g_00738	Prav.g_00114
OG0000192	Prbn.g_00737	Prav.g_00115
OG0000193	Prbn.g_00736	Prav.g_00116
OG0000194	Prbn.g_00733	Prav.g_00117
OG0000195	Prbn.g_00732	Prav.g_00118
OG0000196	Prbn.g_00731	Prav.g_00119
OG0000197	Prbn.g_00729	Prav.g_00121
OG0000198	Prbn.g_00728	Prav.g_00122
OG0000199	Prbn.g_00726	Prav.g_00123
OG0000200	Prbn.g_00714	Prav.g_00129
OG0000201	Prbn.g_00713	Prav.g_00130
OG0000202	Prbn.g_00712	Prav.g_00131
OG0000203	Prbn.g_00708	Prav.g_00134
OG0000204	Prbn.g_00707	Prav.g_00135
OG0000205	Prbn.g_00704	Prav.g_00138
OG0000206	Prbn.g_00702	Prav.g_00140
OG0000207	Prbn.g_01343	Prav.g_00142
OG0000208	Prbn.g_01342	Prav.g_00143
OG0000209	Prbn.g_01034	Prav.g_00144
OG0000210	Prbn.g_01341	Prav.g_00145
OG0000211	Prbn.g_01340	Prav.g_00146
OG0000212	Prbn.g_01339	Prav.g_00147
OG0000213	Prbn.g_01338	Prav.g_00148
OG0000214	Prbn.g_01337	Prav.g_00149
OG0000215	Prbn.g_01336	Prav.g_00150
OG0000216	Prbn.g_01335	Prav.g_00151
OG0000217	Prbn.g_01333	Prav.g_00153
OG0000218	Prbn.g_01332	Prav.g_00154
OG0000219	Prbn.g_01331	Prav.g_00155
OG0000220	Prbn.g_01330	Prav.g_00156
OG0000221	Prbn.g_01327	Prav.g_00159
OG0000222	Prbn.g_01326	Prav.g_00160
OG0000223	Prbn.g_01325	Prav.g_00161
OG0000224	Prbn.g_01323	Prav.g_00162
OG0000225	Prbn.g_01322	Prav.g_00163
OG0000226	Prbn.g_01321	Prav.g_00164
OG0000227	Prbn.g_01319	Prav.g_00165
OG0000228	Prbn.g_01318	Prav.g_00166
OG0000229	Prbn.g_01317	Prav.g_00167
OG0000230	Prbn.g_01316	Prav.g_00168
OG0000231	Prbn.g_01315	Prav.g_00169
OG0000232	Prbn.g_01314	Prav.g_00171
OG0000233	Prbn.g_01312	Prav.g_00172
OG0000234	Prbn.g_01311	Prav.g_00173
OG0000235	Prbn.g_01310	Prav.g_00174
OG0000236	Prbn.g_01307	Prav.g_00175
OG0000237	Prbn.g_01306	Prav.g_00176
OG0000238	Prbn.g_01305	Prav.g_00177
