Orthogroup	Syar	Prav
OG0000123	Syar.g_01079	Prav.g_00639
OG0000124	Syar.g_00586	Prav.g_00705
OG0000125	Syar.g_00338	Prav.g_00741
OG0000126	Syar.g_00887, Syar.g_00888	Prav.g_00781
OG0000128	Syar.g_00482	Prav.g_00079
OG0000129	Syar.g_00324	Prav.g_00115
OG0000130	Syar.g_03040	Prav.g_00134
OG0000131	Syar.g_02216, Syar.g_00078	Prav.g_00212
OG0000132	Syar.g_00099	Prav.g_00874
OG0000133	Syar.g_02543	Prav.g_01968
OG0000134	Syar.g_02009, Syar.g_01165	Prav.g_00976
OG0000135	Syar.g_00698	Prav.g_00999
OG0000136	Syar.g_02874	Prav.g_01040
OG0000137	Syar.g_01273	Prav.g_01073
OG0000138	Syar.g_01486	Prav.g_01093
OG0000139	Syar.g_03245, Syar.g_02348	Prav.g_01135
OG0000140	Syar.g_02344, Syar.g_03246	Prav.g_01136
OG0000141	Syar.g_02129	Prav.g_01203
OG0000142	Syar.g_02418	Prav.g_01233
OG0000143	Syar.g_02422	Prav.g_01237
OG0000144	Syar.g_02441	Prav.g_01250
OG0000145	Syar.g_01494, Syar.g_03205	Prav.g_00362
OG0000146	Syar.g_02549	Prav.g_00365
OG0000147	Syar.g_02550	Prav.g_00366
OG0000148	Syar.g_02658	Prav.g_00413
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Prav.g_00443
OG0000150	Syar.g_02130	Prav.g_00451
OG0000151	Syar.g_02038	Prav.g_00509
OG0000152	Syar.g_02539	Prav.g_00556
OG0000153	Syar.g_03283, Syar.g_02503	Prav.g_00575
OG0000154	Syar.g_01800	Prav.g_00907
OG0000155	Syar.g_01959	Prav.g_01861
OG0000156	Syar.g_01517	Prav.g_01427
OG0000157	Syar.g_01516	Prav.g_01428
OG0000158	Syar.g_00650	Prav.g_01505
OG0000160	Syar.g_02807	Prav.g_01579
OG0000161	Syar.g_02801	Prav.g_01585
OG0000162	Syar.g_02863	Prav.g_01591
OG0000163	Syar.g_00639, Syar.g_01186	Prav.g_01625
OG0000164	Syar.g_03168, Syar.g_02969	Prav.g_01785
OG0000165	Syar.g_02976	Prav.g_01792
OG0000166	Syar.g_01034	Prav.g_00596
OG0000167	Syar.g_00662	Prav.g_00663
OG0000168	Syar.g_00246	Prav.g_00673
OG0000169	Syar.g_00262	Prav.g_00683
OG0000170	Syar.g_00613	Prav.g_00685
OG0000171	Syar.g_00587	Prav.g_00704
OG0000172	Syar.g_00547	Prav.g_00712
OG0000173	Syar.g_00528	Prav.g_00727
OG0000174	Syar.g_00701	Prav.g_00755
OG0000175	Syar.g_00438	Prav.g_00765
OG0000176	Syar.g_00474	Prav.g_00790
OG0000177	Syar.g_00475	Prav.g_00791
OG0000178	Syar.g_00476	Prav.g_00792
OG0000179	Syar.g_00489	Prav.g_00084
OG0000180	Syar.g_00490	Prav.g_00085
OG0000181	Syar.g_00491	Prav.g_00086
OG0000182	Syar.g_00492	Prav.g_00087
OG0000183	Syar.g_00496	Prav.g_00091
OG0000184	Syar.g_00897	Prav.g_00117
OG0000185	Syar.g_00909	Prav.g_00120
OG0000186	Syar.g_03036	Prav.g_00129
OG0000187	Syar.g_03038	Prav.g_00130
OG0000188	Syar.g_03058	Prav.g_00147
OG0000189	Syar.g_03104	Prav.g_00161
OG0000190	Syar.g_03107, Syar.g_02374	Prav.g_00162
OG0000191	Syar.g_00039	Prav.g_00182
OG0000192	Syar.g_00046	Prav.g_00186
OG0000193	Syar.g_00079	Prav.g_00213
OG0000194	Syar.g_03236, Syar.g_00082	Prav.g_00216
OG0000195	Syar.g_00023, Syar.g_00084	Prav.g_00887
OG0000196	Syar.g_00096	Prav.g_00877
OG0000197	Syar.g_00097	Prav.g_00876
OG0000198	Syar.g_00098	Prav.g_00875
OG0000199	Syar.g_00106	Prav.g_00868
OG0000200	Syar.g_00124	Prav.g_00854
OG0000201	Syar.g_01000	Prav.g_00846
OG0000202	Syar.g_00998, Syar.g_00021	Prav.g_00845
OG0000203	Syar.g_00020, Syar.g_00997	Prav.g_00844
OG0000204	Syar.g_00996	Prav.g_00843
OG0000205	Syar.g_00988	Prav.g_00836
OG0000206	Syar.g_00963	Prav.g_00831
OG0000207	Syar.g_00957	Prav.g_00829
OG0000208	Syar.g_00956	Prav.g_00828
OG0000209	Syar.g_00936, Syar.g_03261	Prav.g_00819
OG0000210	Syar.g_00935, Syar.g_03260	Prav.g_00818
OG0000211	Syar.g_03026	Prav.g_00805
OG0000212	Syar.g_03017	Prav.g_00798
OG0000213	Syar.g_00187	Prav.g_01904
OG0000214	Syar.g_00209	Prav.g_01914
OG0000215	Syar.g_00239	Prav.g_01938
OG0000216	Syar.g_00244	Prav.g_01940
OG0000217	Syar.g_00854	Prav.g_01943
OG0000218	Syar.g_00852	Prav.g_01945
OG0000219	Syar.g_00851	Prav.g_01946
OG0000220	Syar.g_00850, Syar.g_02026	Prav.g_01947
OG0000221	Syar.g_00834	Prav.g_01948
OG0000222	Syar.g_02119, Syar.g_00728	Prav.g_01956
OG0000223	Syar.g_00649	Prav.g_01969
OG0000224	Syar.g_00762, Syar.g_00273	Prav.g_01971
OG0000225	Syar.g_01142	Prav.g_01992
OG0000226	Syar.g_01146	Prav.g_01996
OG0000227	Syar.g_01148	Prav.g_01998
OG0000228	Syar.g_01161	Prav.g_00974
OG0000229	Syar.g_01177, Syar.g_03273	Prav.g_01035
OG0000230	Syar.g_01179, Syar.g_03275	Prav.g_01037
OG0000231	Syar.g_02865, Syar.g_03151	Prav.g_01048
OG0000232	Syar.g_01424	Prav.g_01056
OG0000233	Syar.g_03183, Syar.g_01247	Prav.g_01061
OG0000234	Syar.g_01275	Prav.g_01074
OG0000235	Syar.g_01468	Prav.g_01077
OG0000236	Syar.g_03311, Syar.g_01484	Prav.g_01091
OG0000237	Syar.g_01503	Prav.g_01104
OG0000238	Syar.g_01508	Prav.g_01110
OG0000239	Syar.g_03277, Syar.g_02687	Prav.g_01123
OG0000240	Syar.g_03278, Syar.g_02686	Prav.g_01124
OG0000241	Syar.g_02410	Prav.g_01128
OG0000242	Syar.g_01926	Prav.g_01130
OG0000243	Syar.g_02335	Prav.g_01141, Prav.g_00954
OG0000244	Syar.g_02327	Prav.g_01144
OG0000245	Syar.g_02325, Syar.g_03238	Prav.g_01146
OG0000246	Syar.g_02321	Prav.g_01150
OG0000247	Syar.g_02310	Prav.g_01160
OG0000248	Syar.g_02307, Syar.g_03293	Prav.g_01162
OG0000249	Syar.g_02305	Prav.g_01164
OG0000250	Syar.g_02299, Syar.g_03194	Prav.g_01169
OG0000251	Syar.g_03207, Syar.g_02194	Prav.g_01187
OG0000252	Syar.g_02189, Syar.g_03263	Prav.g_01190
OG0000253	Syar.g_02028, Syar.g_03229	Prav.g_01191
OG0000254	Syar.g_02169	Prav.g_01207
OG0000255	Syar.g_00011, Syar.g_02224	Prav.g_01213
OG0000256	Syar.g_02244	Prav.g_01225
OG0000257	Syar.g_02407, Syar.g_01762	Prav.g_01228
OG0000258	Syar.g_02427, Syar.g_00010	Prav.g_01241
OG0000259	Syar.g_02472	Prav.g_01258
OG0000260	Syar.g_03220, Syar.g_02475	Prav.g_01261
OG0000261	Syar.g_01916	Prav.g_01263
OG0000262	Syar.g_01690	Prav.g_01267
OG0000263	Syar.g_01991	Prav.g_01279
OG0000264	Syar.g_02135, Syar.g_03267	Prav.g_01289
OG0000266	Syar.g_01570	Prav.g_00316
OG0000267	Syar.g_01873	Prav.g_00327
OG0000268	Syar.g_02589	Prav.g_00328
OG0000269	Syar.g_02634	Prav.g_00392
OG0000270	Syar.g_00744, Syar.g_02637	Prav.g_00395
OG0000271	Syar.g_02645	Prav.g_00403
OG0000272	Syar.g_02646	Prav.g_00404
OG0000273	Syar.g_02481, Syar.g_00008	Prav.g_00427
OG0000274	Syar.g_00009, Syar.g_02482	Prav.g_00428
OG0000275	Syar.g_01810	Prav.g_00430
OG0000276	Syar.g_01817	Prav.g_00435
OG0000277	Syar.g_01818, Syar.g_03242	Prav.g_00436
OG0000278	Syar.g_01821, Syar.g_03174	Prav.g_00439
OG0000279	Syar.g_01838	Prav.g_00446
OG0000280	Syar.g_02067, Syar.g_00734	Prav.g_00447
OG0000281	Syar.g_02218	Prav.g_00452
OG0000282	Syar.g_01614, Syar.g_03255	Prav.g_00501
OG0000283	Syar.g_02574	Prav.g_00533
OG0000284	Syar.g_03258, Syar.g_02568	Prav.g_00538
OG0000285	Syar.g_02560	Prav.g_00543
OG0000286	Syar.g_02540	Prav.g_00555
OG0000287	Syar.g_02512	Prav.g_00572
OG0000288	Syar.g_01801	Prav.g_00906
OG0000289	Syar.g_03305, Syar.g_01786	Prav.g_00917
OG0000290	Syar.g_01928	Prav.g_00930
OG0000291	Syar.g_01930	Prav.g_00932
OG0000292	Syar.g_00463	Prav.g_00261
OG0000293	Syar.g_03297, Syar.g_01526	Prav.g_00056
OG0000294	Syar.g_01527, Syar.g_03296	Prav.g_00057
OG0000295	Syar.g_01951, Syar.g_03208	Prav.g_00077
OG0000296	Syar.g_01953	Prav.g_01867
OG0000297	Syar.g_01967, Syar.g_03216	Prav.g_01859
OG0000298	Syar.g_01968, Syar.g_03215	Prav.g_01858
OG0000299	Syar.g_01704	Prav.g_01841
OG0000300	Syar.g_01646, Syar.g_01711	Prav.g_01838
OG0000301	Syar.g_01712	Prav.g_00955, Prav.g_01837
OG0000302	Syar.g_01713	Prav.g_01835
OG0000303	Syar.g_03136, Syar.g_01723	Prav.g_01828
OG0000304	Syar.g_01728	Prav.g_01824
OG0000305	Syar.g_01933, Syar.g_03163	Prav.g_01465
OG0000306	Syar.g_01884, Syar.g_03140	Prav.g_01468
OG0000307	Syar.g_01452, Syar.g_03153	Prav.g_01482
OG0000308	Syar.g_01450	Prav.g_01483
OG0000309	Syar.g_01239	Prav.g_01487
OG0000310	Syar.g_02826	Prav.g_01563
OG0000311	Syar.g_02823	Prav.g_01565
OG0000312	Syar.g_00015, Syar.g_02818	Prav.g_01568
OG0000313	Syar.g_02804	Prav.g_01582
OG0000314	Syar.g_01403	Prav.g_01605
OG0000315	Syar.g_01393	Prav.g_01615
OG0000316	Syar.g_02885	Prav.g_01635
