Orthogroup	Prad	Prbm
OG0000223	Prad.g_01668	Prbm.g_00378
OG0000224	Prad.g_01666	Prbm.g_00380
OG0000225	Prad.g_01645	Prbm.g_00411
OG0000226	Prad.g_00761	Prbm.g_00415
OG0000227	Prad.g_00759	Prbm.g_00417
OG0000228	Prad.g_00756	Prbm.g_00422
OG0000229	Prad.g_00666	Prbm.g_00446
OG0000230	Prad.g_00069	Prbm.g_00448
OG0000231	Prad.g_00058	Prbm.g_00459
OG0000232	Prad.g_00049	Prbm.g_00484
OG0000233	Prad.g_00043	Prbm.g_00492
OG0000234	Prad.g_00031	Prbm.g_00501
OG0000235	Prad.g_00028	Prbm.g_00505
OG0000236	Prad.g_00014	Prbm.g_00518
OG0000237	Prad.g_00123	Prbm.g_00540
OG0000238	Prad.g_00117	Prbm.g_00546
OG0000239	Prad.g_00104	Prbm.g_00558
OG0000240	Prad.g_00103	Prbm.g_00559
OG0000241	Prad.g_00099	Prbm.g_00563
OG0000242	Prad.g_00097	Prbm.g_00565
OG0000243	Prad.g_01333	Prbm.g_00576
OG0000244	Prad.g_01336	Prbm.g_00579
OG0000245	Prad.g_01338	Prbm.g_00581
OG0000246	Prad.g_01342	Prbm.g_00585
OG0000247	Prad.g_01352	Prbm.g_00595
OG0000248	Prad.g_01354	Prbm.g_00597
OG0000249	Prad.g_01356	Prbm.g_00599
OG0000250	Prad.g_01361	Prbm.g_00604
OG0000251	Prad.g_01380	Prbm.g_00620
OG0000252	Prad.g_01383	Prbm.g_00623
OG0000253	Prad.g_01384	Prbm.g_00625
OG0000254	Prad.g_01400	Prbm.g_00642
OG0000255	Prad.g_01406	Prbm.g_00648
OG0000256	Prad.g_01416	Prbm.g_00658
OG0000257	Prad.g_01419	Prbm.g_00661
OG0000258	Prad.g_01432	Prbm.g_00674
OG0000259	Prad.g_01234	Prbm.g_00691
OG0000260	Prad.g_01237	Prbm.g_00694
OG0000261	Prad.g_01239	Prbm.g_00697
OG0000262	Prad.g_01243	Prbm.g_00702
OG0000263	Prad.g_01255	Prbm.g_00716
OG0000264	Prad.g_01265	Prbm.g_00728
OG0000265	Prad.g_01049	Prbm.g_00742
OG0000266	Prad.g_01059	Prbm.g_00752
OG0000267	Prad.g_01070	Prbm.g_00765
OG0000268	Prad.g_01071	Prbm.g_00766
OG0000269	Prad.g_01141	Prbm.g_00809
OG0000270	Prad.g_01144	Prbm.g_00812
OG0000271	Prad.g_01152	Prbm.g_00820
OG0000272	Prad.g_01153	Prbm.g_00821
OG0000273	Prad.g_01176	Prbm.g_00845
OG0000274	Prad.g_01177	Prbm.g_00846
OG0000275	Prad.g_01180	Prbm.g_00848
OG0000276	Prad.g_01185	Prbm.g_00854
OG0000277	Prad.g_00308	Prbm.g_00855
OG0000278	Prad.g_00305	Prbm.g_00858
OG0000279	Prad.g_00298	Prbm.g_00865
OG0000281	Prad.g_00292	Prbm.g_00871
OG0000282	Prad.g_00243	Prbm.g_00931
OG0000283	Prad.g_00209	Prbm.g_00962
OG0000284	Prad.g_00204	Prbm.g_00967
OG0000285	Prad.g_00199	Prbm.g_00972
OG0000286	Prad.g_00187	Prbm.g_00987
OG0000287	Prad.g_00170	Prbm.g_00102
OG0000288	Prad.g_00140	Prbm.g_01034
OG0000289	Prad.g_01035	Prbm.g_01045
OG0000290	Prad.g_01021	Prbm.g_01061
OG0000291	Prad.g_01019	Prbm.g_01063
OG0000292	Prad.g_00972	Prbm.g_01210
OG0000293	Prad.g_01505	Prbm.g_01559
OG0000294	Prad.g_01504	Prbm.g_01558
OG0000295	Prad.g_01484	Prbm.g_01534
OG0000296	Prad.g_01482	Prbm.g_01532
OG0000297	Prad.g_01474	Prbm.g_01524
OG0000298	Prad.g_01473	Prbm.g_01523
OG0000299	Prad.g_01455	Prbm.g_01503
OG0000300	Prad.g_01452	Prbm.g_01500
OG0000301	Prad.g_01451	Prbm.g_01499
OG0000302	Prad.g_01449	Prbm.g_01497
OG0000303	Prad.g_01442	Prbm.g_01492
OG0000304	Prad.g_01438	Prbm.g_01489
OG0000305	Prad.g_00602	Prbm.g_01812
OG0000306	Prad.g_00599	Prbm.g_00875
OG0000307	Prad.g_00585	Prbm.g_01669
OG0000308	Prad.g_00584	Prbm.g_01670
OG0000309	Prad.g_00580	Prbm.g_01674
OG0000310	Prad.g_00530	Prbm.g_01694
OG0000311	Prad.g_00528	Prbm.g_01696
OG0000312	Prad.g_00525	Prbm.g_01699
OG0000313	Prad.g_00511	Prbm.g_01714
OG0000314	Prad.g_00487	Prbm.g_01735
OG0000315	Prad.g_00477	Prbm.g_01745
OG0000316	Prad.g_00457	Prbm.g_01770
OG0000317	Prad.g_00943	Prbm.g_01839
OG0000318	Prad.g_00940	Prbm.g_01842
OG0000319	Prad.g_00927	Prbm.g_01853
OG0000320	Prad.g_00925	Prbm.g_01855
OG0000321	Prad.g_00924	Prbm.g_01856
OG0000322	Prad.g_00923	Prbm.g_01857
OG0000323	Prad.g_00914	Prbm.g_01866
OG0000324	Prad.g_00887	Prbm.g_01893
OG0000325	Prad.g_00878	Prbm.g_01950
OG0000326	Prad.g_00872	Prbm.g_01956
OG0000327	Prad.g_00848	Prbm.g_01991
OG0000328	Prad.g_00847	Prbm.g_01992
OG0000329	Prad.g_00830	Prbm.g_02009
OG0000330	Prad.g_00829	Prbm.g_02010
OG0000331	Prad.g_00828	Prbm.g_02011
OG0000332	Prad.g_00814	Prbm.g_02025
OG0000333	Prad.g_00812	Prbm.g_02027
OG0000334	Prad.g_00804	Prbm.g_02036
OG0000335	Prad.g_00799	Prbm.g_02041
OG0000336	Prad.g_00795	Prbm.g_02045
