Orthogroup	Praj	Praq
OG0000267	Praj.g_00195	Praq.g_01847
OG0000268	Praj.g_00196	Praq.g_01846
OG0000269	Praj.g_00198	Praq.g_01844
OG0000270	Praj.g_00199	Praq.g_01843
OG0000271	Praj.g_00200	Praq.g_01842
OG0000272	Praj.g_00201	Praq.g_01841
OG0000273	Praj.g_00202	Praq.g_01840
OG0000274	Praj.g_00203	Praq.g_01839
OG0000275	Praj.g_00204	Praq.g_01838
OG0000276	Praj.g_00205	Praq.g_01837
OG0000277	Praj.g_00207	Praq.g_01835
OG0000278	Praj.g_00208	Praq.g_01834
OG0000279	Praj.g_00209	Praq.g_01833
OG0000280	Praj.g_00211	Praq.g_01831
OG0000281	Praj.g_00212	Praq.g_01829
OG0000282	Praj.g_00213	Praq.g_01828
OG0000283	Praj.g_00214	Praq.g_01827
OG0000284	Praj.g_00215	Praq.g_01826
OG0000285	Praj.g_00216	Praq.g_01825
OG0000286	Praj.g_00217	Praq.g_01824
OG0000287	Praj.g_00218	Praq.g_01823
OG0000288	Praj.g_00220	Praq.g_01821
OG0000289	Praj.g_00221	Praq.g_01820
OG0000290	Praj.g_00222	Praq.g_01819
OG0000291	Praj.g_00224	Praq.g_01817
OG0000292	Praj.g_00226	Praq.g_01816
OG0000293	Praj.g_00227	Praq.g_01815
OG0000294	Praj.g_00228	Praq.g_01814
OG0000295	Praj.g_00229	Praq.g_01813
OG0000296	Praj.g_00230	Praq.g_01812
OG0000297	Praj.g_00231	Praq.g_01811
OG0000298	Praj.g_00233	Praq.g_01809
OG0000299	Praj.g_00234	Praq.g_01808
OG0000300	Praj.g_00235	Praq.g_01807
OG0000301	Praj.g_00236	Praq.g_01806
OG0000302	Praj.g_00237	Praq.g_01805
OG0000303	Praj.g_00238	Praq.g_01804
OG0000304	Praj.g_00240	Praq.g_01802
OG0000305	Praj.g_00241	Praq.g_01801
OG0000306	Praj.g_00243	Praq.g_01798
OG0000307	Praj.g_00244	Praq.g_01797
OG0000308	Praj.g_00245	Praq.g_01796
OG0000309	Praj.g_00246	Praq.g_01795
OG0000310	Praj.g_00247	Praq.g_01794
OG0000311	Praj.g_00248	Praq.g_01793
OG0000312	Praj.g_00249	Praq.g_01792
OG0000313	Praj.g_00250	Praq.g_01791
OG0000314	Praj.g_00251	Praq.g_01790
OG0000315	Praj.g_00252	Praq.g_01789
OG0000316	Praj.g_00253	Praq.g_01788
OG0000317	Praj.g_00254	Praq.g_01787
OG0000318	Praj.g_00255	Praq.g_01786
OG0000319	Praj.g_00256	Praq.g_01785
OG0000320	Praj.g_00257	Praq.g_01784
OG0000321	Praj.g_00258	Praq.g_01783
OG0000322	Praj.g_00259	Praq.g_01782
OG0000323	Praj.g_00260	Praq.g_01781
OG0000324	Praj.g_00261	Praq.g_01780
OG0000325	Praj.g_00262	Praq.g_01779
OG0000326	Praj.g_00263	Praq.g_01778
OG0000327	Praj.g_00264	Praq.g_01777
OG0000328	Praj.g_00265	Praq.g_01776
OG0000329	Praj.g_00266	Praq.g_01775
OG0000330	Praj.g_00267	Praq.g_01774
OG0000331	Praj.g_00268	Praq.g_01773
OG0000332	Praj.g_00269	Praq.g_01772
OG0000333	Praj.g_00270	Praq.g_01771
OG0000334	Praj.g_00271	Praq.g_01770
OG0000335	Praj.g_00273	Praq.g_01769
OG0000336	Praj.g_00275	Praq.g_01767
OG0000337	Praj.g_00276	Praq.g_01766
OG0000338	Praj.g_00281	Praq.g_01762
OG0000339	Praj.g_00283	Praq.g_01760
OG0000340	Praj.g_00285	Praq.g_01758
OG0000341	Praj.g_00286	Praq.g_01757
OG0000342	Praj.g_00287	Praq.g_01756
OG0000343	Praj.g_00288	Praq.g_01755
OG0000344	Praj.g_00289	Praq.g_01752
OG0000345	Praj.g_00292	Praq.g_01750
OG0000346	Praj.g_00293	Praq.g_01749
OG0000347	Praj.g_00296	Praq.g_01746
OG0000348	Praj.g_00297	Praq.g_01744
OG0000349	Praj.g_00298	Praq.g_01743
OG0000350	Praj.g_00299	Praq.g_01741
OG0000351	Praj.g_00300	Praq.g_01740
OG0000352	Praj.g_00301	Praq.g_01739
OG0000353	Praj.g_00302	Praq.g_01738
OG0000354	Praj.g_00303	Praq.g_01737
