Orthogroup	Prae	Syab
OG0000425	Prae.g_00180	Syab.g_02599
OG0000426	Prae.g_00181	Syab.g_02600
OG0000427	Prae.g_00182	Syab.g_02601
OG0000428	Prae.g_00184	Syab.g_02604
OG0000429	Prae.g_00185	Syab.g_02608
OG0000430	Prae.g_00186	Syab.g_02610
OG0000431	Prae.g_00188	Syab.g_02613
OG0000432	Prae.g_00191	Syab.g_02619
OG0000433	Prae.g_00192	Syab.g_02622
OG0000434	Prae.g_00193	Syab.g_02623
OG0000435	Prae.g_00194	Syab.g_02625
OG0000436	Prae.g_00199	Syab.g_02632
OG0000437	Prae.g_00200	Syab.g_02633
OG0000438	Prae.g_00201	Syab.g_02634
OG0000439	Prae.g_00203	Syab.g_02636
OG0000440	Prae.g_00204	Syab.g_02637
OG0000441	Prae.g_00207	Syab.g_02641
OG0000442	Prae.g_00208	Syab.g_02642
OG0000443	Prae.g_00209	Syab.g_02668
OG0000444	Prae.g_00214	Syab.g_02681
OG0000445	Prae.g_00215	Syab.g_02682
OG0000446	Prae.g_00216	Syab.g_02684
OG0000447	Prae.g_00217	Syab.g_02687
OG0000448	Prae.g_00218	Syab.g_02688
OG0000449	Prae.g_00219	Syab.g_02689
OG0000450	Prae.g_00220	Syab.g_02695
OG0000451	Prae.g_00221	Syab.g_02696
OG0000452	Prae.g_00224	Syab.g_02701
OG0000453	Prae.g_00225	Syab.g_02702
OG0000454	Prae.g_00226	Syab.g_02703
OG0000455	Prae.g_00227	Syab.g_02704
OG0000456	Prae.g_00228	Syab.g_02705
OG0000457	Prae.g_00229	Syab.g_02707
OG0000458	Prae.g_00230	Syab.g_02708
OG0000459	Prae.g_00231	Syab.g_02709
OG0000460	Prae.g_00238	Syab.g_02372
OG0000461	Prae.g_00245	Syab.g_00356
OG0000462	Prae.g_00247	Syab.g_00352
OG0000463	Prae.g_00248	Syab.g_00351
OG0000464	Prae.g_00249	Syab.g_00350
OG0000465	Prae.g_00250	Syab.g_00349
OG0000466	Prae.g_00253	Syab.g_00343
OG0000467	Prae.g_00254	Syab.g_00341
OG0000468	Prae.g_00256	Syab.g_00336
OG0000469	Prae.g_00265	Syab.g_00318
OG0000470	Prae.g_00267	Syab.g_00316
OG0000471	Prae.g_00268	Syab.g_00315
OG0000472	Prae.g_00269	Syab.g_00313
OG0000473	Prae.g_00271	Syab.g_00311
OG0000474	Prae.g_00272	Syab.g_00310
OG0000475	Prae.g_00273	Syab.g_00309
OG0000476	Prae.g_00274	Syab.g_00307
OG0000477	Prae.g_00276	Syab.g_00301
OG0000478	Prae.g_00277	Syab.g_00300
OG0000479	Prae.g_00278	Syab.g_00299
OG0000480	Prae.g_00283	Syab.g_00292
OG0000481	Prae.g_00285	Syab.g_00290
OG0000482	Prae.g_00286	Syab.g_00289
OG0000483	Prae.g_00289	Syab.g_00285
OG0000484	Prae.g_00290	Syab.g_00284
OG0000485	Prae.g_00291	Syab.g_00283
OG0000486	Prae.g_00292	Syab.g_00282
OG0000487	Prae.g_00296	Syab.g_00276
OG0000488	Prae.g_00299	Syab.g_00272
OG0000489	Prae.g_00304	Syab.g_00256
OG0000490	Prae.g_00309	Syab.g_00247
OG0000491	Prae.g_00310	Syab.g_00245
OG0000492	Prae.g_00312	Syab.g_00243
OG0000493	Prae.g_00313	Syab.g_00242
OG0000494	Prae.g_00314	Syab.g_00241
OG0000495	Prae.g_00315	Syab.g_00240
OG0000496	Prae.g_00316	Syab.g_00239
OG0000497	Prae.g_00317	Syab.g_00238
OG0000498	Prae.g_00318	Syab.g_00237
OG0000499	Prae.g_00319	Syab.g_00236
OG0000500	Prae.g_00320	Syab.g_00235
OG0000501	Prae.g_00322	Syab.g_00232
OG0000502	Prae.g_00325	Syab.g_00224
OG0000503	Prae.g_00335	Syab.g_00523
OG0000504	Prae.g_00336	Syab.g_00525
OG0000505	Prae.g_00337	Syab.g_00526
OG0000506	Prae.g_00338	Syab.g_00528
OG0000507	Prae.g_00341	Syab.g_00533
OG0000508	Prae.g_00344	Syab.g_00537
OG0000509	Prae.g_00346	Syab.g_00539
OG0000510	Prae.g_00347	Syab.g_00540
OG0000511	Prae.g_00348	Syab.g_00541
OG0000512	Prae.g_00350	Syab.g_00543
OG0000513	Prae.g_00357	Syab.g_00555
OG0000514	Prae.g_00405	Syab.g_00566
OG0000515	Prae.g_00406	Syab.g_00567
OG0000516	Prae.g_00407	Syab.g_00575
OG0000517	Prae.g_00409	Syab.g_00582
OG0000518	Prae.g_00420	Syab.g_00594
OG0000519	Prae.g_00421	Syab.g_00610
OG0000520	Prae.g_00422	Syab.g_00611
OG0000521	Prae.g_00427	Syab.g_00624
OG0000522	Prae.g_00429	Syab.g_00626
OG0000523	Prae.g_00430	Syab.g_00627
OG0000524	Prae.g_00435	Syab.g_00640
OG0000525	Prae.g_00438	Syab.g_00671
OG0000526	Prae.g_00439	Syab.g_00689
OG0000527	Prae.g_00447	Syab.g_00695
OG0000528	Prae.g_00452	Syab.g_02092
OG0000529	Prae.g_00455	Syab.g_02097
OG0000530	Prae.g_00458	Syab.g_02100
OG0000531	Prae.g_00459	Syab.g_02101
OG0000532	Prae.g_00461	Syab.g_02104
OG0000533	Prae.g_00462	Syab.g_02106
OG0000534	Prae.g_00463	Syab.g_02107
OG0000535	Prae.g_00464	Syab.g_02108
OG0000536	Prae.g_00465	Syab.g_02109
OG0000537	Prae.g_00466	Syab.g_02110
OG0000538	Prae.g_00474	Syab.g_02122
OG0000539	Prae.g_00475	Syab.g_02123
OG0000540	Prae.g_00476	Syab.g_02124
OG0000541	Prae.g_00477	Syab.g_02125
OG0000542	Prae.g_00479	Syab.g_02128
OG0000543	Prae.g_00481	Syab.g_02130
OG0000544	Prae.g_00482	Syab.g_02131
OG0000545	Prae.g_00484	Syab.g_02133
OG0000546	Prae.g_00487	Syab.g_02135
OG0000547	Prae.g_00489	Syab.g_02137
OG0000548	Prae.g_00490	Syab.g_02138
OG0000549	Prae.g_00492	Syab.g_02144
OG0000550	Prae.g_00497	Syab.g_02149
OG0000551	Prae.g_00501	Syab.g_02153
OG0000552	Prae.g_00502	Syab.g_02154
OG0000553	Prae.g_00503	Syab.g_02046
OG0000554	Prae.g_00509	Syab.g_02040
OG0000555	Prae.g_00517	Syab.g_02026
OG0000556	Prae.g_00519	Syab.g_02022
OG0000557	Prae.g_00520	Syab.g_02019
OG0000558	Prae.g_00522	Syab.g_02016
OG0000559	Prae.g_00526	Syab.g_02012
OG0000560	Prae.g_00529	Syab.g_02009
OG0000561	Prae.g_00530	Syab.g_02008
OG0000562	Prae.g_00531	Syab.g_02007
OG0000563	Prae.g_00532	Syab.g_02006
OG0000564	Prae.g_00533	Syab.g_02005
OG0000565	Prae.g_00536	Syab.g_02001
OG0000566	Prae.g_00538	Syab.g_01997
OG0000567	Prae.g_00542	Syab.g_01993
OG0000568	Prae.g_00543	Syab.g_01991
OG0000569	Prae.g_00544	Syab.g_01990
OG0000570	Prae.g_00545	Syab.g_01989
OG0000571	Prae.g_00547	Syab.g_01986
OG0000572	Prae.g_00560	Syab.g_01969
OG0000573	Prae.g_00566	Syab.g_01960
OG0000574	Prae.g_00567	Syab.g_01959
OG0000575	Prae.g_00571	Syab.g_01954
OG0000576	Prae.g_00573	Syab.g_01952
OG0000577	Prae.g_00574	Syab.g_01951
OG0000578	Prae.g_00575	Syab.g_01950
OG0000579	Prae.g_00576	Syab.g_01949
OG0000580	Prae.g_00577	Syab.g_01948
OG0000581	Prae.g_00579	Syab.g_01934
OG0000582	Prae.g_00582	Syab.g_01929
OG0000583	Prae.g_00583	Syab.g_01928
OG0000584	Prae.g_00584	Syab.g_01927
OG0000585	Prae.g_00586	Syab.g_01924
OG0000586	Prae.g_00587	Syab.g_01923
OG0000587	Prae.g_00588	Syab.g_01921
OG0000588	Prae.g_00592	Syab.g_01910
OG0000589	Prae.g_00595	Syab.g_01899
OG0000590	Prae.g_00596	Syab.g_01898
