Orthogroup	Prae	Prbc
OG0000120	Prae.g_01389	Prbc.g_01753
OG0000121	Prae.g_01461	Prbc.g_00711
OG0000122	Prae.g_01499	Prbc.g_00750
OG0000123	Prae.g_01766	Prbc.g_00277
OG0000124	Prae.g_01831	Prbc.g_00193
OG0000125	Prae.g_01867	Prbc.g_00997
OG0000126	Prae.g_01906	Prbc.g_01063
OG0000128	Prae.g_00011	Prbc.g_01081
OG0000129	Prae.g_00046	Prbc.g_01122
OG0000130	Prae.g_00069	Prbc.g_00504
OG0000131	Prae.g_00148	Prbc.g_00426
OG0000132	Prae.g_00167	Prbc.g_00407
OG0000133	Prae.g_00323	Prbc.g_01214
OG0000134	Prae.g_00356	Prbc.g_01270
OG0000135	Prae.g_00382	Prbc.g_02198, Prbc.g_02183
OG0000136	Prae.g_00415	Prbc.g_01502
OG0000137	Prae.g_00449	Prbc.g_01534
OG0000138	Prae.g_00469	Prbc.g_01554
OG0000139	Prae.g_00512	Prbc.g_01616
OG0000140	Prae.g_00513	Prbc.g_01617
OG0000141	Prae.g_00581	Prbc.g_01684
OG0000142	Prae.g_00609	Prbc.g_01712
OG0000143	Prae.g_00613	Prbc.g_01716
OG0000144	Prae.g_00626	Prbc.g_01729
OG0000145	Prae.g_00766	Prbc.g_02142
OG0000146	Prae.g_00771	Prbc.g_02027
OG0000147	Prae.g_00772	Prbc.g_02026
OG0000148	Prae.g_00822	Prbc.g_01876
OG0000149	Prae.g_00852	Prbc.g_01908
OG0000150	Prae.g_00860	Prbc.g_01916
OG0000151	Prae.g_00918	Prbc.g_01988
OG0000152	Prae.g_00964	Prbc.g_02036
OG0000153	Prae.g_00983	Prbc.g_02054
OG0000154	Prae.g_01014	Prbc.g_02083
OG0000155	Prae.g_01183	Prbc.g_01424
OG0000156	Prae.g_01317	Prbc.g_00555
OG0000157	Prae.g_01318	Prbc.g_00556
OG0000158	Prae.g_01426	Prbc.g_00228
OG0000160	Prae.g_01460	Prbc.g_00710
OG0000161	Prae.g_01466	Prbc.g_00716
OG0000162	Prae.g_01472	Prbc.g_00722
OG0000163	Prae.g_01506	Prbc.g_00758
OG0000164	Prae.g_01647	Prbc.g_00854
OG0000165	Prae.g_01654	Prbc.g_00862
OG0000166	Prae.g_01722	Prbc.g_00321
OG0000167	Prae.g_01789	Prbc.g_00238
OG0000168	Prae.g_01799	Prbc.g_00227
OG0000169	Prae.g_01809	Prbc.g_00217
OG0000170	Prae.g_01811	Prbc.g_00215
OG0000171	Prae.g_01830	Prbc.g_00194
OG0000172	Prae.g_01838	Prbc.g_00967
OG0000173	Prae.g_01853	Prbc.g_00982
OG0000174	Prae.g_01881	Prbc.g_01013
OG0000175	Prae.g_01891	Prbc.g_01044
OG0000176	Prae.g_00004	Prbc.g_01074
OG0000177	Prae.g_00005	Prbc.g_01075
OG0000178	Prae.g_00006	Prbc.g_01076
OG0000179	Prae.g_00016	Prbc.g_01086
OG0000180	Prae.g_00017	Prbc.g_01087
OG0000181	Prae.g_00018	Prbc.g_01088
OG0000182	Prae.g_00019	Prbc.g_01089
OG0000183	Prae.g_00023	Prbc.g_01093
OG0000184	Prae.g_00048	Prbc.g_01124
OG0000185	Prae.g_00051	Prbc.g_01127
OG0000186	Prae.g_00064	Prbc.g_00509
OG0000187	Prae.g_00065	Prbc.g_00508
OG0000188	Prae.g_00082	Prbc.g_00491
OG0000189	Prae.g_00096	Prbc.g_00477
OG0000190	Prae.g_00097	Prbc.g_00476
OG0000191	Prae.g_00117	Prbc.g_00453
OG0000192	Prae.g_00121	Prbc.g_00449
OG0000193	Prae.g_00149	Prbc.g_00425
OG0000194	Prae.g_00152	Prbc.g_00422
OG0000195	Prae.g_00154	Prbc.g_00420
OG0000196	Prae.g_00164	Prbc.g_00410
OG0000197	Prae.g_00165	Prbc.g_00409
OG0000198	Prae.g_00166	Prbc.g_00408
OG0000199	Prae.g_00173	Prbc.g_00401
OG0000200	Prae.g_00187	Prbc.g_00388
OG0000201	Prae.g_00195	Prbc.g_00379
OG0000202	Prae.g_00196	Prbc.g_00378
OG0000203	Prae.g_00197	Prbc.g_00377
OG0000204	Prae.g_00198	Prbc.g_00376
OG0000205	Prae.g_00205	Prbc.g_00369
OG0000206	Prae.g_00210	Prbc.g_00365
OG0000207	Prae.g_00212	Prbc.g_00363
OG0000208	Prae.g_00213	Prbc.g_00362
OG0000209	Prae.g_00222	Prbc.g_00352
OG0000210	Prae.g_00223	Prbc.g_00351
OG0000211	Prae.g_00236	Prbc.g_00337
OG0000212	Prae.g_00243	Prbc.g_00329
OG0000213	Prae.g_00260	Prbc.g_01153
OG0000214	Prae.g_00270	Prbc.g_01161
OG0000215	Prae.g_00293	Prbc.g_01185
OG0000216	Prae.g_00295	Prbc.g_01186
OG0000217	Prae.g_00298	Prbc.g_01189
OG0000218	Prae.g_00300	Prbc.g_01191
OG0000219	Prae.g_00301	Prbc.g_01192
OG0000220	Prae.g_00302	Prbc.g_01193
OG0000221	Prae.g_00303	Prbc.g_01194
OG0000222	Prae.g_00311	Prbc.g_01202
OG0000223	Prae.g_00324	Prbc.g_01215
OG0000224	Prae.g_00326	Prbc.g_01217
OG0000225	Prae.g_00345	Prbc.g_01257
OG0000226	Prae.g_00349	Prbc.g_01261
OG0000227	Prae.g_00351	Prbc.g_01263
OG0000228	Prae.g_00354	Prbc.g_01267
OG0000229	Prae.g_00410	Prbc.g_01497
OG0000230	Prae.g_00412	Prbc.g_01499
OG0000231	Prae.g_00423	Prbc.g_01510
OG0000232	Prae.g_00432	Prbc.g_01518
OG0000233	Prae.g_00437	Prbc.g_01526
OG0000234	Prae.g_00450	Prbc.g_01535
OG0000235	Prae.g_00453	Prbc.g_01539
OG0000236	Prae.g_00467	Prbc.g_01552
OG0000237	Prae.g_00480	Prbc.g_01586
OG0000238	Prae.g_00486	Prbc.g_01592
OG0000239	Prae.g_00499	Prbc.g_01604
OG0000240	Prae.g_00500	Prbc.g_01605
OG0000241	Prae.g_00504	Prbc.g_01609
OG0000242	Prae.g_00506	Prbc.g_01611
OG0000243	Prae.g_00518	Prbc.g_01622
OG0000244	Prae.g_00521	Prbc.g_01626
OG0000245	Prae.g_00523	Prbc.g_01628
OG0000246	Prae.g_00527	Prbc.g_01632
OG0000247	Prae.g_00537	Prbc.g_01642
OG0000248	Prae.g_00539	Prbc.g_01644
OG0000249	Prae.g_00541	Prbc.g_01646
OG0000250	Prae.g_00546	Prbc.g_01651
OG0000251	Prae.g_00565	Prbc.g_01667
OG0000252	Prae.g_00568	Prbc.g_01669
OG0000253	Prae.g_00569	Prbc.g_01671
OG0000254	Prae.g_00585	Prbc.g_01688
OG0000255	Prae.g_00591	Prbc.g_01694
OG0000256	Prae.g_00601	Prbc.g_01704
OG0000257	Prae.g_00604	Prbc.g_01707
OG0000258	Prae.g_00617	Prbc.g_01720
OG0000259	Prae.g_00634	Prbc.g_01737
OG0000260	Prae.g_00637	Prbc.g_01740
OG0000261	Prae.g_00639	Prbc.g_01743
OG0000262	Prae.g_00643	Prbc.g_01748
OG0000263	Prae.g_00655	Prbc.g_01762
OG0000264	Prae.g_00665	Prbc.g_01773
OG0000265	Prae.g_00711	Prbc.g_01787
OG0000266	Prae.g_00721	Prbc.g_01797
OG0000267	Prae.g_00732	Prbc.g_01810
OG0000268	Prae.g_00733	Prbc.g_01811
OG0000269	Prae.g_00801	Prbc.g_01853
OG0000270	Prae.g_00804	Prbc.g_01856
OG0000271	Prae.g_00812	Prbc.g_01864
OG0000272	Prae.g_00813	Prbc.g_01865
OG0000273	Prae.g_00836	Prbc.g_01890
OG0000274	Prae.g_00837	Prbc.g_01891
OG0000275	Prae.g_00839	Prbc.g_01893
OG0000276	Prae.g_00844	Prbc.g_01899
OG0000277	Prae.g_00845	Prbc.g_01900
OG0000278	Prae.g_00848	Prbc.g_01904
OG0000279	Prae.g_00855	Prbc.g_01911
OG0000280	Prae.g_00856	Prbc.g_00068
OG0000281	Prae.g_00861	Prbc.g_01917
OG0000282	Prae.g_00910	Prbc.g_01979
OG0000283	Prae.g_00941	Prbc.g_02010
OG0000284	Prae.g_00946	Prbc.g_02015
OG0000285	Prae.g_00951	Prbc.g_02020
OG0000286	Prae.g_00963	Prbc.g_02035
OG0000287	Prae.g_00980	Prbc.g_02190
OG0000288	Prae.g_01013	Prbc.g_02082
OG0000289	Prae.g_01024	Prbc.g_02094
OG0000290	Prae.g_01037	Prbc.g_02110
OG0000291	Prae.g_01039	Prbc.g_02112
OG0000292	Prae.g_01090	Prbc.g_00173
OG0000293	Prae.g_01154	Prbc.g_01456
OG0000294	Prae.g_01155	Prbc.g_01455
OG0000295	Prae.g_01175	Prbc.g_01431
OG0000296	Prae.g_01177	Prbc.g_01429
OG0000297	Prae.g_01185	Prbc.g_01421
OG0000298	Prae.g_01186	Prbc.g_01420
OG0000299	Prae.g_01203	Prbc.g_01401
OG0000300	Prae.g_01206	Prbc.g_01398
OG0000301	Prae.g_01207	Prbc.g_01397
OG0000302	Prae.g_01209	Prbc.g_01395
OG0000303	Prae.g_01216	Prbc.g_01390
OG0000304	Prae.g_01220	Prbc.g_01387
OG0000305	Prae.g_01360	Prbc.g_00810
OG0000306	Prae.g_01363	Prbc.g_01921
OG0000307	Prae.g_01377	Prbc.g_00666
OG0000308	Prae.g_01378	Prbc.g_00667
OG0000309	Prae.g_01382	Prbc.g_00671
OG0000310	Prae.g_01444	Prbc.g_00693
OG0000311	Prae.g_01446	Prbc.g_00695
OG0000312	Prae.g_01449	Prbc.g_00698
OG0000313	Prae.g_01463	Prbc.g_00713
OG0000314	Prae.g_01486	Prbc.g_00734
OG0000315	Prae.g_01496	Prbc.g_00744
OG0000316	Prae.g_01516	Prbc.g_00768
OG0000317	Prae.g_01621	Prbc.g_00830
OG0000318	Prae.g_01624	Prbc.g_00833
OG0000319	Prae.g_01637	Prbc.g_00844
OG0000320	Prae.g_01639	Prbc.g_00846
OG0000321	Prae.g_01640	Prbc.g_00847
OG0000322	Prae.g_01641	Prbc.g_00848
OG0000323	Prae.g_01650	Prbc.g_00857
OG0000324	Prae.g_01676	Prbc.g_00884
OG0000325	Prae.g_01687	Prbc.g_00935
OG0000326	Prae.g_01693	Prbc.g_00941
OG0000327	Prae.g_01717	Prbc.g_00326
OG0000328	Prae.g_01718	Prbc.g_00325
OG0000329	Prae.g_01735	Prbc.g_00308
OG0000330	Prae.g_01736	Prbc.g_00307
OG0000331	Prae.g_01737	Prbc.g_00306
