Orthogroup	Prar	Syaa
OG0000287	Prar.g_01849	Syaa.g_01330
OG0000288	Prar.g_01877	Syaa.g_01299
OG0000289	Prar.g_01888	Syaa.g_01285
OG0000290	Prar.g_01901	Syaa.g_00875
OG0000291	Prar.g_01903	Syaa.g_00877
OG0000292	Prar.g_01953	Syaa.g_02751
OG0000293	Prar.g_01272	Syaa.g_00758
OG0000294	Prar.g_01271	Syaa.g_00759
OG0000295	Prar.g_01251	Syaa.g_00796
OG0000296	Prar.g_01249	Syaa.g_00798
OG0000297	Prar.g_01241	Syaa.g_01021
OG0000298	Prar.g_01240	Syaa.g_01010
OG0000299	Prar.g_01223	Syaa.g_00982
OG0000300	Prar.g_01220	Syaa.g_00976
OG0000301	Prar.g_01219	Syaa.g_00975
OG0000302	Prar.g_01217	Syaa.g_00972
OG0000303	Prar.g_01210	Syaa.g_00963
OG0000304	Prar.g_01206	Syaa.g_00957
OG0000305	Prar.g_00919	Syaa.g_00881
OG0000306	Prar.g_00916	Syaa.g_00807
OG0000307	Prar.g_00902	Syaa.g_02068
OG0000308	Prar.g_00901	Syaa.g_02070
OG0000309	Prar.g_00897	Syaa.g_02075
OG0000310	Prar.g_00354	Syaa.g_01752
OG0000311	Prar.g_00352	Syaa.g_01757
OG0000312	Prar.g_00349	Syaa.g_01762
OG0000313	Prar.g_00335	Syaa.g_01779
OG0000314	Prar.g_00820	Syaa.g_01806
OG0000315	Prar.g_00810	Syaa.g_01816
OG0000316	Prar.g_00790	Syaa.g_00598
OG0000317	Prar.g_01145	Syaa.g_00556
OG0000318	Prar.g_01142	Syaa.g_00550
OG0000319	Prar.g_01129	Syaa.g_00532
OG0000320	Prar.g_01127	Syaa.g_00530
OG0000321	Prar.g_01126	Syaa.g_00529
OG0000322	Prar.g_01125	Syaa.g_00528
OG0000323	Prar.g_01967	Syaa.g_00496
OG0000324	Prar.g_00609	Syaa.g_00653
OG0000325	Prar.g_01113	Syaa.g_02350
OG0000326	Prar.g_01107	Syaa.g_02343
OG0000327	Prar.g_01068	Syaa.g_02294
OG0000328	Prar.g_01067	Syaa.g_02293
OG0000329	Prar.g_01050	Syaa.g_02275
