Orthogroup	Prai	Prbb
OG0000198	Prai.g_00174	Prbb.g_00220
OG0000199	Prai.g_00181	Prbb.g_00227
OG0000200	Prai.g_00195	Prbb.g_00240
OG0000201	Prai.g_00203	Prbb.g_00249
OG0000202	Prai.g_00204	Prbb.g_00250
OG0000203	Prai.g_00205	Prbb.g_00251
OG0000204	Prai.g_00206	Prbb.g_00252
OG0000205	Prai.g_00213	Prbb.g_00259
OG0000206	Prai.g_00218	Prbb.g_00263
OG0000207	Prai.g_00220	Prbb.g_00265
OG0000208	Prai.g_00221	Prbb.g_00266
OG0000209	Prai.g_00230	Prbb.g_00275
OG0000210	Prai.g_00231	Prbb.g_00276
OG0000211	Prai.g_00244	Prbb.g_00290
OG0000212	Prai.g_00251	Prbb.g_00298
OG0000213	Prai.g_00270	Prbb.g_00313
OG0000214	Prai.g_00280	Prbb.g_00321
OG0000215	Prai.g_00305	Prbb.g_00344
OG0000216	Prai.g_00307	Prbb.g_00345
OG0000217	Prai.g_00310	Prbb.g_00348
OG0000218	Prai.g_00312	Prbb.g_00350
OG0000219	Prai.g_00313	Prbb.g_00351
OG0000220	Prai.g_00314	Prbb.g_00352
OG0000221	Prai.g_00315	Prbb.g_00353
OG0000222	Prai.g_00323	Prbb.g_00361
OG0000223	Prai.g_00336	Prbb.g_00374
OG0000224	Prai.g_00338	Prbb.g_00376
OG0000225	Prai.g_00358	Prbb.g_00405
OG0000226	Prai.g_00362	Prbb.g_00409
OG0000227	Prai.g_00364	Prbb.g_00411
OG0000228	Prai.g_00367	Prbb.g_00415
OG0000229	Prai.g_00467	Prbb.g_00441
OG0000230	Prai.g_00469	Prbb.g_00443
OG0000231	Prai.g_00480	Prbb.g_00454
OG0000232	Prai.g_00489	Prbb.g_00462
OG0000233	Prai.g_00494	Prbb.g_00470
OG0000234	Prai.g_00506	Prbb.g_00479
OG0000235	Prai.g_00509	Prbb.g_00483
OG0000236	Prai.g_00523	Prbb.g_00497
OG0000237	Prai.g_00536	Prbb.g_00510
OG0000238	Prai.g_00542	Prbb.g_00516
OG0000239	Prai.g_00553	Prbb.g_00528
OG0000240	Prai.g_00554	Prbb.g_00529
OG0000241	Prai.g_00558	Prbb.g_00533
OG0000242	Prai.g_00560	Prbb.g_00535
OG0000243	Prai.g_00571	Prbb.g_00546
OG0000244	Prai.g_00574	Prbb.g_00550
OG0000245	Prai.g_00576	Prbb.g_00552
OG0000246	Prai.g_00580	Prbb.g_00556
OG0000247	Prai.g_00590	Prbb.g_00566
OG0000248	Prai.g_00593	Prbb.g_00568
OG0000249	Prai.g_00595	Prbb.g_00570
OG0000250	Prai.g_00600	Prbb.g_00575
OG0000251	Prai.g_00619	Prbb.g_00591
OG0000252	Prai.g_00622	Prbb.g_00593
OG0000253	Prai.g_00623	Prbb.g_00595
OG0000254	Prai.g_00639	Prbb.g_00612
OG0000255	Prai.g_00645	Prbb.g_00618
OG0000256	Prai.g_00656	Prbb.g_00628
OG0000257	Prai.g_00659	Prbb.g_00631
OG0000258	Prai.g_00672	Prbb.g_00644
OG0000259	Prai.g_00689	Prbb.g_00661
OG0000260	Prai.g_00692	Prbb.g_00665
OG0000261	Prai.g_00694	Prbb.g_00668
OG0000262	Prai.g_00698	Prbb.g_00673
OG0000263	Prai.g_00710	Prbb.g_00686
OG0000264	Prai.g_00720	Prbb.g_00697, Prbb.g_00698
