Orthogroup	Prai	Syad
OG0000271	Prai.g_00842	Syad.g_01883
OG0000272	Prai.g_00840, Prai.g_00841	Syad.g_01882
OG0000273	Prai.g_00817	Syad.g_01247
OG0000274	Prai.g_00816	Syad.g_01246
OG0000275	Prai.g_00741, Prai.g_00813	Syad.g_01242
OG0000276	Prai.g_00808	Syad.g_01229
OG0000277	Prai.g_00807	Syad.g_01228
OG0000278	Prai.g_00804	Syad.g_01225
OG0000279	Prai.g_00797	Syad.g_01208
OG0000280	Prai.g_00796	Syad.g_01198
OG0000281	Prai.g_00791	Syad.g_00624
OG0000282	Prai.g_01044	Syad.g_01619
OG0000283	Prai.g_01012	Syad.g_01661
OG0000284	Prai.g_01007	Syad.g_01787
OG0000285	Prai.g_01002	Syad.g_01776
OG0000286	Prai.g_00990	Syad.g_01758
OG0000288	Prai.g_00944	Syad.g_01687
OG0000289	Prai.g_00934	Syad.g_01672
OG0000290	Prai.g_00921	Syad.g_01287
OG0000291	Prai.g_00919	Syad.g_01289
OG0000292	Prai.g_01107	Syad.g_00155
OG0000293	Prai.g_01163	Syad.g_01124
OG0000294	Prai.g_01164	Syad.g_01125
OG0000295	Prai.g_01183	Syad.g_01181
OG0000296	Prai.g_01185	Syad.g_01183
OG0000297	Prai.g_01193	Syad.g_01512
OG0000298	Prai.g_01194	Syad.g_01511
OG0000299	Prai.g_01213	Syad.g_01462
OG0000300	Prai.g_01216	Syad.g_01455
OG0000301	Prai.g_01217	Syad.g_01454
OG0000302	Prai.g_01219	Syad.g_01453
OG0000303	Prai.g_01226	Syad.g_01442
OG0000304	Prai.g_01230	Syad.g_01436
OG0000305	Prai.g_01362	Syad.g_01292
OG0000306	Prai.g_01365	Syad.g_01989
OG0000307	Prai.g_01379	Syad.g_00883
OG0000308	Prai.g_01380	Syad.g_00881
OG0000309	Prai.g_01384	Syad.g_00876
OG0000310	Prai.g_01448	Syad.g_02250
OG0000311	Prai.g_01450	Syad.g_02254
OG0000312	Prai.g_01453	Syad.g_02265
OG0000313	Prai.g_01467	Syad.g_02284
OG0000314	Prai.g_01489	Syad.g_02313
OG0000315	Prai.g_01499	Syad.g_02323
OG0000316	Prai.g_01519	Syad.g_02564
OG0000317	Prai.g_01636	Syad.g_02620
OG0000318	Prai.g_01639	Syad.g_02624
OG0000319	Prai.g_01652	Syad.g_02642
OG0000320	Prai.g_01654	Syad.g_02644
OG0000321	Prai.g_01655	Syad.g_02645
OG0000322	Prai.g_01656	Syad.g_02646
OG0000323	Prai.g_01665	Syad.g_02661
OG0000324	Prai.g_01691	Syad.g_02505
OG0000325	Prai.g_01702	Syad.g_00591
OG0000326	Prai.g_01708	Syad.g_00598
OG0000327	Prai.g_01735	Syad.g_00649
OG0000328	Prai.g_01736	Syad.g_00650
OG0000329	Prai.g_01754	Syad.g_00668
OG0000330	Prai.g_01755	Syad.g_00669
OG0000331	Prai.g_01756	Syad.g_00670
OG0000332	Prai.g_01770	Syad.g_00685
OG0000333	Prai.g_01777	Syad.g_00688
OG0000334	Prai.g_01785	Syad.g_00697
OG0000335	Prai.g_01790	Syad.g_00702
OG0000336	Prai.g_01794	Syad.g_00706
OG0000337	Prai.g_01810	Syad.g_00425, Syad.g_00427
OG0000338	Prai.g_01811	Syad.g_00421
OG0000339	Prai.g_01815	Syad.g_00414
OG0000340	Prai.g_01823	Syad.g_00370
OG0000341	Prai.g_01825	Syad.g_00368
OG0000342	Prai.g_01826	Syad.g_00367
OG0000343	Prai.g_01827	Syad.g_00366
OG0000344	Prai.g_01830	Syad.g_00362
OG0000345	Prai.g_01835	Syad.g_00352
OG0000346	Prai.g_01839	Syad.g_00347
OG0000347	Prai.g_01855	Syad.g_00318
OG0000348	Prai.g_01866	Syad.g_00233
OG0000349	Prai.g_01883	Syad.g_00213
OG0000350	Prai.g_01901	Syad.g_00605
OG0000351	Prai.g_01918	Syad.g_00134
OG0000352	Prai.g_01919	Syad.g_00135
OG0000353	Prai.g_01935	Syad.g_00161
OG0000355	Prai.g_00001	Syad.g_00163
OG0000356	Prai.g_00002	Syad.g_00164
OG0000357	Prai.g_00003	Syad.g_00165
OG0000358	Prai.g_00007	Syad.g_00169
OG0000359	Prai.g_00008	Syad.g_00171
OG0000360	Prai.g_00009	Syad.g_00172
OG0000361	Prai.g_00010	Syad.g_00173
OG0000362	Prai.g_00012	Syad.g_00175
OG0000363	Prai.g_00014	Syad.g_00177
OG0000364	Prai.g_00015	Syad.g_00178
OG0000365	Prai.g_00020	Syad.g_00187
OG0000366	Prai.g_00021	Syad.g_00188
OG0000367	Prai.g_00022	Syad.g_00189
OG0000368	Prai.g_00024	Syad.g_00191
OG0000369	Prai.g_00025	Syad.g_00192
OG0000370	Prai.g_00026	Syad.g_00193
OG0000371	Prai.g_00032	Syad.g_00201
OG0000372	Prai.g_00035	Syad.g_00206
OG0000373	Prai.g_00036	Syad.g_00207
OG0000374	Prai.g_00037	Syad.g_00208
OG0000375	Prai.g_00047	Syad.g_00209
OG0000376	Prai.g_00049	Syad.g_00211
OG0000377	Prai.g_00052	Syad.g_03027
OG0000378	Prai.g_00054	Syad.g_03012
OG0000379	Prai.g_00057	Syad.g_03005
OG0000380	Prai.g_00066	Syad.g_02725
OG0000381	Prai.g_00070	Syad.g_02729
OG0000382	Prai.g_00081	Syad.g_02758
OG0000383	Prai.g_00083	Syad.g_02761
OG0000384	Prai.g_00084	Syad.g_02762
OG0000385	Prai.g_00085	Syad.g_02763
OG0000386	Prai.g_00086	Syad.g_02764
OG0000387	Prai.g_00099	Syad.g_02792
OG0000388	Prai.g_00102	Syad.g_02796
OG0000389	Prai.g_00106	Syad.g_02800
OG0000390	Prai.g_00113	Syad.g_02818
OG0000391	Prai.g_00116	Syad.g_02823
OG0000392	Prai.g_00120	Syad.g_02833
OG0000393	Prai.g_00122	Syad.g_02837
OG0000394	Prai.g_00123	Syad.g_02838
OG0000395	Prai.g_00124	Syad.g_02839
OG0000396	Prai.g_00127	Syad.g_02843
OG0000397	Prai.g_00129	Syad.g_02845
OG0000398	Prai.g_00131	Syad.g_02850
OG0000399	Prai.g_00132	Syad.g_02851
OG0000400	Prai.g_00133	Syad.g_02852
OG0000401	Prai.g_00134	Syad.g_02853
OG0000402	Prai.g_00136	Syad.g_02855
OG0000403	Prai.g_00137	Syad.g_02856
OG0000404	Prai.g_00138	Syad.g_02858
OG0000405	Prai.g_00142	Syad.g_02874
OG0000406	Prai.g_00158	Syad.g_02878
OG0000407	Prai.g_00159	Syad.g_02879
OG0000408	Prai.g_00161	Syad.g_02883
OG0000409	Prai.g_00163	Syad.g_02885
OG0000410	Prai.g_00164	Syad.g_02886
OG0000411	Prai.g_00165	Syad.g_02887
OG0000412	Prai.g_00166	Syad.g_02888
OG0000413	Prai.g_00167	Syad.g_02890
OG0000415	Prai.g_00169	Syad.g_02891
OG0000416	Prai.g_00170	Syad.g_02892
OG0000417	Prai.g_00171	Syad.g_02893
OG0000418	Prai.g_00176	Syad.g_02898
OG0000419	Prai.g_00178	Syad.g_02900
OG0000420	Prai.g_00179	Syad.g_02902
OG0000421	Prai.g_00184	Syad.g_02907
OG0000422	Prai.g_00185	Syad.g_02908
OG0000423	Prai.g_00186	Syad.g_02909
OG0000424	Prai.g_00187	Syad.g_02910
OG0000425	Prai.g_00188	Syad.g_02911
OG0000426	Prai.g_00189	Syad.g_02912
OG0000427	Prai.g_00190	Syad.g_02913
OG0000428	Prai.g_00192	Syad.g_02916
OG0000429	Prai.g_00193	Syad.g_02918
OG0000430	Prai.g_00194	Syad.g_02920
OG0000431	Prai.g_00196	Syad.g_02923
OG0000432	Prai.g_00199	Syad.g_02930
OG0000433	Prai.g_00200	Syad.g_02933
OG0000434	Prai.g_00201	Syad.g_02934
OG0000435	Prai.g_00202	Syad.g_02936
OG0000436	Prai.g_00207	Syad.g_02942
OG0000437	Prai.g_00208	Syad.g_02943
OG0000438	Prai.g_00209	Syad.g_02944
OG0000439	Prai.g_00211	Syad.g_02946
OG0000440	Prai.g_00212	Syad.g_02947
OG0000441	Prai.g_00215	Syad.g_02951
OG0000442	Prai.g_00216	Syad.g_02952
OG0000443	Prai.g_00217	Syad.g_02953
OG0000444	Prai.g_00222	Syad.g_02964
OG0000445	Prai.g_00223	Syad.g_02965
OG0000446	Prai.g_00224	Syad.g_02967
OG0000447	Prai.g_00225	Syad.g_02970
OG0000448	Prai.g_00226	Syad.g_02971
OG0000449	Prai.g_00227	Syad.g_02972
OG0000450	Prai.g_00228	Syad.g_02978
OG0000451	Prai.g_00229	Syad.g_02979
OG0000452	Prai.g_00232	Syad.g_02983
OG0000453	Prai.g_00233	Syad.g_02984
OG0000454	Prai.g_00234	Syad.g_02985
OG0000455	Prai.g_00235	Syad.g_02986
OG0000456	Prai.g_00236	Syad.g_02987
OG0000457	Prai.g_00237	Syad.g_02989
OG0000458	Prai.g_00238	Syad.g_02998
OG0000459	Prai.g_00239	Syad.g_02999
OG0000460	Prai.g_00246	Syad.g_00815
OG0000461	Prai.g_00255	Syad.g_00579
OG0000462	Prai.g_00257	Syad.g_00576
OG0000463	Prai.g_00258	Syad.g_00575
OG0000464	Prai.g_00259	Syad.g_00574
OG0000465	Prai.g_00260	Syad.g_00573
OG0000466	Prai.g_00263	Syad.g_00568
OG0000467	Prai.g_00264	Syad.g_00566
OG0000468	Prai.g_00266	Syad.g_00561
OG0000469	Prai.g_00275	Syad.g_00545
OG0000470	Prai.g_00277	Syad.g_00542
OG0000471	Prai.g_00278	Syad.g_00541
OG0000472	Prai.g_00279	Syad.g_00539
OG0000473	Prai.g_00281	Syad.g_00537
OG0000474	Prai.g_00282	Syad.g_00536
OG0000475	Prai.g_00283	Syad.g_00535
OG0000476	Prai.g_00284	Syad.g_00533
OG0000477	Prai.g_00288	Syad.g_00528
OG0000478	Prai.g_00289	Syad.g_00527
OG0000479	Prai.g_00290	Syad.g_00526
OG0000480	Prai.g_00295	Syad.g_00520
OG0000481	Prai.g_00297	Syad.g_00518
OG0000482	Prai.g_00298	Syad.g_00517
OG0000483	Prai.g_00301	Syad.g_00513
OG0000484	Prai.g_00302	Syad.g_00512
OG0000485	Prai.g_00303	Syad.g_00511
OG0000486	Prai.g_00304	Syad.g_00510
OG0000487	Prai.g_00308	Syad.g_00503
OG0000488	Prai.g_00311	Syad.g_00499
OG0000489	Prai.g_00316	Syad.g_00487
OG0000490	Prai.g_00321	Syad.g_00475
OG0000491	Prai.g_00322	Syad.g_00474
OG0000492	Prai.g_00324	Syad.g_00472
OG0000493	Prai.g_00325	Syad.g_00471
OG0000494	Prai.g_00326	Syad.g_00470
OG0000495	Prai.g_00327	Syad.g_00469
OG0000496	Prai.g_00328	Syad.g_00468
OG0000497	Prai.g_00329	Syad.g_00467
OG0000498	Prai.g_00330	Syad.g_00466
OG0000499	Prai.g_00331	Syad.g_00465
OG0000500	Prai.g_00332	Syad.g_00464
OG0000501	Prai.g_00334	Syad.g_00461
OG0000502	Prai.g_00337	Syad.g_00449
OG0000503	Prai.g_00347	Syad.g_00761
OG0000504	Prai.g_00348	Syad.g_00763
OG0000505	Prai.g_00349	Syad.g_00764
OG0000506	Prai.g_00351	Syad.g_00766
OG0000507	Prai.g_00354	Syad.g_00772
OG0000508	Prai.g_00357	Syad.g_00776
OG0000509	Prai.g_00359	Syad.g_00778
OG0000510	Prai.g_00360	Syad.g_00779
OG0000511	Prai.g_00361	Syad.g_00780
OG0000512	Prai.g_00363	Syad.g_00782
OG0000513	Prai.g_00370	Syad.g_00789
OG0000514	Prai.g_00462	Syad.g_00795
OG0000515	Prai.g_00463	Syad.g_00796
OG0000516	Prai.g_00464	Syad.g_02456
OG0000517	Prai.g_00466	Syad.g_02451
OG0000518	Prai.g_00477	Syad.g_02439
OG0000519	Prai.g_00478	Syad.g_02438
OG0000520	Prai.g_00479	Syad.g_02437
OG0000521	Prai.g_00484	Syad.g_01108
OG0000522	Prai.g_00486	Syad.g_01109
OG0000523	Prai.g_00487	Syad.g_01110
OG0000524	Prai.g_00492	Syad.g_02386
OG0000525	Prai.g_00495	Syad.g_02363
OG0000526	Prai.g_00496	Syad.g_02360
OG0000527	Prai.g_00503	Syad.g_02355
OG0000528	Prai.g_00508	Syad.g_00897
OG0000529	Prai.g_00511	Syad.g_00905
OG0000530	Prai.g_00514	Syad.g_00908
OG0000531	Prai.g_00515	Syad.g_00909
OG0000532	Prai.g_00517	Syad.g_00912
OG0000533	Prai.g_00518	Syad.g_00913
OG0000534	Prai.g_00519	Syad.g_00914
OG0000535	Prai.g_00520	Syad.g_00915
OG0000536	Prai.g_00521	Syad.g_00916
OG0000537	Prai.g_00522	Syad.g_00917
OG0000538	Prai.g_00530	Syad.g_00929
OG0000539	Prai.g_00531	Syad.g_00930
OG0000540	Prai.g_00532	Syad.g_00931
OG0000541	Prai.g_00533	Syad.g_00932
OG0000542	Prai.g_00535	Syad.g_00935
OG0000543	Prai.g_00537	Syad.g_00937
OG0000544	Prai.g_00538	Syad.g_00938
OG0000545	Prai.g_00540	Syad.g_00940
OG0000546	Prai.g_00543	Syad.g_00942
OG0000547	Prai.g_00544	Syad.g_00944
OG0000548	Prai.g_00545	Syad.g_00945
OG0000549	Prai.g_00547	Syad.g_00952
OG0000550	Prai.g_00552	Syad.g_00956
OG0000551	Prai.g_00555	Syad.g_00960
OG0000552	Prai.g_00556	Syad.g_00961
OG0000553	Prai.g_00557	Syad.g_00965
OG0000554	Prai.g_00562	Syad.g_00978
OG0000555	Prai.g_00570	Syad.g_00999
OG0000556	Prai.g_00572	Syad.g_01003
OG0000557	Prai.g_00573	Syad.g_01011
OG0000558	Prai.g_00575	Syad.g_01013
OG0000559	Prai.g_00579	Syad.g_01016
OG0000560	Prai.g_00582	Syad.g_01019
OG0000561	Prai.g_00583	Syad.g_01020
OG0000562	Prai.g_00584	Syad.g_01021
OG0000563	Prai.g_00585	Syad.g_01022
OG0000564	Prai.g_00586	Syad.g_01023
OG0000565	Prai.g_00589	Syad.g_01027
OG0000566	Prai.g_00592	Syad.g_01031
OG0000567	Prai.g_00596	Syad.g_01035
OG0000568	Prai.g_00597	Syad.g_01040
OG0000569	Prai.g_00598	Syad.g_01041
OG0000570	Prai.g_00599	Syad.g_01042
OG0000571	Prai.g_00601	Syad.g_01046
OG0000572	Prai.g_00614	Syad.g_01064
OG0000573	Prai.g_00620	Syad.g_01072
OG0000574	Prai.g_00621	Syad.g_01077
OG0000575	Prai.g_00625	Syad.g_01083
OG0000576	Prai.g_00627	Syad.g_01085
OG0000577	Prai.g_00628	Syad.g_01086
OG0000578	Prai.g_00629	Syad.g_01087
OG0000579	Prai.g_00630	Syad.g_01088
OG0000580	Prai.g_00631	Syad.g_01089
OG0000581	Prai.g_00633	Syad.g_01097
OG0000582	Prai.g_00636	Syad.g_02206
OG0000583	Prai.g_00637	Syad.g_02205
