Orthogroup	Praw	Prbb
OG0000160	Praw.g_01402	Prbb.g_00027
OG0000161	Praw.g_01401	Prbb.g_00028
OG0000162	Praw.g_01400	Prbb.g_00029
OG0000163	Praw.g_01399	Prbb.g_00030
OG0000164	Praw.g_01396	Prbb.g_00033
OG0000165	Praw.g_01393	Prbb.g_00035
OG0000166	Praw.g_01392	Prbb.g_00036
OG0000167	Praw.g_01391	Prbb.g_00037
OG0000168	Praw.g_01388	Prbb.g_00055
OG0000169	Praw.g_01386	Prbb.g_00057
OG0000170	Praw.g_01385	Prbb.g_00058
OG0000171	Praw.g_01384	Prbb.g_00059
OG0000172	Praw.g_01383	Prbb.g_00060
OG0000173	Praw.g_01382	Prbb.g_00061
OG0000174	Praw.g_01381	Prbb.g_00062
OG0000175	Praw.g_01380	Prbb.g_00063
OG0000176	Praw.g_01378	Prbb.g_00065
OG0000177	Praw.g_01377	Prbb.g_00066
OG0000178	Praw.g_01376	Prbb.g_00067
OG0000179	Praw.g_01370	Prbb.g_00119
OG0000180	Praw.g_01369	Prbb.g_00120
OG0000181	Praw.g_01368	Prbb.g_00121
OG0000182	Praw.g_01365	Prbb.g_00124
OG0000183	Praw.g_01364	Prbb.g_00125
OG0000184	Praw.g_01361	Prbb.g_00128
OG0000185	Praw.g_01357	Prbb.g_00132
OG0000186	Praw.g_01356	Prbb.g_00133
OG0000187	Praw.g_01355	Prbb.g_00134
OG0000188	Praw.g_01354	Prbb.g_00135
OG0000189	Praw.g_01353	Prbb.g_00136
OG0000190	Praw.g_01352	Prbb.g_00137
OG0000191	Praw.g_01351	Prbb.g_00138
OG0000192	Praw.g_01350	Prbb.g_00139
OG0000193	Praw.g_01349	Prbb.g_00140
OG0000194	Praw.g_01348	Prbb.g_00141
OG0000195	Praw.g_01346	Prbb.g_00143
OG0000196	Praw.g_01345	Prbb.g_00144
OG0000197	Praw.g_01344	Prbb.g_00145
OG0000198	Praw.g_01343	Prbb.g_00146
OG0000199	Praw.g_01341	Prbb.g_00149
OG0000200	Praw.g_01340	Prbb.g_00150
OG0000201	Praw.g_01339	Prbb.g_00151
OG0000202	Praw.g_01338	Prbb.g_00152
OG0000203	Praw.g_01337	Prbb.g_00153
OG0000204	Praw.g_01336	Prbb.g_00154
OG0000205	Praw.g_01335	Prbb.g_00156
OG0000206	Praw.g_01334	Prbb.g_00157
OG0000207	Praw.g_01333	Prbb.g_00158
OG0000208	Praw.g_01332	Prbb.g_00159
OG0000209	Praw.g_01331	Prbb.g_00160
OG0000210	Praw.g_01329	Prbb.g_00161
OG0000211	Praw.g_01328	Prbb.g_00162
OG0000212	Praw.g_01327	Prbb.g_00163
OG0000213	Praw.g_01326	Prbb.g_00164
OG0000214	Praw.g_01324	Prbb.g_00168
OG0000215	Praw.g_01323	Prbb.g_00169
OG0000216	Praw.g_01321	Prbb.g_00171
OG0000217	Praw.g_01320	Prbb.g_00173
OG0000218	Praw.g_01319	Prbb.g_00174
OG0000219	Praw.g_01318	Prbb.g_00175
OG0000220	Praw.g_01315	Prbb.g_00177
OG0000221	Praw.g_01313	Prbb.g_00180
OG0000222	Praw.g_01312	Prbb.g_00181
OG0000223	Praw.g_01311	Prbb.g_00182
OG0000224	Praw.g_01308	Prbb.g_00185
OG0000225	Praw.g_01306	Prbb.g_00187
OG0000226	Praw.g_01305	Prbb.g_00189
OG0000227	Praw.g_01304	Prbb.g_00190
OG0000228	Praw.g_01303	Prbb.g_00191
OG0000229	Praw.g_01302	Prbb.g_00192
OG0000230	Praw.g_01301	Prbb.g_00193
OG0000231	Praw.g_01299	Prbb.g_01101
OG0000232	Praw.g_01298	Prbb.g_00194
OG0000233	Praw.g_01295	Prbb.g_00197
OG0000234	Praw.g_01293	Prbb.g_00200
OG0000235	Praw.g_01290	Prbb.g_00202
OG0000236	Praw.g_01289	Prbb.g_00203
OG0000237	Praw.g_01288	Prbb.g_00204
OG0000238	Praw.g_01287	Prbb.g_00205
OG0000239	Praw.g_01286	Prbb.g_00206
OG0000240	Praw.g_01284	Prbb.g_00208
OG0000241	Praw.g_01283	Prbb.g_00209
OG0000242	Praw.g_01282	Prbb.g_00210
OG0000243	Praw.g_01281	Prbb.g_00211
OG0000244	Praw.g_01280	Prbb.g_00212
OG0000245	Praw.g_01279	Prbb.g_00213
OG0000246	Praw.g_01277	Prbb.g_00215
OG0000247	Praw.g_01276	Prbb.g_00216
OG0000248	Praw.g_01275	Prbb.g_00217
OG0000249	Praw.g_01274	Prbb.g_00218
OG0000250	Praw.g_01273	Prbb.g_00219
OG0000251	Praw.g_01272	Prbb.g_00220
OG0000252	Praw.g_01271	Prbb.g_00221
OG0000253	Praw.g_01270	Prbb.g_00222
OG0000254	Praw.g_01268	Prbb.g_00224
OG0000255	Praw.g_01267	Prbb.g_00225
OG0000256	Praw.g_01264	Prbb.g_00228
OG0000257	Praw.g_01262	Prbb.g_00229
OG0000258	Praw.g_01261	Prbb.g_00230
OG0000259	Praw.g_01260	Prbb.g_00231
OG0000260	Praw.g_01259	Prbb.g_00232
