Orthogroup	Prba	Prbk
OG0000278	Prba.g_01456	Prbk.g_02540
OG0000279	Prba.g_01449	Prbk.g_02548
OG0000280	Prba.g_01448	Prbk.g_02554
OG0000281	Prba.g_01443	Prbk.g_02568
OG0000282	Prba.g_01393	Prbk.g_02398
OG0000283	Prba.g_01360	Prbk.g_02359
OG0000284	Prba.g_01355	Prbk.g_02353
OG0000285	Prba.g_01350	Prbk.g_01698
OG0000286	Prba.g_01338	Prbk.g_02325
OG0000287	Prba.g_01321	Prbk.g_01728
OG0000288	Prba.g_01291	Prbk.g_00583
OG0000289	Prba.g_01280	Prbk.g_00596
OG0000290	Prba.g_01267	Prbk.g_00059
OG0000291	Prba.g_01265	Prbk.g_00057
OG0000292	Prba.g_01216	Prbk.g_02271
OG0000293	Prba.g_00073	Prbk.g_01032
OG0000294	Prba.g_00072	Prbk.g_01031
OG0000295	Prba.g_00051	Prbk.g_00106
OG0000296	Prba.g_00049	Prbk.g_00104
OG0000297	Prba.g_00041	Prbk.g_01498
OG0000298	Prba.g_00040	Prbk.g_01497
OG0000299	Prba.g_00023	Prbk.g_01508
OG0000300	Prba.g_00020	Prbk.g_00186
OG0000301	Prba.g_00019	Prbk.g_00185
OG0000302	Prba.g_00017	Prbk.g_00182
OG0000303	Prba.g_00010	Prbk.g_00097
OG0000304	Prba.g_00006	Prbk.g_00121
OG0000305	Prba.g_00204	Prbk.g_00055
OG0000306	Prba.g_00201	Prbk.g_02578
OG0000307	Prba.g_00187	Prbk.g_02044
OG0000308	Prba.g_00186	Prbk.g_02042
OG0000309	Prba.g_00182	Prbk.g_02038
OG0000310	Prba.g_00112	Prbk.g_01937
OG0000311	Prba.g_00110	Prbk.g_00243
OG0000312	Prba.g_00107	Prbk.g_00247
OG0000313	Prba.g_00709	Prbk.g_00271
OG0000314	Prba.g_00686	Prbk.g_01222
OG0000315	Prba.g_00351, Prba.g_00676	Prbk.g_01212
OG0000316	Prba.g_00331	Prbk.g_01991
OG0000317	Prba.g_00228	Prbk.g_00913
OG0000318	Prba.g_00619	Prbk.g_00906
OG0000319	Prba.g_00606	Prbk.g_01443
OG0000320	Prba.g_00604	Prbk.g_01441
OG0000321	Prba.g_00603	Prbk.g_01440
OG0000322	Prba.g_00602	Prbk.g_01439
OG0000323	Prba.g_00593	Prbk.g_01428
OG0000324	Prba.g_00567	Prbk.g_01399
OG0000325	Prba.g_00358	Prbk.g_01904
OG0000326	Prba.g_00364	Prbk.g_01912
OG0000327	Prba.g_00388	Prbk.g_00987
OG0000328	Prba.g_00389	Prbk.g_00986
OG0000329	Prba.g_00406	Prbk.g_00969
OG0000330	Prba.g_00407	Prbk.g_00968
OG0000331	Prba.g_00408	Prbk.g_00967
OG0000332	Prba.g_00422	Prbk.g_00952
OG0000333	Prba.g_00424	Prbk.g_00950
OG0000334	Prba.g_00432	Prbk.g_00801
OG0000335	Prba.g_00437	Prbk.g_00806
OG0000336	Prba.g_01050	Prbk.g_00810
OG0000337	Prba.g_01067	Prbk.g_00506
OG0000338	Prba.g_01068	Prbk.g_00510
OG0000339	Prba.g_01072	Prbk.g_00516
OG0000340	Prba.g_00752	Prbk.g_00528
OG0000341	Prba.g_00754	Prbk.g_00530
OG0000342	Prba.g_00755	Prbk.g_00531
OG0000343	Prba.g_00756	Prbk.g_00215
OG0000344	Prba.g_00759	Prbk.g_00218
OG0000345	Prba.g_00764	Prbk.g_00233
OG0000346	Prba.g_00769	Prbk.g_00238
OG0000347	Prba.g_00785	Prbk.g_01540
OG0000348	Prba.g_00795	Prbk.g_01578
OG0000349	Prba.g_00812	Prbk.g_01602
OG0000350	Prba.g_00831	Prbk.g_02204
OG0000351	Prba.g_00848, Prba.g_01776	Prbk.g_02252
OG0000352	Prba.g_01777	Prbk.g_02253
OG0000353	Prba.g_01792	Prbk.g_02277
OG0000355	Prba.g_01794	Prbk.g_02279
OG0000356	Prba.g_01795	Prbk.g_02280
OG0000357	Prba.g_01796	Prbk.g_02281
OG0000358	Prba.g_01800	Prbk.g_02285
OG0000359	Prba.g_01801	Prbk.g_02287
OG0000360	Prba.g_01802	Prbk.g_02288
OG0000361	Prba.g_01803	Prbk.g_02289
OG0000362	Prba.g_01805	Prbk.g_02291
OG0000363	Prba.g_01807	Prbk.g_01639
OG0000364	Prba.g_01808	Prbk.g_01638
OG0000365	Prba.g_01813	Prbk.g_01629
OG0000366	Prba.g_01814	Prbk.g_01628
OG0000367	Prba.g_01815	Prbk.g_01627
OG0000368	Prba.g_01817	Prbk.g_01625
OG0000369	Prba.g_01818	Prbk.g_01624
OG0000370	Prba.g_01819	Prbk.g_01623
OG0000371	Prba.g_01825	Prbk.g_01614
OG0000372	Prba.g_01828	Prbk.g_01609
OG0000373	Prba.g_01829	Prbk.g_01608
OG0000374	Prba.g_01830	Prbk.g_01607
OG0000375	Prba.g_01834	Prbk.g_01606
OG0000376	Prba.g_01836	Prbk.g_01604
OG0000377	Prba.g_01839	Prbk.g_02155
OG0000378	Prba.g_01841	Prbk.g_02141
OG0000379	Prba.g_01844	Prbk.g_02125
OG0000380	Prba.g_01854	Prbk.g_01323
OG0000381	Prba.g_01858	Prbk.g_01319
