Orthogroup	Syat	Prag
OG0000443	Syat.g_02787	Prag.g_00199
OG0000444	Syat.g_02756	Prag.g_00204
OG0000445	Syat.g_02755	Prag.g_00205
OG0000446	Syat.g_02753	Prag.g_00206
OG0000447	Syat.g_02749	Prag.g_00207
OG0000448	Syat.g_02748	Prag.g_00208
OG0000449	Syat.g_02747	Prag.g_00209
OG0000450	Syat.g_02738	Prag.g_00210
OG0000451	Syat.g_02737	Prag.g_00211
OG0000452	Syat.g_02732	Prag.g_00214
OG0000453	Syat.g_02731	Prag.g_00215
OG0000454	Syat.g_02730	Prag.g_00216
OG0000455	Syat.g_02729	Prag.g_00217
OG0000456	Syat.g_02728	Prag.g_00218
OG0000457	Syat.g_02726	Prag.g_00219
OG0000458	Syat.g_02725	Prag.g_00220
OG0000459	Syat.g_02724	Prag.g_00221
OG0000460	Syat.g_01450	Prag.g_00228
OG0000461	Syat.g_01866	Prag.g_00235
OG0000462	Syat.g_01868	Prag.g_00237
OG0000463	Syat.g_01869	Prag.g_00238
OG0000464	Syat.g_01870	Prag.g_00239
OG0000465	Syat.g_01872	Prag.g_00240
OG0000466	Syat.g_01877	Prag.g_00243
OG0000467	Syat.g_01878	Prag.g_00244
OG0000468	Syat.g_01884	Prag.g_00245
OG0000469	Syat.g_02000	Prag.g_00253
OG0000470	Syat.g_02038	Prag.g_00255
OG0000471	Syat.g_02039	Prag.g_00256
OG0000472	Syat.g_02041	Prag.g_00257
OG0000473	Syat.g_02043	Prag.g_00259
OG0000474	Syat.g_02044	Prag.g_00260
OG0000475	Syat.g_02045	Prag.g_00261
OG0000476	Syat.g_02047	Prag.g_00262
OG0000477	Syat.g_02053	Prag.g_00266
OG0000478	Syat.g_02054	Prag.g_00267
OG0000479	Syat.g_02056	Prag.g_00268
OG0000480	Syat.g_02063	Prag.g_00273
OG0000481	Syat.g_02066	Prag.g_00275
OG0000482	Syat.g_02067	Prag.g_00276
OG0000483	Syat.g_02071	Prag.g_00279
OG0000484	Syat.g_02072	Prag.g_00280
OG0000485	Syat.g_02073	Prag.g_00281
OG0000486	Syat.g_02074	Prag.g_00282
OG0000487	Syat.g_02080	Prag.g_00286
OG0000488	Syat.g_02086	Prag.g_00289
OG0000489	Syat.g_02097	Prag.g_00294
OG0000490	Syat.g_02106	Prag.g_00299
OG0000491	Syat.g_02107	Prag.g_00300
OG0000492	Syat.g_02110	Prag.g_00302
OG0000493	Syat.g_02111	Prag.g_00303
OG0000494	Syat.g_02112	Prag.g_00304
OG0000495	Syat.g_02120	Prag.g_00305
OG0000496	Syat.g_02121	Prag.g_00306
OG0000497	Syat.g_02122	Prag.g_00307
OG0000498	Syat.g_02123	Prag.g_00308
OG0000499	Syat.g_02124	Prag.g_00309
OG0000500	Syat.g_02125	Prag.g_00310
OG0000501	Syat.g_02128	Prag.g_00312
OG0000502	Syat.g_02135	Prag.g_00315
OG0000503	Syat.g_01614	Prag.g_00329
OG0000504	Syat.g_01612	Prag.g_00330
OG0000505	Syat.g_01611	Prag.g_00331
OG0000506	Syat.g_01609	Prag.g_00333
OG0000507	Syat.g_01603	Prag.g_00336
OG0000508	Syat.g_01596	Prag.g_00339
OG0000509	Syat.g_01591	Prag.g_00341
OG0000510	Syat.g_01590	Prag.g_00342
OG0000511	Syat.g_01589	Prag.g_00343
OG0000512	Syat.g_01587	Prag.g_00345
OG0000513	Syat.g_02957	Prag.g_00352
OG0000514	Syat.g_02962	Prag.g_00410
OG0000515	Syat.g_02963	Prag.g_00411
OG0000516	Syat.g_02965	Prag.g_00412
OG0000517	Syat.g_02969	Prag.g_00414
